ID	仕分け	対応する既存Q	理由・内容
NFR-SEC-007	E 説明資料 57 項目でカバー済み	—	質問状ではなく [顧客説明資料](../../requirements/customer-explanation/00-index.md) 側で選択肢比較・弊社推奨・変更容易性を提示済み。質問状に重ねて設問を作る必要はない
NFR-SEC-008	E 説明資料 57 項目でカバー済み	—	質問状ではなく [顧客説明資料](../../requirements/customer-explanation/00-index.md) 側で選択肢比較・弊社推奨・変更容易性を提示済み。質問状に重ねて設問を作る必要はない
NFR-SEC-009	E 説明資料 57 項目でカバー済み	—	質問状ではなく [顧客説明資料](../../requirements/customer-explanation/00-index.md) 側で選択肢比較・弊社推奨・変更容易性を提示済み。質問状に重ねて設問を作る必要はない
NFR-SEC-010	E 説明資料 57 項目でカバー済み	—	質問状ではなく [顧客説明資料](../../requirements/customer-explanation/00-index.md) 側で選択肢比較・弊社推奨・変更容易性を提示済み。質問状に重ねて設問を作る必要はない
NFR-COMP-001	E 説明資料 57 項目でカバー済み	—	質問状ではなく [顧客説明資料](../../requirements/customer-explanation/00-index.md) 側で選択肢比較・弊社推奨・変更容易性を提示済み。質問状に重ねて設問を作る必要はない
NFR-COMP-010	E 説明資料 57 項目でカバー済み	—	質問状ではなく [顧客説明資料](../../requirements/customer-explanation/00-index.md) 側で選択肢比較・弊社推奨・変更容易性を提示済み。質問状に重ねて設問を作る必要はない
NFR-OPS-001	E 説明資料 57 項目でカバー済み	—	質問状ではなく [顧客説明資料](../../requirements/customer-explanation/00-index.md) 側で選択肢比較・弊社推奨・変更容易性を提示済み。質問状に重ねて設問を作る必要はない
NFR-OPS-002	E 説明資料 57 項目でカバー済み	—	質問状ではなく [顧客説明資料](../../requirements/customer-explanation/00-index.md) 側で選択肢比較・弊社推奨・変更容易性を提示済み。質問状に重ねて設問を作る必要はない
NFR-OPS-003	E 説明資料 57 項目でカバー済み	—	質問状ではなく [顧客説明資料](../../requirements/customer-explanation/00-index.md) 側で選択肢比較・弊社推奨・変更容易性を提示済み。質問状に重ねて設問を作る必要はない
NFR-OPS-004	E 説明資料 57 項目でカバー済み	—	質問状ではなく [顧客説明資料](../../requirements/customer-explanation/00-index.md) 側で選択肢比較・弊社推奨・変更容易性を提示済み。質問状に重ねて設問を作る必要はない
NFR-OPS-005	E 説明資料 57 項目でカバー済み	—	質問状ではなく [顧客説明資料](../../requirements/customer-explanation/00-index.md) 側で選択肢比較・弊社推奨・変更容易性を提示済み。質問状に重ねて設問を作る必要はない
B-ENROLL-1	E 説明資料 57 項目でカバー済み	—	質問状ではなく [顧客説明資料](../../requirements/customer-explanation/00-index.md) 側で選択肢比較・弊社推奨・変更容易性を提示済み。質問状に重ねて設問を作る必要はない
B-RECOV-1	E 説明資料 57 項目でカバー済み	—	質問状ではなく [顧客説明資料](../../requirements/customer-explanation/00-index.md) 側で選択肢比較・弊社推奨・変更容易性を提示済み。質問状に重ねて設問を作る必要はない
B-CAEP-1	E 説明資料 57 項目でカバー済み	—	質問状ではなく [顧客説明資料](../../requirements/customer-explanation/00-index.md) 側で選択肢比較・弊社推奨・変更容易性を提示済み。質問状に重ねて設問を作る必要はない
B-SESS-1	E 説明資料 57 項目でカバー済み	—	質問状ではなく [顧客説明資料](../../requirements/customer-explanation/00-index.md) 側で選択肢比較・弊社推奨・変更容易性を提示済み。質問状に重ねて設問を作る必要はない
B-SESS-2	E 説明資料 57 項目でカバー済み	—	質問状ではなく [顧客説明資料](../../requirements/customer-explanation/00-index.md) 側で選択肢比較・弊社推奨・変更容易性を提示済み。質問状に重ねて設問を作る必要はない
B-AGENT-1	E 説明資料 57 項目でカバー済み	—	質問状ではなく [顧客説明資料](../../requirements/customer-explanation/00-index.md) 側で選択肢比較・弊社推奨・変更容易性を提示済み。質問状に重ねて設問を作る必要はない
B-RTBF-1	E 説明資料 57 項目でカバー済み	—	質問状ではなく [顧客説明資料](../../requirements/customer-explanation/00-index.md) 側で選択肢比較・弊社推奨・変更容易性を提示済み。質問状に重ねて設問を作る必要はない
B-TESTDATA-1	E 説明資料 57 項目でカバー済み	—	質問状ではなく [顧客説明資料](../../requirements/customer-explanation/00-index.md) 側で選択肢比較・弊社推奨・変更容易性を提示済み。質問状に重ねて設問を作る必要はない
P-10	E 説明資料 57 項目でカバー済み	—	質問状ではなく [顧客説明資料](../../requirements/customer-explanation/00-index.md) 側で選択肢比較・弊社推奨・変更容易性を提示済み。質問状に重ねて設問を作る必要はない
FR-AUTH-006	F 顧客ヒアリング対象外	—	対応区分が スコープ外/確定（反映のみ）/社内判断待ち/アプリチーム/他組織 のいずれか。顧客に聞く対象ではないため J 列に内容があっても Q 番号は不要
FR-ADMIN-006	F 顧客ヒアリング対象外	—	対応区分が スコープ外/確定（反映のみ）/社内判断待ち/アプリチーム/他組織 のいずれか。顧客に聞く対象ではないため J 列に内容があっても Q 番号は不要
NFR-DR-003	F 顧客ヒアリング対象外	—	対応区分が スコープ外/確定（反映のみ）/社内判断待ち/アプリチーム/他組織 のいずれか。顧客に聞く対象ではないため J 列に内容があっても Q 番号は不要
NFR-SEC-014	F 顧客ヒアリング対象外	—	対応区分が スコープ外/確定（反映のみ）/社内判断待ち/アプリチーム/他組織 のいずれか。顧客に聞く対象ではないため J 列に内容があっても Q 番号は不要
NFR-MIG-002	F 顧客ヒアリング対象外	—	対応区分が スコープ外/確定（反映のみ）/社内判断待ち/アプリチーム/他組織 のいずれか。顧客に聞く対象ではないため J 列に内容があっても Q 番号は不要
B-AUDITLOG-BRAND-1	F 顧客ヒアリング対象外	—	対応区分が スコープ外/確定（反映のみ）/社内判断待ち/アプリチーム/他組織 のいずれか。顧客に聞く対象ではないため J 列に内容があっても Q 番号は不要
P-18	F 顧客ヒアリング対象外	—	対応区分が スコープ外/確定（反映のみ）/社内判断待ち/アプリチーム/他組織 のいずれか。顧客に聞く対象ではないため J 列に内容があっても Q 番号は不要
G-EGRESS	F 顧客ヒアリング対象外	—	対応区分が スコープ外/確定（反映のみ）/社内判断待ち/アプリチーム/他組織 のいずれか。顧客に聞く対象ではないため J 列に内容があっても Q 番号は不要
