ID	変更前の対応区分	変更後の対応区分	状況の変更	理由
FR-ADMIN-008	資料作成→ヒアリング	顧客ヒアリング		宛先が混ざるものは顧客とする方針（2026-08-17 ユーザー判断）
FR-ADMIN-010	資料作成→ヒアリング	顧客ヒアリング		宛先が混ざるものは顧客とする方針（2026-08-17 ユーザー判断）
FR-ADMIN-011	資料作成→ヒアリング	顧客ヒアリング		宛先が混ざるものは顧客とする方針（2026-08-17 ユーザー判断）
FR-ADMIN-012	資料作成→ヒアリング	顧客ヒアリング		宛先が混ざるものは顧客とする方針（2026-08-17 ユーザー判断）
NFR-PERF-006	資料作成→ヒアリング	顧客ヒアリング		宛先が混ざるものは顧客とする方針（2026-08-17 ユーザー判断）
NFR-SCL-002	資料作成→ヒアリング	顧客ヒアリング		宛先が混ざるものは顧客とする方針（2026-08-17 ユーザー判断）
NFR-SCL-003	資料作成→ヒアリング	顧客ヒアリング		宛先が混ざるものは顧客とする方針（2026-08-17 ユーザー判断）
NFR-SEC-003	資料作成→ヒアリング	顧客ヒアリング		宛先が混ざるものは顧客とする方針（2026-08-17 ユーザー判断）
NFR-SEC-004	資料作成→ヒアリング	顧客ヒアリング		宛先が混ざるものは顧客とする方針（2026-08-17 ユーザー判断）
NFR-SEC-005	資料作成→ヒアリング	顧客ヒアリング		宛先が混ざるものは顧客とする方針（2026-08-17 ユーザー判断）
NFR-SEC-006	資料作成→ヒアリング	顧客ヒアリング		宛先が混ざるものは顧客とする方針（2026-08-17 ユーザー判断）
NFR-SEC-007	資料作成→ヒアリング	顧客ヒアリング		宛先が混ざるものは顧客とする方針（2026-08-17 ユーザー判断）
NFR-SEC-008	資料作成→ヒアリング	顧客ヒアリング		宛先が混ざるものは顧客とする方針（2026-08-17 ユーザー判断）
NFR-SEC-009	資料作成→ヒアリング	顧客ヒアリング		宛先が混ざるものは顧客とする方針（2026-08-17 ユーザー判断）
NFR-SEC-010	資料作成→ヒアリング	顧客ヒアリング		宛先が混ざるものは顧客とする方針（2026-08-17 ユーザー判断）
NFR-SEC-010-2	資料作成→ヒアリング	顧客ヒアリング		宛先が混ざるものは顧客とする方針（2026-08-17 ユーザー判断）
NFR-SEC-013	資料作成→ヒアリング	顧客ヒアリング		宛先が混ざるものは顧客とする方針（2026-08-17 ユーザー判断）
NFR-SEC-020	資料作成→ヒアリング	顧客ヒアリング		宛先が混ざるものは顧客とする方針（2026-08-17 ユーザー判断）
NFR-COMP-001	資料作成→ヒアリング	顧客ヒアリング		宛先が混ざるものは顧客とする方針（2026-08-17 ユーザー判断）
NFR-COMP-010	資料作成→ヒアリング	顧客ヒアリング		宛先が混ざるものは顧客とする方針（2026-08-17 ユーザー判断）
NFR-OPS-001	資料作成→ヒアリング	顧客ヒアリング		宛先が混ざるものは顧客とする方針（2026-08-17 ユーザー判断）
NFR-OPS-002	資料作成→ヒアリング	顧客ヒアリング		宛先が混ざるものは顧客とする方針（2026-08-17 ユーザー判断）
NFR-OPS-003	資料作成→ヒアリング	顧客ヒアリング		宛先が混ざるものは顧客とする方針（2026-08-17 ユーザー判断）
NFR-OPS-004	資料作成→ヒアリング	顧客ヒアリング		宛先が混ざるものは顧客とする方針（2026-08-17 ユーザー判断）
NFR-OPS-005	資料作成→ヒアリング	顧客ヒアリング		宛先が混ざるものは顧客とする方針（2026-08-17 ユーザー判断）
NFR-OPS-009	資料作成→ヒアリング	顧客ヒアリング		宛先が混ざるものは顧客とする方針（2026-08-17 ユーザー判断）
NFR-OPS-010	資料作成→ヒアリング	顧客ヒアリング		宛先が混ざるものは顧客とする方針（2026-08-17 ユーザー判断）
NFR-OPS-011	資料作成→ヒアリング	顧客ヒアリング		宛先が混ざるものは顧客とする方針（2026-08-17 ユーザー判断）
B-ENROLL-1	資料作成→ヒアリング	顧客ヒアリング		宛先が混ざるものは顧客とする方針（2026-08-17 ユーザー判断）
B-RECOV-1	資料作成→ヒアリング	顧客ヒアリング		宛先が混ざるものは顧客とする方針（2026-08-17 ユーザー判断）
B-CAEP-1	資料作成→ヒアリング	顧客ヒアリング		宛先が混ざるものは顧客とする方針（2026-08-17 ユーザー判断）
B-SESS-1	資料作成→ヒアリング	顧客ヒアリング		宛先が混ざるものは顧客とする方針（2026-08-17 ユーザー判断）
B-SESS-2	資料作成→ヒアリング	顧客ヒアリング		宛先が混ざるものは顧客とする方針（2026-08-17 ユーザー判断）
B-AGENT-1	資料作成→ヒアリング	顧客ヒアリング		宛先が混ざるものは顧客とする方針（2026-08-17 ユーザー判断）
B-RTBF-1	資料作成→ヒアリング	顧客ヒアリング		宛先が混ざるものは顧客とする方針（2026-08-17 ユーザー判断）
B-TESTDATA-1	資料作成→ヒアリング	顧客ヒアリング		宛先が混ざるものは顧客とする方針（2026-08-17 ユーザー判断）
P-10	資料作成→ヒアリング	顧客ヒアリング		宛先が混ざるものは顧客とする方針（2026-08-17 ユーザー判断）
P-18	資料作成→ヒアリング	（要判断）他組織ヒアリング		**他組織管理のインターネット境界**。顧客でもアプリでもなく他組織への要求仕様（00a B-1）。顧客ヒアリングにすると宛先を誤る
G-EGRESS	資料作成→ヒアリング	（要判断）他組織ヒアリング		**Egress 許可の追加運用方式**。同じく他組織回答（00a B-1）
