ID	状況	決定内容・残論点	次のアクション	対応区分
NFR-DR-001	確定	復旧までの目標時間。P-05（2026-07-30 転換）で手動復旧・約 14 日（大阪でその都度作り直す）に確定。従前のピロットライト方式・1 時間目標は廃止	ADR-051 が旧記述のまま。D-18（8 人日）で改訂する	個別対応
NFR-DR-002	確定	失ってよいデータ量の目標。P-05 で Aurora の自動バックアップ + 任意時点復元に依存する方式に確定。要件表の「Aurora Global DB（〜1 秒）」は旧前提で誤り	要件表を P-05 の記述に差し替える。ADR-051 改訂（D-18）と同時に実施	個別対応
NFR-DR-003	確定	切り替え方式。P-05 / P-15 で手動（大阪は平時に設備を置かず被災時にその都度構築）に確定。他組織エッジの自動切替要求（REQ-DR-01/02）は撤回済み	要件表を手動に更新する。D-18 に含める	個別対応
NFR-SEC-017	確定	管理画面への接続制限。決定 D-U6-11（3 層防御 + 管理用ホスト名の分離）+ 接続 3 系統の分離 + 禁則 K-10（管理 API は内部経路のみ）+ D-U7-14（基盤運用者は踏み台・SSM 経由 + 端末鍵必須）で確定	なし（確定）	個別対応
NFR-COMP-008	方向性確定（条件付き）	データを置く場所。P-15 で東京（常用）+ 大阪（災害時のみ）に凍結。国外には置かない。ただし裏付けとなる hearing A-4（お客様拠点の地理分布）は未回答で、質問状 Q46 で確認中	Q46 の回答を待つ。国外在住の利用者が含まれる場合は保管場所と本人請求対応の再評価が必要	個別対応
NFR-COST-001	検討中	初期構築費。要件表の $30,000 は Cognito と比較していた提案フェーズの値。P-01 で ROSA HCP + RHBK Operator が確定し、Stage A の Terraform 全面書き換え（6〜8 週、ADR-056 採用条件 ③）が加わったため前提が変わっている	E-3（FinOps）または ADR-056 採用条件 ② の 3 年契約見積取得と合わせて再算定する。基本設計 244 人日には含まれない別枠	個別対応
NFR-COST-003	確定	利用者 1 人あたりの費用。Keycloak / ROSA は利用者数に応じた従量課金が無く $0/MAU。費用は固定インフラ費（NFR-COST-002）に集約される	なし（確定）。要件表の Cognito 列は P-01 確定により参考情報へ降格する	個別対応
NFR-COST-003-PLUS	対象外	Cognito の上位プラン追加課金。P-01 で Cognito 不採用が確定しているため対象外	要件表から対象外として降格（削除ではなく凍結）。ADR-016 は履歴として保持	個別対応
NFR-COST-006	確定	基盤ソフトウェアの利用料。ADR-056 で「RHBK の利用権は ROSA に内包され追加サブスクリプション不要」と確定（Red Hat KB 7044244）。要件表の「$5,000〜30,000/年/ノード」は誤り	要件表を「追加費用なし（ROSA 内包）」へ是正する。C-3（ADR 反映残）に含める	個別対応
NFR-COST-008	検討中	3 年総保有コスト（10 万利用者想定）。P-02 で 1,000 万利用者上限に凍結したため想定規模の前提が変わった。要件表の値は提案フェーズの Cognito 比較	P-02 に合わせて想定規模を見直すか、要件自体を NFR-COST-002 へ統合するかを決める。E-3 で扱う	個別対応
NFR-COST-009	検討中	3 年総保有コスト（50 万利用者想定）。NFR-COST-008 と同じ理由で前提が変わった	NFR-COST-008 と同時に処理する	個別対応
NFR-MIG-005	確定	段階的な移行（並行稼働）。決定 D-U10-04 で 4 段階（M0 稼働開始 → M1 試行 → M2 全社 → M3 旧パスワード停止）に正規化済み	なし（確定）。詳細手順は D-16（4 人日）で作成	個別対応
A-2【hearing】	外部待ち	3 年後の想定利用者数。hearing では未回答（⏳）。設計は P-02（1,000 万人上限）で凍結して進行しており、ブロックはしていない。※ID 衝突注意 — 設計タスクの A-2（G-SPI-Compat）とは別物	質問状 Q02 で回収する。回答が上限を超える場合のみ P-02 を再評価	個別対応
A-4【hearing】	外部待ち	お客様拠点の地理分布。hearing では未回答（⏳）。設計は P-15（国内のみ）で凍結。※ID 衝突注意 — 設計タスクの A-4（G-LDAP、2026-07-30 廃止）とは別物	質問状 Q46 で回収する	個別対応
A-7【hearing】	外部待ち	新規のお客様企業を追加する頻度。hearing では未回答（⏳）。NFR-SCL-004（次営業日以内）が暫定値	質問状 Q07 で回収する。頻度が高い場合は DU-U9O-04 の新規接続作業の自動化の優先度を上げる	個別対応
P-01	方向性確定（条件付き）	基盤の構成。Keycloak / ROSA HCP + RHBK Operator（2026-07-23 凍結、ADR-056）。ただし ADR-056 は「Accepted（条件付き）」で、採用条件 4 点（①法令追加要件の整備計画承認 ②3 年契約見積取得 ③Terraform 書き換え工数承認 ④Approved Access 有効化と保守要員のログ閲覧対策の実機確認）が未充足	採用条件 4 点を個別に消化する。特に ④ は G-SRE-LogVis、質問状 Q50 と連動	個別対応
P-02	確定	想定規模。1,000 万利用者を上限として設計（2026-07-23 凍結）	なし（確定）。§NFR-3 のレンジ記述（1 万〜100 万）の改訂が残（C-2）	個別対応
P-03	確定	暗号モジュール認定。不要で確定（C-201、2026-07-30）。2026-08-15 に要件名を FIPS 140-3 へ更新済み（140-2 は 2026-09-21 に認定一覧から移行）	なし（確定）	個別対応
FR-USER-001	方向性確定（条件付き）	利用者の登録・変更・削除。U3 §3.x で「お客様 IdP を持たないテナントは管理画面を正とする方式（mode A）単独」と決定。人事システム連携（mode B）・アプリ発の登録（mode C）・EventBridge 削除経路・非 IdP テナントの 90 日休眠バッチは Phase 1 対象外。実体は idm-api #2（ADR-062 Lambda / ADR-063 ブランド側）	残る判断は B-MIG-12（旧利用者番号を永続保持するか並走期のみか）。決裁 = 設計リード + 移行担当	社内判断
FR-USER-004	検討中	利用者本人による情報編集。どこまでを基盤が標準提供するかが未決（B-402: パスワード再設定 / 情報編集 / 追加本人確認のリセット / ログイン状態の管理）。選択肢 = ①製品標準のアカウント画面をそのまま出す（追加開発ゼロ・見た目は製品既定）②自作の管理画面に取り込む（開発増・見た目統一）③アプリ側で実装（基盤の作業ゼロ・アプリ数に比例して増）。B-SESS-2（本人によるログイン状態の自己解除）とも連動	選択肢 3 案の工数差を出して比較する。決裁 = プロダクトオーナー + UX。②を選ぶ場合 DU-U4 系に工数追加が必要	社内判断
FR-USER-005	確定	利用者の検索・一覧。Admin REST API + idm-api #2 で提供。PoC 実証済み	なし（確定）	社内判断
FR-USER-009	検討中	既存利用者の一括投入。要件表は「Realm Import」を可としているが、禁則 K-1 で realm 全体の取り込み・書き出しを全用途で禁止しており矛盾する（1000 IdP 環境では realm 定義が 30MB 級になり成立しないため）。実際の投入経路は ①SCIM 受信 ②JIT 任せ ③自作の一括投入 API のいずれか	禁則 K-1 との矛盾を解消し、投入経路を 3 案から選ぶ。B-403（既存利用者の投入方式）の回答が入力。決裁 = 設計リード + 移行担当	社内判断
FR-USER-010	確定	管理者によるパスワード強制リセット。Admin API + idm-api #2 で提供。初回パスワードの強制変更（D-U7-17）と、リセット依頼者の本人確認（B-IDM-6、質問状 Q35）が連動	なし（確定）。本人確認手順はお客様回答を待って運用手順書へ反映	社内判断
FR-USER-012	検討中	利用者作成時の招待メール。メール送信基盤そのものが未設計（D-6 = SES 設計 3 人日、DU-U6-12 = 6 人日）。送信元ドメインの認証設定・サンドボックス解除・Realm 単位の設定管理が未決。加えて本基盤は「業務用メールを持たない利用者」を正式な前提としており、招待メールが届かない層への代替手順が要る	D-6 / DU-U6-12 を実施する。メール非保有者向けの代替（管理者による直接配布）を U4 に起票。決裁 = 設計リード	社内判断
FR-ADMIN-002	方向性確定（条件付き）	お客様企業の追加・削除。追加は Organizations 単位で新規接続 6 ステップ（DU-U9O-04）。削除（サービス離脱）は段階的削除（30/90 日猶予 + エクスポート + 物理削除完了証明書）の方針があるが、B-TENANT-EXIT-1 が未回答	B-TENANT-EXIT-1 の回答を待つ。決裁 = 事業側（契約条件）+ 設計リード	社内判断
FR-ADMIN-003	方向性確定（条件付き）	お客様 IdP の追加・変更・削除。DU-U9O-04 のパイプラインで自動化、目標は次営業日以内。ただし外部通信の許可申請が他組織依存（G-EGRESS）で、初期一括 + 追加は都度依頼（当日／翌日対応）の合意方向	G-EGRESS を要求仕様書（B-1）で正式合意する。決裁 = 他組織（外部）	社内判断
FR-ADMIN-004	検討中	アプリ登録の管理。設定はコードで管理（禁則 K-5）で確定だが、アプリ台帳（App Registry）と権限台帳のスキーマ統合が未決（U10-OP-3/4、D-9 に 5 点まとめて計上）	D-9（5 人日）を実施する。決裁 = 設計リード（U10 × U9 合同）	社内判断
FR-ADMIN-005	方向性確定（条件付き）	権限の定義管理。ADR-038（3 層スコープ）+ 認可 C ハイブリッド（2026-06-25 確定）+ ADR-067（判断記録と定期棚卸し）で方式は決定済み。残るのは権限台帳のスキーマ（D-9）と棚卸しの頻度・実施主体（B-IGA-REC-1 未回答）	D-9 と B-IGA-REC-1 を処理する。決裁 = 設計リード + 運用リード	社内判断
FR-INT-006	方向性確定（条件付き）	管理用の API。idm-api として ADR-062（実行形態 = Lambda）+ ADR-063（ブランド側 #2 が主役）で方式確定。API 仕様の詳細化は詳細設計（00a §5）扱いで基本設計の対象外	内部経路とサービス間の認可（D-5、3 人日）を先に確定する。決裁 = 設計リード	社内判断
NFR-SCL-007	検討中	データベースの拡張性。C-1（U6 サイジング是正、4 人日）が未消化。少数大型 Pod へ寄せる設計判断と、接続数の予算規約（D-U6-08）の追加が残る。2026-07-30 の 50:50 比率を入力に再計算が必要	C-1 を実施する。A-1（規模実測）の結果が入れば確度が上がるが、A-1 は後追い検証に格下げ済みのため仮定値で先に確定してよい。決裁 = 設計リード	社内判断
NFR-COMP-011	確定	暗号鍵の定期交換。決定 D-U7-03 で署名鍵は 90 日ごと交換・30 日並走と確定しており、要件表の「年 1 回以上」より厳しい。KMS の鍵は自動交換	要件表の値を D-U7-03 に合わせて是正する（年 1 回 → 90 日）。C-3 に含める	社内判断
NFR-COST-002	検討中	月額の固定インフラ費。要件表の約 $987 は ECS + ADR-012 前提の旧値。ADR-056 の試算は ROSA HCP 単体で約 $590/月（3 年前払い、Aurora 込み）だが、P-17 で 2 クラスタ構成に凍結したため増分が約 +$500/月。大阪はコールド DR 化で常時費用ゼロ	P-17（2 クラスタ）+ P-05（コールド DR）+ 50:50 比率を反映して再算定する。E-3（FinOps、4 人日）で扱う。決裁 = 設計リード + 事業側	社内判断
NFR-COST-004	検討中	災害対策の追加月額。要件表の $890 は大阪ウォーム待機前提の旧値。P-05 転換で平時の大阪費用はゼロになり、代わりにバックアップ保管費（クロスリージョンコピー + 変更不能スナップショット）が発生する	P-05 に合わせて再算定する。E-3 に含める。決裁 = 設計リード	社内判断
NFR-COST-005	検討中	運用の人件費。ADR-040 §G〜§I で運用者 10 名体制（Phase 1 α = 平日日中 / Phase 1 β = 24 時間 365 日）が決定済みだが、要件表の約 $840/月 はこれを反映していない	ADR-040 の 10 名体制を金額換算して要件表を更新する。質問状 Q48 の回答（α/β のどちらで開始するか）が確定値の前提。決裁 = 事業側 + 運用リード	社内判断
NFR-MIG-002	方向性確定（条件付き）	旧システムのパスワードの引き継ぎ。U10 §10.4.2 で「独自のパスワード変換処理を作るのは bcrypt 形式からの移行時のみ」と条件付き。DU-U10-11（8 人日、🟡条件付）として登録済み	移行元のパスワード保存形式を調査し、bcrypt か否かで DU-U10-11 の要否を確定する。決裁 = 移行担当	社内判断
NFR-MIG-004	検討中	データの書き出し。要件表は「Realm Export」を可としているが禁則 K-1 で全用途禁止のため矛盾する。実際の書き出し経路は Admin API の単位取得（IdP / Organization / Client 単位）に限られる	禁則 K-1 と整合する書き出し方式を定義する（サービス離脱時のエクスポート要件 B-TENANT-EXIT-1 と連動）。決裁 = 設計リード	社内判断
G-SCIM	検討中	利用者情報の受信機能（自作 SCIM Facade）の規格適合と規模の実測ゲート。A-3（20 人日）が未実施。権限確認の応答目標（/api/me/context p99 < 300ms）の確定値もこのゲート待ちで暫定のまま	A-3 を実施する。W1 の技術ゲート群に含まれ、他ゲートと並走可。決裁 = 設計リード（実施判断は済み）	社内判断
G-UProfile-Email	検討中	メールアドレスを持たない利用者が 3 つの登録経路すべてを完走できるかの確認ゲート（既知の製品不具合 #21265 / #33497 の回避可否）。DU-U2-06 に紐づくが未実施	A クラスタの実機バンドルに載せて実施する。メール非保有が本基盤の正式前提のため、失敗時の設計影響が大きい。決裁 = 設計リード	社内判断
G-IdP-Scale	方向性確定（条件付き）	1000 社超の接続規模の実測ゲート。2026-07-30 に「実測困難」として仮定値（1000/2000 IdP、フェデ:IdP-KC = 50:50）で設計継続と決定し、A-1（25 人日）は後追い検証へ格下げ・非ブロッカー化	A-1 は W1 以降で実施。仮定値のまま詳細設計へ進んでよい。決裁 = 済（2026-07-30）	社内判断
P-05	確定	災害対策の方針。手動復旧・約 14 日・大阪はその都度構築に転換（2026-07-30）。2 つの障害シナリオ（①地域災害 = 大阪で作り直し ②論理破壊 = 任意時点復元と変更不能スナップショットからその場復元）を区別	ADR-051 が旧記述（ピロットライト・RTO 1 時間）のまま。D-18（8 人日）で改訂する。※本項は文書反映が残っているだけで方針自体は確定	社内判断
P-16	方向性確定（条件付き）	接続 IdP 数。1000 超を条件付き成立とし、必須対策 7 点を U2 の設計制約とする。実測は G-IdP-Scale で後追い	必須対策 7 点が設計に落ちているかを U2 で自己点検する。決裁 = 済（仮定値で継続）	社内判断
P-17	方向性確定（条件付き）	アカウントとクラスタ構成。IdP-KC は Broker と別 AWS アカウント・ROSA HCP 2 クラスタで凍結（2026-07-23）。ただし 2026-08-06 の E 判断でパスワード保存の影響範囲を隔離するため「同一アカウントに業務アプリを同居させない（App Acct 推奨）」へ緩和しており、P-17 本文の『同 Acct アプリからのユーザ CRUD 想定』と食い違う	P-17 本文を E 判断（ADR-063）に合わせて更新する。C-2（Baseline 整合）に追加。決裁 = 設計リード	社内判断
B-FAPI-1	検討中	【改善前】FAPI 2.0 姿勢（PAR/JAR/sender-constrained）。【改善後の記述案】金融機関のように特に厳しい安全基準を求めるお客様が来た場合に、ログイン要求の受け渡し方をより厳格な方式へ切り替える必要があるか。具体的には ①ログイン要求を URL に載せず事前にサーバー間で預ける ②ログイン要求に電子署名を付ける ③通行証を特定の端末に結びつけ盗まれても使えなくする の 3 つ。【Phase 1 の扱い】実装なし・姿勢のみ。現行は PKCE + 発行元検証 + 使い捨て値必須で成立（U5 §5.6）。③の証明書方式は Phase 3 条件付き（D-U7-10b）	記述を上記に差し替える。回答は質問状ではなく営業・調達情報からの見込み判断でよい	記述改善
B-IPSIE-1	検討中	【改善前】IPSIE 準拠姿勢（OpenID enterprise interop、新興 2024）。【改善後の記述案】企業向け ID 連携の新しい業界標準（OpenID IPSIE）に沿っていることを、お客様の調達条件として求められる見込みがあるか。この標準は ①1 回のログインで複数サービス ②利用者の登録・削除 ③権限 ④不審な兆候の通知 ⑤ログアウト の 5 分野について『安全な既定値』をまとめたもの。【Phase 1 の扱い】実装なし・姿勢のみ。④は ADR-065 で別途対応方針あり	記述を上記に差し替える。調達要件になる見込みが立った時点で ADR-065 と合わせて再評価	記述改善
B-AUTHZLOG-1	方向性確定（条件付き）	【改善前】認可判定ログ（説明可能性）の要否・粒度。【改善後の記述案】誰がどの操作を許可または拒否されたかの判断記録を、どこまで細かく残すか。【どこに記録する何なのか】ブランド管理 API（idm-api、Lambda）が出力し、U9 §9.3.3 のログ 3 層（すぐ検索できる 90 日 → 1 年 → 書き換え不能な 7 年）に個人情報のマスキングを通した後で保存する。記録内容は 対象利用者の内部番号（氏名等は載せない）/ 操作した人 / 対象と操作 / 許可か拒否か / 理由 / 使ったルールの版。【決定済みの粒度】拒否は全件、高権限操作の許可は全件、一般の閲覧は集約（決定 D-U9-20 / ADR-067）	記述を上記に差し替える。方式は D-U9-20 で決定済みのため、残るのは顧客への提供頻度の確認のみ	記述改善
FR-FED-008	確定	【改善前】JIT プロビジョニング / First Login Flow。【改善後の記述案】お客様のログイン基盤から初めてログインしてきた人を、その場で自動的に利用者として登録する。【どこに記録する何なのか】Broker KC の Aurora に利用者レコードを作る。実行するのは自作の登録制御部品（Custom Authenticator SPI 案 B）で、3 系統のログイン処理（通常ログイン / 初回連携 / 連携後）すべてに配置する（PoC V1〜V3'' で検証済み）。【残論点】新規作成時の初期権限が未決（B-401-2。業界推奨は最小権限 = 明示的に付与されるまでアクセス不可）	記述を上記に差し替える。B-401-2 の回答を待って初期権限を確定する	記述改善
FR-AUTHZ-008	方向性確定（条件付き）	【改善前】マルチイシュア対応（複数 User Pool / Realm）。【改善後の記述案】通行証の発行元が複数あっても、アプリ側が正しく見分けて受け入れられること。【Phase 1 の実際】発行元は 1 つだけ（Broker KC の broker Realm、https://auth.<domain>/realms/broker）。IdP-KC は Broker から見ると『お客様 IdP の一つ』の扱いで、アプリが受け取る通行証は必ず Broker が発行し直したもの。要件表の『4 イシュア』は PoC 環境の話で Phase 1 設計とは別。【重大な残論点】将来ブランドごとに発行元を分ける案（DU-U2-09）は現行の単一発行元前提と正面衝突し、U2/U6 着手前の方式確定が必要（gap-audit §4）	記述を上記に差し替える。あわせて DU-U2-09（ブランド=Realm、18 人日）の先行判断を U2/U6 着手前に行う	記述改善
A-1	検討中	1000/2000 社規模の実測 PoC（G-IdP-Scale、25 人日）。2026-07-30 に仮定値で設計継続と決定し後追い検証へ格下げ・非ブロッカー化。公式実測が存在せず本 PoC が一次検証となる	E-2（負荷試験計画）を先に作ってから着手する。着手可（環境費のみ）	設計タスク
A-2【00a タスク】	検討中	RHBK 26.4 と自作部品 4 機能の互換確認（G-SPI-Compat、10 人日）。実質残ブロッカーの 1 つ。※ID 衝突注意 — hearing の A-2（3 年後 MAU）とは別物	RHBK 環境を用意して着手する。ブロッカーのため W1 冒頭で先行	設計タスク
A-3	検討中	自作 SCIM Facade の規格適合と規模実測（G-SCIM、20 人日）。権限確認の応答目標の確定値もこれ待ち	着手可（依存なし）。W1 で並走	設計タスク
A-4【00a タスク】	対象外	LDAP 経路の検証（G-LDAP）。2026-07-30 に B-LDAP-1 = LDAP 顧客なしで廃止。工数 0。※ID 衝突注意 — hearing の A-4（地理分布）とは別物	なし（廃止済み）。Excel 上も対象外として凍結表示にする	設計タスク
A-5	検討中	SAML 経由の自動登録の検証（B-SCIM-12、4 人日）。名前識別子の扱いの差を確認する	着手可（依存なし）。D-11 の入力になる	設計タスク
A-6	検討中	商用 IdP 実機との統合検証（B-SCIM-14、8 人日）。Entra ID / Okta の試用環境で属性・発行元・登録部品の発火・ログインヒント・認証手段表示の差を確認。Phase 1 β 前必須	A-5 の後に着手推奨。商用 IdP の試用環境確保が前提（外部リードタイムあり）	設計タスク
A-7【00a タスク】	検討中	大阪リージョンの在庫・上限確認（G-OSAKA、3 人日）。機種在庫・vCPU 上限・arm64 対応。※ID 衝突注意 — hearing の A-7（新規顧客追加頻度）とは別物	着手可（依存なし）。P-05 コールド DR 転換により緊急度は下がったが、被災時に確保できるかは要確認	設計タスク
A-8	検討中	パスワード変換処理の性能実測（2 人日）。製品既定パラメータでの処理能力を測りサイジングを補正する	A-1 の環境に相乗りして実施する	設計タスク
A-9	検討中	SAML 接続情報の自動更新機能の実機確認（2 人日）。文書と実装の乖離疑い（Discussion #27828 未解決）。1000 社超の証明書更新運用の前提	着手可（依存なし）。機能が無ければ D-12 で運用代替を設計する	設計タスク
A-10	検討中	自作部品の負荷試験（6 人日）。①登録制御の抑制処理が DB 書込・キャッシュ無効化・Pod 資源に与える影響 ②イベント送出の流量が通行証発行の応答時間に与える遅延	A-1 の環境に相乗りして実施する。D-U7-04a の妥当性検証を兼ねる	設計タスク
A-11	検討中	小粒の実機確認 4 点セット（2 人日）。複数クラスタ版数 / ROSA の署名情報 / Red Hat 文書の本文確認 / 別形式の接続情報配布の提供有無	着手可（依存なし）。結果は D-U5-15 ほかへ反映	設計タスク
A-12	検討中	ServiceNow 連携の実機検証（6 人日）。SAML 設定・パターン ② 統合フロー・突合キー・Webhook 配信	着手可（パターン選択 B-SN-3 は暫定 ② でよい）	設計タスク
B-1	外部待ち	要求仕様書 v1 の発行と回答反映（12 人日）。REQ-IN-01〜13 / REQ-OUT-01〜06 / REQ-DR-01〜05 が全件未回答。他組織が管理するインターネット境界の設定要求	即発行可。壁時計の律速は先方回答であり、W0 で最優先に投げる	設計タスク
B-2	検討中	配信網からエッジ負荷分散への到達方式と通信制御ルートの技術詰め（5 人日）	B-1 と同時に発行する	設計タスク
B-3	外部待ち	IP アドレス帯の台帳凍結（2 人日）。構築後に変更できないため構築前必須	社内ネットワークチームに一覧を依頼する。W0 で着手	設計タスク
B-4	検討中	3 ゲート合意の交渉サポート資料（4 人日）。ただし G-PCI-WAF は 2026-07-30 に廃止済みのため実質 2 ゲート（G-EGRESS / G-EDGE-DR）。G-EDGE-DR も転換済みで合意不要になった可能性がある	B-1 の後。※廃止・転換済みゲートを含んでいるためタスク内容の見直しが必要	設計タスク
B-5	検討中	外形監視の送信元を防御装置の誤検知対象から除外する合意（1 人日）	B-1 の追補として発行する	設計タスク
C-1	検討中	サイジング是正（4 人日）。Pod 数の不整合是正・少数大型 Pod への設計判断・接続数の予算規約追加。50:50 比率を入力に再計算	即着手可。NFR-SCL-007 / NFR-COST-002 の前提になるため優先度高	設計タスク
C-2	検討中	前提の整合 3 点（2 人日）。§NFR-3 のレンジ記述を 1,000 万に改訂 / §C-7 改訂ステータスの矛盾突合 / P-09 の精密化。※本調査で P-17 と 2026-08-06 E 判断の食い違いも判明したため 4 点目として追加を推奨	即着手可	設計タスク
C-3	検討中	ADR 反映残の一括処理（4 人日）。ADR-051 / 053 / 059 / 019 / 048 / 038 / 023 §L.8 ほか。※本調査で NFR-COST-006（RHBK 内包）と NFR-COMP-011（鍵交換 90 日）の要件表誤りも判明したため対象に追加を推奨	即着手可。ADR-051 は D-18 と一体で実施すること	設計タスク
C-4	検討中	小粒登録 4 点（1 人日）	即着手可	設計タスク
C-5	検討中	宙に浮いた参照 8 件の解消（2 人日）	即着手可	設計タスク
C-6	検討中	research 波及文書の修正（1 人日）	即着手可	設計タスク
C-7	検討中	カード決済規格スコープの Phase 1 除外化（2 人日）。削除ではなく無効化注記で降格	即着手可。※注記『pci-dss-* / hearing-checklist は別スレッド編集中のため触らない』は 2026-07-30 時点の制約。現在も有効か確認してから着手すること	設計タスク
C-8	検討中	LDAP 経路の対象外化（1 人日）。削除ではなく降格、provisioned_by=ldap は将来用に予約	即着手可	設計タスク
D-1	検討中	IdP 表示順の属性とセレクター表示順（2 人日、U2×U4 合同）	即着手可	設計タスク
D-2	検討中	追加本人確認を要求する操作の一覧（3 人日）。アプリとの契約の前倒し確定	即着手可（B-APP-STEPUP-1 は暫定でよい）	設計タスク
D-3	検討中	ID 対応表の補助データベースの物理配置（2 人日）	即着手可	設計タスク
D-4	検討中	SCIM Facade の実行形態（3 人日、U3×U6×U9 三者）	A-3 の実測が入力。※ADR-062 で idm-api は Lambda と確定済みのため、Facade も同じ判断枠に載るか要確認	設計タスク
D-5	検討中	管理 API の内部ルートとサービス間の認可（3 人日）	即着手可。FR-INT-006 の前提	設計タスク
D-6	検討中	メール送信基盤の設計（3 人日）。送信上限解除・送信元ドメイン認証・Realm 単位の設定管理	即着手可。FR-USER-012 の前提。※DU-U6-12（6 人日）は同じ題材だが工程が違う（D-6 = 基本設計 244 枠 / DU-U6-12 = 詳細設計+構築 1,044 枠）ため二重計上ではない	設計タスク
