RH番号	単元	優先度	質問（先方提示用）	補足（先方提示用）	設計ID	なぜ聞くか	回答が無いとどうなるか	出典
RH-B-04	B RHBK本体・SPI	通常	長期サポート（EUS）のチャネルはありますか。ある場合、提供期間と対象バージョンを教えてください。	公開文書が参照できず（アクセス制限）、社内で判断できていません。	00a A-11 / E-5	アップグレード頻度が決まらない	年間の更新計画が立たない	00a A-11
RH-B-05	B RHBK本体・SPI	通常	アップグレード前に互換性を機械判定する仕組み（update-compatibility check）は貴社ビルドでも使えますか。	無停止更新が可能かを事前に判定し、CI に組み込みたいと考えています。**データベースやキャッシュに変更が入る場合は全停止**になると理解しており、その判別を自動化したいです。	00a E-5 / D-U8-04	無停止更新の可否判定を自動化できるか	メンテナンス窓の設計が経験則頼みになる	00a E-5
RH-B-06	B RHBK本体・SPI	通常	外部の認証基盤（SAML）の接続情報を自動で取り込み直す機能は、実際に動きますか。	公式文書には「メタデータの URL と更新間隔を指定できる」とありますが、**コミュニティの議論（Discussion #27828）では動作しないという指摘があり未解決**です。**1,000 社超の証明書更新運用の前提**になるため、実機での動作可否を確認したいです。	00a A-9 / D-12	動かなければ 1000 社分の証明書更新を手作業で回すことになる	**運用が破綻する**か、代替手段の設計が必要	00a A-9
RH-B-07	B RHBK本体・SPI	後回し可	接続情報の配布に、RFC 8414 形式のパスは提供されますか。	一部の連携先ライブラリが RFC 8414 形式のパスを前提にしており、提供の有無で案内文が変わります（kc#45271）。	00a A-11 / D-U5-15	アプリ向けの案内規約が確定しない	一部ライブラリで疎通不良が起きうる	U5 §5.6.3b
RH-B-08	B RHBK本体・SPI	後回し可	コミュニティ提供の拡張（リスクベース認証など）を使った場合、サポートはどうなりますか。	将来的に不審なログインの検知を強化したいと考えていますが、**サポート対象から外れるなら Phase 1 では採用しません**。境界を知りたいです。	U2 §2.5 / ADR-034	将来機能の採用判断	段階的な機能追加の計画が立たない	U2 §2.5
RH-C-01	C インフラ	最優先	大阪リージョンで、Graviton 系（c7g）のインスタンスは十分に確保できますか。上限の引き上げは可能ですか。	**災害時に大阪でクラスタを一から構築する方式**を採っており、**そのとき在庫が無いと復旧できません**。平常時は使わないため事前確保もしていません。在庫の見通しと、上限引き上げの申請方法・所要日数を知りたいです。	ADR-056 残TBD① / G-OSAKA / 00a A-7（G-OSAKA）	災害復旧の成立条件そのもの	**災害時に復旧できない可能性**が残る	ADR-056 §残TBD
RH-C-02	C インフラ	最優先	Graviton（arm64）のノードは、Keycloak 製品と Operator の両方で正式にサポートされますか。	2026-07 時点の調査では対応済みと理解していますが、**貴社ビルドの Keycloak が arm64 で正式サポートされるか**を確認したいです。対応しない場合は Intel 系（c7i）へ変更します。	D-U6-04 / ADR-056	インスタンス種別が変わると単価もサイジングも変わる	コスト見積りとサイジングをやり直すことになる	U6 §6.2.2
RH-C-03	C インフラ	通常	インターネットへの出口を持たない構成（egress zero）を採る場合、必要なミラー設定と制約を教えてください。	`zero_egress:true` の指定で構築できると理解しています。**イメージやカタログをどこにミラーする必要があるか**、運用上の制約（更新時の手順など）を知りたいです。	O-10 / D-U7-16 / U6 §6.7.3	ゼロ egress はセキュリティ設計の前提	出口制御の方式が確定しない	U6 §6.7.3
RH-C-04	C インフラ	通常	ログ収集の仕組みを自前で入れる場合、必要な権限（SCC）の付与は許容されますか。	個人情報のマスキングを**ログの出力元で行う**必要があり、標準の仕組みでは足りない可能性があります。自前のログ収集を動かすための権限付与が、サポート上問題ないかを確認したいです。	U7 §7.3.1 / K-13 / DU-U7-16	マスキングの実装方式が決まらない	**個人情報がマスク前で保存される**リスクが残る	U7 §7.3.1
RH-C-05	C インフラ	通常	ノードのディスク（種別・容量）は指定できますか。構築後に変更できますか。	gp3 の 120GB を想定しています。**コンテナログの滞留とイメージ蓄積で枯渇する**ことを懸念しており、後から拡張できるかを知りたいです。	D-U6-16 / D-U9-21	ディスク枯渇は典型的な障害原因	容量設計が確定しない	U6 §6.2.2a
RH-C-06	C インフラ	通常	構築時に指定する IP アドレス帯は、後から変更できませんか。変更が必要になった場合の手順はありますか。	**構築後は変更不可**と理解しており、社内・他組織・顧客の IP 帯との衝突を事前に洗い出しています。もし変更手段があるなら知りたいです。	A6a-5 / 00a B-3	IP 帯の凍結は構築前の必須作業	衝突が判明した場合に作り直しになる	06a §A.5
RH-D-01	D セキュリティ	最優先	貴社の保守要員が、稼働中のシステムのログを直接参照できる経路について教えてください。Approved Access を有効にすると、どこまでが承認制になりますか。	`oc logs` や `oc debug node` は、**ワーカーノード上の生のログを読む経路**と理解しています。承認制の仕組み（Approved Access）は既定で無効で、有効化には申請が必要とも聞いています。**緊急時のみが対象か、通常の保守作業も含むのか**を明確にしたいです。	B-SRE-LOG-1 / G-SRE-LogVis / ADR-056 L7	**残ブロッカー G-DPA の技術的裏付け**。APPI 28 条の判断根拠	**基盤構成そのものを再検討**することになりうる	ADR-056 §L7
RH-D-02	D セキュリティ	最優先	保守要員がログを参照した記録は、弊社が取得できる監査ログに残りますか。	顧客監査で「誰がいつデータを見たか」を示す必要があります。**弊社側で取得・保全できる形**で残るか、残る場合はどの仕組み（Cluster Logging 等）で取得できるかを知りたいです。	B-SRE-LOG-2 / G-SRE-LogVis	顧客への説明責任が果たせるかが決まる	**顧客監査に応えられない**	hearing B-SRE-LOG-2
RH-D-03	D セキュリティ	最優先	ワーカーノード（EC2）の脆弱性対応は、どこまでが貴社の責任範囲ですか。弊社が検査ツールを入れることは可能ですか。	ノードの OS 更新は貴社の管理領域と理解していますが、**顧客監査では「脆弱性をどう管理しているか」を必ず問われます**。Amazon Inspector 等を入れられるか、入れるべきか、検出された場合に誰が是正するかを整理したいです。	ADR-056 残TBD⓪ / NFR-SEC-014	顧客監査で必ず問われる論点	**責任分担表に穴が残る**	ADR-056 §残TBD
RH-D-04	D セキュリティ	通常	クラスタの監査ログの詳細度を既定のまま（メタデータのみ）に固定したいのですが、貴社の運用に支障はありますか。	詳細度を上げると**リクエストの中身（シークレット等）が貴社の管理領域に流れる**ため、既定のまま固定する方針です（弊社の禁則 K-12）。障害調査で詳細度を上げる必要が生じた場合の手順も知りたいです。	K-12 / ADR-056 L6	個人情報の越境を構造的に防ぐ設計の前提	障害調査時の手順が決まらない	U9 §9.5
RH-D-05	D セキュリティ	通常	クラスタが発行する署名情報（SA issuer の JWKS）は、どの経路で参照できますか。	弊社の Keycloak から参照する必要があり、**VPC 内から到達できるのか、インターネット上の URL になるのか**で経路設計が変わります。	O-U7-8 / D-U7-09 / ADR-041	ワークロード認証の経路設計	ゼロ egress 構成と両立するか判断できない	U7 §7.5
RH-D-06	D セキュリティ	通常	Kubernetes のシークレットは、貴社側でどう暗号化されていますか。弊社の鍵（BYOK）を使えますか。	**署名鍵などがシークレットに載る**ため、暗号化の方式と鍵の所有者を確認したいです。弊社管理の鍵を使えるかも知りたいです。	ADR-056 §採用時のコンプラ追加要件/3.7 / D-U7-01	個人情報・鍵の保護水準の証明	**顧客への説明材料が不足**する	ADR-056 §170
RH-D-07	D セキュリティ	後回し可	緊急対応（break-glass）で保守要員が権限昇格する際の手続きを教えてください。	昇格が起きたことを**弊社が把握できるか**、事後に記録が残るかを確認したいです。	ADR-056 L7 / U6 §6.6.1	緊急時の可視性	インシデント対応の手順が完成しない	U6 §6.6.1
RH-E-01	E 可用性・DR	最優先	複数拠点構成（multi-cluster v2）は、貴社ビルドのどのバージョンからサポートされますか。	外部キャッシュ（Infinispan）を別途立てずに済む構成と理解しています。**サポート対象外の場合、コミュニティ手順を使うとサポートがどう切り分けられるか**も知りたいです。	O-U8-6 / ADR-051	DR 構成の実装方式が決まらない	**災害復旧の設計が確定しない**	U8 §8.9
RH-E-02	E 可用性・DR	通常	データベースは Aurora PostgreSQL の何バージョンまで対応しますか。17.x の正式対応時期を教えてください。	現在 15〜17 が複数拠点構成の対応データベースと理解しています。	旧Q3 / D-U6-07	データベースのバージョン選定	構築時のバージョンが確定しない	ADR-056 §Decision
RH-E-03	E 可用性・DR	通常	複数拠点構成で Aurora が必須とされる根拠を教えてください。通常の RDS では代替できませんか。	コスト面で RDS も検討したいのですが、**必須である技術的理由**を知ったうえで判断したいです。	旧Q4 / D-U6-07	データベース選定とコスト	代替案の検討ができない	ADR-056
RH-E-04	E 可用性・DR	通常	災害時に別リージョンでクラスタを一から構築する場合、実績としてどれくらいの時間がかかりますか。	弊社は**約 14 日**と見積もっていますが、根拠が積み上げのみです。**実績値**をご存じであれば教えてください。	D-U8-14 / NFR-DR-001	復旧目標の妥当性検証	顧客への復旧時間の説明が推定のままになる	U8 §8.4.3
RH-E-05	E 可用性・DR	後回し可	貴社が定義する Hot DR / Warm DR の境界（切替時間・自動化の有無）を教えてください。	弊社の 3 案（何も置かない / データ複製のみ / 設備も常時稼働）を、貴社の用語に対応づけたいです。	旧Q6 / U8 §8.2.1	用語のすり合わせ	サポート範囲の認識齟齬が起きうる	U8 §8.2.1
RH-F-01	F 運用・監視	最優先	クラスタのログを、別の AWS アカウントの CloudWatch へ直接転送できますか。	監査ログを**別アカウントに集約**する設計です。直接転送が非対応の場合、推奨される中継方法を教えてください。	00a E-7 / D-U9-01/05	監査ログの集約方式が決まらない	**ログ集約の設計が確定しない**	00a E-7
RH-F-02	F 運用・監視	通常	4.17.2 以降で認証関連のログが増える事象があると聞いています。回避策や設定はありますか。	ログ量がコストと保管設計に直結するため、**想定量**を知りたいです。	00a E-7	ログ保管コストの見積り	ログ量が読めずコストがぶれる	00a E-7
RH-F-03	F 運用・監視	通常	ROSA 固有の上限値（クラスタあたりのノード数・Machine Pool 数など）と、引き上げの可否を教えてください。	**1,000 社超・最大 1,000 万利用者**を想定しており、上限に当たる可能性があります。引き上げの申請方法と所要日数も知りたいです。	D-U9-23 / P-16 / P-02	規模の上限が設計の成立条件	**スケールの上限が読めない**	U9 §9.1.2c
RH-F-04	F 運用・監視	通常	アップグレード作業の所要時間と、その間のサービス影響を教えてください。	**月 1 回・深夜 2〜4 時**のメンテナンス枠を顧客に提示する予定です。この枠に収まるかを確認したいです。	D-U8-04 / NFR-AVL-002	顧客に提示するメンテナンス枠の妥当性	**顧客との約束が守れない**可能性	U8 §8.1.4
RH-G-01	G 事例・構成レビュー	最優先	私たちの構成をご覧いただき、無理がある点や、よくある失敗があれば指摘していただけますか。	概要: **認証を 2 段構え**にしています。①**仲介役の Keycloak**（全社共通・1 つ）が、お客様企業のログイン基盤とつなぎ、利用者番号の発番とログイン画面を担当。②**自社ログイン基盤の Keycloak**（別クラスタ・別 AWS アカウント）が、自前のログイン基盤を持たないお客様の利用者とパスワードを預かる。②を①から見ると「お客様のログイン基盤の 1 つ」に見えます。**拡張部品（SPI）は 3 つの JAR・4 機能**で、①の通常ログイン・初回連携・連携後の 3 か所に配置します。**管理用 API と非同期処理は Lambda**（クラスタ外）に置き、Keycloak の管理 API へは**内部の負荷分散装置経由**で入ります。**退職者の遮断バッチだけはクラスタ内の CronJob** です。**この構成で無理がある点、他社でよくある失敗があれば教えてください。**	ADR-033 / ADR-062 / ADR-063 / D-U9-17 / U2 §2.4.1	**構成の妥当性を第三者に見てもらう唯一の機会**。設計は社内レビューしか通っていない	**構造的な問題に気づかないまま構築に入る**	U2 §2.4.1 / ADR-063
RH-G-02	G 事例・構成レビュー	最優先	定期実行の処理は、クラスタ内のジョブと、クラスタ外から呼び出す方式のどちらが推奨されますか。	現在は**退職者の遮断バッチだけをクラスタ内のジョブ**として動かし、**他の非同期処理は Lambda**（クラスタ外）に寄せています。**この使い分けが妥当か**、あるいは**すべてクラスタ外に寄せるべきか**をご意見いただきたいです。気にしているのは、①クラスタのアップグレード中にジョブが動いてしまう ②ジョブの失敗に気づきにくい ③クラスタ内だと Keycloak と同じ障害に巻き込まれる、の 3 点です。	D-U9-17 / DU-U9I-03 / ADR-062	**設計内で判断が割れている**（バッチは Cron、他は Lambda）。統一すべきか確認したい	アップグレード窓との競合を運用手順で回避し続けることになる	U9 §9.5.4
RH-G-03	G 事例・構成レビュー	最優先	日本の個人情報保護法との関係で、海外から保守が入ることをどう整理されているお客様が多いですか。事例を教えてください。	日本の法律では、外国にある事業者が個人データを取り扱う場合、**事前の本人同意**か**相当措置の継続的な確保**が必要です。**私たちが特に知りたいのは、他社が「同意を取る」「契約で措置を担保する」のどちらを選んでいるか**、そして**公表文書に国名をどう書いているか**です。保守が地球を回るシフト制で国を特定できない場合の書き方に悩んでいます。**差し支えない範囲で構いません。**	G-DPA / B-DPA-2 / D-U7-24	**残ブロッカーの解き方の相場観**が無い。自社だけで解釈すると過剰にも過少にもなる	法務判断が長引き、公表文書が書けない	U7 §7.7.9
RH-G-04	G 事例・構成レビュー	通常	金融機関のお客様では、上記の法律解釈をどう整理されている例が多いですか。	私たちのお客様には**金融・医療などの規制業種**が含まれる見込みです。一般企業より厳しい解釈を求められると想定しており、**規制業種のお客様が実際にどこまで求めているか**を知りたいです。**専用環境への分離を求められるのか、契約と記録で足りているのか**という観点でお願いします。差し支えない範囲で構いません。	B-KMS-3 / B-TENANT-ISO-1 / Q85	**規制業種を受け入れられるかの判断材料**。分離要求の相場観が無い	規制業種の顧客獲得時に想定外の要求が出る	U6 §6.6.3
RH-G-05	G 事例・構成レビュー	通常	災害対策の構成例を教えてください。実際にどれくらいの規模のお客様が、どの方式を採っていますか。	私たちは 3 案（**平常時は何も置かない / データ複製のみ / 設備も常時稼働**）で検討中です。**他社がどれを選ぶことが多いか**、また**別リージョンでクラスタを一から構築した実績時間**をご存じであれば教えてください。私たちの見積りは約 14 日ですが、積み上げのみで実績値がありません。	P-05 / D-U8-14 / NFR-DR-001 / Q04	**復旧時間の妥当性を検証する外部データが無い**	顧客への復旧時間の説明が推定のままになる	U8 §8.4.3
RH-G-06	G 事例・構成レビュー	通常	HCP 方式を実際に運用されているお客様は、日々どのような作業が発生していますか。	制御部分を貴社に運用いただく方式のため、**私たちの側に残る日常運用**を具体的に把握したいです。特に、①**アップグレードの通知から適用までの流れ**（こちらが承認するのか、勝手に進むのか）②**貴社側のメンテナンスで影響が出る頻度**③**問い合わせが必要になる場面**（自分たちでは解決できない典型例）を知りたいです。**運用者 10 名体制で足りるか**の判断材料にします。	NFR-OPS-009 / ADR-040 §I / D-U8-04	**運用体制の人数見積りの根拠が社内推定のみ**	運用者の必要人数が読めず、24 時間対応の可否も判断できない	ADR-040 §I
RH-C-07	C インフラ	通常	ワーカーノードの時刻同期はどのように行われていますか。ずれが生じた場合、是正は貴社と弊社のどちらの作業になりますか。	ノード OS は貴社の管理領域と理解しており、弊社から chrony の設定を変更できない可能性があると考えています。**Amazon Time Sync Service に同期される既定であること**の確認と、**時刻ずれが疑われる場合の調査・是正の責任範囲**を知りたいです。認証基盤では時刻ずれが **ワンタイムパスワードの検証・トークンの有効期限判定・監査ログの時系列突合**を同時に壊すため、影響が大きい項目です。	D-U6-17 / O-12	時刻同期の責任分界が設計に無い（本項目で新設）。ノード OS が Red Hat 管理領域のため弊社では確認・是正できない可能性がある	時刻ずれ発生時に誰が対応するか決まらず、**症状が「原因不明のトークン検証エラー」としか出ない**ため復旧が長期化する	U6 §6.2.2b
