Q番号	対応ID	章	宛先	優先度	項目名	質問	選択肢	なぜ聞くか	回答が設計に与える影響	既出・関連
Q18	FR-FED-013a	② ログイン基盤連携・SSO	事業側	最優先	ログイン画面に接続先の一覧を出さない方式のご了承	ログイン画面に接続先企業の一覧（ボタン列）を出さず、ID またはメールアドレスを入力していただいて自動で振り分ける方式でご了承いただけますか。 選択肢: - A) 了承（入力していただいて自動振り分け）【弊社の推奨・現行の暫定値。1000 社超では一覧表示は性能上そもそも成立しません】 - B) 一覧から選ばせたい - C) 未定	A) 了承（入力していただいて自動振り分け）【弊社の推奨・現行の暫定値。1000 社超では一覧表示は性能上そもそも成立しません】 / B) 一覧から選ばせたい / C) 未定	接続先が 1000 社を超えると一覧表示は画面としても性能としても成立せず、これが基盤全体の作りの前提条件になっているためです。	B を選ばれる場合、1000 社規模を単一の基盤で受ける前提そのものが崩れ、基盤の分割など構成の抜本的な見直し（設計のやり直し規模の工数・費用）が必要になります。	B-601（ログイン画面の方式）と同趣旨 — 二重に聞かない
Q19	FR-FED-013b	② ログイン基盤連携・SSO	事業側 + アプリチーム	最優先	利用者に入力していただく ID の形	利用者に入力していただく文字として「会社コード - 利用者 ID」（例: acme-001234）とメールアドレスの両方を受け付ける形でよろしいですか。 選択肢: - A) 両方受け付ける（会社ごとにどちらをご案内するかは指定可）【弊社の推奨・現行の暫定値】 - B) 「会社コード - 利用者 ID」のみ - C) メールアドレスのみ - D) 未定	A) 両方受け付ける（会社ごとにどちらをご案内するかは指定可）【弊社の推奨・現行の暫定値】 / B) 「会社コード - 利用者 ID」のみ / C) メールアドレスのみ / D) 未定	メールアドレスを持たない利用者（工場・店舗・現場など）がいる場合、メールアドレスだけでは振り分けができないためです。	会社コードは英小文字と数字のみ・ハイフン不可・後から変更できないため、ご契約時に確定していただく必要があります（社名変更・合併時は表示名のみ変更する運用になります）。C 単独を選ばれるとメールアドレスを持たない利用者を収容できません。	B-619（振り分けの手がかりに何を使うか）と同趣旨
Q20	P-14	② ログイン基盤連携・SSO	アプリチーム	最優先	新しく作るアプリの連携方式の統一	今後新しく作るアプリの連携方式は「新しい方式」に統一し、既に連携済みの既存システムは「従来方式」のまま据え置く方針でよろしいですか。 選択肢: - A) 新規は新しい方式 / 既存の連携済みシステムは従来方式のまま 【弊社の推奨・現行の暫定値】 - B) 既存システムも含めてすべて新しい方式へ移行する - C) 新規でも従来方式を許容する - D) 未定	A) 新規は新しい方式 / 既存の連携済みシステムは従来方式のまま 【弊社の推奨・現行の暫定値】 / B) 既存システムも含めてすべて新しい方式へ移行する / C) 新規でも従来方式を許容する / D) 未定	従来方式には「スマートフォンアプリやブラウザだけで動くアプリ」への対応と「アプリ同士の API 呼び出しの許可」を扱う標準的な仕組みが存在せず、新規開発では行き詰まるためです。	A は既存システムに手を入れずに済み、追加費用が発生しません。B は既存システム側の改修費用が対象システム数に比例して別途発生します。C はアプリごとに個別方式の設計・検証が必要となり、アプリ 1 本あたりの追加工数が継続的に発生します。	B-APP-OIDC-1（新規アプリの標準化）/ B-APP-OIDC-2（既存アプリの移行方針）と同趣旨 — 二重に聞かない
Q21	FR-FED-009a	② ログイン基盤連携・SSO	アプリチーム	通常	お客様から受け取る利用者情報のそろえ方	各アプリへお渡しする利用者情報を、弊社が定めた共通の項目一式にそろえてお渡しする方式でよろしいですか。 選択肢: - A) 共通の項目一式にそろえてお渡しする（お客様ごとの生の項目はアプリに渡さない）【弊社の推奨・現行の暫定値】 - B) お客様ごとの項目名・内容をそのままアプリに渡す - C) 未定	A) 共通の項目一式にそろえてお渡しする（お客様ごとの生の項目はアプリに渡さない）【弊社の推奨・現行の暫定値】 / B) お客様ごとの項目名・内容をそのままアプリに渡す / C) 未定	お客様ごとに項目名も有無も値の意味もばらばらなため、そろえずに渡すとアプリ側が会社ごとの場合分けを抱え込むことになるためです。	A ならアプリ側の受け取り実装は 1 回で済みます。B は会社ごとの個別対応となり、アプリ側の工数が接続社数（1000 社規模）に比例して増大します。	B-604（お客様ごとの項目名の違いへの対応）と同趣旨 — 具体的な対応表の中身は B-604 で回収
Q22	FR-FED-009b	② ログイン基盤連携・SSO	事業側 + アプリチーム	通常	お客様固有の追加項目を受け取る必要の有無	弊社の共通の項目一式に含まれない、お客様固有の追加項目を受け取ってアプリへ渡す必要はありますか。 選択肢: - A) 不要 - B) 必要（必要な項目名の一覧をご提示ください） - C) 未定 （現行は未確定 — 追加項目の受入枠を設けるかどうかは弊社内でも未決事項です）	A) 不要 / B) 必要（必要な項目名の一覧をご提示ください） / C) 未定	受入枠を設けるかどうかで、情報の保存ルールとアプリへの受け渡し契約が変わるためです。	必要な場合、追加項目の命名ルールと申請・審査のプロセスを新設する必要があり、設計・運用の工数が増えます。不要なら、余計な個人情報が紛れ込まない仕組み（宣言していない項目は保存自体しない）をそのまま維持できます。	
Q23	FR-FED-011	② ログイン基盤連携・SSO	事業側	通常	新しいお客様を接続する作業の実施主体	新しいお客様企業を本サービスに接続する設定作業は、どなたが実施する想定ですか。 選択肢: - A) 弊社の運用チームが実施（お客様からは申請のみ）【弊社の推奨・現行の暫定値】 - B) お客様ご自身が設定できる画面を用意する（セルフサービス） - C) 併用（基本は弊社、一部の大口のお客様のみセルフサービス）	A) 弊社の運用チームが実施（お客様からは申請のみ）【弊社の推奨・現行の暫定値】 / B) お客様ご自身が設定できる画面を用意する（セルフサービス） / C) 併用（基本は弊社、一部の大口のお客様のみセルフサービス）	お客様ご自身が設定する画面が必要かどうかで、開発する画面と権限の作り込みが大きく変わるためです。	A は現行の半自動の手順（申請 → 内容検査 → 作成 → 接続確認、目標次営業日以内）で対応でき、追加開発は不要です。B / C はお客様向け設定画面の新規開発と権限まわりの追加設計が必要となり、開発費用が増えます。	B-608（オンボーディング主体）と同趣旨 — 接続情報の受領形式は B-609、所要時間のご期待値は B-603 で別途確認
Q24	FR-FED-014a	② ログイン基盤連携・SSO	事業側	通常	ログイン画面の URL を全社共通にしてよいか	ログイン画面の URL は全社共通で 1 本（例: auth.example.com）としてよろしいですか。 選択肢: - A) 全社共通 1 本 【弊社の推奨・現行の暫定値】 - B) お客様ごとの専用 URL（例: acme.auth.example.com）も用意したい - C) 未定	A) 全社共通 1 本 【弊社の推奨・現行の暫定値】 / B) お客様ごとの専用 URL（例: acme.auth.example.com）も用意したい / C) 未定	お客様ごとの URL を用意すると、証明書・DNS・振り分け設定が接続社数ぶん必要になり、運用の量と費用が変わるためです。	B は次フェーズ扱い（初回リリースの範囲外）です。採用する場合は証明書・DNS の管理対象が社数ぶん増え、対象社数に応じた運用費用が継続的に発生します。	B-208（共通ドメインの利用）/ B-618 / B-621 と同趣旨
Q25	FR-FED-014b	② ログイン基盤連携・SSO	事業側	通常	ログイン画面のデザインを全社共通にしてよいか	ログイン画面のデザインは全社共通の 1 種類（お客様ごとのロゴ・配色なし）でよろしいですか。 選択肢: - A) 全社共通 1 種類 【弊社の推奨・現行の暫定値】 - B) お客様ごとにロゴ・配色を変えたい - C) 未定	A) 全社共通 1 種類 【弊社の推奨・現行の暫定値】 / B) お客様ごとにロゴ・配色を変えたい / C) 未定	最初の画面は「どの会社の利用者か」がまだ分かっていない状態で表示されるため、その画面に会社ごとのロゴを出すことは原理的にできないためです。	B を求められる場合、FR-FED-014a の B（お客様ごとの専用 URL）とセットで次フェーズ対応となり、ロゴの入稿・検収・配信の運用が社数ぶん発生します（制作・運用費用が増加）。なお、お客様が自社のログイン基盤をお持ちの場合、実際にパスワードを入力する画面はお客様側の画面であり、そちらは従来どおり貴社・お客様のデザインで表示されます。	B-624 / B-TAP-9（画面の見た目の設定）と同趣旨
Q26	FR-SSO-002	② ログイン基盤連携・SSO	事業側 + アプリチーム	通常	既にお客様側でログイン済みの利用者をそのまま通すか	お客様企業のログイン基盤で既にログイン済みの利用者が本サービスに来たとき、あらためて入力を求めずそのまま通してよろしいですか。 選択肢: - A) そのまま通す（お客様側のログイン結果を全面的に信頼する）【弊社の推奨・現行の暫定値】 - B) 重要なアプリのみ、あらためて本人確認を求める - C) 毎回あらためて入力を求める - D) 未定	A) そのまま通す（お客様側のログイン結果を全面的に信頼する）【弊社の推奨・現行の暫定値】 / B) 重要なアプリのみ、あらためて本人確認を求める / C) 毎回あらためて入力を求める / D) 未定	そのまま通すかどうかで、利用者の手数と、万一お客様側で乗っ取りが起きた際の被害の広がり方が変わるためです。	A は追加開発なしです。B は対象アプリごとの条件設定と画面遷移の追加設計が必要になり（アプリ側・基盤側の双方に工数）、C は「一度のログインで複数サービスを使える」という本サービスの利点自体が大きく損なわれます。	B-801 / B-801-1（信頼レベル）と同趣旨 — お客様別・アプリ別に変えるかは B-801-2 で別途確認
Q27	FR-SSO-003a	② ログイン基盤連携・SSO	事業側 + アプリチーム	通常	ログアウトしたときにどこまで切るか	利用者がログアウトを押したとき、既定では本サービス上の全アプリをまとめてログアウトさせる形でよろしいですか。 選択肢: - A) 本サービス上の全アプリをまとめてログアウト 【弊社の推奨・現行の暫定値】 - B) 押したアプリだけログアウト - C) アプリごとに選べるようにする - D) 未定	A) 本サービス上の全アプリをまとめてログアウト 【弊社の推奨・現行の暫定値】 / B) 押したアプリだけログアウト / C) アプリごとに選べるようにする / D) 未定	共用端末での「ログアウトしたつもりが別アプリに入れてしまう」取り残しを防ぐため、既定の動作を決めておく必要があるためです。	A を成立させるには、各アプリ側にサーバー同士の直接通知を受け取る仕組みの実装が必要です（アプリ 1 本あたりの追加工数が発生）。ブラウザ画面を経由して各アプリに通知する旧来方式は成功率が 6〜8 割にとどまるため採用しません。C は設定項目とテストの組み合わせが増えます。	B-701（既定のログアウト範囲）と同趣旨
Q28	FR-SSO-003b	② ログイン基盤連携・SSO	アプリチーム	通常	サーバー側処理を持たない画面だけのアプリの有無	貴社のアプリの中に、サーバー側の処理を持たない「ブラウザの画面だけで動くアプリ」はありますか。 選択肢: - A) ない - B) ある（アプリ名と本数をご提示ください） - C) 未定 （現行は未確定 — 該当がある場合にサーバー側の受け皿を追加するか、取り残しを許容するかはアプリごとの判断としています）	A) ない / B) ある（アプリ名と本数をご提示ください） / C) 未定	そうしたアプリは前項のサーバー同士の直接通知を受け取れず、まとめてログアウトの対象に技術的にできないためです。	該当がある場合、サーバー側の受け皿を追加する改修（アプリ側の追加工数）を行うか、ログアウト後も最大 30 分〜1 時間はその画面が使えてしまう状態を許容するかの選択が必要です。共用端末で使うアプリは前者を必須としたいと考えています。	
