Q番号	対応ID	章	宛先	優先度	項目名
Q62	P-08a	④ 法令・運用体制・利用者番号	事業側 + アプリチーム	通常	顧客が使っている独自の ID をそのまま使うか
Q63	G-DPA-b	④ 法令・運用体制・利用者番号	事業側	通常	公表文書に書く「関係する外国の名称」の書き方
Q64	G-DPA-c	④ 法令・運用体制・利用者番号	事業側	通常	顧客企業との「委託に関する取り決め」への記載事項
Q65	NFR-COMP-005a	④ 法令・運用体制・利用者番号	事業側	後回し可	カード決済業界の規格への対応（確定内容の再確認）
Q66	NFR-COMP-006a	④ 法令・運用体制・利用者番号	事業側	後回し可	米国政府が認定した暗号方式（確定内容の再確認）
Q67	NFR-COMP-009c / B-APPI-R8-1	④ 法令・運用体制・利用者番号	事業側	後回し可	2028 年ごろ施行見込みの法改正で、本基盤が「代行する立場」に該当するか
Q69	FR-FED-006	⑤ アプリチーム向け	アプリチーム	最優先	SAML でしか接続できないアプリの有無
Q70	P-09	⑤ アプリチーム向け	アプリチーム	最優先	通行証（アクセストークン）の有効期限
Q71	FR-SSO-009	⑤ アプリチーム向け	アプリチーム	最優先	失効が反映されるまでの猶予（ゾンビ時間）の許容
Q72	FR-SSO-006 / FR-SSO-007	⑤ アプリチーム向け	アプリチーム	最優先	ログアウト通知の受け取り方式
Q73	FR-AUTHZ-003 / FR-AUTHZ-006	⑤ アプリチーム向け	アプリチーム	最優先	アプリが必要とする権限情報
Q74	FR-AUTH-005	⑤ アプリチーム向け	アプリチーム	通常	アプリ間で通行証を引き継ぐ必要があるか
Q75	FR-AUTHZ-004	⑤ アプリチーム向け	アプリチーム	通常	ロールの階層（継承）が必要か
Q76	FR-USER-002	⑤ アプリチーム向け	アプリチーム	通常	アプリ固有の属性を基盤に持たせる必要があるか
Q77	FR-INT-005	⑤ アプリチーム向け	アプリチーム	通常	基盤からアプリへの通知は必要か
Q78	FR-USER-011	⑤ アプリチーム向け	アプリチーム	通常	利用者削除時にアプリ側のデータも消すか
Q79	NFR-PERF-001	⑤ アプリチーム向け	アプリチーム	通常	認証の応答時間として許容できる値
Q80	NFR-PERF-002 / NFR-PERF-007	⑤ アプリチーム向け	アプリチーム	通常	同時利用の規模とピーク時間帯
Q81	B-LOG-1	⑤ アプリチーム向け	アプリチーム	通常	アプリ側のログに秘匿情報が出ていないか
Q82	P-11	⑤ アプリチーム向け	アプリチーム	通常	顧客のログイン基盤の結果をそのまま信頼してよいか（アプリ観点）
Q83	FR-SSO-010	⑤ アプリチーム向け	アプリチーム	後回し可	管理者による強制サインアウトの要否
Q84	FR-SSO-008	⑤ アプリチーム向け	アプリチーム	後回し可	セッションのタイムアウト値
Q85	NFR-PERF-006 / B-TENANT-ISO-1	⑥ 追加確認事項	事業側	最優先	お客様企業ごとの流量上限と、別環境へ分ける基準
Q86	B-401-2	⑥ 追加確認事項	事業側 + アプリチーム	最優先	自動登録された利用者に、最初どの権限を与えるか
Q87	B-GD-1	⑥ 追加確認事項	事業側 + アプリチーム	通常	お客様側の署名鍵が入れ替わるときの事前連絡
Q88	NFR-SEC-010-2	⑥ 追加確認事項	事業側	通常	漏えい済みパスワードの照合
Q89	FR-ADMIN-008	⑥ 追加確認事項	事業側	通常	設定変更の履歴をお客様に見せるか
Q90	FR-ADMIN-010	⑥ 追加確認事項	事業側	通常	管理者の権限をどこまで細かく分けるか
Q91	B-AUTHZLOG-1	⑥ 追加確認事項	事業側	通常	監査人が求める「許可・拒否の記録」の細かさ
Q92	B-KMS-3	⑥ 追加確認事項	事業側	通常	お客様ごとに専用の暗号鍵を用意するか
Q93	NFR-SEC-013	⑥ 追加確認事項	事業側	通常	疑似的な攻撃による安全性検査
Q94	NFR-OPS-009	⑥ 追加確認事項	事業側	後回し可	運用にかかる人手の想定
