シート	現在の ID	新しい ID	機能グループ	項目
WBS(詳細設計_製造)	MKB-25	MKB-14	顧客・組織管理	顧客登録の実装
WBS(詳細設計_製造)	DDB-08	DDB-10	顧客・組織管理	顧客解約時の処理の詳細設計
WBS(詳細設計_製造)	MKB-13	MKB-15	顧客・組織管理	顧客解約の処理の実装
WBS(詳細設計_製造)	MKB-26	MKB-16	接続先（顧客 IdP）管理	接続登録の実装
WBS(詳細設計_製造)	DDB-09	DDB-11	接続先（顧客 IdP）管理	接続設定の変更と証明書更新の実装設計
WBS(詳細設計_製造)	MKB-14	MKB-17	接続先（顧客 IdP）管理	証明書の無停止入れ替えの実装
WBS(詳細設計_製造)	DDF-04	DDF-01	接続先（顧客 IdP）管理	接続情報の自動追随の実装仕様
WBS(詳細設計_製造)	MKF-04	MKF-01	接続先（顧客 IdP）管理	接続情報の自動追随の実装
WBS(詳細設計_製造)	MKB-15	MKB-18	権限管理	識別子の採番と保持の実装
WBS(詳細設計_製造)	MKB-16	MKB-19	認可・権限判定	通行証の項目生成の実装
WBS(詳細設計_製造)	MKI-08	MKI-10	認可・権限判定	単体試験: 通行証の内容
WBS(詳細設計_製造)	DDB-10	DDB-12	認可・権限判定	越境防止の実装設計
WBS(詳細設計_製造)	MKB-17	MKB-20	認可・権限判定	越境防止の実装
WBS(詳細設計_製造)	MKI-09	MKI-11	認可・権限判定	単体試験: 越境防止
WBS(詳細設計_製造)	DDB-15	DDB-13	トークン発行・交換	システム間トークンの実装設計
WBS(詳細設計_製造)	MKB-27	MKB-21	トークン発行・交換	システム間トークンの実装
WBS(詳細設計_製造)	MKI-17	MKI-12	トークン発行・交換	単体試験: システム間トークン
WBS(詳細設計_製造)	DDB-11	DDB-14	アプリ・外部連携	アプリの接続登録の詳細設計
WBS(詳細設計_製造)	MKB-18	MKB-22	アプリ・外部連携	接続登録のひな形の実装
WBS(詳細設計_製造)	MKI-10	MKI-13	アプリ・外部連携	単体試験: アプリの接続登録
WBS(詳細設計_製造)	DDB-12	DDB-15	業務システム連携（ServiceNow）	業務システム連携の実装設計
WBS(詳細設計_製造)	MKB-19	MKB-23	業務システム連携（ServiceNow）	業務システム連携の設定と実装
WBS(詳細設計_製造)	MKI-11	MKI-14	業務システム連携（ServiceNow）	単体試験: 業務システム連携
WBS(詳細設計_製造)	MKB-20	MKB-24	業務システム連携（ServiceNow）	業務システム側の利用者自動作成の設定
WBS(詳細設計_製造)	MKB-21	MKB-25	業務システム連携（ServiceNow）	他アプリへの連携の設定
WBS(詳細設計_製造)	MKI-12	MKI-15	監査・記録	単体試験: 記録の取得
WBS(詳細設計_製造)	DDF-01	DDF-02	鍵・証明書管理	署名鍵の入れ替えの実装仕様
WBS(詳細設計_製造)	MKF-01	MKF-02	鍵・証明書管理	署名鍵の入れ替えの実装
WBS(詳細設計_製造)	MKI-13	MKI-16	鍵・証明書管理	単体試験: 署名鍵の入れ替え
WBS(詳細設計_製造)	DDF-02	DDF-03	鍵・証明書管理	接続用パスワードの入れ替えの実装仕様
WBS(詳細設計_製造)	MKF-02	MKF-03	鍵・証明書管理	接続用パスワードの入れ替えの実装
WBS(詳細設計_製造)	DDF-03	DDF-04	鍵・証明書管理	証明書期限の監視の実装仕様
WBS(詳細設計_製造)	MKF-03	MKF-04	鍵・証明書管理	証明書期限の監視の実装
WBS(詳細設計_製造)	DDB-13	DDB-16	非機能: システム構成	区画（Realm・組織）の実装設計
WBS(詳細設計_製造)	MKB-22	MKB-26	非機能: システム構成	区画（Realm・組織）の構築
WBS(詳細設計_製造)	MKB-23	MKB-27	非機能: 性能・拡張性	上限値の設定
WBS(詳細設計_製造)	MKI-14	MKI-17	非機能: 可用性・災害対策	切替訓練（1 回）
WBS(詳細設計_製造)	MKI-15	MKI-18	非機能: セキュリティ	単体試験: 攻撃対策
WBS(詳細設計_製造)	MKC-03	MKC-05	非機能: 運用・監視	自社拡張の組み立てと配置の実装
WBS(詳細設計_製造)	MKB-24	MKB-28	非機能: 設計標準・規約	一時保持の設定
WBS(テスト)	IT-15	IT-06	トークン発行・交換	システム間トークンの発行と失効
WBS(テスト)	IT-06	IT-07	アプリ・外部連携	アプリとのつなぎ目（接続情報・通行証）
WBS(テスト)	IT-07	IT-08	業務システム連携（ServiceNow）	業務システムとのつなぎ目
WBS(テスト)	IT-08	IT-09	監査・記録	記録の出力と全体の共通基盤への集約
WBS(テスト)	IT-12	IT-10	非機能: システム構成	構成図と実機の一致
WBS(テスト)	IT-09	IT-12	非機能: システム構成	区画の分離
WBS(テスト)	IT-10	IT-14	非機能: システム構成	認証製品とデータベースのつなぎ目
WBS(テスト)	IT-14	IT-15	非機能: 設計標準・規約	エラー応答の共通規約
WBS(テスト)	ST-02	ST-01	ログイン振り分け（HRD）	接続先の振り分けの一連
WBS(テスト)	ST-01	ST-02	ログイン振り分け（HRD）	振り分けできないときの切替
WBS(テスト)	ST-06	ST-04	フェデレーションログイン	フェデレーションログインの一連（新方式）
WBS(テスト)	ST-07	ST-05	フェデレーションログイン	フェデレーションログインの一連（旧方式）
WBS(テスト)	ST-05	ST-06	フェデレーションログイン	初回登録と属性の更新
WBS(テスト)	ST-04	ST-07	フェデレーションログイン	ログインのたびの属性の追随
WBS(テスト)	ST-09	ST-08	セッション・ログアウト	ログイン状態の保持とログアウトの一連
WBS(テスト)	ST-08	ST-09	セッション・ログアウト	ログアウトの伝わり方
WBS(テスト)	ST-25	ST-10	ログイン画面・エラー画面	識別子の入力画面
WBS(テスト)	ST-26	ST-11	ログイン画面・エラー画面	エラー・案内画面
WBS(テスト)	ST-10	ST-13	ユーザ登録（顧客システム連携・SCIM）	顧客側からの更新の反映
WBS(テスト)	ST-13	ST-14	ユーザ登録（顧客システム連携・SCIM）	削除通知の読み替え
WBS(テスト)	ST-11	ST-15	ユーザ登録（顧客システム連携・SCIM）	顧客側からの検索
WBS(テスト)	ST-15	ST-16	ユーザ属性の統一	属性の写しと統一の確認
WBS(テスト)	ST-14	ST-17	ユーザ属性の統一	登録された経路の区分
WBS(テスト)	ST-17	ST-18	ユーザの停止・再開・消去	停止と再開の一連
WBS(テスト)	ST-16	ST-19	ユーザの停止・再開・消去	停止済み利用者の再開
WBS(テスト)	ST-24	ST-20	顧客・組織管理	顧客の追加から初回ログインまでの一連
WBS(テスト)	ST-18	ST-21	顧客・組織管理	顧客の解約の一連
WBS(テスト)	ST-20	ST-22	認可・権限判定	通行証の内容と検証
WBS(テスト)	ST-19	ST-23	認可・権限判定	テナントを越えて入れないことの確認
WBS(テスト)	ST-22	ST-24	業務システム連携（ServiceNow）	業務システム連携の一連
WBS(テスト)	ST-23	ST-25	業務システム連携（ServiceNow）	業務システム側の利用者自動作成
WBS(テスト)	ST-21	ST-26	業務システム連携（ServiceNow）	業務システムから他アプリへの連携
WBS(テスト)	PT-07	PT-05	非機能: 性能・拡張性	ログインの応答時間と処理量
WBS(テスト)	PT-05	PT-06	非機能: 性能・拡張性	接続先の数を増やしたときのスケール
WBS(テスト)	PT-06	PT-07	非機能: 性能・拡張性	上限を超えたときの振る舞い
WBS(テスト)	DR-03	DR-01	非機能: 可用性・災害対策	別地域への切替訓練
WBS(テスト)	DR-04	DR-02	非機能: 可用性・災害対策	切替時のログイン状態と通行証
WBS(テスト)	DR-01	DR-03	非機能: 可用性・災害対策	地域内の可用性
WBS(テスト)	DR-02	DR-04	非機能: 可用性・災害対策	控えからの復元
WBS(テスト)	SEC-09	SEC-01	不正アクセス対策	実在の推測と繰り返し試行への対策
WBS(テスト)	SEC-01	SEC-03	鍵・証明書管理	接続用パスワードの入れ替え
WBS(テスト)	SEC-03	SEC-08	非機能: セキュリティ	記録の伏せ字と個人情報
WBS(テスト)	SEC-08	SEC-09	非機能: 運用・監視	脆弱性の検査と部品の出所
WBS(テスト)	OP-10	OP-02	接続先（顧客 IdP）管理	接続情報の自動追随
WBS(テスト)	OP-02	OP-03	監査・記録	記録の照会と監査への提出
WBS(テスト)	OP-03	OP-04	鍵・証明書管理	証明書の期限監視
WBS(テスト)	OP-04	OP-05	非機能: 可用性・災害対策	約束した稼働率と復旧目標の裏取り
WBS(テスト)	OP-05	OP-06	非機能: 運用・監視	監視と通知
WBS(テスト)	OP-08	OP-07	非機能: 運用・監視	手順書のリハーサル
WBS(テスト)	OP-06	OP-08	非機能: 運用・監視	緊急時の管理者アクセス
WBS(テスト)	OP-07	OP-09	非機能: 運用・監視	製品の更新
WBS(テスト)	OP-09	OP-10	非機能: 設計標準・規約	構成コードからの再現
WBS(テスト)	TE-02	TE-01	非機能: 移行・環境	テスト環境の構築と維持
WBS(テスト)	TE-03	TE-02	非機能: 移行・環境	テストデータの作成
WBS(テスト)	TE-01	TE-03	非機能: 移行・環境	切替のリハーサル
