シート	対象	列	新しい値	理由
WBS(基本設計)	分類が「E-2」の行すべて	分類	E 方式判断	分類の表記を 35 種類から 16 種類へ統一
WBS(基本設計)	分類が「D-18 DR再判断」の行すべて	分類	D 判断	分類の表記を 35 種類から 16 種類へ統一
WBS(基本設計)	分類が「D-18 DR改訂」の行すべて	分類	D 判断	分類の表記を 35 種類から 16 種類へ統一
WBS(基本設計)	分類が「H-K 契約・顧客提供成果物」の行すべて	分類	HK 顧客提供成果物	分類の表記を 35 種類から 16 種類へ統一
WBS(基本設計)	分類が「D-20」の行すべて	分類	D 判断	分類の表記を 35 種類から 16 種類へ統一
WBS(基本設計)	分類が「G-3」の行すべて	分類	G 運用設計	分類の表記を 35 種類から 16 種類へ統一
WBS(基本設計)	分類が「E-5」の行すべて	分類	E 方式判断	分類の表記を 35 種類から 16 種類へ統一
WBS(基本設計)	分類が「E-1 dev/stg」の行すべて	分類	E 方式判断	分類の表記を 35 種類から 16 種類へ統一
WBS(基本設計)	分類が「H-E つなぎ目設計」の行すべて	分類	HE つなぎ目設計	分類の表記を 35 種類から 16 種類へ統一
WBS(基本設計)	分類が「H-I レビュー・合意」の行すべて	分類	HI レビュー・合意	分類の表記を 35 種類から 16 種類へ統一
WBS(テスト)	ST-01	前提	自社拡張の実装が完了していること	空欄
WBS(テスト)	ST-03	前提	自社拡張の実装が完了していること	空欄
WBS(テスト)	ST-05	前提	A 結合が完了していること	空欄
WBS(テスト)	ST-04	前提	A 結合が完了していること	空欄
WBS(テスト)	ST-10	前提	受信窓口の実装が完了していること	空欄
WBS(テスト)	ST-13	前提	受信窓口の実装が完了していること	空欄
WBS(テスト)	ST-11	前提	受信窓口の実装が完了していること	空欄
WBS(テスト)	ST-14	前提	A 結合が完了していること	空欄
WBS(テスト)	ST-16	前提	停止と再開の実装が完了していること	空欄
WBS(テスト)	ST-23	前提	業務システムの検証環境が用意できていること	空欄
WBS(テスト)	ST-21	前提	業務システムの検証環境が用意できていること	空欄
WBS(テスト)	SEC-02	前提	鍵管理の構築が完了していること	空欄
WBS(テスト)	SEC-01	前提	鍵管理の構築が完了していること	空欄
WBS(テスト)	OP-03	前提	期限監視の実装が完了していること	空欄
WBS(テスト)	TE-02	前提	—（テストの前提そのもの）	空欄
WBS(テスト)	TE-03	前提	テスト環境の構築が完了していること	空欄
WBS(テスト)	TE-04	前提	B 総合の試験仕様が確定していること	空欄
WBS(テスト)	TE-05	前提	—（テスト期間を通じて実施）	空欄
WBS(テスト)	TE-06	前提	基本設計が承認されていること	空欄
WBS(基本設計)	E-4c	項目	本番設定: クラスタ内通信の暗号化と 30 日ごとの入れ替え	「入替」は他 70 箇所が「入れ替え」
WBS(基本設計)	G-5.6	根拠の補足	本基盤の運用者は全顧客のデータに触れられる。棚卸しをしないと退職者の権限が残る	「認証基盤」は他が「本基盤」
運用（定常）	全行	初年度 人日 / 定常 人日	小数第 1 位に丸める	7.8125 のように 4 桁出ている
機能名一覧	設計レビュー・説明会	行数 / 人日	基本設計を参照する数式に置き換える	固定値が古い（設計レビュー 7 行 10 人日 → 実際 10 行 15 人日）
機能名一覧	アプリ開発者向けガイド（共通部）	行数 / 人日	基本設計を参照する数式に置き換える	固定値が古い（設計レビュー 7 行 10 人日 → 実際 10 行 15 人日）
機能名一覧	顧客向け説明資料	行数 / 人日	基本設計を参照する数式に置き換える	固定値が古い（設計レビュー 7 行 10 人日 → 実際 10 行 15 人日）
