区分	ID	機能グループ	機能名	テスト項目	テスト観点	人日	対応要件	前提
B 総合	ST-07	顧客IdP 連携ログイン	ログイン時の属性更新	ログインのたびの属性の追随	顧客側で変わった値が次のログインで反映される／削除された値の扱いが設計どおり／基盤側で足した値が上書きされない	1	FR-FED-009	A 結合が完了していること
B 総合	ST-08	セッションとログアウト	ログイン状態の保持とタイムアウト	ログイン状態の保持とログアウトの一連	無操作で設計どおりの時間に切れる／操作を続けている間は切れない／複数のアプリで入り直さずに使える／明示的なログアウトで状態が消える／更新の資格が設計どおりに回る／古い更新の資格が使えない／ブラウザを閉じて開き直したときの扱いが設計どおり	6	FR-SSO-001・003・004・008 / NFR-SEC-005・007・020	同上
B 総合	ST-09	セッションとログアウト	アプリへのログアウト連携	ログアウトの伝わり方	1 箇所のログアウトが他のアプリへ届く／届かなかったアプリがあるときの扱いが設計どおり／顧客IdP側のログアウトと連動するか／しないかが設計どおり／伝わらなかった場合に残る時間の上限が設計どおり	4	FR-SSO-005・006・007	同上
B 総合	ST-10	ログイン画面	ログイン画面の表示（ブランド・並び順）	識別子の入力画面	設計どおりの項目と文言が出る／入力の検証が効く／振り分けへ正しく進む／主要なブラウザと画面幅で崩れない／製品の版を上げても表示が壊れない	2	FR-ADMIN-012	同上
B 総合	ST-11	ログイン画面	エラー・案内画面（Keycloak-Broker）	エラー・案内画面	失敗の種類ごとに設計どおりの案内が出る／内部の情報が画面に出ない／実在する識別子と実在しない識別子で表示が変わらない／誘導先へ進める	1.5	FR-ADMIN-012 / NFR-SEC-010	同上
B 総合	ST-12	ユーザ管理	顧客IdP からのユーザ情報の同期	顧客システム連携の一連（入社から退職まで）	入社（登録）が反映される／異動（更新）が反映される／退職（削除通知）で消さずに止まる／再雇用（再開）が条件どおりに戻る／初回ログインで作られた人と重複したときの扱いが設計どおり／登録された経路の区分が正しく付く／顧客側と Keycloak-Broker の食い違いが検出できる	3	FR-USER-003・006 / FR-FED-008	同上
B 総合	ST-13	ユーザ管理	顧客IdP からのユーザ情報の同期	顧客側からの更新の反映	変更が反映される／競合したときの扱いが設計どおり／対象外の項目が上書きされない	1	FR-USER-003	受信窓口の実装が完了していること
B 総合	ST-14	ユーザ管理	顧客IdP からのユーザ情報の同期	削除通知の読み替え	削除の通知で消さずに止まる／記録が残る／止めた日時が入る／同じ通知が二度来ても結果が変わらない	1.5	FR-USER-003・006	受信窓口の実装が完了していること
B 総合	ST-15	ユーザ管理	顧客IdP からのユーザ情報の同期	顧客側からの検索	絞り込みが効く／件数の区切りが仕様どおり／他の顧客のユーザが見えない	0.5	FR-USER-003 / FR-AUTHZ-002	受信窓口の実装が完了していること
B 総合	ST-16	ユーザ属性の統一	顧客IdP から受け取る属性の名前の統一	属性の写しと統一の確認	顧客ごとの項目名が統一名に変換される／変換の規則に無い項目の扱いが設計どおり／値が空・長すぎる・想定外の形式のときの扱い／変換表を追加したときに他の顧客へ影響しない	4	FR-FED-009 / FR-USER-002	同上
B 総合	ST-17	ユーザ属性の統一	ユーザの登録経路の区分	登録された経路の区分	初回ログイン・顧客システム連携・運用者のそれぞれで正しい区分が付く／経路が変わったときの扱いが設計どおり／区分によって後の自動処理の対象が変わる	1	FR-USER-002	A 結合が完了していること
B 総合	ST-18	ユーザの停止・再開・消去	ユーザの停止（消さずに無効化）	停止と再開の一連	止めたユーザがログインできない／止めた日時が記録に残る／止めても記録は消えない／再開してよい条件のときだけ戻る／除外条件に当たるときは戻らない／止めた時点で発行済みのJWTが使えなくなるまでの時間が設計どおり	3	FR-USER-006 / FR-SSO-009・010 / NFR-SEC-008	同上
B 総合	ST-19	ユーザの停止・再開・消去	停止済みユーザの再開	停止済みユーザの再開	再開してよい条件のときだけ戻る／除外条件に当たるときは戻らない／再開が記録に残る／再開後にログインできる	2	FR-USER-006	停止と再開の実装が完了していること
B 総合	ST-20	ユーザの停止・再開・消去	保存期限切れデータの消去	保持期間と消去	期限を過ぎたデータが消える／期限内のデータが消えない／消したことが記録に残る／停止から消去までの段階が設計どおり／消し残しが検出できる	2	FR-USER-011 / NFR-COMP-007	B 総合の前提が揃っていること
B 総合	ST-21	顧客・組織管理	顧客の作成	顧客の追加から初回ログインまでの一連	顧客を登録できる／顧客IdPを登録して疎通が確認できる／その顧客のユーザが初回ログインできる／登録の途中で失敗したときに半端な状態が残らない／他の顧客に影響しない／登録から使えるようになるまでの所要時間が約束の範囲	3	FR-ADMIN-002・003 / FR-FED-011	B 総合の前提が揃っていること
B 総合	ST-22	顧客・組織管理	顧客の解約	顧客の解約の一連	解約でその顧客のユーザがログインできなくなる／データの持ち出しができる／猶予期間の扱いが設計どおり／消去したあと戻せないことの確認／他の顧客に影響しない	4	NFR-COMP-009 / FR-ADMIN-002	同上
B 総合	ST-23	JWT の発行	アプリへの JWT 発行	JWT の内容と検証	必須の項目が過不足なく入る／顧客を指す値が正しく入る／要求できる範囲ごとに入る項目が変わる／有効期限が設計どおり／署名鍵の入れ替え中も検証できる／改ざんしたJWT を拒否できる／発行元の値が設計どおり	5	FR-AUTHZ-001・002・006 / FR-INT-003 / NFR-SEC-003・004	同上
B 総合	ST-24	認可・権限判定	顧客越境の防止（Keycloak-Broker 側）	顧客を越えて入れないことの確認	他の顧客の顧客IdPを使ってログインできない／弾いたことが記録に残る／同じメールの人が複数の顧客にいるときに取り違えない／顧客IdPを後から付け替えたときも越境しない	4	FR-AUTHZ-002 / FR-ADMIN-009	同上
B 総合	ST-25	業務システムへの認証提供	業務システムへの認証提供	業務システム連携の一連	Keycloak-Broker 経由で業務システムにログインできる／相手側にユーザが自動で作られる／業務システムから他のアプリを呼べる／Keycloak-Broker で止めた人が業務システムでも使えなくなる／相手側に既にいる人と重複しない	3	FR-FED-006 / FR-INT-004	同上
B 総合	ST-26	業務システムへの認証提供	業務システム側のユーザ自動作成	業務システム側のユーザ自動作成	初回ログインで相手側に作られる／渡した属性が反映される／既にいる人と重複しない	1	FR-FED-006	業務システムの検証環境が用意できていること
B 総合	ST-27	業務システムへの認証提供	業務システムから他アプリへの連携	業務システムから他アプリへの連携	業務システムから他のアプリを呼べる／引き継ぐ情報が設計どおり	1	FR-INT-004	業務システムの検証環境が用意できていること
B 総合	ST-28	顧客IdP 連携ログイン	Keycloak-Broker と Keycloak-IdP の連携	顧客IdP を持たない顧客のログインの一連	初回ログインでユーザが作られる／2 回目は入り直さずに使える／ログアウトで Keycloak-IdP 側の状態も消える／上限時間（12 時間）で両方切れる／Keycloak-IdP 側で止めた人が次の認証で入れない	3	FR-FED-015 / FR-USER-006 / FR-SSO-005	A 結合（IT-16）が完了していること
B 総合	ST-29	ユーザの停止・再開・消去	長期未使用者の自動停止	長期未使用者の自動停止	90 日ログインの無い対象ユーザが止まる／除外対象（Keycloak-IdP 収容・顧客システム連携）は止まらない／止めた記録が残る／再ログインで条件どおり再開する	1.5	FR-USER-013	自動停止の実装が完了していること
C 実機	RI-01	顧客IdP 連携ログイン	顧客IdPへのログイン委譲（OIDC）	実機の顧客IdPとの突合（1 社目）	実際の接続情報で繋がる／属性名が想定と違う点の洗い出し／同意画面の有無と挙動／相手側で追加認証を行ったときに結果を受け取れる／エラーの返り方の差／設計への反映	6	FR-FED-002 / FR-FED-012	相手方の検証環境の貸与
C 実機	RI-02	顧客IdP 連携ログイン	顧客IdPへのログイン委譲（OIDC）	実機の顧客IdPとの突合（2 社目）	1 社目との差分の洗い出し／ひな形で吸収できるか／吸収できない差の設計反映	5	FR-FED-001・003・004	同上
C 実機	RI-03	顧客IdP 連携ログイン	顧客IdPへのログイン委譲（SAML）	実機の顧客IdPとの突合（旧方式 1 社）	実際の接続情報で繋がる／署名と暗号化の設定差／ユーザを指す値の形式差／設計への反映	5	FR-FED-005	同上
C 実機	RI-04	ユーザ管理	顧客IdP からのユーザ情報の同期	実機の顧客システムからの押し出し	相手側の送り方の差／項目の対応づけの差／大量投入時の挙動／相手側の再送の作法／設計への反映	5	FR-USER-003	相手方の検証環境の貸与
C 実機	RI-05	業務システムへの認証提供	業務システムへの認証提供	業務システムの実機突合	実機での接続／相手側のユーザ自動作成の設定差／緊急時に使う相手側の管理者アカウントの扱い／停止の連鎖／設計への反映	6	FR-FED-006	同上
D 性能	PT-01	ユーザ管理	顧客IdP からのユーザ情報の同期	顧客システム連携の処理量	一括投入の所要時間／同時に複数の顧客から来たときの挙動／区切りごとの応答時間／投入中にログインの応答が悪化しないか	5	NFR-PERF-002	同上
D 性能	PT-02	JWT の発行	アプリへの JWT 発行	JWT の検証の処理量	アプリ側で検証したときの処理量／署名鍵の公開先への問い合わせ回数と一時保持の効き／署名鍵の入れ替え中の処理量の落ち込み	4	NFR-PERF-004・005	同上
D 性能	PT-03	非機能: システム構成	クラスタ構成	自動増減の追随	負荷が上がったときに増える／増える途中でログインが失敗しない／負荷が下がったときに減る／減るときに処理中の要求が落ちない	4	NFR-SCL-005 / NFR-AVL-004	クラスタの構築が完了していること
D 性能	PT-04	非機能: システム構成	データベース設計（Keycloak-Broker）	データベースの負荷と接続数	接続数が上限に達したときの挙動／書き込みが集中したときの応答／大きくなった表の検索時間／索引が効いていることの確認	4	NFR-PERF-008 / NFR-SCL-007	同上
D 性能	PT-05	非機能: 性能・拡張性	性能目標・チューニング方針	ログインの応答時間と処理量	目標とした応答時間（中央値・95%・99%）に収まる／毎秒の処理件数が目標に届く／フェデレーションと直接の比率を変えたときの差／時間帯の山を模した波形での挙動／目標に届かない場合の原因の切り分け	8	NFR-PERF-001・002・007 / NFR-SCL-002	性能試験の計画と計測点の実装が完了していること
D 性能	PT-06	非機能: 性能・拡張性	キャパシティ・データ量見積	顧客IdPの数を増やしたときのスケール	想定した数の顧客IdPで振り分けの時間が基準内に収まる／顧客IdPを倍にしたときの伸び方／一時保持の効き具合／顧客IdPを追加したときに反映されるまでの時間／見積った設備量で足りるかの確認	6	NFR-SCL-003・004 / NFR-PERF-005	同上
D 性能	PT-07	非機能: 性能・拡張性	同時実行・上限値の設定	上限を超えたときの振る舞い	設計した上限で受け付けが止まる／超過時に返す内容が設計どおり／負荷が引いたあと自動で戻る／上限に達しても記録が欠けない	3	NFR-PERF-006	同上
E 可用性・災害復旧	DR-01	非機能: 可用性・災害対策	災害対策（別地域への切替）	別地域への切替訓練	切替の判断基準どおりに判断できる／手順どおりに切り替わる／目標時間内に切り替わる／切替時点でのデータの欠落が目標内／切り替えた先でログインできる／元の地域へ戻せる／手順書の不備の洗い出しと是正	8	NFR-DR-001・002・003・007	切替先の構築とデータ複製が完了していること
E 可用性・災害復旧	DR-02	非機能: 可用性・災害対策	災害対策（別地域への切替）	切替時のログイン状態とJWT	切替でログインし直しが要ることが設計どおり（別地域再構築のため状態は引き継がない）／発行済みのJWTが切替先で検証できる／署名鍵が切替先にも揃っている	3	NFR-DR-008	同上
E 可用性・災害復旧	DR-03	非機能: 可用性・災害対策	バックアップ・復元	地域内の可用性	1 台止めてもログインが続く／データベースの切替が目標時間内に終わる／順に入れ替える更新でログインが止まらない／同時に複数台止めたときの限界の確認／止めた台が戻ったあと自動で組み込まれる	6	NFR-AVL-003・004・005・006	本番相当の構成ができていること
E 可用性・災害復旧	DR-04	非機能: 可用性・災害対策	バックアップ・復元	控えからの復元	時点を指定して戻せる／誤った操作で壊れたデータを戻せる／復元の所要時間が目標内／復元後にログインと記録が整合している／控えが変更できない設定になっている	5	NFR-DR-004・005	控えの取得が動いていること
F セキュリティ	SEC-01	ログイン口の保護	ユーザの存在推測の防止	実在の推測と繰り返し試行への対策	実在する識別子と実在しない識別子で応答の内容が変わらない／応答までの時間にも差が出ない／短時間の繰り返しが制限される／送信元を分散させても制限が効く／制限にかかったときの表示が実在を示唆しない／正規のユーザが誤って止められない	3	NFR-SEC-010	実装が完了していること
F セキュリティ	SEC-02	鍵・証明書管理	JWT 署名鍵の定期入れ替え	署名鍵の入れ替え	入れ替え中もログインが止まらない／古い鍵で発行したJWTが並走期間中は検証できる／並走期間を過ぎた鍵で検証できない／入れ替えが記録に残る	1.5	NFR-COMP-011	鍵管理の構築が完了していること
F セキュリティ	SEC-03	鍵・証明書管理	アプリの接続用パスワードの定期入れ替え	接続用パスワードの入れ替え	入れ替えでアプリが止まらない／猶予期間の扱いが設計どおり／アプリへ通知が届く	0.5	NFR-SEC-015	鍵管理の構築が完了していること
F セキュリティ	SEC-04	非機能: セキュリティ	攻撃経路と対策	疑似攻撃検査	攻撃経路対応表に挙げた経路をすべて試す／認可のすり抜けができない／顧客を越えられない／プロトコルの取り違えを突けない／入力値の細工で異常な動きをしない／見つかった弱点の是正と再確認	10	NFR-SEC-013	本番相当の構成と、検査実施の合意
F セキュリティ	SEC-05	非機能: セキュリティ	攻撃経路と対策	WAF 側で行う対策の受入確認	同じ元からの過大な要求が遮られる／外部に出さない経路が塞がれている／正規の利用が誤って止められない／遮った記録がKeycloak-Broker 側でも追える／🔴 WAF では代替できない範囲（特定のユーザへの連続失敗の締め出し・応答の同一化）の残存リスクの確認	4	NFR-SEC-010・011・012	WAF 側の設定が完了していること
F セキュリティ	SEC-06	非機能: セキュリティ	鍵・暗号化の管理方式	通信と保管の暗号化	外部との通信が設計した方式で暗号化される／内部の通信も暗号化される／保管したデータが暗号化されている／弱い方式が使えない／認められた暗号の実装が使われている	4	NFR-SEC-001・002・003	同上
F セキュリティ	SEC-07	非機能: セキュリティ	鍵・暗号化の管理方式	鍵と秘密情報の取り扱い	鍵を扱える人と扱えない人が分かれている／署名鍵の入れ替え中もログインが止まらない／接続用パスワードの入れ替えでアプリが止まらない／秘密情報が記録や画面に出ない／緊急時に使う資格の利用が記録に残る	3	NFR-SEC-015 / NFR-COMP-011	鍵管理の構築が完了していること
F セキュリティ	SEC-08	非機能: セキュリティ	個人情報の取り扱い	記録の伏せ字と個人情報	記録に個人情報が残らない／運用を委託する相手から個人情報が見えない／共通基盤へ出す前に伏せられている／伏せ字の設定を外せないようになっている	4	NFR-COMP-001 / NFR-SEC-002	記録の伏せ字処理の実装が完了していること
F セキュリティ	SEC-09	非機能: 運用・監視	Keycloak の更新・保守	脆弱性の検査と部品の出所	既知の弱点が検出される／重大なものが残っていない／使っている部品の一覧が出せる／出所の確認できない部品が入らない	4	NFR-SEC-014・022 / NFR-OPS-006	構成コードからの反映が動いていること
F セキュリティ	SEC-10	非機能: 運用・監視	運用者アカウントと権限の保護	運用者アカウントの保護	パスワードだけでは入れない／常時の全権が付いていない／昇格が記録され期限で失効する／緊急時アクセスの使用が通知される／棚卸しで不要なアカウントが検出される	2	NFR-SEC-021	運用者アカウントと権限モデルの構築が完了していること
G 運用	OP-01	顧客IdP 管理	顧客IdPの接続登録	顧客の追加と証明書の入れ替え	顧客IdPの登録から初回ログインまで通しでできる／所要時間が約束した範囲に収まる／証明書を止めずに入れ替えられる／期限が近いときに通知が届く／入れ替えに失敗したときに戻せる	4	NFR-SCL-004 / NFR-OPS-011	証明書の無停止入れ替えの実装が完了していること
G 運用	OP-02	顧客IdP 管理	顧客IdP の接続情報の自動追随	接続情報の自動追随	相手側が証明書を入れ替えたあと自動で追随する／追随の間隔が設計どおり／取り直しに失敗したときに通知が届く／追随できないまま期限が来る前に気づける	1.5	FR-FED-011 / NFR-OPS-002	自動追随の実装が完了していること
G 運用	OP-03	監査・記録	監査ログの出力と保管	記録の照会と監査への提出	共通基盤で必要な記録が引ける／保持年数を過ぎた記録が消える／監査から求められる形式で出せる／誰がいつ何をしたかが追える	3	NFR-OPS-004 / NFR-COMP-010	共通基盤への集約が完了していること
G 運用	OP-04	監査・記録	本人からの開示・削除請求への対応	本人からの開示・削除請求への対応	本人を特定できる／保有しているデータを取り出せる／求めに応じて消せる／消したあと復元できないことを示せる／対応の記録が残る／期限内に回答できる	1.5	NFR-COMP-009	手順書が完成していること
G 運用	OP-05	鍵・証明書管理	顧客IdP・本基盤の証明書の期限監視	証明書の期限監視	期限が近いものが検出される／通知が設計した宛先へ届く／検出漏れが無い	1	NFR-OPS-002	期限監視の実装が完了していること
G 運用	OP-06	非機能: 可用性・災害対策	稼働率・復旧目標（SLA / SLO）	約束した稼働率と復旧目標の裏取り	測定した稼働率が約束の値を満たす／復旧の実測値が目標内／満たせない条件が契約に書かれている／測り方が顧客と合意されている	2	NFR-AVL-001 / NFR-DR-001・002	E 可用性・災害復旧が完了していること
G 運用	OP-07	非機能: 運用・監視	監視項目・閾値・通知	監視と通知	決めた値がすべて取れる／閾値を超えたときに通知が届く／通知先が当番表どおりに振り分けられる／止まったことに気づけるまでの時間／ダッシュボードで状況が読める／誤検知が多すぎない	6	NFR-OPS-001・002	監視の構築が完了していること
G 運用	OP-08	非機能: 運用・監視	運用手順書	手順書のリハーサル	事故発生時の初動が手順どおりに実施できる／情報漏えい時の報告が期限内に出せる／顧客の解約が手順どおりにできる／鍵の緊急入れ替えができる／控えからの復元ができる／災害時の切替判断・再構築・復帰ができる／手順書の不備の洗い出しと是正	8	NFR-OPS-008	手順書がすべて揃っていること
G 運用	OP-09	非機能: 運用・監視	緊急時の管理者アクセス	緊急時の管理者アクセス	通常の経路が使えないときに入れる／入った操作がすべて記録される／使い終わったあと資格が無効になる／使用したことが通知される	3	NFR-SEC-017	緊急時アクセスの構築が完了していること
G 運用	OP-10	非機能: 運用・監視	Keycloak の更新・保守	製品の更新	手順どおりに版を上げられる／上げている間にログインが止まらない／失敗したときに戻せる／自社拡張が新しい版でも動く／設定が引き継がれる	5	NFR-OPS-005・006	更新手順の実装が完了していること
G 運用	OP-11	非機能: 設計標準・規約	命名・構成管理規約	構成コードからの再現	コードから環境を作り直せる／手で変えた箇所が検出される／環境ごとの差分が設計どおりに切り替わる／戻したい版に戻せる	4	NFR-OPS-010 / FR-INT-010	構成コードの置き場と自動反映の構築が完了していること
G 運用	OP-12	監視・検知	不正なログインの兆候の検知	不正兆候の検知と通知	失敗の急増で通知が届く／同一送信元の連続試行で通知が届く／誤検知が運用に耐える頻度／通知から初動手順（G-1.3）につながる	1.5	NFR-SEC-023	不正兆候の検知の構築が完了していること
H 受入	UAT-01	ログインの振り分け	顧客IdPの自動振り分け	ユーザによる受入	代表的な業務の流れを最後まで通せる／画面の案内で迷わない／失敗したときに何をすればよいか分かる／複数のアプリを行き来できる	5	—	B 総合が完了していること
H 受入	UAT-02	顧客IdP 管理	接続設定の変更・証明書更新	顧客 IT 部門による受入	接続ガイドどおりに繋げられる／必要な情報が事前に揃っている／繋がらないときの切り分けができる／証明書の入れ替えを自分たちで行える	5	FR-FED-011	顧客IdP 接続ガイドが完成していること
H 受入	UAT-03	非機能: 運用・監視	運用体制・当番	運用担当による受入	手順書だけで日々の運用が回せる／異常に監視で気づける／当番の引き継ぎができる／判断に迷う点の洗い出しと手順への反映	4	NFR-OPS-008・009	G 運用が完了していること
H 受入	UAT-04	非機能: 提供ドキュメント	アプリ開発者向けガイド（共通部）	アプリ開発者による受入	ガイドとサンプルだけで組み込める／試用環境で確認できる／JWT の検証をガイドどおりに実装できる／躓いた点のガイドへの反映	5	—	サンプル実装と試用環境の提供が完了していること
I テスト共通	TE-01	非機能: 移行・環境	開発・検証環境	テスト環境の構築と維持	本番に近い構成で用意する／相手方の検証環境との接続を用意する／期間中の維持と復旧／使い終わったあとの片付け	8	—	—（テストの前提そのもの）
I テスト共通	TE-02	非機能: 移行・環境	開発・検証環境	テストデータの作成	性能試験に必要な量を作れる／個人情報を含まない／顧客ごとの違いを再現できる／何度でも同じ状態に戻せる	6	—	テスト環境の構築が完了していること
I テスト共通	TE-03	非機能: 移行・環境	既存からの移行	切替のリハーサル	既存の認証から本基盤へ 1 アプリ切り替えられる／並行稼働の間どちらでも入れる／戻す手順が動く／切替の判断基準が使える	5	NFR-MIG-005	切替の準備が完了していること
