# 凡例（コード → 値）
## アプリ移管
1	アプリ移管
2	基盤
3	基盤（縮小）
4	追加移管候補
## 判断根拠
1	事故防止
2	他組織との調整
3	代替手段あり
4	利用者が 1 箇所になり不要
5	後から追加可能
6	改ざん防止
7	業務データ
8	業務ルール依存
9	構成の前提
10	権限移管に伴い不要
11	横断（対象縮小）
12	法令・契約
13	画面のみ
14	製品機能
15	認証の中核
16	運用に必須
## 構成前提
1	—（構成に依存しない）
2	アカウントを分ける（未判断）
3	ネットワークを 2 つに分ける（採用）
4	切替先を持つ（不採用）
5	境界を他組織が管理（前提・選べない）
6	規模 1000 万・接続先 1000 超（採用）
7	記録を 7 年保管（前提・選べない）
8	認証製品を 2 つ持つ（不採用）
## 当初想定
1	当初あり
2	新規: 機能追加
3	新規: 自社構築
4	新規: 規模
5	新規: 非機能・運用
## 体制案（器のみ）
1	アプリチーム（作り込み）
2	共同（分けきれない）
3	基盤チーム（器・運用）
4	増える（説明・調整）

WBS ID	アプリ移管	判断根拠	構成前提	当初想定	体制案
D-9.1	1	8	1	2	1
D-9.2	4	13	1	5	3
D-9.3a	2	15	1	2	1
D-9.3b	2	1	1	5	1
D-9.3c	2	9	1	2	3
D-11	2	15	1	1	3
D-12	2	3	1	2	3
D-13	2	1	1	4	3
D-14	2	3	1	4	1
D-15	2	9	1	2	3
D-16.1	2	5	1	2	1
D-16.2	2	5	1	2	1
D-16.3	2	5	1	2	1
D-17.1	2	15	1	1	3
D-17.2	2	15	1	2	1
D-17.3	2	14	1	1	3
D-17.4	2	14	1	1	3
D-17.5	2	15	1	1	3
D-18.1	2	9	4	2	3
D-18.2	2	9	4	2	3
D-18.3	2	9	4	2	3
D-18.4	2	9	4	2	3
D-19	2	9	6	4	3
D-20	2	9	1	2	3
HD-01	3	15	1	2	1
HD-02	3	15	1	2	1
HD-03	2	14	1	3	1
HD-04	2	4	8	1	3
HD-05	2	15	1	2	1
HD-06	1	8	1	2	1
HD-07	1	8	1	2	1
HD-08	1	8	1	2	1
HD-09	1	7	1	2	1
HD-10	1	8	1	2	1
HD-11	2	4	8	2	1
HD-12	2	12	1	2	1
HD-13	4	7	1	2	1
HD-14	2	6	7	5	3
HD-15	2	6	7	5	3
HD-16	1	8	1	2	1
HD-17	2	15	1	2	1
HD-18	2	15	1	2	1
HD-19	1	7	1	2	1
HD-20	2	1	2	2	1
HD-21	2	15	1	2	1
HD-22	3	15	1	2	1
HD-23	1	1	1	2	1
HD-24	3	1	7	2	1
HD-25	3	8	1	2	1
HJ-01a	2	15	1	1	3
HJ-01b	2	4	8	1	3
HJ-02a	2	15	1	1	3
HJ-02b	2	4	8	1	3
HJ-10a	2	15	1	1	3
HJ-10b	2	4	8	1	3
HA-01	3	11	1	1	3
HA-02	3	11	1	1	3
HA-03	3	11	1	1	3
HA-04	3	11	1	1	3
HA-05	3	11	3	1	3
HA-06	3	11	1	1	1
HA-07	3	11	1	1	1
HA-08	3	11	1	1	1
HA-09	3	13	1	1	1
HA-10	3	11	1	1	2
HA-11	3	11	1	1	3
HA-12	3	11	1	1	1
HA-13	2	3	1	4	2
HA-14	1	7	1	2	2
HA-15	3	11	1	1	1
HA-16	3	11	1	1	3
HA-17	3	11	1	3	3
HA-18	3	11	1	1	1
HA-19	3	11	1	1	1
HA-20	3	11	6	4	2
HA-21	3	11	6	4	2
HA-22	3	11	6	4	3
HA-23	3	11	1	1	1
HA-24	3	11	1	1	3
HA-25	3	11	1	1	3
HA-26	2	1	1	5	3
HA-27	2	5	1	2	3
HC-01	2	13	1	1	1
HC-02	2	13	1	1	1
HC-03a	3	13	1	1	1
HC-03b	1	13	1	1	1
HC-04a	2	14	1	4	1
HC-04b	2	14	1	1	3
HC-04c	2	14	1	4	1
HC-04d	2	14	1	1	3
HC-04e	2	14	1	1	3
HC-04f	2	14	1	1	3
HC-04g	2	14	1	1	3
HC-04h	2	14	1	1	3
HC-04i	2	14	1	1	1
HC-04j	2	14	1	1	1
HC-04k	2	14	1	1	1
HC-04l	2	14	1	1	1
HC-05a	2	15	1	2	1
HC-05b	1	8	1	1	1
HC-05c	1	8	1	2	1
HC-05d	1	13	1	5	3
HC-06	2	13	1	1	1
HC-07	2	13	1	1	1
HC-08	2	13	1	1	1
HE-22	2	13	1	2	1
HC-10	2	13	1	1	1
HC-11	2	13	1	1	3
HE-01	2	15	1	2	1
HE-02	2	15	1	2	1
HE-03	2	15	1	2	1
HE-04a	2	15	1	1	1
HE-04b	2	15	1	1	1
HE-04c	2	15	1	1	1
HE-04d	2	15	1	1	1
HE-04e	2	15	1	5	1
HE-04f	2	15	1	1	1
HE-04g	2	15	1	1	1
HE-04h	2	15	1	5	1
HE-04i	2	1	1	5	1
HE-04j	2	15	1	2	1
HE-04k	2	15	1	2	1
HE-04l	2	15	1	2	1
HE-05a	1	8	1	2	1
HE-05b	1	8	1	2	1
HE-05c	1	8	1	2	1
HE-05d	1	8	1	2	1
HE-05e	1	8	1	2	1
HE-05f	1	8	1	2	1
HE-05g	1	8	1	2	1
HE-05h	1	8	1	2	1
HE-05i	1	8	1	2	1
HE-05j	1	8	1	2	1
HE-06a	1	8	1	2	1
HE-06b	1	8	1	2	1
HE-06c	2	15	1	1	1
HE-06d	1	8	1	2	1
HE-06e	1	8	1	2	1
HE-06f	1	7	1	2	1
HE-06g	2	15	1	2	1
HE-06h	2	6	7	5	3
HE-07	2	15	1	2	1
HE-08	2	15	1	2	1
HE-21a	2	15	1	2	1
HE-21b	2	15	1	2	1
HE-21c	2	15	1	2	1
HE-21d	2	15	1	2	1
HE-21e	2	15	1	2	1
HE-21f	2	15	1	2	1
HE-09	2	15	1	2	1
HE-10	2	5	1	2	1
HE-11	2	4	8	2	1
HE-12	2	4	8	2	1
HE-13	1	3	1	2	1
HE-14	2	15	1	1	3
HE-15	2	15	1	1	3
HE-16	2	5	1	2	1
HE-17	2	15	1	1	3
HE-18	2	14	1	4	3
HE-19a	2	1	1	5	3
HE-19b	2	1	1	2	1
HE-19c	2	1	1	2	1
HE-19d	2	1	1	2	1
HE-20	2	15	1	2	1
HF-01	2	15	1	2	1
HF-02	2	1	1	2	1
HF-03	2	1	1	2	1
HF-04	2	4	8	5	1
HF-05	2	15	1	2	1
HF-06	2	15	1	2	1
HF-07	2	15	1	2	1
HG-01	2	1	1	2	1
HG-02	2	1	1	2	1
HG-03	2	1	2	2	1
HG-04	4	13	7	5	3
HG-05	4	13	7	5	3
HG-06	2	5	1	5	3
HG-07	2	1	1	5	1
HG-08	2	6	1	5	3
HH-01	2	16	1	5	3
HH-02	2	16	1	5	3
HH-03	2	16	1	5	3
HH-04	2	15	1	2	1
HH-05	2	16	1	5	3
HI-01	3	11	1	1	3
HI-02	3	11	1	1	3
HI-03	3	11	1	1	3
HI-04	3	11	1	1	3
HI-05	3	11	1	1	3
HI-06	3	11	1	1	3
HJ-03	2	3	6	4	1
HJ-04	2	15	1	2	1
HJ-05	2	1	1	5	1
HJ-06	2	14	1	3	3
HJ-07	2	14	1	3	3
HJ-08	2	15	1	2	1
HJ-09	2	14	1	3	3
HJ-11	2	4	8	4	1
HJ-12	2	14	3	3	3
HJ-13	2	4	8	2	1
HJ-14	2	15	1	2	1
HJ-15	2	15	1	2	1
HJ-16	2	3	6	4	1
HJ-17	2	14	6	3	3
HJ-18	2	14	1	3	3
HJ-19	2	14	1	3	3
HK-01	3	12	1	5	3
HK-02	3	12	1	5	3
HK-04	3	12	1	5	1
HK-05	2	15	1	2	1
HK-06	4	13	7	5	3
HK-07	2	1	1	2	1
HK-08	2	15	1	2	1
HK-09	3	12	1	5	3
HB-F-AUTH-01	2	15	1	1	3
HB-F-AUTH-02	2	3	6	4	1
HB-F-AUTH-03	2	3	1	4	1
HB-F-AUTH-04	2	3	1	4	1
HB-F-AUTH-05	2	15	1	1	3
HB-F-AUTH-06	2	15	1	1	3
HB-F-AUTH-07	2	15	1	1	1
HB-F-AUTH-08	2	15	1	1	1
HB-F-AUTH-09	2	4	8	4	1
HB-F-AUTH-10	2	14	1	1	3
HB-F-AUTH-11	2	14	1	1	3
HB-F-AUTH-12	2	14	1	1	3
HB-F-AUTH-13	2	14	1	1	3
HB-F-AUTH-14	2	5	1	2	1
HB-F-AUTH-15	2	14	1	1	3
HB-F-AUTH-16	2	3	1	2	1
HB-F-AUTH-17	2	3	1	1	1
HB-F-AUTH-18	2	3	1	1	1
HB-F-AUTH-19	2	14	1	1	3
HB-F-AUTH-20	2	1	1	4	3
HB-F-AUTH-21	2	1	1	4	1
HB-F-AUTH-22	2	3	1	4	1
HB-F-PROV-01	2	15	1	2	1
HB-F-PROV-02	2	15	1	2	1
HB-F-PROV-03	2	5	1	2	1
HB-F-PROV-04	2	5	1	2	1
HB-F-PROV-05	2	5	1	2	1
HB-F-PROV-06	2	5	1	2	1
HB-F-PROV-07	2	5	1	2	1
HB-F-PROV-08	2	15	1	2	1
HB-F-PROV-09	2	15	1	2	1
HB-F-PROV-10	2	1	1	2	1
HB-F-PROV-11	2	1	1	2	1
HB-F-PROV-12	2	4	8	2	1
HB-F-PROV-13	2	4	8	2	1
HB-F-PROV-14	1	4	8	2	1
HB-F-PROV-15	1	10	2	2	1
HB-F-PROV-16	1	7	1	2	1
HB-F-PROV-17	1	10	1	2	1
HB-F-ADM-01	2	15	1	1	1
HB-F-ADM-02	2	15	1	1	1
HB-F-ADM-03	2	15	1	1	1
HB-F-ADM-04	2	15	1	1	1
HB-F-ADM-05	2	15	1	5	1
HB-F-ADM-06	2	15	1	1	1
HB-F-ADM-07	2	15	1	1	1
HB-F-ADM-08	2	15	1	2	1
HB-F-ADM-09	2	15	1	5	1
HB-F-ADM-10	2	15	1	5	1
HB-F-ADM-11	1	8	1	2	1
HB-F-ADM-12	1	8	1	2	1
HB-F-ADM-13	2	3	1	2	1
HB-F-ADM-14	2	15	1	2	1
HB-F-ADM-15	4	13	1	2	1
HB-F-ADM-16	2	15	1	2	1
HB-F-ADM-17	2	15	1	2	1
HB-F-ADM-18	4	13	7	5	3
HB-F-ADM-19	1	8	1	2	1
HB-F-ADM-20	2	15	1	2	1
HB-F-ADM-21	2	15	1	2	1
HB-F-ADM-22	2	5	1	2	1
HB-F-AZ-01	1	8	1	2	1
HB-F-AZ-02	1	8	1	2	1
HB-F-AZ-03	1	8	1	2	1
HB-F-AZ-04	1	8	1	2	1
HB-F-AZ-05	2	1	2	2	1
HB-F-AZ-06	2	1	1	2	1
HB-F-AZ-07	2	1	1	5	1
HB-F-AZ-08	2	5	1	2	1
HB-F-AZ-09	2	5	1	5	3
HB-F-INT-01	2	5	1	2	1
HB-F-INT-02	2	5	1	2	1
HB-F-INT-03	2	5	1	2	1
HB-F-INT-04	1	3	1	2	1
HB-F-INT-05	2	4	8	2	1
HB-F-INT-06	1	4	8	2	1
HB-F-INT-07	2	14	1	5	3
HB-F-INT-08	2	1	1	5	1
HB-F-INT-09	2	3	1	5	1
HB-F-INT-10	2	3	1	2	1
HB-F-INT-11	2	3	1	2	1
HB-F-INT-12	2	5	1	2	1
HB-F-BAT-01	2	1	1	2	1
HB-F-BAT-02	2	4	8	5	1
HB-F-BAT-03	2	1	1	5	1
HB-F-BAT-04	2	1	1	5	3
HB-F-BAT-05	2	1	1	5	3
HB-F-BAT-06	2	5	1	2	1
HB-F-BAT-07	2	1	1	5	3
HB-F-BAT-08	1	8	1	5	1
HB-F-BAT-09	2	5	7	2	1
HB-01	2	11	1	1	1
HB-08	2	11	1	1	1
HB-09	2	11	1	1	1
HB-10	2	11	1	1	1
HB-11	2	11	1	1	1
HB-12	2	11	1	1	1
HB-13	2	11	1	1	1
HB-14	2	11	1	1	1
HB-15	2	11	1	1	1
HB-16	2	11	1	1	1
HB-17	2	11	1	1	1
HB-18	2	1	1	2	1
HB-19	2	1	1	2	1
HB-20	1	13	1	1	1
HB-21	2	15	1	2	1
HB-22	2	15	1	2	1
HK-03	3	12	1	5	3
A-4	2	9	1	3	3
D-3	2	9	1	2	3
D-4	2	9	1	2	3
D-10	2	9	1	2	3
GD-01	2	15	1	2	4
GD-02	2	15	1	2	4
GD-03	2	15	1	2	4
GD-04	2	15	1	2	4
GD-05	2	15	1	2	4
GD-06	2	15	1	2	4
GD-07	2	15	1	2	4
GD-08	2	15	1	2	4
GD-09	2	15	1	1	3
GD-10	2	15	1	1	3
GD-11	2	15	1	2	4
GD-12	2	1	1	5	1
GD-13	2	5	1	2	1
GD-14	2	15	1	1	3
GD-15	2	15	1	1	3
GD-16	2	15	1	1	3
GD-17	2	15	1	1	3
GD-18	2	15	1	1	3
GD-19	2	1	1	2	1
GD-20	1	8	1	2	1
GD-21	2	15	1	1	3
GD-22	2	15	1	1	3
GD-23	2	15	1	1	3
GD-24	2	15	1	1	3
GD-25	2	3	1	1	1
GD-26	2	15	1	2	4
GD-27	2	15	1	2	4
GD-28	2	15	1	2	4
GD-29	2	15	1	2	4
GD-30	2	15	1	2	4
GD-31	2	15	1	2	4
GD-32	2	15	1	2	4
GD-33	2	15	1	2	4
GD-34	2	5	1	2	1
GD-35	1	3	1	2	1
GD-36	2	5	1	2	1
GD-37	2	15	1	2	4
GD-38	2	15	1	2	4
GD-39	2	15	1	2	4
GD-40	2	15	1	2	4
GD-41	2	15	1	2	4
GD-42	2	15	1	2	4
GD-43	2	15	1	2	4
GD-44	2	15	1	2	4
GD-45	2	15	1	2	4
GD-46	2	15	1	2	4
GD-47	2	15	1	2	4
GD-48	2	15	1	2	4
GD-49	2	15	1	2	4
GD-50	2	15	1	2	4
GD-51	2	15	1	2	4
GD-52	2	15	1	2	4
GD-53	2	15	1	2	4
