系統	機能グループ	機能名	機能ID	概要	基盤	アプリ	行数	人日	うち対象
ユーザ管理	ユーザの停止・再開・消去	停止の確実な伝播	F-PROV-12	片方で止めた事実をもう一方へ必ず伝える。2026-09-07 決定: 伝播しない。Keycloak-IdP 側で止めた後の残存は Keycloak-Broker のセッション上限（12 時間）で受容する	○	-	0	0	0
ユーザ管理	ユーザの停止・再開・消去	再開の確実な伝播	F-PROV-13	再開も止めたときと同じ経路で伝える。2026-09-07 決定: 伝播しない。Keycloak-IdP 側で止めた後の残存は Keycloak-Broker のセッション上限（12 時間）で受容する	○	-	0	0	0
ユーザ管理	ユーザ管理（管理画面・API）	ユーザの検索・一覧	F-ADM-01	管理者が自分の顧客のユーザを検索・一覧表示する	△	△	0	0	0
ユーザ管理	ユーザ管理（管理画面・API）	ユーザの詳細参照	F-ADM-02	ユーザ 1 人の詳細情報を表示する	△	△	0	0	0
ユーザ管理	ユーザ管理（管理画面・API）	ユーザの登録	F-ADM-03	管理者がユーザを新規に登録する	△	△	0	0	0
ユーザ管理	ユーザ管理（管理画面・API）	ユーザの変更	F-ADM-04	管理者がユーザの情報を変更する	△	△	0	0	0
ユーザ管理	ユーザ管理（管理画面・API）	ユーザの利用可否の切替	F-ADM-05	管理者がユーザを一時的に使えなくする／戻す	△	△	0	0	0
ユーザ管理	ユーザ管理（管理画面・API）	ユーザの削除	F-ADM-06	管理者がユーザを削除する。実際には消さずに使えない状態にする	△	△	0	0	0
ユーザ管理	ユーザ管理（管理画面・API）	ユーザの招待	F-ADM-08	新しいユーザに招待を送り、本人に初期設定させる	△	△	0	0	0
ユーザ管理	ユーザ管理（管理画面・API）	ユーザの一括登録	F-ADM-20	ユーザをまとめて登録するためのファイル取り込み	△	△	0	0	0
ユーザ管理	ユーザ管理（管理画面・API）	一覧・記録のファイル出力	F-ADM-21	ユーザ一覧や操作記録をファイルとして出力する	△	△	0	0	0
ユーザ管理	顧客・組織管理	顧客の作成	F-ADM-14	新しい顧客を作成する	○	-	1	1	1
ユーザ管理	顧客・組織管理	顧客設定の編集	F-ADM-15	顧客ごとの設定（ログイン方式の切り替えなど）を編集する	△	△	0	0	0
ユーザ管理	顧客・組織管理	組織情報の編集	F-ADM-13	ユーザが所属する組織の情報を編集する	△	△	0	0	0
ユーザ管理	顧客・組織管理	顧客の解約	F-ADM-23	顧客がサービスから離脱するときのデータの扱いと停止の段取り	○	-	1	1	1
ユーザ管理	顧客IdP管理	顧客IdPの接続登録	F-ADM-16	顧客IdPを基盤に接続する登録作業	△	△	1	2	2
ユーザ管理	顧客IdP管理	接続設定の変更・証明書更新	F-ADM-17	接続済みの認証システムの設定変更と、期限が来る証明書の入れ替え	○	-	1	3	3
ユーザ管理	顧客IdP管理	接続情報の自動追随	F-INT-11	顧客IdPの接続情報を定期的に取り直し、証明書の入れ替えに自動追随する	○	-	1	1	1
権限・認可	権限管理	使えるアプリの設定	F-ADM-11	どのユーザにどのアプリを使わせるかを設定する	-	○	0	0	0
権限・認可	権限管理	アプリ内の役割の設定	F-ADM-12	アプリごとの役割（ロール）をユーザに割り当てる	-	○	0	0	0
権限・認可	権限管理	権限の棚卸し	F-ADM-19	付与済みの権限が今も妥当かを定期的に確認させる	-	○	0	0	0
権限・認可	権限管理	権限棚卸しの定期起動	F-BAT-08	権限の棚卸しを定期的に開始する処理	-	○	0	0	0
権限・認可	権限管理	顧客番号と基盤識別子の対応づけ	F-PROV-16	顧客側のユーザ番号と基盤側の識別子を対応づけて管理する	-	○	2	3	3
権限・認可	権限管理	参照用データの更新	F-PROV-17	アプリが 1 回の問い合わせで必要な情報を得られるよう、複数の情報源をまとめた参照用データを最新に保つ	-	○	0	0	0
権限・認可	認可・権限判定	アプリ利用可否の判定	F-AZ-03	ユーザがそのアプリを使ってよいかを判定する	-	○	0	0	0
権限・認可	認可・権限判定	アプリ内の役割の解決	F-AZ-04	アプリごとの役割の値を解決して返す	-	○	0	0	0
権限・認可	認可・権限判定	権限情報の一括取得	F-AZ-01	アプリが「このユーザは何ができるか」を 1 回の問い合わせで取得できるようにする	-	○	0	0	0
権限・認可	認可・権限判定	使えるアプリ一覧の取得（ログイン後の着地）	F-AZ-02	ログイン後の入口画面に表示する「使えるアプリの一覧」を返す	△	△	0	0	0
権限・認可	認可・権限判定	JWT に載せる項目の定義	F-AZ-10	アプリへ渡すJWT に何を載せるか。要求できる範囲（スコープ）とクレームの辞書を含む	○	-	3	4	4
権限・認可	認可・権限判定	顧客越境の防止（Keycloak-Broker 側）	F-AZ-05	ユーザが自分の顧客以外の顧客IdPを使ってログインできないようにする。権限データ側の越境防止はアプリの責務	△	△	1	0.5	0.5
権限・認可	認可・権限判定	管理操作の 3 段階権限確認	F-AZ-06	管理画面の操作について、顧客・役割・対象の 3 つの観点で権限を確認する	○	-	1	1	0
権限・認可	JWT の発行・交換	システム間 JWT の発行	F-AZ-07	アプリやバッチがシステムとして API を呼ぶための資格を発行する	○	-	1	1.5	1.5
権限・認可	JWT の発行・交換	JWT の交換	F-AZ-08	あるアプリ向けの資格を、別のアプリ向けに交換する	○	-	0	0	0
連携	アプリ・外部連携	アプリの接続登録（クライアント登録）	F-INT-13	新しいアプリを Keycloak-Broker に接続するときの登録内容・申請の流れ・接続情報の渡し方	○	-	1	1	1
連携	アプリ・外部連携	管理 API の内部公開（idm-api 向け）	F-INT-14	アプリ側の管理 API（idm-api）が Keycloak-Broker の管理 API を呼ぶための内部経路と、呼び出し元の資格・許す操作の範囲。ユーザの停止・全セッション破棄など管理画面からの操作はここを通る	○	△	1	2	2
連携	アプリ・外部連携	アプリへの変更通知（Webhook）	F-INT-04	ユーザの変更をアプリ側へ通知する。届かなかった場合の再送を含む	△	△	0	0	0
連携	アプリ・外部連携	状態変化の即時通知（CAEP）	F-INT-12	ユーザの状態変化をアプリ側へ即時に伝える新方式。初期リリースでは対象外	○	-	0	0	0
連携	アプリ・外部連携	通知メールの送信	F-INT-07	招待・パスワード再設定・注意喚起などのメールを送る	○	-	0	0	0
連携	業務システム連携（ServiceNow）	業務システムへの認証提供	F-INT-01	業務システムに対して、Keycloak-Broker が認証の提供元として振る舞う	○	-	3	7	7
連携	業務システム連携（ServiceNow）	業務システム側のユーザ自動作成	F-INT-02	業務システム側で、初回ログイン時にユーザを自動作成させる	○	-	1	2	2
連携	業務システム連携（ServiceNow）	業務システムから他アプリへの連携	F-INT-03	業務システムにログインした状態から、他のアプリの API を呼べるようにする	○	-	1	1	1
運用機能	監査・記録	操作記録の照会	F-ADM-18	管理操作やログイン、権限判定の記録を検索・閲覧する。長期保管と中央集約を含む	△	△	0	0	0
運用機能	監査・記録	監査ログの取得・保管方式	F-ADM-25	何を記録に残し、どの項目を何年保つか。長期保管領域と、他組織の監査アカウントへの集約を含む	△	△	4	5	2
運用機能	監査・記録	システム用アカウントの台帳管理	F-ADM-22	人ではないシステム用のアカウントを台帳で管理し、管理者不在のものを検出する	○	-	0	0	0
運用機能	監査・記録	本人からの開示・削除請求への対応	F-ADM-24	本人から求められたときに、保有する個人データを開示し、または削除する	○	-	1	1	1
運用機能	鍵・証明書管理	署名鍵の定期入れ替え	F-BAT-04	JWT の署名に使う鍵を定期的に入れ替える。切り替え中も止めないための並走期間を含む	○	-	2	2.5	2.5
運用機能	鍵・証明書管理	接続用パスワードの定期入れ替え	F-BAT-05	アプリごとの接続用パスワードを定期的に入れ替える	○	-	1	0.5	0.5
運用機能	鍵・証明書管理	証明書期限の監視	F-BAT-07	証明書の期限切れが近いものを検出して通知する	○	-	1	0.5	0.5
運用機能	データ整合・突合	日次の整合突合	F-BAT-03	システム間の情報のずれを 1 日 1 回突き合わせる	○	-	0	0	0
運用機能	データ整合・突合	停止伝播の突合（短間隔）	F-BAT-02	止めた事実が確実に伝わったかを短い間隔で突き合わせる。2026-09-07 決定: 伝播しない。Keycloak-IdP 側で止めた後の残存は Keycloak-Broker のセッション上限（12 時間）で受容する	○	-	0	0	0
運用機能	監視・検知	不正兆候の検知	F-INT-08	不正なログインの兆候を検知して通知する	○	-	1	1	1
運用機能	監視・検知	擬似ログインによる障害検知	F-INT-09	本物のユーザを模した定期的なログイン試行で、障害をユーザより先に見つける	○	-	0	0	0
非機能	非機能: システム構成	全体構成（論理・物理）	NF-ARC-01	システム全体の構成を論理・物理の両面で示す図と、その清書	○	-	1	2	2
非機能	非機能: システム構成	ネットワーク構成	NF-ARC-02	ネットワークの区画・経路・IP アドレス範囲。他組織が管理する境界との接続を含む	○	-	2	4	4
非機能	非機能: システム構成	クラスタ構成	NF-ARC-03	Keycloak-Brokerを動かすクラスタのノード構成・配置制約・自動増減と、ベンダー保守との責任分界	○	-	2	2	2
非機能	非機能: システム構成	Realm・ブランド区画構成	NF-ARC-04	Keycloak-Brokerを何個の区画に分けるか。ブランドごとの分け方と発行元の規律	○	-	1	4	4
非機能	非機能: システム構成	環境構成（本番 / stg / dev）	NF-ARC-05	環境ごとの構成の差分と、どこまで揃えるか	○	-	1	1	1
非機能	非機能: システム構成	他組織との構成調整	NF-ARC-06	インターネット境界を管理する他組織との要求事項のやり取りと合意	○	-	1	1.5	1.5
非機能	非機能: システム構成	データベース設計（Keycloak-Broker）	NF-ARC-07	Keycloak-Brokerが使うデータベースの構成・触ってよい範囲・索引と分割の方針。Keycloak-Broker 側のみを対象とし、IdP 側はアプリチームの範囲	○	-	3	3	3
非機能	非機能: 性能・拡張性	性能目標・チューニング方針	NF-PRF-01	応答時間と処理量の目標、処理方式、チューニングの考え方	○	-	1	4	4
非機能	非機能: 性能・拡張性	キャパシティ・データ量見積	NF-PRF-02	テーブル別のデータ量・増加率・5 年後の見込みと、その前提の根拠	○	-	3	6.5	6.5
非機能	非機能: 性能・拡張性	同時実行・上限値の設定	NF-PRF-03	同時に受け付ける数の上限や、重い処理が他を止めないための設定	○	-	3	3	3
非機能	非機能: 性能・拡張性	性能試験の計画	NF-PRF-04	どの経路をどれだけの負荷で測るかの計画	○	-	1	4	4
非機能	非機能: 可用性・災害対策	災害対策（別地域への切替）	NF-AVL-01	地域全体が使えなくなったときの切替。Phase 1 では対象外	○	-	7	11.5	11.5
非機能	非機能: 可用性・災害対策	バックアップ・復元	NF-AVL-02	誤操作やデータの壊れからの復元手順。同一地域内で行う	○	-	1	2	2
非機能	非機能: 可用性・災害対策	稼働率・復旧目標（SLA / SLO）	NF-AVL-03	顧客に約束する稼働率と復旧目標、および約束しない範囲	○	-	1	1	1
非機能	非機能: セキュリティ	攻撃経路と対策	NF-SEC-01	想定される攻撃経路を洗い出し、それぞれの対策を対応づける	○	-	2	4	4
非機能	非機能: セキュリティ	鍵・暗号化の管理方式	NF-SEC-02	暗号化に使う鍵を種類ごとにどう管理するか。鍵と証明書の一覧を含む	○	-	3	3	3
非機能	非機能: セキュリティ	個人情報の取り扱い	NF-SEC-03	運用委託先や記録から個人情報が漏れないようにする方式	○	-	1	3	3
非機能	非機能: 運用・監視	監視項目・閾値・通知	NF-OPS-01	何を見張り、どの値で誰に知らせるか	○	-	3	3	3
非機能	非機能: 運用・監視	運用体制・当番	NF-OPS-02	当番の組み方と通知先の割り当て	○	-	1	1	1
非機能	非機能: 運用・監視	運用手順書	NF-OPS-03	事故対応・報告・顧客の受け入れなど、運用時に手順どおり行う作業	○	-	2	2	2
非機能	非機能: 運用・監視	緊急時の管理者アクセス	NF-OPS-04	通常経路が使えないときに管理者が入る仕組み	○	-	1	0.5	0.5
非機能	非機能: 運用・監視	運用者アカウントと権限の保護	NF-OPS-11	本基盤運用者のローカル認証（WebAuthn 必須）、常時の全権付与の禁止と必要時だけの昇格、緊急時アクセスとの関係、定期棚卸し	○	-	1	2	2
非機能	非機能: 運用・監視	Keycloak の更新・保守	NF-OPS-05	Keycloak の版を上げるときの手順と、ベンダーのサポート範囲	○	-	3	6	6
非機能	非機能: 運用・監視	定期処理の実行基盤	NF-OPS-06	バッチの一覧・実行基盤・スケジュール・多重起動制御	○	-	0	0	0
非機能	非機能: 運用・監視	運用コストの管理	NF-OPS-07	運用開始後に費用を継続的に把握・管理する仕組み	○	-	0	0	0
非機能	非機能: 運用・監視	運用プロセス（受付・変更・障害）	NF-OPS-08	問い合わせを受けてから解決するまで、設定を変えるとき、障害が起きたときの、決められた進め方	○	-	4	7	7
非機能	非機能: 運用・監視	サービスレベルの測定と報告	NF-OPS-09	約束した稼働率や応答時間を実際に測り、顧客へ定期的に報告する	○	-	1	2	2
非機能	非機能: 運用・監視	定期作業の計画と引き継ぎ	NF-OPS-10	日次・週次・月次・年次に行う作業の一覧と暦。運用開始前の引き継ぎと教育を含む	○	-	2	3.5	3.5
非機能	非機能: 移行・環境	開発・検証環境	NF-MIG-01	開発と検証に使う環境の構成・共用方針・試験用データ	○	-	3	3	1
非機能	非機能: 移行・環境	既存からの移行	NF-MIG-02	既存の仕組みから本基盤へ移るときの段取りと、移行先にしかいないユーザの扱い	△	△	1	1.5	1.5
非機能	非機能: 設計標準・規約	共通方式（エラー・ログ・整合・排他ほか）	NF-STD-01	エラー処理・ログ出力・整合性・排他制御・キャッシュ・採番・文字コード・多言語の共通方針	△	△	2	3.5	3.5
非機能	非機能: 設計標準・規約	API 設計規約	NF-STD-02	API の命名・エラーの返し方・件数の区切り方・冪等・版管理と廃止方針	△	△	1	2	2
非機能	非機能: 設計標準・規約	画面設計規約	NF-STD-03	画面の共通レイアウト・部品・メッセージ・アクセシビリティの基準	△	△	0	0	0
非機能	非機能: 設計標準・規約	命名・構成管理規約	NF-STD-04	リソース・API・DB の命名と、構成をコードで管理するときの規約	○	-	2	1.5	1.5
非機能	非機能: 設計管理	設計書の総則・前提・用語	NF-MGT-01	設計書の目的・範囲・読み方、前提条件の一覧、用語集	○	-	3	2.5	2.5
非機能	非機能: 設計管理	機能一覧・業務フロー	NF-MGT-02	作る機能の一覧と、ユーザから見た代表的な業務の流れ	○	-	0	0	0
非機能	非機能: 設計管理	画面一覧・画面遷移	NF-MGT-03	システム全体でどんな画面があるかの一覧と、画面のつながり	△	△	0	0	0
非機能	非機能: 設計管理	IF 一覧・データ全体構成	NF-MGT-04	内部・外部のつなぎ目の一覧と、どのデータがどこにあるかの全体像	△	△	0	0	0
非機能	非機能: 設計管理	トレーサビリティ	NF-MGT-05	要件から機能・設計・テストまでの追跡と、その維持の仕方	○	-	2	7	7
非機能	非機能: 設計管理	設計レビュー・説明会	NF-MGT-06	設計書どうしの整合レビューと、関係者への説明	○	-	10	15	15
非機能	非機能: 設計管理	顧客・ベンダーへの照会	NF-MGT-07	顧客への質問状、法務やベンダーへの照会と、その回答の設計への反映	○	-	0	0	0
非機能	非機能: 提供ドキュメント	アプリ開発者向けガイド（共通部）	NF-DOC-01	アプリ開発者へ渡すガイドのうち、特定の機能に紐づかない導入・運用・参照の部分	○	-	1	1	1
非機能	非機能: 提供ドキュメント	顧客向け説明資料	NF-DOC-02	責任分界・サービス仕様・制約事項など、契約に添えて顧客へ渡す資料	○	-	2	3	3
