ID	分類	作業種別	機能グループ	機能名	項目	概要	成果物と完了条件	人日	担当（案②: 一部移管）	担当（案③: アプリ構築）	判断根拠	根拠の補足	スコープ	当初想定	依存	状態	出典	機能ID
GD-10	GD アプリ向けガイド	ガイド・手順書の執筆	フェデレーションログイン	顧客IdPへのログイン委譲（OIDC）	第3部 SPA（ブラウザ）	ブラウザだけで動く形式のアプリ向けの実装手順と、認める条件	ガイド 1 章。JWT をブラウザに保存してはいけない範囲と、使えない機能の制約が明示されている	1	基盤チーム	基盤チーム	認証の中核	顧客IdPへ委ねる中核で、これが無いと基盤の存在理由が無い	対象	当初あり	—	未着手		F-AUTH-05
GD-14	GD アプリ向けガイド	ガイド・手順書の執筆	フェデレーションログイン	顧客IdPへのログイン委譲（OIDC）	第4部 認可リクエスト	ログインを開始するときにアプリが必ず付ける情報と、やってはいけない古い方式	ガイド 1 章。必須パラメータと禁止事項が判定可能な形で列挙されている	2	基盤チーム	基盤チーム	認証の中核	顧客IdPへ委ねる中核で、これが無いと基盤の存在理由が無い	対象	当初あり	—	未着手		F-AUTH-05
GD-15	GD アプリ向けガイド	ガイド・手順書の執筆	フェデレーションログイン	顧客IdPへのログイン委譲（OIDC）	第4部 JWT の取得・保存	受け取ったJWT をどこに保存してよいか・いけないかの方針	ガイド 1 章。保存場所ごとの可否と理由が示されている	2	基盤チーム	基盤チーム	認証の中核	顧客IdPへ委ねる中核で、これが無いと基盤の存在理由が無い	対象	当初あり	—	未着手		F-AUTH-05
HB-F-AUTH-06	HB 機能設計	設計書の執筆	フェデレーションログイン	顧客IdPへのログイン委譲（SAML）	機能仕様書: フェデレーションログイン（SAML）	顧客が持っている認証システムのうち、旧来の方式で連携する場合のログイン機能	機能仕様書 1 本。旧方式特有の識別子の扱いと、標準方式との差分が定義されレビュー承認済み	0.5	基盤チーム	基盤チーム	認証の中核	顧客IdPへ委ねる中核で、これが無いと基盤の存在理由が無い	対象	当初あり	—	未着手	ADR-031、U2 §2.7	F-AUTH-06
HE-15	HE つなぎ目設計	設計書の執筆	フェデレーションログイン	顧客IdPへのログイン委譲（SAML）	認証プロトコルIF（SAMLメタデータ・Assertion）	旧方式の認証連携で、やり取りする情報の仕様。内訳: メタデータ / Assertion / シングルログアウト	仕様書。接続情報の受け渡し方と項目が定まっている	4	基盤チーム	基盤チーム	認証の中核	顧客IdPへ委ねる中核で、これが無いと基盤の存在理由が無い	対象	当初あり	—	未着手		F-AUTH-06
D-11	D 判断	調査・計画	フェデレーションログイン	顧客IdPへのログイン委譲（SAML）	旧方式の顧客IdPを登録するひな形	旧方式の顧客IdPを登録するときのひな形を作る	ひな形定義。項目の対応づけが定まっている	2	基盤チーム	基盤チーム	認証の中核	【省略・吸収】HE-15 認証プロトコル IF（SAML メタデータ・Assertion）に吸収。人日は復活時のために残す	対象外：省略・吸収	当初あり	—	未着手		F-AUTH-06
HB-F-AUTH-07	HB-F 機能仕様書	設計書の執筆	フェデレーションログイン	初回ログイン時のユーザ自動作成（JIT）	機能仕様書: 初回ログイン時のユーザ自動作成（JIT）	顧客IdP経由で初めてログインした人を、その場で Keycloak-Broker のユーザとして作る	機能仕様書。作る条件・持たせる項目・重複したときの扱いが定まっている	1	基盤チーム	基盤チーム	認証の中核	これが無いとフェデレーションのログインが完了しない。Keycloak-Brokerの初回連携フローに直結する	対象	新規: 機能追加	—	未着手		F-PROV-01
HB-F-PROV-02	HB-F 機能仕様書	設計書の執筆	フェデレーションログイン	ログイン時の属性更新	機能仕様書: ログイン時の属性更新	2 回目以降のログインで、顧客側の最新の情報を使って属性を更新する	機能仕様書。更新する項目と、更新しない項目の区別が定まっている	0.5	基盤チーム	基盤チーム	認証の中核	属性が古いままだとアプリ側の判断が誤る	対象	新規: 機能追加	—	未着手		F-PROV-02
HB-F-AUTH-01	HB 機能設計	設計書の執筆	ローカルログイン（Keycloak-IdP 収容）	Keycloak-IdP 収容ユーザのログイン	機能仕様書: ローカルログイン（ID/PW）	ユーザ ID とパスワードで直接ログインする機能。顧客側に認証システムがない顧客のユーザと、基盤の運用担当者が使う	機能仕様書 1 本。パスワード桁数・履歴・初回変更の扱いと、失敗時にユーザへ返す内容が定義されレビュー承認済み	0.5	基盤チーム	基盤チーム	認証の中核	顧客側に認証の仕組みが無い場合の受け皿で、顧客IdPを持たない顧客の受け皿として成立させる前提	対象	当初あり	—	未着手	U2 §2.3、P-07	F-AUTH-01
HJ-10b	HJ Keycloak の作り込み	設計書の執筆	ローカルログイン（Keycloak-IdP 収容）	Keycloak-IdP 収容ユーザのログイン	Keycloak-Brokerの設定値一覧（ユーザを直接収容する側）	Keycloak-Brokerの設定値を決める（ユーザを直接収容する側）	設定値一覧。パスワード条件を含め数値で定まっている	2	基盤チーム	基盤チーム	ユーザが 1 箇所になり不要	収容側の設定値一覧。受付側（HJ-10a）に統合される	対象外：Keycloak-Brokerを 1 つに統合	当初あり	—	未着手		F-AUTH-01
HJ-20	HJ Keycloak-Brokerの作り込み	レビュー・合意	ローカルログイン（Keycloak-IdP 収容）	Keycloak-IdP 収容ユーザのログイン	Keycloak-IdP 側の引き渡し範囲と責任分界の取り決め	基盤（ROSA）をどの状態まで作って渡すか、渡した後は誰が何を持つかを決める	合意記録。引き渡す状態・手順・渡した後の責任範囲が定まっている	1.5	基盤チーム	基盤チーム	構成の前提	基盤は基盤（ROSA）だけを作ってアプリチームへ引き渡す前提。境界が曖昧だと運用で揉める	対象	新規: 機能追加	—	未着手		F-AUTH-01
HB-F-AUTH-10	HB 機能設計	設計書の執筆	多要素認証	追加認証（数字コード）	機能仕様書: MFA認証（TOTP）	スマートフォンアプリで生成する 6 桁の数字による追加認証	→ 収載先: 多要素認証設計書。機能仕様書 1 本。桁ずれの許容範囲と、連続失敗時の扱いが定義されレビュー承認済み	0.5	基盤チーム	基盤チーム	製品機能	【Keycloak-IdP 側の責務】追加認証はKeycloak-Broker では行わない。フェデレーションのユーザは顧客IdP側、直接収容するユーザは Keycloak-IdP 側で行う。人日は復活時のために残す	対象外：Keycloak-IdP 側の責務	当初あり	—	未着手	U7 D-U7-14	F-AUTH-10
HB-F-AUTH-12	HB 機能設計	設計書の執筆	多要素認証	追加認証の登録（数字コード）	機能仕様書: MFAエンロール（TOTP）	スマートフォンアプリの追加認証を初めて登録する画面の流れ	→ 収載先: 多要素認証設計書。機能仕様書 1 本。QR と手入力の両方を用意し、登録完了を確認してから有効化する手順が定義されレビュー承認済み	0.5	基盤チーム	基盤チーム	製品機能	【Keycloak-IdP 側の責務】追加認証はKeycloak-Broker では行わない。フェデレーションのユーザは顧客IdP側、直接収容するユーザは Keycloak-IdP 側で行う。人日は復活時のために残す	対象外：Keycloak-IdP 側の責務	当初あり	—	未着手	U4 §4.4.2	F-AUTH-12
HB-F-AUTH-21	HB-F 機能仕様書	設計書の執筆	不正アクセス対策	ユーザの存在推測の防止	機能仕様書: 振り分けの応答の同一化と試行回数の制限	入力された識別子が実在するかどうかが応答の違いから分からないようにし、短時間の繰り返し試行を制限する	機能仕様書。同一化する応答の範囲・制限する回数と時間・制限にかかったときの表示が定まっている	1	基盤チーム	基盤チーム	事故防止	Keycloak-Brokerはパスワードを持たないため連続失敗の締め出しは不要だが、振り分けは識別子を受け取るため実在の推測と総当たりが成立する。WAF は同じ送信元しか見ないので、分散して来ると効かない	対象	新規: 機能追加	—	未着手		F-AUTH-21
HA-10	HA 全体・方式設計	設計書の執筆	セッション・ログアウト	ログイン状態の保持とタイムアウト	認証：セッション管理方式設計（ログイン状態の保持・タイムアウト・ログアウト）	ログイン状態をどう保持するかの全体方針	方式設計。保持する場所と有効期間の考え方が定まっている	2	共同	共同	横断（対象縮小）	ログイン状態はKeycloak-Brokerが持つため全アプリ共通。アプリ内の保持方法はアプリが決めるが、全体の有効期間は 1 つの設定で全アプリに効くため共同で決める	対象	当初あり	—	未着手		F-AUTH-23
GD-21	GD アプリ向けガイド	ガイド・手順書の執筆	セッション・ログアウト	ログイン状態の保持とタイムアウト	第4部 セッション管理	ログイン状態がどれくらい続くのか、いつ切れるのかの説明	ガイド 1 章。有効期間の一覧と、切れたときのアプリ側の動きが示されている	2	基盤チーム	基盤チーム	認証の中核	顧客IdPへ委ねる中核で、これが無いと基盤の存在理由が無い	対象	当初あり	—	未着手		F-AUTH-23
GD-24	GD アプリ向けガイド	ガイド・手順書の執筆	セッション・ログアウト	ログイン状態の保持とタイムアウト	第4部 リフレッシュトークン	JWT を延長するための仕組みと、不正利用が疑われた場合の挙動	ガイド 1 章。延長時の入れ替え要件と、失効したときのアプリ側の動きが示されている	1	基盤チーム	基盤チーム	認証の中核	顧客IdPへ委ねる中核で、これが無いと基盤の存在理由が無い	対象	当初あり	—	未着手		F-AUTH-23
GD-22	GD アプリ向けガイド	ガイド・手順書の執筆	セッション・ログアウト	アプリへのログアウト連携	第4部 ログアウト3方式の使い分け	ログアウトの 3 つの方式の違いと、どれをいつ使うかの整理。1 つ実装すれば全アプリで切れる、という誤解を正す	ガイド 1 章。3 方式の関係と責任分界が図で示されている	2	基盤チーム	基盤チーム	認証の中核	顧客IdPへ委ねる中核で、これが無いと基盤の存在理由が無い	対象	当初あり	—	未着手		F-AUTH-24
GD-23	GD アプリ向けガイド	ガイド・手順書の執筆	セッション・ログアウト	アプリへのログアウト連携	第4部 Back-Channel Logout受信実装	他のアプリでのログアウトを受け取って自分のセッションも切る実装。受け取った通知の検証項目を含む	ガイド 1 章。8 つの検証項目が列挙され、検証を省くと強制ログアウトの悪用が可能になる旨が警告されている	2	基盤チーム	基盤チーム	認証の中核	顧客IdPへ委ねる中核で、これが無いと基盤の存在理由が無い	対象	当初あり	—	未着手		F-AUTH-24
HC-04a	HC 画面設計	設計書の執筆	ログイン画面・エラー画面	ログイン画面の表示（ブランド・並び順）	画面仕様書: 識別子の入力画面（振り分け）	振り分けの起点となる、識別子を入力させる画面の項目・文言・遷移を決める	画面仕様書。入力項目・検証・次に進む条件・戻り方が定まっている	1	基盤チーム	基盤チーム	認証の中核	振り分け（HRD）は識別子の入力から始まるため、この画面が無いと成立しない	対象	新規: 機能追加	—	未着手		F-AUTH-25
HC-04j	HC 画面設計	設計書の執筆	ログイン画面・エラー画面	エラー・案内画面（Keycloak-Broker）	画面仕様書: エラー・案内の表示画面（Keycloak-Broker）	ログインや振り分けに失敗したときに何を表示し、どこへ誘導するかを決める	画面仕様書。表示する文言・出し分けの条件・誘導先が定まっている	1	基盤チーム	基盤チーム	事故防止	失敗したときの案内が無いとユーザが詰まる。文言はユーザの実在を推測させない書き方にする必要がある	対象	新規: 機能追加	—	未着手		F-AUTH-26
HE-09	HE つなぎ目設計	設計書の執筆	ユーザ登録（顧客システム連携・SCIM）	SCIM 受信: ユーザの登録	SCIM 受信仕様（窓口・項目の対応づけ・絞り込み・削除の読み替え）	顧客の人事システムや認証システムからユーザ情報を受け取る窓口の仕様を決める。窓口はKeycloak-Broker（Keycloak）の上に立て、別の実行基盤は作らない	接続仕様。入口・認証方法・項目の対応・応答が定まっている	3	基盤チーム	アプリチーム	認証の中核	ログインを待たずにユーザを反映する唯一の経路。Keycloak-Brokerの標準機能は使わず自作または部品を使い、Keycloak-Brokerの上に載せる	対象	新規: 機能追加	—	未着手		F-PROV-03
HB-F-PROV-03	HB-F 機能仕様書	設計書の執筆	ユーザ登録（顧客システム連携・SCIM）	SCIM 受信: ユーザの登録	機能仕様書: SCIM 受信 ユーザの登録	顧客システムからユーザの新規登録を受け取る	機能仕様書。受け取る項目と、重複したときの扱いが定まっている	1	基盤チーム	アプリチーム	認証の中核	顧客システム連携の中核	対象	新規: 機能追加	—	未着手		F-PROV-03
HB-F-PROV-04	HB-F 機能仕様書	設計書の執筆	ユーザ登録（顧客システム連携・SCIM）	SCIM 受信: ユーザの更新	機能仕様書: SCIM 受信 ユーザの更新	顧客側からのユーザ情報の変更を受け取って反映する	機能仕様書。更新する項目と、競合したときの扱いが定まっている	0.75	基盤チーム	アプリチーム	認証の中核	同上	対象	新規: 機能追加	—	未着手		F-PROV-04
HB-F-PROV-05	HB-F 機能仕様書	設計書の執筆	ユーザ登録（顧客システム連携・SCIM）	SCIM 受信: 削除通知（無効化へ読み替え）	機能仕様書: SCIM 受信 削除通知（消さずに無効化へ読み替え）	顧客側からの削除通知を受け取り、基盤側では消さずに使えない状態にする	機能仕様書。読み替えの規則と、記録の残し方が定まっている	1	基盤チーム	アプリチーム	事故防止	消してしまうと監査の記録が追えなくなるため、無効化に読み替える	対象	新規: 機能追加	—	未着手		F-PROV-05
HB-F-PROV-06	HB-F 機能仕様書	設計書の執筆	ユーザ登録（顧客システム連携・SCIM）	SCIM 受信: ユーザの検索	機能仕様書: SCIM 受信 ユーザの検索・絞り込み	顧客側からユーザを検索・絞り込みで問い合わせられるようにする	機能仕様書。絞り込みの条件と件数の区切り方が定まっている	0.5	基盤チーム	アプリチーム	認証の中核	同上	対象	新規: 機能追加	—	未着手		F-PROV-06
HB-F-PROV-07	HB-F 機能仕様書	設計書の執筆	ユーザ登録（顧客システム連携・SCIM）	SCIM 受信: グループ連携	機能仕様書: SCIM 受信 グループ連携	顧客側のグループ情報を受け取る。初期リリースでは対象外	機能仕様書。初期リリースで対象外とする範囲が明記されている	0.5	基盤チーム	アプリチーム	後から追加可能	初期リリースでは対象外だが、対象外と宣言すること自体が成果物	対象	新規: 機能追加	—	未着手		F-PROV-07
HD-05	HD データ設計	設計書の執筆	ユーザ属性の統一	項目名の変換・統一	ユーザ属性に載せる項目の宣言設計	Keycloak-Brokerのユーザ情報に、独自に持たせる項目を宣言する	宣言の設計。項目名・型・必須かどうかが一覧で定まっている	1.5	基盤チーム	アプリチーム	認証の中核	JWT に載せる項目の入力元。これが無いと出力だけ設計している状態になる	対象	新規: 機能追加	—	未着手		F-PROV-08
HD-18	HD データ設計	設計書の執筆	ユーザ属性の統一	項目名の変換・統一	顧客IdPごとの項目名の変換方針	顧客ごとにバラバラな項目名を基盤の統一名へ変換する規則と、その置き場所を決める	変換方針。規則の書き方と、顧客が増えたときの追加方法が定まっている	1.5	基盤チーム	アプリチーム	認証の中核	顧客ごとに項目名が違うため、写し方の規則が無いと属性が入らない	対象	新規: 機能追加	—	未着手		F-PROV-08
HB-F-PROV-09	HB-F 機能仕様書	設計書の執筆	ユーザ属性の統一	登録経路の区分判定	機能仕様書: 登録経路の区分判定	そのユーザがどの経路（初回ログイン・顧客システム連携・運用者）で登録されたかを区別する	機能仕様書。区分の値と、判定するタイミングが定まっている	0.75	基盤チーム	アプリチーム	事故防止	初回ログインで作った人と顧客システムから来た人で、後の扱いが変わるため	対象	新規: 機能追加	—	未着手		F-PROV-09
HB-F-PROV-10	HB-F 機能仕様書	設計書の執筆	ユーザの停止・再開・消去	ユーザの停止（消さずに無効化）	機能仕様書: ユーザの停止（消さずに無効化・停止日時の記録）	ユーザを削除せず使えない状態にし、いつ止めたかを記録する	機能仕様書。止める条件と、止めた後にできなくなることが定まっている	0.75	基盤チーム	アプリチーム	事故防止	顧客システムからの削除通知の受け皿。退職者を確実に遮断する	対象	新規: 機能追加	—	未着手		F-PROV-10
HB-F-PROV-11	HB-F 機能仕様書	設計書の執筆	ユーザの停止・再開・消去	停止済みユーザの再開	機能仕様書: 停止済みユーザの再開	一度止めたユーザを再び使えるようにする。誤って復活させない条件を含む	機能仕様書。再開してよい条件と、除外する条件が定まっている	0.75	基盤チーム	アプリチーム	事故防止	条件を誤ると退職者が復活する。除外条件の明示が必須	対象	新規: 機能追加	—	未着手		F-PROV-11
HD-24	HD データ設計	設計書の執筆	ユーザの停止・再開・消去	保存期限切れデータの消去	ユーザと記録の保持年数と消去の方針	ユーザと記録を何年保ち、いつどうやって消すかを決める。停止から消去までの段階と、消したことをどう示すかを含む	方針。対象ごとの保持年数・消去の起点・消去の証跡の残し方が定まっている	1.5	基盤チーム	基盤チーム	法令・契約	個人データを求めに応じて消せることは法令の要求。トリミングで方針の行が落ち、消去の起点が決まらないまま残っていた	対象	新規: 非機能・運用	—	未着手		F-BAT-09
HB-F-ADM-14	HB-F 機能仕様書	設計書の執筆	顧客・組織管理	顧客の作成	機能仕様書: 顧客の作成	新しい顧客を作るときに何を登録し、どの状態から使えるようになるかを決める。手順の細部は後続の運用設計で詰める	機能仕様書。登録する項目・初期状態・使えるようになる条件が定まっている	1	基盤チーム	基盤チーム	運用に必須	解約の手順はあるのに作成が無く、顧客を迎え入れる入口が設計上つながっていない。運用色が強いため骨子までとし、細部は運用設計で積む	対象	新規: 機能追加	—	未着手		F-ADM-14
G-1.2	G 手順書	ガイド・手順書の執筆	顧客・組織管理	顧客の解約	手順書: 顧客の解約	顧客が解約するときの段階的な削除手順を手順書にする	手順書。猶予期間・データの引き渡し・完了の証明までが書かれている	1	基盤チーム	基盤チーム	運用に必須	手順書が無いと運用が回らず、作っただけで終わる	対象	新規: 非機能・運用	—	未着手		F-ADM-23
HB-F-ADM-16	HB-F 機能仕様書	設計書の執筆	顧客IdP管理	顧客IdPの接続登録	機能仕様書: 顧客IdPの接続登録	顧客IdPを Keycloak-Broker へ接続するときに、何を受け取り、どの順で登録し、どこで疎通を確認するかを決める	機能仕様書。受け取る情報・登録の順序・疎通確認の合格条件が定まっている	2	基盤チーム	基盤チーム	認証の中核	フェデレーション・振り分け・顧客システム連携のすべてが、この登録が済んでいることを前提にしている。運用色が強いため骨子までとし、細部は運用設計で積む	対象	新規: 機能追加	—	未着手		F-ADM-16
D-12	D 判断	調査・計画	顧客IdP管理	接続設定の変更・証明書更新	証明書（顧客IdP の SAML 署名・Keycloak-Broker の SAML 署名・TLS）を止めずに入れ替える運用手順	顧客IdPの証明書を止めずに入れ替えるための運用手順を決める	→ 収載先: 鍵・証明書管理設計書。決定記録。自動追随が使えない場合の手動手順も含む	3	基盤チーム	基盤チーム	代替手段あり	通常のシステム監視と手動更新で代替でき、無くても認証は止まらない	対象	新規: 機能追加	—	未着手		F-ADM-17
HB-F-INT-11	HB-F 機能仕様書	設計書の執筆	顧客IdP管理	接続情報の自動追随	機能仕様書: 接続情報の自動追随	顧客IdPの接続情報を定期的に取り直し、相手側が証明書を入れ替えても自動で追随する	機能仕様書。取り直す間隔・失敗時の扱い・追随できないときの通知が定まっている	1	基盤チーム	基盤チーム	運用に必須	顧客IdPが多いほど手作業では追えない。相手側の入れ替えに気づけないとログインが止まる	対象	新規: 機能追加	—	未着手		F-INT-11
HA-14	HA 全体・方式設計	設計書の執筆	権限管理	顧客番号と基盤識別子の対応づけ	共通：採番設計（ID 採番方式・重複回避）	各種の識別番号を誰がどう採番するかの方針	方式設計。重複しない仕組みと、採番の責任者が定まっている	2	共同	共同	業務データ	識別番号のうちユーザを指すものはKeycloak-Brokerが発行するため共通。アプリ内の番号はアプリが決める	対象	新規: 機能追加	—	未着手		F-PROV-16
HD-19	HD データ設計	調査・計画	権限管理	顧客番号と基盤識別子の対応づけ	ユーザを識別する値の取り決め（アプリチームと協議）	アプリがユーザを一意に指す値を何にするかを、アプリチームと決める	合意記録。使う値と、変わらないことの保証が定まっている	1	要判断	アプリチーム	業務ルール依存	アプリ側の作りに依存するため協議して決める。後から変えられない値	対象	新規: 機能追加	—	未着手		F-PROV-16
HJ-07	HJ Keycloak の作り込み	設計書の執筆	認可・権限判定	JWT に載せる項目の定義	JWT（JWT）に載せる項目と要求範囲の定義書	JWT に載せる情報の生成規則の定義	定義書。載せる項目と、載せない項目の区別が明確	1	基盤チーム	基盤チーム	製品機能	Keycloak-Brokerをどう組むかは、ユーザ管理を誰が作るかとは無関係に決まる	対象	新規: 自社構築	—	未着手		F-AZ-10
GD-16	GD アプリ向けガイド	ガイド・手順書の執筆	認可・権限判定	JWT に載せる項目の定義	第4部 アクセストークン検証（RS必須7点）	アプリが受け取ったJWT を検証するときの必須チェック項目。設定を誤ると検証が素通りする落とし穴の警告を含む	ガイド 1 章。7 つの検証項目と、宛先の設定漏れで検証が無効化される罠の警告が示されている	2	基盤チーム	基盤チーム	認証の中核	顧客IdPへ委ねる中核で、これが無いと基盤の存在理由が無い	対象	当初あり	—	未着手		F-AZ-10
GD-17	GD アプリ向けガイド	ガイド・手順書の執筆	認可・権限判定	JWT に載せる項目の定義	第4部 ID Token検証	ログインした本人を表す情報を検証する手順	ガイド 1 章。必須の検証項目と、追加情報を問い合わせた場合の突き合わせ要件が示されている	1	基盤チーム	基盤チーム	認証の中核	顧客IdPへ委ねる中核で、これが無いと基盤の存在理由が無い	対象	当初あり	—	未着手		F-AZ-10
HB-F-AZ-05a	HB-F 機能仕様書	設計書の執筆	認可・権限判定	顧客越境の防止（Keycloak-Broker 側）	機能仕様書: 他顧客の顧客IdPで入れてしまうことの防止	ユーザが自分の顧客以外の顧客IdPを使ってログインできないようにする	機能仕様書。判定の場所と、防げなかった場合の記録の残し方が定まっている	0.5	基盤チーム	基盤チーム	事故防止	権限データ側の越境防止はアプリの責務だが、Keycloak-Broker 側の越境は基盤の責務	対象	新規: 機能追加	—	未着手		F-AZ-05
D-15	D 判断	調査・計画	認可・権限判定	管理操作の 3 段階権限確認	権限を一時的に上げる仕組みの置き場所	一時的に強い権限を出す機能をどこに置くかを決める	決定記録。一時的に強い権限を出す仕組みをどこに置くかが 1 つに確定している	1	基盤チーム	基盤チーム	構成の前提	【省略・吸収】ステップアップ認証は不要と決定。人日は復活時のために残す	対象外：省略・吸収	新規: 機能追加	—	未着手		F-AZ-06
HB-F-AZ-07	HB-F 機能仕様書	設計書の執筆	JWT の発行・交換	システム間 JWT の発行	機能仕様書: システム間 JWT の発行	人ではなくシステムがKeycloak-Broker の入口を呼ぶときの資格を発行する。顧客の人事システムからの受信や、定期処理からの呼び出しで使う	機能仕様書。発行の条件・要求できる範囲・有効期限・失効のさせ方が定まっている	1.5	基盤チーム	基盤チーム	認証の中核	顧客システム連携の呼び出し元をどう確認するかがこれで決まる。資格の管理方法が決まらないと受信窓口を開けられない	対象	新規: 機能追加	—	未着手		F-AZ-07
HJ-09	HJ Keycloak の作り込み	設計書の執筆	アプリ・外部連携	アプリの接続登録（クライアント登録）	Client 登録テンプレート（アプリオンボーディング標準）	新しいアプリを接続するときの登録内容のひな形	ひな形。必要な設定が漏れなく含まれ、宛先の設定漏れを防ぐ仕組みがある	1	基盤チーム	基盤チーム	製品機能	Keycloak-Brokerをどう組むかは、ユーザ管理を誰が作るかとは無関係に決まる	対象	新規: 自社構築	—	未着手		F-INT-13
HB-F-INT-01	HB-F 機能仕様書	設計書の執筆	業務システム連携（ServiceNow）	業務システムへの認証提供	機能仕様書: ServiceNow へのログイン提供（SAML）	業務システムに対して、Keycloak-Broker が認証の提供元として振る舞う	機能仕様書。交換する情報と、ログアウトの扱いが定まっている	2	基盤チーム	基盤チーム	認証の中核	業務システムは旧方式（SAML）でしか受けられないため、専用の設計が要る	対象	新規: 機能追加	—	未着手		F-INT-01
