# 凡例（コード → 値）
## 作業種別
1	ガイド・手順書の執筆
2	レビュー・合意
3	外部調整
4	実機検証・照会
5	設計書の執筆
6	調査・計画
## 担当（案②)
1	アプリチーム
2	基盤チーム
3	基盤チーム（縮小）
4	要判断
## 担当（案③)
1	アプリチーム
2	共同
3	基盤チーム
## 判断根拠
1	事故防止
2	他組織との調整
3	代替手段あり
4	利用者が 1 箇所になり不要
5	後から追加可能
6	改ざん防止
7	業務データ
8	業務ルール依存
9	構成の前提
10	権限移管に伴い不要
11	横断（対象縮小）
12	法令・契約
13	画面のみ
14	製品機能
15	認証の中核
16	運用に必須
## スコープ
1	対象
2	対象外：災害対策をやらない
3	対象外：認証製品を 1 つに統合
## 当初想定
1	当初あり
2	新規: 機能追加
3	新規: 自社構築
4	新規: 規模
5	新規: 非機能・運用

WBS ID	作業種別	担当（案②: 一部移管）	担当（案③: アプリ構築）	判断根拠	スコープ	当初想定
HB-F-PROV-06	5	2	1	5	1	2
HB-F-PROV-07	5	2	1	5	1	2
HB-F-PROV-08	5	2	1	15	1	2
HB-F-PROV-09	5	2	1	15	1	2
HB-F-PROV-10	5	2	1	1	1	2
HB-F-PROV-11	5	2	1	1	1	2
HB-F-PROV-12	5	2	1	4	3	2
HB-F-PROV-13	5	2	1	4	3	2
HB-F-PROV-14	5	1	1	4	3	2
HB-F-PROV-15	5	1	1	10	1	2
HB-F-PROV-16	5	1	1	7	1	2
HB-F-PROV-17	5	1	1	10	1	2
HB-F-ADM-01	5	2	1	15	1	1
HB-F-ADM-02	5	2	1	15	1	1
HB-F-ADM-03	5	2	1	15	1	1
HB-F-ADM-04	5	2	1	15	1	1
HB-F-ADM-05	5	2	1	15	1	5
HB-F-ADM-06	5	2	1	15	1	1
HB-F-ADM-07	5	2	1	15	1	1
HB-F-ADM-08	5	2	1	15	1	2
HB-F-ADM-09	5	2	1	15	1	5
HB-F-ADM-10	5	2	1	15	1	5
HB-F-ADM-11	5	1	1	8	1	2
HB-F-ADM-12	5	1	1	8	1	2
HB-F-ADM-13	5	2	1	3	1	2
HB-F-ADM-14	5	2	1	15	1	2
HB-F-ADM-15	5	4	1	13	1	2
HB-F-ADM-16	5	2	1	15	1	2
HB-F-ADM-17	5	2	1	15	1	2
HB-F-ADM-18	5	4	3	13	1	5
HB-F-ADM-19	5	1	1	8	1	2
HB-F-ADM-20	5	2	1	15	1	2
HB-F-ADM-21	5	2	1	15	1	2
HB-F-ADM-22	5	2	1	5	1	2
HB-F-AZ-01	5	1	1	8	1	2
HB-F-AZ-02	5	1	1	8	1	2
HB-F-AZ-03	5	1	1	8	1	2
HB-F-AZ-04	5	1	1	8	1	2
HB-F-AZ-05	5	2	1	1	1	2
HB-F-AZ-06	5	2	1	1	1	2
HB-F-AZ-07	5	2	1	1	1	5
HB-F-AZ-08	5	2	1	5	1	2
HB-F-AZ-09	5	2	3	5	1	5
HB-F-INT-01	5	2	1	5	1	2
HB-F-INT-02	5	2	1	5	1	2
HB-F-INT-03	5	2	1	5	1	2
HB-F-INT-04	5	1	1	3	1	2
HB-F-INT-05	5	2	1	4	3	2
HB-F-INT-06	5	1	1	4	3	2
HB-F-INT-07	5	2	3	14	1	5
HB-F-INT-08	5	2	1	1	1	5
HB-F-INT-09	5	2	1	3	1	5
HB-F-INT-10	5	2	1	3	1	2
HB-F-INT-11	5	2	1	3	1	2
HB-F-INT-12	5	2	1	5	1	2
HB-F-BAT-01	5	2	1	1	1	2
HB-F-BAT-02	5	2	1	4	3	5
HB-F-BAT-03	5	2	1	1	1	5
HB-F-BAT-04	5	2	3	1	1	5
HB-F-BAT-05	5	2	3	1	1	5
HB-F-BAT-06	5	2	1	5	1	2
HB-F-BAT-07	5	2	3	1	1	5
HB-F-BAT-08	5	1	1	8	1	5
HB-F-BAT-09	5	2	1	5	1	2
HB-01	5	2	1	11	1	1
HB-08	5	2	1	11	1	1
HB-09	5	2	1	11	1	1
HB-10	5	2	1	11	1	1
HB-11	5	2	1	11	1	1
HB-12	5	2	1	11	1	1
HB-13	5	2	1	11	1	1
HB-14	5	2	1	11	1	1
HB-15	5	2	1	11	1	1
HB-16	5	2	1	11	1	1
HB-17	5	2	1	11	1	1
HB-18	5	2	1	1	1	2
HB-19	5	2	1	1	1	2
HB-20	5	1	1	13	1	1
HB-21	5	2	1	15	1	2
HB-22	5	2	1	15	1	2
HK-03	1	3	3	12	1	5
A-4	4	2	3	9	1	3
D-3	6	2	3	9	1	2
D-4	6	2	3	9	1	2
D-10	6	2	3	9	1	2
GD-01	1	2	1	15	1	2
GD-02	1	2	1	15	1	2
GD-03	1	2	1	15	1	2
GD-04	1	2	1	15	1	2
GD-05	1	2	1	15	1	2
GD-06	1	2	1	15	1	2
GD-07	1	2	1	15	1	2
GD-08	1	2	1	15	1	2
GD-09	1	2	3	15	1	1
GD-10	1	2	3	15	1	1
GD-11	1	2	1	15	1	2
GD-12	1	2	1	1	1	5
GD-13	1	2	1	5	1	2
GD-14	1	2	3	15	1	1
GD-15	1	2	3	15	1	1
GD-16	1	2	3	15	1	1
GD-17	1	2	3	15	1	1
GD-18	1	2	3	15	1	1
GD-19	1	2	1	1	1	2
GD-20	1	1	1	8	1	2
GD-21	1	2	3	15	1	1
GD-22	1	2	3	15	1	1
GD-23	1	2	3	15	1	1
GD-24	1	2	3	15	1	1
GD-25	1	2	1	3	1	1
GD-26	1	2	1	15	1	2
GD-27	1	2	1	15	1	2
GD-28	1	2	1	15	1	2
GD-29	1	2	1	15	1	2
GD-30	1	2	1	15	1	2
GD-31	1	2	1	15	1	2
GD-32	1	2	1	15	1	2
GD-33	1	2	1	15	1	2
GD-34	1	2	1	5	1	2
GD-35	1	1	1	3	1	2
GD-36	1	2	1	5	1	2
GD-37	1	2	1	15	1	2
GD-38	1	2	1	15	1	2
GD-39	1	2	1	15	1	2
GD-40	1	2	1	15	1	2
GD-41	1	2	1	15	1	2
GD-42	1	2	1	15	1	2
GD-43	1	2	1	15	1	2
GD-44	1	2	1	15	1	2
GD-45	1	2	1	15	1	2
GD-46	1	2	1	15	1	2
GD-47	1	2	1	15	1	2
GD-48	1	2	1	15	1	2
GD-49	1	2	1	15	1	2
GD-50	1	2	1	15	1	2
GD-51	1	2	1	15	1	2
GD-52	1	2	1	15	1	2
GD-53	1	2	1	15	1	2
