要件ID	種別	分類	項目	概要	優先度	要件実現対象	構築場所	担当	調整の理由	出典の節
FR-FED-014	機能要件	FR-FED フェデレーション	Custom Domain での federation	顧客ごとの独自ドメインでフェデレーションできること	Should	対象外	—	—	Phase 1 では作らない	2.1 IdP 接続種別
FR-MFA-001	機能要件	FR-MFA 多要素認証	TOTP（Google Authenticator 等）	スマートフォンアプリの数字コードで追加認証できること	Must	対象	Keycloak-IdP	アプリ	追加認証は Keycloak-Broker では扱わない。ローカル収容ユーザは Keycloak-IdP 側	3.1 MFA 要素
FR-MFA-002	機能要件	FR-MFA 多要素認証	WebAuthn / FIDO2（Passkeys）	生体認証やセキュリティキーで追加認証できること	Should	対象	Keycloak-IdP	アプリ	同上	3.1 MFA 要素
FR-MFA-003	機能要件	FR-MFA 多要素認証	SMS OTP	SMS の数字コードで追加認証できること	Could	対象外	—	—	Phase 1 では作らない	3.1 MFA 要素
FR-MFA-004	機能要件	FR-MFA 多要素認証	メール OTP	メールの数字コードで追加認証できること	Could	対象外	—	—	Phase 1 では作らない	3.1 MFA 要素
FR-MFA-005	機能要件	FR-MFA 多要素認証	バックアップコード	端末を失くしたときに使う予備のコードを発行できること	Should	対象	Keycloak-IdP	アプリ	同上	3.1 MFA 要素
FR-MFA-006	機能要件	FR-MFA 多要素認証	条件付き MFA（IP / リスクベース）	接続元やリスクに応じて追加認証を出し分けられること	Should	対象外	—	—	Phase 1 では作らない	3.2 MFA 適用ポリシー
FR-MFA-007	機能要件	FR-MFA 多要素認証	MFA 強制 / 任意の切替（ロール単位）	追加認証を必須にするか任意にするかを役割ごとに切り替えられること	Must	対象	Keycloak-IdP	アプリ	同上	3.2 MFA 適用ポリシー
FR-MFA-008	機能要件	FR-MFA 多要素認証	端末記憶（Trusted Device）	一度確認した端末を覚えて、次回から追加認証を省けること	Could	対象外	—	—	Phase 1 では作らない	3.2 MFA 適用ポリシー
FR-MFA-009	機能要件	FR-MFA 多要素認証	管理者の MFA 強制	管理者には追加認証を必ず求めること	Must	対象	Keycloak-IdP	アプリ	同上	3.2 MFA 適用ポリシー
FR-SSO-001	機能要件	FR-SSO SSO・ログアウト	同一 IdP 内の複数 Client 間 SSO	同じ顧客の複数のアプリを、一度のログインで行き来できること	Must	対象	Keycloak-Broker	インフラ		4.1 SSO
FR-SSO-002	機能要件	FR-SSO SSO・ログアウト	Auth0/Entra 経由のクロス IdP SSO	顧客IdP を経由した場合も、複数のアプリを一度のログインで行き来できること	Must	対象	Keycloak-Broker	インフラ		4.1 SSO
FR-SSO-003	機能要件	FR-SSO SSO・ログアウト	ローカルログアウト（アプリ Cookie 削除のみ）	アプリ側だけでログアウトできること（本基盤の状態は保つ）	Must	対象	その他	アプリ	アプリ側の実装。ガイドで示す	4.2 ログアウト
FR-SSO-004	機能要件	FR-SSO SSO・ログアウト	IdP セッション破棄（OIDC RP-Initiated Logout）	本基盤のログイン状態を破棄できること	Must	対象	Keycloak-Broker	インフラ		4.2 ログアウト
FR-SSO-005	機能要件	FR-SSO SSO・ログアウト	フェデレーション IdP セッション破棄（連動ログアウト）	本基盤のログアウトを顧客IdP 側にも連動させられること	Should	対象	Keycloak-Broker	インフラ		4.2 ログアウト
FR-SSO-006	機能要件	FR-SSO SSO・ログアウト	Front-Channel Logout	画面経由で他のアプリにログアウトを伝えられること	Should	対象外	—	—	Back-Channel を採用するため作らない	4.2 ログアウト
FR-SSO-007	機能要件	FR-SSO SSO・ログアウト	Back-Channel Logout（RFC 8606）	サーバ間の通知で他のアプリにログアウトを伝えられること	Should	対象	Keycloak-Broker	インフラ		4.2 ログアウト
FR-SSO-008	機能要件	FR-SSO SSO・ログアウト	セッションタイムアウト設定	ログイン状態が切れるまでの時間を設定できること	Must	対象	Keycloak-Broker	インフラ		4.3 セッション管理
FR-SSO-009	機能要件	FR-SSO SSO・ログアウト	アクセストークン強制無効化（Revocation）	発行済みの JWT を強制的に使えなくできること	Should	対象	Keycloak-Broker	インフラ		4.3 セッション管理
FR-SSO-010	機能要件	FR-SSO SSO・ログアウト	強制全セッション破棄（管理者操作）	管理者の操作で、対象のログイン状態をまとめて破棄できること	Must	対象	その他	アプリ	管理画面からの操作。Keycloak-Broker は API を提供する	4.3 セッション管理
FR-AUTHZ-001	機能要件	FR-AUTHZ 認可	JWT クレームベース認可	JWT に載せた情報でアプリが可否を判断できること	Must	対象	Keycloak-Broker	インフラ	JWT を出すところまでが本基盤。判断はアプリ	5.1 クレームベース基本認可
FR-AUTHZ-002	機能要件	FR-AUTHZ 認可	tenant_id によるテナント分離	顧客を指す値で、他の顧客のデータに触れられないようにできること	Must	対象	Keycloak-Broker	インフラ	Keycloak-Broker 側の越境防止。権限データ側の越境防止はアプリ	5.1 クレームベース基本認可
FR-AUTHZ-003	機能要件	FR-AUTHZ 認可	roles クレームによるロール認可	役割を表す情報で可否を判断できること	Must	対象	その他	アプリ	認可はこちらでは行わない	5.1 クレームベース基本認可
FR-AUTHZ-004	機能要件	FR-AUTHZ 認可	ロール階層（継承）	役割に上下関係を持たせられること	Should	対象	その他	アプリ	同上	5.1 クレームベース基本認可
FR-AUTHZ-005	機能要件	FR-AUTHZ 認可	scope ベース認可（M2M）	システム間の呼び出しで、許す範囲を限定できること	Must	対象	Keycloak-Broker	インフラ		5.1 クレームベース基本認可
FR-AUTHZ-006	機能要件	FR-AUTHZ 認可	カスタムクレーム注入（任意属性）	任意の属性を JWT に載せられること	Must	対象	Keycloak-Broker	インフラ		5.1 クレームベース基本認可
FR-AUTHZ-007	機能要件	FR-AUTHZ 認可	API Gateway 認可統合（Lambda Authorizer）	API の入口で JWT を検証して可否を判断できること	Must	対象	その他	アプリ	アプリ側の実装。ガイドで示す	5.1 クレームベース基本認可
FR-AUTHZ-008	機能要件	FR-AUTHZ 認可	マルチイシュア対応（複数 User Pool / Realm）	発行元が複数あっても正しく検証できること	Must	対象	Keycloak-Broker	インフラ		5.1 クレームベース基本認可
FR-AUTHZ-009	機能要件	FR-AUTHZ 認可	リソースレベル認可（UMA 2.0 / Fine-grained）	データ 1 件ごとに細かく可否を判断できること	Could	対象	その他	アプリ	認可はこちらでは行わない	5.2 細粒度認可
FR-AUTHZ-010	機能要件	FR-AUTHZ 認可	動的属性ベース認可（ABAC）	属性の組み合わせで動的に可否を判断できること	Could	対象	その他	アプリ	同上	5.2 細粒度認可
FR-USER-001	機能要件	FR-USER ユーザ管理	ユーザー作成 / 更新 / 削除（CRUD）	ユーザを作る・変える・消せること	Must	対象	その他	アプリ	管理画面はアプリ。Keycloak-Broker は API を提供する	6.1 ユーザー CRUD
FR-USER-002	機能要件	FR-USER ユーザ管理	カスタム属性（任意フィールド）	顧客ごとの追加の項目を持たせられること	Must	対象	Keycloak-Broker	インフラ	属性の宣言と変換は本基盤	6.2 属性・ロール
FR-USER-003	機能要件	FR-USER ユーザ管理	SCIM 2.0 プロビジョニング	顧客の人事システムから SCIM でユーザを受け取れること	TBD	対象	Keycloak-Broker	インフラ		6.4 プロビジョニング
FR-USER-004	機能要件	FR-USER ユーザ管理	セルフサービスプロフィール編集	ユーザが自分で自分の情報を変えられること	Must	対象	Keycloak-IdP	アプリ	ローカル収容ユーザの話	6.3 セルフサービス
FR-USER-005	機能要件	FR-USER ユーザ管理	ユーザー検索・一覧	ユーザを検索・一覧表示できること	Must	対象	その他	アプリ	管理画面はアプリ	6.1 ユーザー CRUD
FR-USER-006	機能要件	FR-USER ユーザ管理	ユーザー有効化 / 無効化（suspend）	ユーザを一時的に使えなくする／戻せること	Must	対象	Keycloak-Broker	インフラ	停止と再開は本基盤。画面はアプリ	6.1 ユーザー CRUD
FR-USER-007	機能要件	FR-USER ユーザ管理	ユーザーグループ管理	ユーザをグループでまとめられること	Should	対象外	—	—	Phase 1 では作らない（SCIM のグループ連携も対象外）	6.2 属性・ロール
FR-USER-008	機能要件	FR-USER ユーザ管理	ロール割り当て	ユーザに役割を割り当てられること	Must	対象	その他	アプリ	権限はこちらでは扱わない	6.2 属性・ロール
FR-USER-009	機能要件	FR-USER ユーザ管理	バルクインポート（CSV / JSON）	ファイルからまとめてユーザを取り込めること	Should	対象	その他	アプリ	管理画面はアプリ	6.4 プロビジョニング
FR-USER-010	機能要件	FR-USER ユーザ管理	ユーザーパスワード強制リセット	管理者がユーザのパスワードを強制的に初期化できること	Must	対象	Keycloak-IdP	アプリ	ローカル収容ユーザの話	6.4 プロビジョニング
FR-USER-011	機能要件	FR-USER ユーザ管理	ユーザー削除時の関連データ削除（GDPR 等）	ユーザを消すときに関連するデータも消せること	Should	対象	Keycloak-Broker	インフラ	保持と消去の方針は本基盤で決める	6.1 ユーザー CRUD
FR-USER-012	機能要件	FR-USER ユーザ管理	ユーザー作成時の招待メール	新しいユーザに招待を送れること	Should	対象	その他	アプリ	管理画面はアプリ	6.3 セルフサービス
FR-ADMIN-001	機能要件	FR-ADMIN 管理機能	管理コンソール UI	管理のための画面があること	Must	対象	その他	アプリ	管理画面はアプリが作る	7.1 基盤設定管理
FR-ADMIN-002	機能要件	FR-ADMIN 管理機能	テナント追加・削除	顧客を追加・削除できること	Must	対象	Keycloak-Broker	インフラ	設計は本基盤。細部は運用設計で詰める	7.1 基盤設定管理
FR-ADMIN-003	機能要件	FR-ADMIN 管理機能	IdP 追加・削除・更新	顧客IdP を追加・変更・削除できること	Must	対象	Keycloak-Broker	インフラ		7.1 基盤設定管理
FR-ADMIN-004	機能要件	FR-ADMIN 管理機能	クライアント（App）管理	アプリの接続登録を管理できること	Must	対象	Keycloak-Broker	インフラ		7.1 基盤設定管理
FR-ADMIN-005	機能要件	FR-ADMIN 管理機能	ロール定義管理	役割の定義を管理できること	Must	対象	その他	アプリ	権限はこちらでは扱わない	7.1 基盤設定管理
FR-ADMIN-006	機能要件	FR-ADMIN 管理機能	パーミッション管理（細粒度）	権限を細かく設定できること	Could	対象	その他	アプリ	同上	7.3 権限委譲・カスタマイズ
FR-ADMIN-007	機能要件	FR-ADMIN 管理機能	監査ログ閲覧	監査の記録を閲覧できること	Must	対象	Keycloak-Broker	インフラ	出力と集約は本基盤。参照は全体の共通基盤で行う	7.2 監査・可視性
FR-ADMIN-008	機能要件	FR-ADMIN 管理機能	設定変更履歴	設定を変えた履歴が残ること	Should	対象	Keycloak-Broker	インフラ		7.2 監査・可視性
FR-ADMIN-009	機能要件	FR-ADMIN 管理機能	テナント別設定の分離	顧客ごとに設定を分けられること	Must	対象	Keycloak-Broker	インフラ		7.1 基盤設定管理
FR-ADMIN-010	機能要件	FR-ADMIN 管理機能	管理者ロール（RBAC for Admin）	管理者にも役割を持たせて操作を制限できること	Must	対象	その他	アプリ	管理画面の権限はアプリ	7.3 権限委譲・カスタマイズ
FR-ADMIN-011	機能要件	FR-ADMIN 管理機能	テナント管理者の委譲（顧客の自社運用）	顧客の管理者に運用の一部を任せられること	Should	対象	その他	アプリ	同上	7.3 権限委譲・カスタマイズ
FR-ADMIN-012	機能要件	FR-ADMIN 管理機能	カスタマイズ可能なログイン UI	ログイン画面の見た目を変えられること	Should	対象	Keycloak-Broker	インフラ	振り分けの識別子入力画面とエラー画面は本基盤で作る	7.3 権限委譲・カスタマイズ
FR-INT-001	機能要件	FR-INT 外部連携	OIDC 1.0 / OAuth 2.0 標準準拠	OIDC / OAuth 2.0 の標準に従っていること	Must	対象	Keycloak-Broker	インフラ		8.1 プロトコル準拠
FR-INT-002	機能要件	FR-INT 外部連携	OIDC Discovery（`.well-known`）	接続情報を公開の場所から自動で取得できること	Must	対象	Keycloak-Broker	インフラ		8.1 プロトコル準拠
FR-INT-003	機能要件	FR-INT 外部連携	JWKS 公開エンドポイント	署名鍵を公開の場所から取得できること	Must	対象	Keycloak-Broker	インフラ		8.1 プロトコル準拠
FR-INT-004	機能要件	FR-INT 外部連携	SAML 2.0 メタデータ	旧方式（SAML）の接続情報を交換できること	Should	対象	Keycloak-Broker	インフラ		8.1 プロトコル準拠
FR-INT-005	機能要件	FR-INT 外部連携	Webhook イベント通知（user.created 等）	ユーザの変更をアプリへ通知できること（Webhook）	Should	対象外	—	—	Phase 1 では作らない	8.3 API・IaC・Webhook
FR-INT-006	機能要件	FR-INT 外部連携	管理 REST API	管理のための API があること	Must	対象	Keycloak-Broker	インフラ		8.3 API・IaC・Webhook
FR-INT-007	機能要件	FR-INT 外部連携	API Gateway / Lambda Authorizer 統合	API の入口で JWT を検証する仕組みと組み合わせられること	Must	対象	その他	アプリ	アプリ側の実装。ガイドで示す	8.1 プロトコル準拠
FR-INT-008	機能要件	FR-INT 外部連携	監査ログ外部出力（CloudWatch / S3 / Kinesis）	監査の記録を外部へ出力できること	Must	対象	Keycloak-Broker	インフラ	全体の共通基盤へ出して集約する	8.2 ログ・監視
FR-INT-009	機能要件	FR-INT 外部連携	監査ログ SIEM 連携（Splunk / Datadog）	監査の記録を分析製品へ連携できること	Could	対象外	—	—	共通基盤側の範囲	8.2 ログ・監視
FR-INT-010	機能要件	FR-INT 外部連携	Terraform / IaC 管理	構成をコードで管理できること	Must	対象	Keycloak-Broker	インフラ		8.3 API・IaC・Webhook
NFR-AVL-001	非機能要件	NFR-AVL 可用性	サービス稼働率 SLA	顧客に約束する稼働率を定めて満たすこと	TBD	対象	Keycloak-Broker	インフラ		1. NFR-AVL（可用性）
NFR-AVL-002	非機能要件	NFR-AVL 可用性	計画メンテナンス窓	計画的に止める時間の枠を定めること	TBD	対象	Keycloak-Broker	インフラ		1. NFR-AVL（可用性）
NFR-AVL-003	非機能要件	NFR-AVL 可用性	マルチ AZ 配置	複数の区画に分けて配置し、片方が落ちても動くこと	推奨値あり	対象	Keycloak-Broker	インフラ		1. NFR-AVL（可用性）
NFR-AVL-004	非機能要件	NFR-AVL 可用性	自動復旧（コンテナ障害）	部品が落ちたときに自動で立ち上がり直すこと	推奨値あり	対象	Keycloak-Broker	インフラ		1. NFR-AVL（可用性）
NFR-AVL-005	非機能要件	NFR-AVL 可用性	単一障害点の排除	1 か所が落ちると全部止まる箇所を無くすこと	推奨値あり	対象	Keycloak-Broker	インフラ		1. NFR-AVL（可用性）
NFR-AVL-006	非機能要件	NFR-AVL 可用性	デプロイ時のダウンタイム	入れ替えのときにログインを止めないこと	推奨値あり	対象	Keycloak-Broker	インフラ		1. NFR-AVL（可用性）
NFR-PERF-001	非機能要件	NFR-PERF 性能	認証応答時間（P50 / P95 / P99）	ログインの応答時間が目標に収まること	推奨値あり	対象	Keycloak-Broker	インフラ		2.1 応答時間 / レイテンシ
NFR-PERF-002	非機能要件	NFR-PERF 性能	同時認証リクエスト処理能力	同時に来るログインの数を目標まで捌けること	TBD	対象	Keycloak-Broker	インフラ		2.2 スループット / スケール耐性
NFR-PERF-003	非機能要件	NFR-PERF 性能	Lambda Authorizer 応答時間	API の入口での判定が目標時間に収まること	推奨値あり	対象	その他	アプリ	アプリ側の実装	2.1 応答時間 / レイテンシ
NFR-PERF-004	非機能要件	NFR-PERF 性能	JWT 検証スループット	JWT の検証を目標の件数まで捌けること	推奨値あり	対象	Keycloak-Broker	インフラ		2.1 応答時間 / レイテンシ
NFR-PERF-005	非機能要件	NFR-PERF 性能	JWKS キャッシュ TTL	署名鍵の取得結果を一定時間持ち回して負荷を下げること	推奨値あり	対象	Keycloak-Broker	インフラ		2.1 応答時間 / レイテンシ
NFR-PERF-006	非機能要件	NFR-PERF 性能	API Gateway スロットリング	過大な要求を受けたときに流量を絞れること	TBD	対象	Keycloak-Broker	インフラ		2.2 スループット / スケール耐性
NFR-PERF-007	非機能要件	NFR-PERF 性能	認証ピーク時間帯への耐性	始業時などの山に耐えられること	推奨値あり	対象	Keycloak-Broker	インフラ		2.2 スループット / スケール耐性
NFR-PERF-008	非機能要件	NFR-PERF 性能	DB 応答時間（Keycloak のみ）	データベースの応答時間が目標に収まること	推奨値あり	対象	Keycloak-Broker	インフラ		2.1 応答時間 / レイテンシ
NFR-SCL-001	非機能要件	NFR-SCL 拡張性	MAU スケール上限	想定するユーザ数まで伸ばせること	TBD	対象	Keycloak-Broker	インフラ		3. NFR-SCL（拡張性 / スケーラビリティ）
NFR-SCL-002	非機能要件	NFR-SCL 拡張性	ピーク時同時セッション数	同時にログインしている数の山に耐えられること	TBD	対象	Keycloak-Broker	インフラ		3. NFR-SCL（拡張性 / スケーラビリティ）
NFR-SCL-003	非機能要件	NFR-SCL 拡張性	顧客テナント数（IdP 数）スケール	顧客IdP の数が増えても捌けること	TBD	対象	Keycloak-Broker	インフラ		3. NFR-SCL（拡張性 / スケーラビリティ）
NFR-SCL-004	非機能要件	NFR-SCL 拡張性	IdP 追加リードタイム	顧客IdP を追加してから使えるまでの時間が目標に収まること	推奨値あり	対象	Keycloak-Broker	インフラ		3. NFR-SCL（拡張性 / スケーラビリティ）
NFR-SCL-005	非機能要件	NFR-SCL 拡張性	自動スケーリング	負荷に応じて自動で増減すること	推奨値あり	対象	Keycloak-Broker	インフラ		3. NFR-SCL（拡張性 / スケーラビリティ）
NFR-SCL-006	非機能要件	NFR-SCL 拡張性	マルチリージョン対応（複数地域での同時稼働）	複数の地域で同時に動かせること	不要	対象外	—	—	災害対策の結論に従属。Phase 1 では別地域は待機のみ	3. NFR-SCL（拡張性 / スケーラビリティ）
NFR-SCL-007	非機能要件	NFR-SCL 拡張性	データベーススケール（Keycloak）	データベースを増強できること	推奨値あり	対象	Keycloak-Broker	インフラ		3. NFR-SCL（拡張性 / スケーラビリティ）
NFR-SEC-001	非機能要件	NFR-SEC セキュリティ	通信暗号化	通信が暗号化されていること	推奨値あり	対象	Keycloak-Broker	インフラ		4.1 暗号化・鍵管理
NFR-SEC-002	非機能要件	NFR-SEC セキュリティ	データ暗号化（at-rest）	保管したデータが暗号化されていること	推奨値あり	対象	Keycloak-Broker	インフラ		4.1 暗号化・鍵管理
NFR-SEC-003	非機能要件	NFR-SEC セキュリティ	トークン署名アルゴリズム	JWT の署名方式が安全なものであること	推奨値あり	対象	Keycloak-Broker	インフラ		4.1 暗号化・鍵管理
NFR-SEC-004	非機能要件	NFR-SEC セキュリティ	Access Token TTL	JWT の有効期限が適切に短いこと	推奨値あり	対象	Keycloak-Broker	インフラ		4.2 トークン・セッション
NFR-SEC-005	非機能要件	NFR-SEC セキュリティ	Refresh Token TTL	更新用の資格の有効期限が定められていること	推奨値あり	対象	Keycloak-Broker	インフラ		4.2 トークン・セッション
NFR-SEC-006	非機能要件	NFR-SEC セキュリティ	ID Token TTL	本人確認結果の有効期限が定められていること	推奨値あり	対象	Keycloak-Broker	インフラ		4.2 トークン・セッション
NFR-SEC-007	非機能要件	NFR-SEC セキュリティ	Refresh Token Rotation	更新用の資格を使うたびに入れ替えること	推奨値あり	対象	Keycloak-Broker	インフラ		4.2 トークン・セッション
NFR-SEC-008	非機能要件	NFR-SEC セキュリティ	トークン失効（Revocation）	発行済みの資格を失効させられること	推奨値あり	対象	Keycloak-Broker	インフラ		4.2 トークン・セッション
NFR-SEC-009	非機能要件	NFR-SEC セキュリティ	パスワード保管アルゴリズム	パスワードを安全な方式で保管すること	推奨値あり	対象	Keycloak-IdP	アプリ	ローカル収容ユーザの話	4.1 暗号化・鍵管理
NFR-SEC-010	非機能要件	NFR-SEC セキュリティ	ブルートフォース対策	総当たりを防ぐこと	推奨値あり	対象	Keycloak-Broker	インフラ	Keycloak-Broker はパスワードを持たないため、振り分けの実在推測の防止と試行回数の制限に置き換える	4.3 攻撃対策
NFR-SEC-011	非機能要件	NFR-SEC セキュリティ	WAF 適用	外部からの攻撃を入口で遮ること（WAF）	推奨値あり	対象外	—	—	WAF 側で行う。本基盤では実装しない	4.4 ネットワーク・境界制御
NFR-SEC-012	非機能要件	NFR-SEC セキュリティ	DDoS 対策	大量の通信で止められないようにすること	推奨値あり	対象外	—	—	同上	4.3 攻撃対策
NFR-SEC-013	非機能要件	NFR-SEC セキュリティ	ペネトレーションテスト	疑似攻撃検査を定期的に受けること	TBD	対象	Keycloak-Broker	インフラ		4.3 攻撃対策
NFR-SEC-014	非機能要件	NFR-SEC セキュリティ	脆弱性スキャン	部品の弱点を定期的に検査すること	推奨値あり	対象	Keycloak-Broker	インフラ		4.3 攻撃対策
NFR-SEC-015	非機能要件	NFR-SEC セキュリティ	シークレット管理	接続用パスワードや鍵を安全に保管すること	推奨値あり	対象	Keycloak-Broker	インフラ		4.1 暗号化・鍵管理
NFR-SEC-016	非機能要件	NFR-SEC セキュリティ	ネットワーク分離（Private Subnet）	外から直接触れない区画に置くこと	推奨値あり	対象	Keycloak-Broker	インフラ		4.4 ネットワーク・境界制御
NFR-SEC-017	非機能要件	NFR-SEC セキュリティ	管理画面アクセス制御	管理のための入口を限られた元からだけ通すこと	推奨値あり	対象	Keycloak-Broker	インフラ		4.4 ネットワーク・境界制御
NFR-SEC-018	非機能要件	NFR-SEC セキュリティ	JWKS エンドポイント保護	署名鍵の公開先を守ること	推奨値あり	対象	Keycloak-Broker	インフラ		4.4 ネットワーク・境界制御
