WBS ID	項目	作業種別	機能ID	機能グループ	機能名	担当（案②: 一部移管）	担当（案③: アプリ構築）	判断根拠	根拠の補足	スコープ	当初想定	概要	成果物と完了条件	状態
GD-11	第3部 ネイティブ / モバイル	ガイド・手順書の執筆	—	横断	該当なし（対象外）	基盤チーム	アプリチーム	認証の中核	対象が減るぶん規模は縮むが、作業自体は残る	対象	新規: 機能追加	スマートフォンアプリ向けの実装方針。初期リリースでは対象外	ガイド 1 章。対象外である旨と、将来対応時の前提が示されている	未着手
GD-12	第3部 サーバ間（M2M）	ガイド・手順書の執筆	F-AZ-07	トークン管理	システム間トークンの発行	基盤チーム	アプリチーム	事故防止	この資格が漏れると全顧客を操作できてしまうため、発行を基盤が握る必要がある	対象	新規: 非機能・運用	画面を持たないシステム同士の連携で通行証を得る方法	ガイド 1 章。必要最小限の権限だけを申請する原則が示されている	未着手
GD-13	第3部 既存 SAML SP 向け	ガイド・手順書の執筆	F-INT-01	業務システム連携（ServiceNow 等へのログイン提供）	業務システムへの認証提供	基盤チーム	アプリチーム	後から追加可能	連携先は 1 つで、無くても認証基盤としては成立する	対象	新規: 機能追加	旧来の方式で接続している既存システム向けの実装要件	ガイド 1 章。検証必須項目と、証明書入れ替え時の対応手順が示されている	未着手
GD-14	第4部 認可リクエスト	ガイド・手順書の執筆	F-AUTH-05	フェデレーション	顧客認証システムへのログイン委譲	基盤チーム	基盤チーム	認証の中核	顧客の認証システムへ委ねる中核で、これが無いと基盤の存在理由が無い	対象	当初あり	ログインを開始するときにアプリが必ず付ける情報と、やってはいけない古い方式	ガイド 1 章。必須パラメータと禁止事項が判定可能な形で列挙されている	未着手
GD-15	第4部 トークン取得・保存	ガイド・手順書の執筆	F-AUTH-05	フェデレーション	顧客認証システムへのログイン委譲	基盤チーム	基盤チーム	認証の中核	顧客の認証システムへ委ねる中核で、これが無いと基盤の存在理由が無い	対象	当初あり	受け取った通行証をどこに保存してよいか・いけないかの方針	ガイド 1 章。保存場所ごとの可否と理由が示されている	未着手
GD-16	第4部 アクセストークン検証（RS必須7点）	ガイド・手順書の執筆	F-AUTH-05	フェデレーション	顧客認証システムへのログイン委譲	基盤チーム	基盤チーム	認証の中核	顧客の認証システムへ委ねる中核で、これが無いと基盤の存在理由が無い	対象	当初あり	アプリが受け取った通行証を検証するときの必須チェック項目。設定を誤ると検証が素通りする落とし穴の警告を含む	ガイド 1 章。7 つの検証項目と、宛先の設定漏れで検証が無効化される罠の警告が示されている	未着手
GD-17	第4部 ID Token検証	ガイド・手順書の執筆	F-AUTH-05	フェデレーション	顧客認証システムへのログイン委譲	基盤チーム	基盤チーム	認証の中核	顧客の認証システムへ委ねる中核で、これが無いと基盤の存在理由が無い	対象	当初あり	ログインした本人を表す情報を検証する手順	ガイド 1 章。必須の検証項目と、追加情報を問い合わせた場合の突き合わせ要件が示されている	未着手
GD-18	第4部 JWKS取得・鍵ローテ追随	ガイド・手順書の執筆	F-AUTH-05	フェデレーション	顧客認証システムへのログイン委譲	基盤チーム	基盤チーム	認証の中核	顧客の認証システムへ委ねる中核で、これが無いと基盤の存在理由が無い	対象	当初あり	署名の検証に使う鍵の取得方法と、鍵が入れ替わっても止まらないための保持方法。鍵をアプリ内に直接書くことは禁止	ガイド 1 章。取得の頻度・保持期間・未知の鍵が来た場合の動き・取得できないときの継続方法が数値で示されている	未着手
GD-19	第4部 テナント検証と越境防止	ガイド・手順書の執筆	F-AZ-05	アクセス制御	テナント越境の防止	基盤チーム	アプリチーム	事故防止	他の顧客のデータに手が届くと一度で信用を失うため、基盤で強制するしかない	対象	新規: 機能追加	他のテナントのデータに触れないようにするための実装要件	ガイド 1 章。ログイン情報を要求内容より優先する原則と、データ 1 件ごとの確認が必要な理由が示されている	未着手
GD-20	第4部 認可情報の取得	ガイド・手順書の執筆	F-AZ-01	権限情報の提供	権限情報の一括取得	アプリチーム	アプリチーム	業務ルール依存	返す中身が権限データなので、権限をアプリが持てば同時に不要になる	対象	新規: 機能追加	アプリが「この利用者は何ができるか」を取得する方法。通行証には権限が入っていないことの説明を含む	ガイド 1 章。取得の入口と、結果を保持してよい時間の考え方が示されている	未着手
GD-21	第4部 セッション管理	ガイド・手順書の執筆	F-AUTH-05	フェデレーション	顧客認証システムへのログイン委譲	基盤チーム	基盤チーム	認証の中核	顧客の認証システムへ委ねる中核で、これが無いと基盤の存在理由が無い	対象	当初あり	ログイン状態がどれくらい続くのか、いつ切れるのかの説明	ガイド 1 章。有効期間の一覧と、切れたときのアプリ側の動きが示されている	未着手
GD-22	第4部 ログアウト3方式の使い分け	ガイド・手順書の執筆	F-AUTH-05	フェデレーション	顧客認証システムへのログイン委譲	基盤チーム	基盤チーム	認証の中核	顧客の認証システムへ委ねる中核で、これが無いと基盤の存在理由が無い	対象	当初あり	ログアウトの 3 つの方式の違いと、どれをいつ使うかの整理。1 つ実装すれば全アプリで切れる、という誤解を正す	ガイド 1 章。3 方式の関係と責任分界が図で示されている	未着手
GD-23	第4部 Back-Channel Logout受信実装	ガイド・手順書の執筆	F-AUTH-05	フェデレーション	顧客認証システムへのログイン委譲	基盤チーム	基盤チーム	認証の中核	顧客の認証システムへ委ねる中核で、これが無いと基盤の存在理由が無い	対象	当初あり	他のアプリでのログアウトを受け取って自分のセッションも切る実装。受け取った通知の検証項目を含む	ガイド 1 章。8 つの検証項目が列挙され、検証を省くと強制ログアウトの悪用が可能になる旨が警告されている	未着手
GD-24	第4部 リフレッシュトークン	ガイド・手順書の執筆	F-AUTH-05	フェデレーション	顧客認証システムへのログイン委譲	基盤チーム	基盤チーム	認証の中核	顧客の認証システムへ委ねる中核で、これが無いと基盤の存在理由が無い	対象	当初あり	通行証を延長するための仕組みと、不正利用が疑われた場合の挙動	ガイド 1 章。延長時の入れ替え要件と、失効したときのアプリ側の動きが示されている	未着手
GD-25	第4部 step-up認証	ガイド・手順書の執筆	F-AUTH-17	多要素認証	重要操作時の追加認証	基盤チーム	アプリチーム	代替手段あり	【省略・吸収】ステップアップ認証は不要と決定。人日は復活時のために残す	対象外：省略・吸収	当初あり	重要操作のときに追加認証を求められた場合のアプリ側の対応方法	ガイド 1 章。追加認証を求める応答の読み取り方と、再ログイン要求の組み立て方が示されている	未着手
GD-26	第5部 必須セキュリティ要件チェックリスト	ガイド・手順書の執筆	横断	横断	横断（全機能共通）	基盤チーム	アプリチーム	認証の中核	対象が減るぶん規模は縮むが、作業自体は残る	対象	新規: 機能追加	接続前に満たすべきセキュリティ要件を、確認できる形にまとめた一覧	ガイド 1 章。各項目が満たす／満たさないで判定でき、受入審査に使える	未着手
GD-27	第5部 CORS / SameSite / CSP	ガイド・手順書の執筆	横断	横断	横断（全機能共通）	基盤チーム	アプリチーム	認証の中核	対象が減るぶん規模は縮むが、作業自体は残る	対象	新規: 機能追加	ブラウザからの通信を安全にするための設定要件	ガイド 1 章。許可する接続元の指定方法と、緩めてはいけない設定が示されている	未着手
GD-28	第5部 禁止事項・アンチパターン集	ガイド・手順書の執筆	横断	横断	横断（全機能共通）	基盤チーム	アプリチーム	認証の中核	対象が減るぶん規模は縮むが、作業自体は残る	対象	新規: 機能追加	やってはいけない実装をまとめた一覧。実際に事故につながる 23 項目	ガイド 1 章。各項目に「何が起きるか」が併記され、レビュー時のチェックに使える	未着手
GD-29	第5部 ログ・監査	ガイド・手順書の執筆	横断	横断	横断（全機能共通）	基盤チーム	アプリチーム	認証の中核	対象が減るぶん規模は縮むが、作業自体は残る	対象	新規: 機能追加	記録に残してよい情報・いけない情報と、問い合わせ調査のための共通の目印	ガイド 1 章。通行証を記録に残さない原則と、調査用の目印の付け方が示されている	未着手
GD-30	第6部 エラーコード一覧と期待動作	ガイド・手順書の執筆	横断	横断	横断（全機能共通）	基盤チーム	アプリチーム	認証の中核	対象が減るぶん規模は縮むが、作業自体は残る	対象	新規: 機能追加	エラーが返ったときにアプリが取るべき動作の一覧。すぐ再試行すれば成功するものをエラー画面にしない注意を含む	ガイド 1 章。主要なエラーごとに期待動作が定義され、再試行で回復するものが明示されている	未着手
GD-31	第6部 403 → Sorry誘導規約	ガイド・手順書の執筆	横断	横断	横断（全機能共通）	基盤チーム	アプリチーム	認証の中核	対象が減るぶん規模は縮むが、作業自体は残る	対象	新規: 機能追加	権限が足りない場合に共通の案内画面へ誘導する決まり	ガイド 1 章。誘導先と、渡してよい理由コードが限定列挙されている	未着手
GD-32	第6部 認証失敗・再認証のUX	ガイド・手順書の執筆	横断	横断	横断（全機能共通）	基盤チーム	アプリチーム	認証の中核	対象が減るぶん規模は縮むが、作業自体は残る	対象	新規: 機能追加	ログインできなかったときに利用者へ見せる案内の考え方	ガイド 1 章。再ログインへの誘導方法と、原因を詳しく出しすぎない方針が示されている	未着手
GD-33	第6部 ブランド・ログインボタン	ガイド・手順書の執筆	横断	横断	横断（全機能共通）	基盤チーム	アプリチーム	認証の中核	対象が減るぶん規模は縮むが、作業自体は残る	対象	新規: 機能追加	ログインボタンの表記やロゴの使い方の決まり	ガイド 1 章。表記の統一ルールと、使用可能な素材が示されている	未着手
GD-34	第7部 Token Exchange	ガイド・手順書の執筆	F-AZ-08	トークン管理	トークンの交換	基盤チーム	アプリチーム	後から追加可能	必要になってから足せる仕組みで、初期に無くても困らない	対象	新規: 機能追加	あるアプリ向けの通行証を別のアプリ向けに交換する仕組みの使い方	ガイド 1 章。交換を許す条件と、権限を広げてはいけない原則が示されている	未着手
GD-35	第7部 Webhook受信	ガイド・手順書の執筆	F-INT-04	アプリへの通知	アプリへの変更通知	アプリチーム	アプリチーム	代替手段あり	アプリが定期的に問い合わせる方式にすれば、押し込まなくても成立する	対象	新規: 機能追加	利用者の変更通知を受け取るアプリ側の実装要件。同じ通知が二重に来ても大丈夫にする方法を含む	ガイド 1 章。署名の確認・重複排除・順序が保証されない前提での作り方が示されている	未着手
GD-36	第7部 CAEP receiver	ガイド・手順書の執筆	F-INT-12	アプリへの通知	状態変化の即時通知	基盤チーム	アプリチーム	後から追加可能	検知が無くても認証は動く。まず動かしてから精度を上げる順序にできる	対象	新規: 機能追加	利用者の状態変化を即時に受け取る新方式の姿勢。初期リリースでは対象外	ガイド 1 章。対象外である旨と、当面の代替手段が示されている	未着手
GD-37	第8部 レート制限と作法	ガイド・手順書の執筆	横断	横断	横断（全機能共通）	基盤チーム	アプリチーム	認証の中核	対象が減るぶん規模は縮むが、作業自体は残る	対象	新規: 機能追加	呼び出し回数の上限と、上限に達したときの正しい待ち方	ガイド 1 章。応答に含まれる待ち時間の読み方と、自己流の待ち方をしない旨が示されている	未着手
GD-38	第8部 障害時の挙動	ガイド・手順書の執筆	横断	横断	横断（全機能共通）	基盤チーム	アプリチーム	認証の中核	対象が減るぶん規模は縮むが、作業自体は残る	対象	新規: 機能追加	基盤側で障害が起きたときにアプリ側で何が起きるか、どこまで動き続けるかの説明	ガイド 1 章。止まる範囲・動き続ける範囲と、復旧時に再ログインが必要になる条件が示されている	未着手
GD-39	第8部 監視・可観測性	ガイド・手順書の執筆	横断	横断	横断（全機能共通）	基盤チーム	アプリチーム	認証の中核	対象が減るぶん規模は縮むが、作業自体は残る	対象	新規: 機能追加	アプリ側で持つべき監視の観点と、基盤側の定期確認への協力事項	ガイド 1 章。調査用の目印の連携方法と、確認用の入口の扱いが示されている	未着手
GD-40	第8部 SLA・制約事項	ガイド・手順書の執筆	横断	横断	横断（全機能共通）	基盤チーム	アプリチーム	認証の中核	対象が減るぶん規模は縮むが、作業自体は残る	対象	新規: 機能追加	契約上アプリ側に理解してもらう必要がある制約の一覧。止めてから完全に切れるまでの時間差など	ガイド 1 章。制約が具体的な時間・条件つきで列挙され、契約文書と対応づいている	未着手
GD-41	第8部 バージョニング・廃止ポリシー	ガイド・手順書の執筆	横断	横断	横断（全機能共通）	基盤チーム	アプリチーム	認証の中核	対象が減るぶん規模は縮むが、作業自体は残る	対象	新規: 機能追加	接続仕様が変わるときの通知方法と、移行にかけられる期間の約束	ガイド 1 章。事前通知の期間と、通知の届く手段が示されている	未着手
GD-42	第9部 サンドボックス・テスト方法	ガイド・手順書の執筆	横断	横断	横断（全機能共通）	基盤チーム	アプリチーム	認証の中核	対象が減るぶん規模は縮むが、作業自体は残る	対象	新規: 機能追加	本番につなぐ前に試せる環境と、確認しておくべき項目	ガイド 1 章。検証環境の入手方法と、試験用の利用者の扱いが示されている	未着手
GD-43	第9部 本番移行チェックリスト・ゲート	ガイド・手順書の執筆	横断	横断	横断（全機能共通）	基盤チーム	アプリチーム	認証の中核	対象が減るぶん規模は縮むが、作業自体は残る	対象	新規: 機能追加	本番接続の前に満たす条件をまとめたチェックリスト	ガイド 1 章。判定可能な項目で構成され、外部の適合性試験の推奨も含まれている	未着手
GD-44	第9部 ローンチ後の変更手順	ガイド・手順書の執筆	横断	横断	横断（全機能共通）	基盤チーム	アプリチーム	認証の中核	対象が減るぶん規模は縮むが、作業自体は残る	対象	新規: 機能追加	本番稼働後に設定を変えたくなったときの手続き	ガイド 1 章。変更できる項目ごとの申請方法と所要期間が示されている	未着手
GD-45	第9部 移行ガイド	ガイド・手順書の執筆	横断	横断	横断（全機能共通）	基盤チーム	アプリチーム	認証の中核	対象が減るぶん規模は縮むが、作業自体は残る	対象	新規: 機能追加	旧来のやり方から本基盤へ切り替える場合の移行手順	ガイド 1 章。切り替え時の並行運用の考え方と、注意点が示されている	未着手
GD-46	第10部 エンドポイント・リファレンス	ガイド・手順書の執筆	横断	横断	横断（全機能共通）	基盤チーム	アプリチーム	認証の中核	対象が減るぶん規模は縮むが、作業自体は残る	対象	新規: 機能追加	接続に使う各種アドレスの一覧	ガイド 1 章。用途ごとに整理され、直接書かずに取得する方針と矛盾しない形で示されている	未着手
GD-47	第10部 クレーム辞書・スコープ一覧	ガイド・手順書の執筆	横断	横断	横断（全機能共通）	基盤チーム	アプリチーム	認証の中核	対象が減るぶん規模は縮むが、作業自体は残る	対象	新規: 機能追加	通行証に入っている情報と、申請できる権限の一覧	ガイド 1 章。各項目の意味と、権限を認可判断に使ってよい／いけない区別が示されている	未着手
GD-48	第10部 推奨ライブラリ	ガイド・手順書の執筆	横断	横断	横断（全機能共通）	基盤チーム	アプリチーム	認証の中核	対象が減るぶん規模は縮むが、作業自体は残る	対象	新規: 機能追加	使ってよい実装ライブラリの方針。特定製品専用の古い部品は使わせない	ガイド 1 章。推奨するライブラリの条件と、使用を認めない部品が明示されている	未着手
GD-49	第10部 サポート窓口・FAQ	ガイド・手順書の執筆	横断	横断	横断（全機能共通）	基盤チーム	アプリチーム	認証の中核	対象が減るぶん規模は縮むが、作業自体は残る	対象	新規: 機能追加	困ったときの問い合わせ先と、よくある質問	ガイド 1 章。緊急度別の連絡先と、回答の目安時間が示されている	未着手
GD-50	第10部 ドキュメント変更履歴	ガイド・手順書の執筆	横断	横断	横断（全機能共通）	基盤チーム	アプリチーム	認証の中核	対象が減るぶん規模は縮むが、作業自体は残る	対象	新規: 機能追加	このガイド自体の改訂履歴と、更新の知らせ方	ガイド 1 章。改訂の記録様式と、読者への通知方法が定義されている	未着手
GD-51	シーケンス図・構成図（主要8フロー）	ガイド・手順書の執筆	横断	横断	横断（全機能共通）	基盤チーム	アプリチーム	認証の中核	対象が減るぶん規模は縮むが、作業自体は残る	対象	新規: 機能追加	ガイド内で使う処理の流れ図の作成	主要 8 パターンの流れ図。各章から参照され、文章と図の内容が一致している	未着手
GD-52	全体レビュー・整合性確認	ガイド・手順書の執筆	横断	横断	横断（全機能共通）	基盤チーム	アプリチーム	認証の中核	対象が減るぶん規模は縮むが、作業自体は残る	対象	新規: 機能追加	ガイド全体を通しての整合性の確認と、設計書との突き合わせ	レビュー記録。設計書の決定と食い違う記述がないことが確認されている	未着手
GD-53	アプリチーム向け説明会・フィードバック反映	ガイド・手順書の執筆	横断	横断	横断（全機能共通）	基盤チーム	アプリチーム	認証の中核	対象が減るぶん規模は縮むが、作業自体は残る	対象	新規: 機能追加	アプリ開発チームへの説明会と、そこで出た指摘の反映	説明会の実施記録と改訂版ガイド。参加チームからの指摘が反映されている	未着手
