WBS ID	項目	作業種別	機能ID	機能グループ	機能名	担当（案②: 一部移管）	担当（案③: アプリ構築）	判断根拠	根拠の補足	スコープ	当初想定	概要	成果物と完了条件	状態
A-14	状態変化の即時通知（机上比較）	実機検証・照会	F-INT-12	アプリへの通知	状態変化の即時通知	基盤チーム	アプリチーム	後から追加可能	【省略・吸収】INT-12（CAEP）と同じく初期リリース対象外。人日は復活時のために残す	対象外：省略・吸収	新規: 機能追加	製品側の通知機能は試験的な位置づけのため採用せず、自作方式との比較を机上で行う	比較記録。自作方式で進める判断とその根拠が記録されている	未着手
A-15	調査計画：記録の可視性（承認ゲートの照会）	実機検証・照会	横断	横断	横断（全機能共通）	基盤チーム	基盤チーム	構成の前提	構成が成立するかの確認で、機能を減らしても確かめる必要は残る	対象	新規: 自社構築	基盤の運用元による閲覧に承認を必須とする設定が有効化できるかを問い合わせる	回答記録。有効化の可否と手順が確認されている	未着手
A-20	調査計画：管理用の口からパスワードのハッシュが読めないことの実機確認	実機検証・照会	横断	横断（全機能共通）	横断（全機能共通）	基盤チーム	基盤チーム	事故防止	ネットワークを分ける根拠が「管理用の口はパスワードのハッシュを返さない」という前提に立っている。前提が崩れると分離の意味づけが変わるため、実機で確かめる	対象	新規: 自社構築	管理用の口から利用者の資格情報を読み出したとき、ハッシュが伏せられることを実機で確認する	確認結果。ハッシュが取得できないことが確認され、分離を維持する根拠として記録されている	未着手
A-2.1	自社拡張の検証環境	実機検証・照会	横断	横断	横断（自社拡張全般）	基盤チーム	基盤チーム	構成の前提	構成が成立するかの確認で、機能を減らしても確かめる必要は残る	対象外：認証製品を 1 つに統合	新規: 自社構築	自社で作る拡張機能を、製品版の認証製品に載せて動かすための検証環境を用意する	検証環境。独自イメージを作って配る手順が一通り通っている	未着手
A-2.2	自社拡張 4 種の個別互換	実機検証・照会	F-AUTH-02, F-PROV-01, F-PROV-11, F-AUTH-08	接続先の振り分け／自動登録／停止と再開／フェデレーション	接続先の自動振り分け／初回ログイン時の自動登録／停止済み利用者の再開／ログイン後の属性取り込み	基盤チーム	アプリチーム	代替手段あり	【省略・吸収】自明として省略。人日は復活時のために残す	対象外：省略・吸収	当初あり	自社で作る 4 つの拡張機能が、製品版の認証製品でそれぞれ正しく動くかを確かめる	確認結果。4 機能すべてが動作し、動かない場合の代替方針が判断できる状態	未着手
A-2.3	拡張が全経路で発火するか	実機検証・照会	横断	横断	横断（自社拡張全般）	基盤チーム	基盤チーム	構成の前提	【省略・吸収】自明として省略。人日は復活時のために残す	対象外：省略・吸収	新規: 自社構築	拡張機能を置く場所を変えながら、すべてのログイン経路で確実に呼び出されるかを確かめる	確認結果。3 種類の経路すべてで呼び出されることが確認されている	未着手
A-2.4	周辺の互換	実機検証・照会	横断	横断	横断（自社拡張全般)	基盤チーム	基盤チーム	構成の前提	【省略・吸収】自明として省略。人日は復活時のために残す	対象外：省略・吸収	新規: 自社構築	認証情報を保持しない設定にしたときの挙動と、属性の入力規則が期待どおりかを確かめる	確認結果。設定ごとの挙動が記録され、設計に反映できる	未着手
A-17	分離した 2 つのネットワーク間の閉域接続が通るか	実機検証・照会	横断	横断	横断（全機能共通）	基盤チーム	基盤チーム	構成の前提	【省略・吸収】自明として省略。人日は復活時のために残す	対象外：省略・吸収	新規: 自社構築	分けた 2 つのネットワークの間が、閉じた経路で正しく繋がるかを確かめる。逆向きに繋がらないことも確認する	疎通確認記録。到達可否・逆向き不可・名前解決の切り分けが確認されている	未着手
A-18	製品ベンダーのサポート範囲の照会	実機検証・照会	横断	横断	横断（全機能共通）	基盤チーム	基盤チーム	構成の前提	【省略・吸収】自明として省略。人日は復活時のために残す	対象外：省略・吸収	新規: 自社構築	自社で作った拡張を載せた状態が製品ベンダーのサポート対象かを問い合わせる	回答記録。サポート範囲が文書で確認され、対象外の場合の影響が整理されている	未着手
A-19	処理の重さが違うものを同居させて成立するかの実測	実機検証・照会	F-AUTH-01	ローカル認証	ローカルログイン	基盤チーム	基盤チーム	事故防止	【省略・吸収】自明として省略。人日は復活時のために残す	対象外：省略・吸収	当初あり	パスワードの計算が集中したときに、顧客の認証システム経由のログインへ与える影響を実機で測る。悪化する場合の緩和策（優先度・上限）まで含める	測定結果と緩和策。同居させても応答が悪化しないこと、または悪化時の対処が確認されている	未着手
A-9	接続情報の自動追随	実機検証・照会	F-ADM-16	接続先管理	顧客認証システムの接続登録	基盤チーム	アプリチーム	認証の中核	【省略・吸収】自明として省略。人日は復活時のために残す	対象外：省略・吸収	新規: 機能追加	接続情報を自動で最新に保つ機能が実在し、動作するかを確かめる	確認結果。機能の有無が確定し、無い場合の代替手順が決まっている	未着手
A-16	ブランドごとの画面切替が 1 つの基盤で成立するか	実機検証・照会	横断	横断	横断（ログイン画面のブランド別表示 ※機能一覧に未登録）	基盤チーム	基盤チーム	構成の前提	【省略・吸収】1 ブランドのみの前提で不要。人日は復活時のために残す	対象外：省略・吸収	新規: 自社構築	1 つの基盤でブランドごとに違う画面を出せるかを確かめる。出せない場合の代替も確認する	確認結果。出し分けの可否と、できない場合の代替手段が判断できる状態	未着手
A-7	切替先の機材確保（照会）	実機検証・照会	横断	横断	横断（全機能共通）	基盤チーム	基盤チーム	構成の前提	構成が成立するかの確認で、機能を減らしても確かめる必要は残る	対象外：災害対策をやらない	新規: 自社構築	切替先の地域で必要な機材が確保できるか、上限に余裕があるかを問い合わせる	回答記録。確保可否と上限値が確認されている	未着手
B-1.1	他組織への要求事項の文書化と提出	外部調整	横断	横断	横断（全機能共通）	基盤チーム	基盤チーム	他組織との調整	ネットワークや入口の要求は、機能の数と無関係に発生する	対象	新規: 自社構築	インターネットとの境界を管理する他組織に対し、こちらが必要とする設定内容を文書にまとめて提出する	要求事項の文書。24 件すべてが記載され、先方へ提出済み	未着手
B-1.2	先方からの質問への回答対応	外部調整	横断	横断	横断（全機能共通）	基盤チーム	基盤チーム	他組織との調整	ネットワークや入口の要求は、機能の数と無関係に発生する	対象	新規: 自社構築	提出した内容について先方から出た質問に回答し、論点を整理する	質疑の記録。2 往復を想定し、未解決の論点が一覧化されている	未着手
B-2.1	配信基盤（CloudFront）から境界管理組織の入口までの繋ぎ方の技術検討	外部調整	横断	横断	横断（全機能共通）	基盤チーム	基盤チーム	他組織との調整	ネットワークや入口の要求は、機能の数と無関係に発生する	対象	新規: 自社構築	配信の仕組みから先方の入口装置まで、どう繋ぐかの方式を技術的に詰める	方式比較。採用案と、採れない場合の代替が示されている	未着手
B-2.2	境界管理組織との協議用の比較資料の作成	外部調整	横断	横断	横断（全機能共通）	基盤チーム	基盤チーム	他組織との調整	ネットワークや入口の要求は、機能の数と無関係に発生する	対象	新規: 自社構築	先方と協議するための比較資料を作る	協議資料。方式ごとの利点と制約が先方にも分かる形で整理されている	未着手
B-3	使用する IP アドレス範囲の確定と重複確認	外部調整	横断	横断	横断（全機能共通）	基盤チーム	基盤チーム	他組織との調整	分離は到達を防ぐものではなく「何が取れるか」を変えるもの。管理用の口はパスワードのハッシュを返さないが、DB を直接読めば全件取れる。ハッシュが持ち出されると元のパスワードが割り出され、利用者が他所で使い回している分まで被害が広がる。分離すれば DB への経路そのものが存在しないため、これを構造的に防げる（2026-09-02 維持を決定）	対象	新規: 自社構築	使用するネットワーク番号を確定し、社内・他組織・顧客側と重複しないことを確認する	確定した番号の台帳。重複がないことが確認済み。**構築開始前に必須**	未着手
B-4.1	外向き通信の許可運用に関する境界管理組織との合意資料	外部調整	横断	横断	横断（全機能共通）	基盤チーム	基盤チーム	他組織との調整	ネットワークや入口の要求は、機能の数と無関係に発生する	対象	新規: 自社構築	外向き通信の許可をどう運用するかについて、先方と合意するための資料を作る	合意資料。許可の申請方法と所要時間が明記されている	未着手
B-4.2	災害時の入口切替に関する合意資料	外部調整	横断	横断	横断（全機能共通）	基盤チーム	基盤チーム	他組織との調整	ネットワークや入口の要求は、機能の数と無関係に発生する	対象外：災害対策をやらない	新規: 自社構築	災害時に入口を切り替える方式について、先方と合意するための資料を作る	合意資料。切替の手順と役割分担が明記されている	未着手
B-5	死活監視を攻撃と誤検知させないための境界管理組織との合意	外部調整	F-INT-09	監視・検知	定期的な擬似ログインによる障害検知	基盤チーム	アプリチーム	代替手段あり	通常のシステム監視と手動更新で代替でき、無くても認証は止まらない	対象	新規: 非機能・運用	死活監視の通信を攻撃と誤検知させないための扱いを、先方と合意する	合意内容。除外の対象と方法が定まっている	未着手
D-1	接続先の優先順位と選択画面の並び順	調査・計画	横断	横断	横断（ログイン画面）	基盤チーム	基盤チーム	構成の前提	構成の前提を決める判断で、先送りすると後続が全て止まる	対象	新規: 機能追加	1 つの組織に複数の接続先がある場合の優先順位と、選択画面での並び順をどう決めるかを確定する	決定記録。順位の決め方と並び順の規則が定まり、画面設計に反映できる	未着手
D-2	強い本人確認を求める操作の一覧	レビュー・合意	F-AUTH-17	多要素認証	重要操作時の追加認証	基盤チーム	アプリチーム	代替手段あり	【省略・吸収】ステップアップ認証は不要と決定。人日は復活時のために残す	対象外：省略・吸収	当初あり	どの操作のときに追加の本人確認を求めるかの一覧を、アプリ側との取り決めとして先に確定する	操作一覧。対象操作と要求水準が定まり、アプリへ提示できる	未着手
D-6	通知メールの送信設定と なりすまし防止	調査・計画	F-INT-07	アプリへの通知	通知メールの送信	基盤チーム	基盤チーム	製品機能	パスワード再設定などの定型メールは認証製品が送るため、基盤側に残る	対象	新規: 非機能・運用	送信サービスの制限解除、なりすまし防止の DNS 設定、ブランドごとの送信設定をコードで管理する方式を決める	設計書。制限解除の申請内容と DNS 設定値、設定の管理方法が定まっている	要件確認
D-7a	不審な挙動の検知データを切替先にも置くか	調査・計画	F-AZ-09	認可の記録	権限判定の記録	基盤チーム	基盤チーム	後から追加可能	必要になってから足せる仕組みで、初期に無くても困らない	対象外：災害対策をやらない	新規: 非機能・運用	検知の判定材料となる履歴データを、切替先の地域にも持つかどうかを決める	判断記録。持たない場合に切替直後へ与える影響が評価されている	未着手
D-7b	緊急時の入り口を切替先にどう用意するか	調査・計画	横断	横断	横断（緊急時の運用）	基盤チーム	基盤チーム	構成の前提	構成の前提を決める判断で、先送りすると後続が全て止まる	対象外：災害対策をやらない	新規: 機能追加	通常経路が使えないときに管理者が入る仕組みを、切替先にどう用意するかを決める	方式設計。平時にクラスタが無い状態でも成立する手段が定まっている	未着手
D-9.1	権限テーブルとアプリ台帳のスキーマ統合	調査・計画	F-ADM-11	権限管理	使えるアプリの設定	アプリチーム	アプリチーム	業務ルール依存	誰にどの権限を与えるかは業務ごとに違い、基盤が共通の仕様を決められない	対象	新規: 機能追加	「誰がどのアプリを使えるか」の表と「どんなアプリがあるか」の台帳を、同じ場所・同じ ID 体系で持つ設計	統合設計。両者の対応関係と ID の付け方が定まっている	未着手
D-9.3a	承認画面を他機能と共用するか	調査・計画	F-ADM-16	接続先管理	顧客認証システムの接続登録	アプリチーム	アプリチーム	認証の中核	顧客と接続先を登録できないとサービスを開始できない	対象	新規: 機能追加	顧客追加の承認を行う画面を、既存の管理画面と共用するか独立させるかを決める	判断記録。共用する場合の権限の分け方が定まっている	未着手
D-9.3b	監視用の読み取り専用資格の権限範囲	調査・計画	F-INT-08	監視・検知	不正兆候の検知	基盤チーム	アプリチーム	事故防止	検知の仕組みが使う資格の権限範囲。検知を Phase 1 に戻したため必要になる	対象	新規: 非機能・運用	死活監視が使う資格に、どこまで読める権限を与えるかの規約を決める	権限規約。読み取り範囲が最小限に定まっている	未着手
D-9.3c	管理APIの応答目標をどこまで含めるか	調査・計画	横断	横断	横断（管理 API）	基盤チーム	基盤チーム	構成の前提	構成の前提を決める判断で、先送りすると後続が全て止まる	対象	新規: 機能追加	管理 API の応答時間の目標値を、どの区間で測るかの境界を決める	測定境界の定義。目標値と測定点が定まっている	未着手
D-15	権限を一時的に上げる仕組みの置き場所	調査・計画	—	横断	該当なし	基盤チーム	基盤チーム	構成の前提	【省略・吸収】ステップアップ認証は不要と決定。人日は復活時のために残す	対象外：省略・吸収	新規: 機能追加	一時的に強い権限を出す機能をどこに置くかを決める	決定記録	未着手
D-16.1	運用設計：業務システム（ServiceNow）への移行を 4 段階で進める手順	レビュー・合意	F-INT-01, F-INT-02	業務システム連携（ServiceNow 等へのログイン提供）	業務システムへの認証提供／業務システム側の利用者自動作成	アプリチーム	アプリチーム	後から追加可能	連携先は 1 つで、無くても認証基盤としては成立する	対象	新規: 機能追加	業務システムへの移行を 4 段階で進める詳細手順を決める	段階別の手順書。各段階で元に戻せることが示されている	未着手
D-16.2	利用者を止めたときの業務システム側の連鎖	レビュー・合意	F-INT-01, F-INT-02	業務システム連携（ServiceNow 等へのログイン提供）	業務システムへの認証提供／業務システム側の利用者自動作成	基盤チーム	アプリチーム	後から追加可能	連携先は 1 つで、無くても認証基盤としては成立する	対象	新規: 機能追加	利用者を止めたときに業務システム側でも使えなくなる連鎖の仕組みを決める。ADR-023 では「ServiceNow 側の利用者は残したまま認証で遮断」と決めているが、顧客要件としては未確認	決定記録。業務履歴を残しつつ利用を止められる方式が定まっている	要件確認
D-16.3	運用設計：業務システムにしかいない利用者の移行方針	レビュー・合意	F-INT-01, F-INT-02	業務システム連携（ServiceNow 等へのログイン提供）	業務システムへの認証提供／業務システム側の利用者自動作成	アプリチーム	アプリチーム	後から追加可能	連携先は 1 つで、無くても認証基盤としては成立する	対象	新規: 機能追加	業務システムにしかいない利用者の移行方針を決める	決定記録。対象者の扱いが定まっている	未着手
D-17.1	全員が外部連携になる前提への改訂: ログイン処理の順序	調査・計画	F-AUTH-01, F-PROV-01	ローカル認証／自動登録	ローカルログイン／初回ログイン時の自動登録	基盤チーム	基盤チーム	認証の中核	【省略・吸収】設計書はまだ無い前提のため改訂作業は不要。内容は HJ-02a に吸収。人日は復活時のために残す	対象外：省略・吸収	当初あり	全利用者を顧客の認証システム経由に統一する方針に合わせ、ログイン処理の流れを書き直す	改訂済みの設計記述	未着手
D-17.2	全員が外部連携になる前提への改訂: 登録経路の区分	調査・計画	F-PROV-09	受け取ったデータの整形（項目名・区分の統一）	登録経路の区分判定	基盤チーム	アプリチーム	認証の中核	【省略・吸収】同上。内容は HB-F-PROV-09 に吸収。人日は復活時のために残す	対象外：省略・吸収	新規: 機能追加	利用者がどの経路で登録されたかの区分を、新方針に合わせて整理し直す	改訂済みの経路表。区分が重複しない	未着手
D-17.3	全員が外部連携になる前提への改訂: 追加認証の画面の流れ	調査・計画	F-AUTH-11	多要素認証	追加認証（生体・セキュリティキー）	基盤チーム	基盤チーム	製品機能	【省略・吸収】同上。内容は HB-F-AUTH-10〜13 に吸収。人日は復活時のために残す	対象外：省略・吸収	当初あり	追加認証の画面の流れを、新方針での利用者区分に合わせて見直す	改訂済みの設計記述	未着手
D-17.4	全員が外部連携になる前提への改訂: 追加認証の責任分担	調査・計画	F-AUTH-11	多要素認証	追加認証（生体・セキュリティキー）	基盤チーム	基盤チーム	製品機能	【省略・吸収】同上。内容は HB-F-AUTH-10〜13 に吸収。人日は復活時のために残す	対象外：省略・吸収	当初あり	追加認証の実施責任が顧客側に移る部分を、設計書に明記する	改訂済みの設計記述。責任の所在が明確になっている	未着手
D-17.5	全員が外部連携になる前提への改訂: 4冊の突合	調査・計画	F-AUTH-01, F-PROV-01	ローカル認証／自動登録	ローカルログイン／初回ログイン時の自動登録	基盤チーム	基盤チーム	認証の中核	【省略・吸収】同上（突合の対象となる改訂が無い）。人日は復活時のために残す	対象外：省略・吸収	当初あり	書き直した 4 つの設計書の間で矛盾がないかを突き合わせる	突合結果。矛盾がないことが確認されている	未着手
D-18.1	希望する復旧時間と実現できる時間の差の分析	調査・計画	—	横断	該当なし	基盤チーム	基盤チーム	構成の前提	構成の前提を決める判断で、先送りすると後続が全て止まる	対象外：災害対策をやらない	新規: 機能追加	顧客の希望する復旧時間と、現在の方式で実現できる時間の差を数値で明らかにする	分析結果。差分と、その原因となる制約が数値で示されている	未着手
D-18.2	復旧方式の決定	調査・計画	—	横断	該当なし	基盤チーム	基盤チーム	構成の前提	構成の前提を決める判断で、先送りすると後続が全て止まる	対象外：災害対策をやらない	新規: 機能追加	分析を踏まえ、復旧方式をどうするかを決める	決定記録。方式が 1 つに確定している	未着手
D-18.3	決めた復旧方式の設計書への反映	調査・計画	—	横断	該当なし	基盤チーム	基盤チーム	構成の前提	構成の前提を決める判断で、先送りすると後続が全て止まる	対象外：災害対策をやらない	新規: 機能追加	決めた復旧方式を関連する設計書に反映する	改訂済みの設計記述 3 冊	未着手
D-18.4	復旧作業の手順書の骨子	調査・計画	—	横断	該当なし	基盤チーム	基盤チーム	構成の前提	構成の前提を決める判断で、先送りすると後続が全て止まる	対象外：災害対策をやらない	新規: 機能追加	復旧作業の手順書の骨子を作る	手順書の骨子。実際の作業順序が追える	未着手
D-18.5	災害対策をスコープ外とする判断の記録と顧客への説明資料	レビュー・合意	横断	横断（全機能共通）	横断（全機能共通）	基盤チーム	基盤チーム	法令・契約	顧客希望は「1 日で復旧」で、対象外はその正反対。差は「復旧が遅い」ではなく「復旧するかしないか」なので、書面で合意しないと後で紛争になる	対象	新規: 機能追加	別地域への切替を行わない判断の根拠・リスク・契約文言案・将来復活する場合の追加見積をまとめる	判断記録と顧客向け説明資料。リスクと代替手段が示され、契約文言案が用意されている	未着手
D-21	将来の切替先のための番号予約	調査・計画	横断	横断（全機能共通）	横断（全機能共通）	基盤チーム	基盤チーム	構成の前提	ネットワークの区画は作成後に変更できない。今예約しておかないと、将来やりたくなったときに全体の作り直しになる	対象	新規: 機能追加	別地域に切り替える構成を将来足せるよう、ネットワークの番号だけ確保しておく	番号の予約記録。切替先で使う範囲が台帳に登録され、他と重複しないことが確認されている	未着手
D-19	認証システムのまとまり数の決定記録（Realm 統合）	調査・計画	—	横断	該当なし	基盤チーム	基盤チーム	構成の前提	2026-09-02 に Realm 統合として決定済み。決定記録のみ残す	対象	新規: 規模	認証システムをいくつのまとまりで構成するかを再検討して決める	決定記録。構成が確定し、ネットワーク設計の前提が定まる	未着手
E-1.1	開発・検証環境: 費用と共用方式の調査	調査・計画	横断	横断	横断（全機能共通）	基盤チーム	基盤チーム	構成の前提	【省略・吸収】E-1.2 に吸収（費用比較は構成決定と一体）。人日は復活時のために残す	対象外：省略・吸収	新規: 自社構築	開発・検証用の環境について、費用と共用のしかたを調査する	調査結果。費用の見込みと共用可能な範囲が整理されている	未着手
E-1.2	開発・検証環境: 構成と共用方針の決定	調査・計画	横断	横断	横断（全機能共通）	基盤チーム	基盤チーム	構成の前提	環境や製品設定は、機能を減らしても同じだけ必要になる	対象	新規: 自社構築	開発・検証環境をいくつ、どう分けて持つかを決める	方針書。環境の数と分け方、共用範囲が定まっている	未着手
E-1.3	開発・検証環境: 試験用データの作り方と費用見積	調査・計画	横断	横断	横断（全機能共通）	基盤チーム	基盤チーム	構成の前提	【省略・吸収】④ テストで計上（試験用データの作り方）。人日は復活時のために残す	対象外：省略・吸収	新規: 自社構築	試験に使うデータの作り方と、環境にかかる費用を見積もる	方針と見積。本物の個人情報を使わない作り方が定まっている	未着手
E-2	性能試験の全体計画書	調査・計画	横断	横断	横断（全機能共通）	基盤チーム	基盤チーム	構成の前提	環境や製品設定は、機能を減らしても同じだけ必要になる	対象	新規: 規模	性能試験の全体計画を 1 本にまとめる	計画書。試験の道具・データ・合格基準が定まっている	未着手
E-3	継続的な費用管理（AWS 基盤チームの仕組みに倣い、本基盤固有の項目のみ）	調査・計画	横断	横断	横断（全機能共通）	基盤チーム	基盤チーム	構成の前提	環境や製品設定は、機能を減らしても同じだけ必要になる	対象	新規: 自社構築	運用開始後に費用を継続的に把握・管理する仕組みを決める	管理方式。費用の分類方法と、超過時に気付く仕組みが定まっている	未着手
E-4a	本番設定: 同時受付数の上限	調査・計画	横断	横断	横断（ログイン処理全般）	基盤チーム	基盤チーム	構成の前提	環境や製品設定は、機能を減らしても同じだけ必要になる	対象	新規: 自社構築	認証製品の本番向け設定のうち、詰め残していた 5 項目を確定する	設定値。5 項目それぞれの値と根拠が定まっている	未着手
E-4b	本番設定: 外部に出さないパスの遮断表	調査・計画	横断	横断	横断（ログイン処理全般）	基盤チーム	基盤チーム	構成の前提	環境や製品設定は、機能を減らしても同じだけ必要になる	対象	新規: 自社構築	認証製品の本番向け設定のうち、詰め残していた 5 項目を確定する	設定値。5 項目それぞれの値と根拠が定まっている	未着手
E-4c	本番設定: クラスタ内通信の暗号化と 30 日入替	調査・計画	横断	横断	横断（ログイン処理全般）	基盤チーム	基盤チーム	構成の前提	環境や製品設定は、機能を減らしても同じだけ必要になる	対象	新規: 自社構築	認証製品の本番向け設定のうち、詰め残していた 5 項目を確定する	設定値。5 項目それぞれの値と根拠が定まっている	未着手
E-4d	本番設定: クラスタ内のノード発見方式	調査・計画	横断	横断	横断（ログイン処理全般）	基盤チーム	基盤チーム	構成の前提	環境や製品設定は、機能を減らしても同じだけ必要になる	対象	新規: 自社構築	認証製品の本番向け設定のうち、詰め残していた 5 項目を確定する	設定値。5 項目それぞれの値と根拠が定まっている	未着手
E-4e	本番設定: ログイン状態の永続化の確認	調査・計画	横断	横断	横断（ログイン処理全般）	基盤チーム	基盤チーム	構成の前提	環境や製品設定は、機能を減らしても同じだけ必要になる	対象	新規: 自社構築	認証製品の本番向け設定のうち、詰め残していた 5 項目を確定する	設定値。5 項目それぞれの値と根拠が定まっている	未着手
E-5	製品更新の運用手順の精密化	調査・計画	横断	横断	横断（全機能共通）	基盤チーム	基盤チーム	構成の前提	環境や製品設定は、機能を減らしても同じだけ必要になる	対象	新規: 自社構築	製品を新しい版へ上げる際の運用手順を精密化する	手順設計。事前確認の方法と、停止を伴う場合の作業時間帯が定まっている	未着手
E-6	DB 接続に公式部品を使うかの判断	調査・計画	横断	横断	横断（全機能共通）	基盤チーム	基盤チーム	構成の前提	公式 JDBC か接続プール（RDS Proxy）かの判断。1 人日で足りる	対象	新規: 自社構築	DB への接続に公式提供の部品を使うかどうかを判断する	判断記録。採否と、採らない場合の代替が定まっている	未着手
E-8	総当たり攻撃と利用者名の推測への対策	調査・計画	F-AUTH-20, F-AUTH-21	不正アクセス対策	連続失敗時の一時締め出し／利用者の存在推測の防止	基盤チーム	基盤チーム	事故防止	総当たりと利用者名の割り出しは、基盤側で塞がないとアプリでは防げない	対象	新規: 規模	総当たり攻撃への対処方針と、利用者名を推測されないための対策を選定する	方針書。採用する方式と設定値が定まっている	要件確認
F-1	顧客向け質問状の整理と提出形式化	外部調整	横断	横断	横断（全機能共通）	基盤チーム	基盤チーム	法令・契約	【省略・吸収】各タスクの工数で対応。人日は復活時のために残す	対象外：省略・吸収	新規: 非機能・運用	顧客への質問状を優先度で絞り込み、提出できる形に整える	質問状。優先度順に整理され、そのまま提出できる状態	未着手
F-2	顧客回答の設計への反映	外部調整	横断	横断	横断（全機能共通）	基盤チーム	基盤チーム	法令・契約	【省略・吸収】各タスクの工数で対応。人日は復活時のために残す	対象外：省略・吸収	新規: 非機能・運用	顧客の回答を前提条件の表と各設計書へ反映する	反映済みの設計書。前提条件が確定値に置き換わっている	未着手
F-3	法務およびベンダーへの照会と回収	外部調整	横断	横断	横断（全機能共通）	基盤チーム	基盤チーム	法令・契約	【省略・吸収】各タスクの工数で対応。人日は復活時のために残す	対象外：省略・吸収	新規: 非機能・運用	法務および製品ベンダーへの照会を起票し、回答を回収する	回答記録。照会事項すべてに回答が得られている	未着手
