ID	分類	作業種別	機能グループ	機能名	項目	概要	成果物と完了条件	人日	担当（案②: 一部移管）	担当（案③: アプリ構築）	判断根拠	根拠の補足	スコープ	当初想定	依存	状態	出典	機能ID
HB-F-PROV-04	HB-F 機能仕様書	設計書の執筆	ユーザ登録（顧客システム連携・SCIM）	SCIM 受信: 利用者の更新	機能仕様書: SCIM 受信 利用者の更新	顧客側からの利用者情報の変更を受け取って反映する	機能仕様書。更新する項目と、競合したときの扱いが定まっている	0.75	基盤チーム	アプリチーム	認証の中核	同上	対象	新規: 機能追加	—	未着手		F-PROV-04
HB-F-PROV-05	HB-F 機能仕様書	設計書の執筆	ユーザ登録（顧客システム連携・SCIM）	SCIM 受信: 削除通知（無効化へ読み替え）	機能仕様書: SCIM 受信 削除通知（消さずに無効化へ読み替え）	顧客側からの削除通知を受け取り、基盤側では消さずに使えない状態にする	機能仕様書。読み替えの規則と、記録の残し方が定まっている	1	基盤チーム	アプリチーム	事故防止	消してしまうと監査の記録が追えなくなるため、無効化に読み替える	対象	新規: 機能追加	—	未着手		F-PROV-05
HB-F-PROV-06	HB-F 機能仕様書	設計書の執筆	ユーザ登録（顧客システム連携・SCIM）	SCIM 受信: 利用者の検索	機能仕様書: SCIM 受信 利用者の検索・絞り込み	顧客側から利用者を検索・絞り込みで問い合わせられるようにする	機能仕様書。絞り込みの条件と件数の区切り方が定まっている	0.5	基盤チーム	アプリチーム	認証の中核	同上	対象	新規: 機能追加	—	未着手		F-PROV-06
HB-F-PROV-07	HB-F 機能仕様書	設計書の執筆	ユーザ登録（顧客システム連携・SCIM）	SCIM 受信: グループ連携	機能仕様書: SCIM 受信 グループ連携	顧客側のグループ情報を受け取る。初期リリースでは対象外	機能仕様書。初期リリースで対象外とする範囲が明記されている	0.5	基盤チーム	アプリチーム	後から追加可能	初期リリースでは対象外だが、対象外と宣言すること自体が成果物	対象	新規: 機能追加	—	未着手		F-PROV-07
HB-F-PROV-09	HB-F 機能仕様書	設計書の執筆	ユーザ属性の統一	登録経路の区分判定	機能仕様書: 登録経路の区分判定	その利用者がどの経路（初回ログイン・顧客システム連携・運用者）で登録されたかを区別する	機能仕様書。区分の値と、判定するタイミングが定まっている	0.75	基盤チーム	アプリチーム	事故防止	初回ログインで作った人と顧客システムから来た人で、後の扱いが変わるため	対象	新規: 機能追加	—	未着手		F-PROV-09
HB-F-PROV-10	HB-F 機能仕様書	設計書の執筆	ユーザの停止・再開・消去	利用者の停止（消さずに無効化）	機能仕様書: 利用者の停止（消さずに無効化・停止日時の記録）	利用者を削除せず使えない状態にし、いつ止めたかを記録する	機能仕様書。止める条件と、止めた後にできなくなることが定まっている	0.75	基盤チーム	アプリチーム	事故防止	顧客システムからの削除通知の受け皿。退職者を確実に遮断する	対象	新規: 機能追加	—	未着手		F-PROV-10
HB-F-PROV-11	HB-F 機能仕様書	設計書の執筆	ユーザの停止・再開・消去	停止済み利用者の再開	機能仕様書: 停止済み利用者の再開	一度止めた利用者を再び使えるようにする。誤って復活させない条件を含む	機能仕様書。再開してよい条件と、除外する条件が定まっている	0.75	基盤チーム	アプリチーム	事故防止	条件を誤ると退職者が復活する。除外条件の明示が必須	対象	新規: 機能追加	—	未着手		F-PROV-11
HB-F-INT-01	HB-F 機能仕様書	設計書の執筆	業務システム連携（ServiceNow）	業務システムへの認証提供	機能仕様書: ServiceNow へのログイン提供（SAML）	業務システムに対して、本基盤が認証の提供元として振る舞う	機能仕様書。交換する情報と、ログアウトの扱いが定まっている	2	基盤チーム	基盤チーム	認証の中核	業務システムは旧方式（SAML）でしか受けられないため、専用の設計が要る	対象	新規: 機能追加	—	未着手		F-INT-01
HB-F-INT-02	HB-F 機能仕様書	設計書の執筆	業務システム連携（ServiceNow）	業務システム側の利用者自動作成	機能仕様書: ServiceNow 側の利用者自動作成	業務システム側で、初回ログイン時に利用者を自動作成させる	機能仕様書。渡す属性と、業務システム側に求める設定が定まっている	2	基盤チーム	アプリチーム	認証の中核	業務システム側に利用者がいないとログイン後に何もできない	対象	新規: 機能追加	—	未着手		F-INT-02
HB-F-INT-03	HB-F 機能仕様書	設計書の執筆	業務システム連携（ServiceNow）	業務システムから他アプリへの連携	機能仕様書: 業務システムから他アプリへの連携	業務システムにログインした状態から、他のアプリを呼べるようにする	機能仕様書。引き継ぐ情報と、引き継がない情報が定まっている	1	基盤チーム	アプリチーム	後から追加可能	業務システムを起点にした導線。無くても各アプリへ直接ログインできる	対象	新規: 機能追加	—	未着手		F-INT-03
HE-16	HE つなぎ目設計	設計書の執筆	業務システム連携（ServiceNow）	業務システムへの認証提供	外部 IF: ServiceNow	業務システムとやり取りする情報の項目と形式を決める	接続仕様。項目・必須の区別・エラー時の扱いが定まっている	3	基盤チーム	基盤チーム	認証の中核	相手方の仕様に合わせる必要があり、事前に確定していないと接続できない	対象	新規: 機能追加	—	未着手		F-INT-01
GD-13	GD アプリ向けガイド	ガイド・手順書の執筆	業務システム連携（ServiceNow）	業務システムへの認証提供	第 3 部 既存の旧方式アプリ向け	旧方式でしか受けられないアプリの接続方法を手引きにする	ガイドの章。設定手順と注意点が書かれている	2	基盤チーム	アプリチーム	認証の中核	業務システム以外にも旧方式のアプリがある想定	対象	新規: 機能追加	—	未着手		F-INT-01
HD-01	HD データ設計	設計書の執筆	非機能: システム構成	データベース設計（ブローカー）	データの全体構成図（ブローカー側）	どのデータがどこに保管されているかを 1 枚の図にする	構成図。保管先と保管内容が対応づいている	1	基盤チーム	基盤チーム	構成の前提	ブローカー側のみを対象とする。IdP 側は基盤だけ渡すためアプリチームの範囲	対象	新規: 機能追加	—	未着手		NF-ARC-07
HD-04	HD データ設計	設計書の執筆	非機能: システム構成	データベース設計（ブローカー）	認証製品のスキーマの利用範囲整理（ブローカー側）	認証製品が持つ表のうち、触ってよい範囲と触らない範囲を明示する	整理結果。直接読み書きしてよい範囲が定まっている	1	基盤チーム	基盤チーム	事故防止	製品の表を直接触ると版を上げたときに壊れる。線引きが要る	対象	新規: 機能追加	—	未着手		NF-ARC-07
HD-25	HD データ設計	設計書の執筆	非機能: システム構成	データベース設計（ブローカー）	索引・分割・チューニング方針（ブローカー側）	データベースの索引・大きな表の分割・接続の設定方針を決める	方針。索引の付け方と、接続数の上限の根拠が定まっている	1	基盤チーム	基盤チーム	構成の前提	認証製品はデータベースが無いと動かない。設備量と性能の根拠になる	対象	新規: 機能追加	—	未着手		NF-ARC-07
HD-19	HD データ設計	調査・計画	権限管理	顧客番号と基盤識別子の対応づけ	利用者を識別する値の取り決め（アプリチームと協議）	アプリが利用者を一意に指す値を何にするかを、アプリチームと決める	合意記録。使う値と、変わらないことの保証が定まっている	1	要判断	アプリチーム	業務ルール依存	アプリ側の作りに依存するため協議して決める。後から変えられない値	対象	新規: 機能追加	—	未着手		F-PROV-16
HB-F-AZ-05a	HB-F 機能仕様書	設計書の執筆	認可・権限判定	テナント越境の防止（認証製品側）	機能仕様書: 他テナントの接続先で入れてしまうことの防止	利用者が自分のテナント以外の接続先を使ってログインできないようにする	機能仕様書。判定の場所と、防げなかった場合の記録の残し方が定まっている	0.5	基盤チーム	基盤チーム	事故防止	権限データ側の越境防止はアプリの責務だが、認証製品側の越境は基盤の責務	対象	新規: 機能追加	—	未着手		F-AZ-05
HJ-20	HJ 認証製品の作り込み	レビュー・合意	ローカルログイン（Keycloak-IdP 収容）	Keycloak-IdP 収容ユーザのログイン	IdP 側の引き渡し範囲と責任分界の取り決め	基盤（ROSA）をどの状態まで作って渡すか、渡した後は誰が何を持つかを決める	合意記録。引き渡す状態・手順・渡した後の責任範囲が定まっている	1.5	基盤チーム	基盤チーム	構成の前提	基盤は基盤（ROSA）だけを作ってアプリチームへ引き渡す前提。境界が曖昧だと運用で揉める	対象	新規: 機能追加	—	未着手		F-AUTH-01
G-1.3	G 手順書	ガイド・手順書の執筆	非機能: 運用・監視	運用手順書	手順書: 事故発生時の初動	不正アクセスや障害を検知したときに、誰が何を止め、何を保全し、どこへ報告するかの初動を定める	手順書。判断の基準・止める順序・証跡の保全方法・連絡先が定まっている	1.5	基盤チーム	基盤チーム	事故防止	検知しても初動が決まっていないと、被害が広がり証跡も失われる。情報漏えい時の報告手順（G-1.4）の前段	対象	新規: 機能追加	—	未着手		NF-OPS-03
D-16.4	D 判断	調査・計画	非機能: 移行・環境	既存からの移行	接続するアプリの切替計画（並行稼働・切り戻し）	既存の認証から本基盤へアプリを移すときの順序・並行稼働の期間・戻し方を決める	計画。切替の単位・判断の基準・戻す条件が定まっている	1.5	基盤チーム	アプリチーム	事故防止	ブローカー側に利用者データの移行は無いが、アプリの切替は必ず起きる。無計画だと止まる	対象	新規: 機能追加	—	未着手		NF-MIG-02
