シート	ID	種別	列	旧	新
WBS(基本設計)	D-22	追加	—		同意取得の要否と方式の判断
WBS(詳細設計_製造)	DDG-01	変更	機能名	Keycloak-IdP 収容ユーザのログイン	Keycloak-IdP 側の引き渡しと責任分界
WBS(詳細設計_製造)	MKA-01	変更	機能名	Keycloak-IdP 収容ユーザのログイン	Keycloak-IdP 側の引き渡しと責任分界
WBS(詳細設計_製造)	MKJ-01	変更	機能名	Keycloak-IdP 収容ユーザのログイン	Keycloak-IdP 側の引き渡しと責任分界
WBS(詳細設計_製造)	DDG-01	変更	概要・完了定義	どこまで作って渡すか・渡した後の責任の持ち方・初期状態に何を入れるかが確定している	どこまで作って渡すか・渡した後の責任の持ち方（D-21 責任表）・初期状態に何を入れるかが確定し、引き渡し仕様書として 1 冊になっている
WBS(詳細設計_製造)	DDB-18	追加	—		Keycloak-IdP 接続の詳細設計
WBS(詳細設計_製造)	DDE-11	追加	—		接続仕様の実装レベル定義（Keycloak-IdP 側へ渡す設定値）
WBS(詳細設計_製造)	DDI-10	追加	—		単体試験仕様: Keycloak-IdP 接続
WBS(詳細設計_製造)	MKA-20	追加	—		Keycloak-IdP への閉域経路の構築（Keycloak-Broker 側）
WBS(詳細設計_製造)	MKB-30	追加	—		Keycloak-IdP 接続の設定（共有エントリ・写し込み・ログアウト連鎖）
WBS(詳細設計_製造)	MKI-19	追加	—		単体試験: Keycloak-IdP 接続
WBS(詳細設計_製造)	DDB-19	追加	—		運用者認証と権限モデルの実装設計
WBS(詳細設計_製造)	MKB-31	追加	—		運用者アカウントと権限モデルの構築
WBS(詳細設計_製造)	DDF-05	追加	—		自動停止の実装仕様
WBS(詳細設計_製造)	MKF-06	追加	—		自動停止の実装
WBS(詳細設計_製造)	MKA-21	追加	—		依存の検査・イメージ署名・部品一覧の組み込み
WBS(詳細設計_製造)	DDG-14	追加	—		不正兆候の検知の実装設計
WBS(詳細設計_製造)	MKH-07	追加	—		不正兆候の検知の構築
WBS(詳細設計_製造)	DDE-12	追加	—		管理 API の内部公開の実装仕様
WBS(詳細設計_製造)	MKB-32	追加	—		管理 API の内部公開の構築
WBS(テスト)	IT-03	変更	機能名	Keycloak-IdP 収容ユーザのログイン	Keycloak-IdP 側の引き渡しと責任分界
WBS(テスト)	IT-03	変更	対応要件	—	NFR-OPS-012
WBS(テスト)	IT-13	変更	対応要件	—	NFR-OPS-013
WBS(テスト)	SEC-09	変更	対応要件	NFR-SEC-014 / NFR-OPS-006	NFR-SEC-014・022 / NFR-OPS-006
WBS(テスト)	SEC-06	変更	対応要件	NFR-SEC-001・002・003 / NFR-COMP-006	NFR-SEC-001・002・003
WBS(テスト)	ST-18	変更	対応要件	FR-USER-006 / FR-SSO-009・010	FR-USER-006 / FR-SSO-009・010 / NFR-SEC-008
WBS(テスト)	DR-02	変更	テスト観点	切替でログインし直しが要るか要らないかが設計どおり／発行済みのJWTが切替先で検証できる／署名鍵が切替先にも揃っている	切替でログインし直しが要ることが設計どおり（別地域再構築のため状態は引き継がない）／発行済みのJWTが切替先で検証できる／署名鍵が切替先にも揃っている
WBS(テスト)	IT-16	追加	—		Keycloak-IdP とのつなぎ目
WBS(テスト)	IT-17	追加	—		管理 API の内部到達と権限範囲
WBS(テスト)	ST-28	追加	—		顧客IdP を持たない顧客のログインの一連
WBS(テスト)	ST-29	追加	—		長期未使用者の自動停止
WBS(テスト)	SEC-10	追加	—		運用者アカウントの保護
WBS(テスト)	OP-12	追加	—		不正兆候の検知と通知
要件マッピング	FR-AUTH-001	変更	① 基本設計	HB-F-AUTH-01 HJ-20	
要件マッピング	FR-AUTH-001	変更	② 詳細設計	DDG-01	
要件マッピング	FR-AUTH-001	変更	③ 製造	MKA-01 MKJ-01	
要件マッピング	FR-AUTH-001	変更	④ テスト	IT-03	
要件マッピング	FR-AUTH-001	変更	状況	アプリ側で実施（本基盤にも 4 工程あり）	アプリ側で実施（Keycloak-IdP 側。本基盤は ROSA の引き渡しまで＝NFR-OPS-012）
要件マッピング	FR-AUTH-009	変更	① 基本設計	HB-F-AUTH-01 HJ-20	
要件マッピング	FR-AUTH-009	変更	② 詳細設計	DDG-01	
要件マッピング	FR-AUTH-009	変更	③ 製造	MKA-01 MKJ-01	
要件マッピング	FR-AUTH-009	変更	④ テスト	IT-03	
要件マッピング	FR-AUTH-009	変更	状況	アプリ側で実施（本基盤にも 4 工程あり）	アプリ側で実施（Keycloak-IdP 側。本基盤は ROSA の引き渡しまで＝NFR-OPS-012）
要件マッピング	FR-AUTH-010	変更	① 基本設計	HB-F-AUTH-01 HJ-20	
要件マッピング	FR-AUTH-010	変更	② 詳細設計	DDG-01	
要件マッピング	FR-AUTH-010	変更	③ 製造	MKA-01 MKJ-01	
要件マッピング	FR-AUTH-010	変更	④ テスト	IT-03	
要件マッピング	FR-AUTH-010	変更	状況	アプリ側で実施（本基盤にも 4 工程あり）	アプリ側で実施（Keycloak-IdP 側。本基盤は ROSA の引き渡しまで＝NFR-OPS-012）
要件マッピング	FR-AUTH-012	変更	① 基本設計	HB-F-AUTH-01 HJ-20	
要件マッピング	FR-AUTH-012	変更	② 詳細設計	DDG-01	
要件マッピング	FR-AUTH-012	変更	③ 製造	MKA-01 MKJ-01	
要件マッピング	FR-AUTH-012	変更	④ テスト	IT-03	
要件マッピング	FR-AUTH-012	変更	状況	アプリ側で実施（本基盤にも 4 工程あり）	アプリ側で実施（Keycloak-IdP 側。本基盤は ROSA の引き渡しまで＝NFR-OPS-012）
要件マッピング	FR-USER-004	変更	① 基本設計	HB-F-AUTH-01 HJ-20	
要件マッピング	FR-USER-004	変更	② 詳細設計	DDG-01	
要件マッピング	FR-USER-004	変更	③ 製造	MKA-01 MKJ-01	
要件マッピング	FR-USER-004	変更	④ テスト	IT-03	
要件マッピング	FR-USER-004	変更	状況	アプリ側で実施（本基盤にも 4 工程あり）	アプリ側で実施（Keycloak-IdP 側。本基盤は ROSA の引き渡しまで＝NFR-OPS-012）
要件マッピング	NFR-SEC-009	変更	① 基本設計	HB-F-AUTH-01 HJ-20	
要件マッピング	NFR-SEC-009	変更	② 詳細設計	DDG-01	
要件マッピング	NFR-SEC-009	変更	③ 製造	MKA-01 MKJ-01	
要件マッピング	NFR-SEC-009	変更	④ テスト	IT-03	
要件マッピング	NFR-SEC-009	変更	状況	アプリ側で実施（本基盤にも 4 工程あり）	アプリ側で実施（Keycloak-IdP 側。本基盤は ROSA の引き渡しまで＝NFR-OPS-012）
要件マッピング	FR-AUTH-001	変更	概要	ID とパスワードで直接ログインできること。顧客IdP を持たない顧客のユーザと運用者が使う	ID とパスワードで直接ログインできること。顧客IdP を持たない顧客のユーザは Keycloak-IdP（アプリ責務）、本基盤の運用者は Keycloak-Broker（NFR-SEC-021）で満たす
要件マッピング	FR-AUTH-011	変更	状況	アプリ側で実施（本基盤にも 4 工程あり）	アプリ側で実施（Keycloak-IdP 側）
要件マッピング	FR-AUTH-011	変更	担当の理由	同上。Keycloak-Broker はパスワードを持たないため、こちらの対象は顧客IdP の実在推測の防止に置き換わる	パスワードのロックは Keycloak-IdP 側（アプリ）。Keycloak-Broker はパスワードを持たないため、本基盤側の対策は NFR-SEC-010（実在推測の防止・試行回数の制限）で扱う
要件マッピング	FR-AUTH-011	変更	① 基本設計	HB-F-AUTH-21	
要件マッピング	FR-AUTH-011	変更	② 詳細設計	DDB-05	
要件マッピング	FR-AUTH-011	変更	③ 製造	MKB-07 MKI-05	
要件マッピング	FR-AUTH-011	変更	④ テスト	SEC-01	
要件マッピング	FR-FED-012	変更	構築場所	その他	Keycloak-Broker
要件マッピング	FR-FED-012	変更	担当	顧客	インフラ
要件マッピング	FR-FED-012	変更	担当の理由	追加認証は顧客IdP の責務。Keycloak-Broker は関与しない	追加認証そのものは顧客IdP／Keycloak-IdP の責務。Keycloak-Broker 側は追加認証済みの印（amr）を取り込み、二重に求めない設定を持つ
要件マッピング	FR-FED-012	変更	状況	顧客側で実施	全工程あり
要件マッピング	FR-FED-012	変更	① 基本設計		HB-F-AUTH-05 HB-F-AUTH-09 HE-14 HE-23
要件マッピング	FR-FED-012	変更	② 詳細設計		DDB-01 DDB-18
要件マッピング	FR-FED-012	変更	③ 製造		MKB-02 MKB-30
要件マッピング	FR-FED-012	変更	④ テスト	RI-01	RI-01 ST-04 ST-28
要件マッピング	FR-SSO-003	変更	① 基本設計	HK-03	GD-22
要件マッピング	FR-AUTHZ-007	変更	① 基本設計	HK-03	GD-16 GD-18
要件マッピング	FR-INT-007	変更	① 基本設計	HK-03	GD-16 GD-18
要件マッピング	NFR-PERF-003	変更	① 基本設計	HK-03	GD-16 GD-18
要件マッピング	FR-AUTHZ-007	変更	項目	API Gateway 認可統合（Lambda Authorizer）	API 入口での JWT 検証（アプリ側の認可統合）
要件マッピング	FR-AUTHZ-007	変更	概要	API の入口で JWT を検証して可否を判断できること	API の入口でアプリが JWT を検証して可否を判断できること（ガイドで示す。Lambda Authorizer は PoC 時の実装名）
要件マッピング	FR-INT-007	変更	項目	API Gateway / Lambda Authorizer 統合	API 入口での JWT 検証との統合
要件マッピング	FR-INT-007	変更	概要	API の入口で JWT を検証する仕組みと組み合わせられること	API の入口で JWT を検証する仕組み（API Gateway 等）と組み合わせられること（ガイドで示す）
要件マッピング	NFR-PERF-003	変更	項目	Lambda Authorizer 応答時間	API 入口での JWT 検証の応答時間（アプリ側）
要件マッピング	NFR-PERF-003	変更	概要	API の入口での判定が目標時間に収まること	API の入口での判定が目標時間に収まること。署名鍵の一時保持（GD-18）が前提
要件マッピング	NFR-SEC-011	変更	要件実現対象	対象外	対象
要件マッピング	NFR-SEC-011	変更	構築場所	—	その他
要件マッピング	NFR-SEC-011	変更	担当	—	他組織
要件マッピング	NFR-SEC-011	変更	担当の理由	WAF 側で行う。本基盤では実装しない	WAF は境界を管理する他組織が持つ。本基盤は要求仕様（HK-10）を出し、受入確認（SEC-05）を行う
要件マッピング	NFR-SEC-011	変更	状況	Phase 1 では作らない	他組織で実施（本基盤は要求仕様と受入確認）
要件マッピング	NFR-SEC-011	変更	① 基本設計		HG-08 HK-10
要件マッピング	NFR-SEC-011	変更	③ 製造		MKA-04
要件マッピング	NFR-SEC-011	変更	④ テスト	IT-11	IT-11 SEC-05
要件マッピング	NFR-SEC-012	変更	要件実現対象	対象外	対象
要件マッピング	NFR-SEC-012	変更	構築場所	—	その他
要件マッピング	NFR-SEC-012	変更	担当	—	他組織
要件マッピング	NFR-SEC-012	変更	担当の理由	同上	同上。DDoS 対策は境界側の責務、本基盤は要求仕様と受入確認
要件マッピング	NFR-SEC-012	変更	状況	Phase 1 では作らない	他組織で実施（本基盤は要求仕様と受入確認）
要件マッピング	NFR-SEC-012	変更	① 基本設計		HG-08 HK-10
要件マッピング	NFR-SEC-012	変更	③ 製造		MKA-04
要件マッピング	NFR-SEC-012	変更	④ テスト		SEC-05
要件マッピング	NFR-SEC-018	変更	担当の理由	—	署名鍵の公開先は公開のまま、流量制限は境界（他組織）に要求する
要件マッピング	NFR-SEC-018	変更	① 基本設計	E-4b HG-08	E-4b HG-08 HK-10
要件マッピング	FR-FED-013	変更	項目	ログイン画面で IdP 選択 UX	ログイン画面での顧客IdP への振り分け（HRD）
要件マッピング	FR-FED-013	変更	概要	ログイン画面でどの顧客IdP を使うかを選べること	ログイン画面で入力した識別子から顧客IdP を自動で判定して送ること。顧客IdP の一覧は見せない。1 顧客に複数ある場合のみ選ばせる
要件マッピング	FR-ADMIN-007	変更	概要	監査の記録を閲覧できること	監査の記録を閲覧できること。参照は全体の共通基盤側で行い、本基盤に照会画面は作らない（本基盤は出力と集約まで）
要件マッピング	FR-SSO-009	変更	概要	発行済みの JWT を強制的に使えなくできること	発行済みの JWT を強制的に使えなくできること。セッションとリフレッシュトークンは即時失効、アクセストークンは署名のみで検証されるため最大 30 分は残る（契約説明に明記）
要件マッピング	NFR-SEC-008	変更	概要	発行済みの資格を失効させられること	発行済みの資格を失効させられること（アクセストークンの残存 30 分は FR-SSO-009 と同じ）
要件マッピング	FR-SSO-010	変更	状況	アプリ側で実施	アプリ側で実施（本基盤にも 4 工程あり）
要件マッピング	FR-SSO-010	変更	担当の理由	管理画面からの操作。Keycloak-Broker は API を提供する	管理画面からの操作。Keycloak-Broker は管理 API の内部公開（F-INT-14）で受け口を提供する
要件マッピング	FR-SSO-010	変更	① 基本設計		HE-24
要件マッピング	FR-SSO-010	変更	② 詳細設計		DDE-12
要件マッピング	FR-SSO-010	変更	③ 製造		MKB-32
要件マッピング	FR-SSO-010	変更	④ テスト		IT-17
要件マッピング	FR-USER-001	変更	状況	アプリ側で実施	アプリ側で実施（本基盤にも 4 工程あり）
要件マッピング	FR-USER-001	変更	担当の理由	管理画面はアプリ。Keycloak-Broker は API を提供する	管理画面はアプリ。Keycloak-Broker は管理 API の内部公開（F-INT-14）で受け口を提供する
要件マッピング	FR-USER-001	変更	① 基本設計		HE-24
要件マッピング	FR-USER-001	変更	② 詳細設計		DDE-12
要件マッピング	FR-USER-001	変更	③ 製造		MKB-32
要件マッピング	FR-USER-001	変更	④ テスト		IT-17
要件マッピング	FR-INT-006	変更	① 基本設計	HE-22a HJ-09	HE-22a HE-24 HJ-09
要件マッピング	FR-INT-006	変更	② 詳細設計	DDB-14 DDE-10	DDB-14 DDE-10 DDE-12
要件マッピング	FR-INT-006	変更	③ 製造	MKB-22 MKI-13	MKB-22 MKB-32 MKI-13
要件マッピング	FR-INT-006	変更	④ テスト	IT-15	IT-15 IT-17
要件マッピング	FR-INT-006	変更	担当の理由	—	Keycloak 標準の管理 API。内部経路・呼び出し元の資格・許す操作の範囲を本基盤が決める（F-INT-14）
要件マッピング	FR-USER-006	変更	概要	ユーザを一時的に使えなくする／戻せること	ユーザを一時的に使えなくする／戻せること。Keycloak-IdP 側で止めたユーザの Keycloak-Broker 側の写しは伝播しない。残存は Keycloak-Broker のセッション上限（12 時間）で受容（2026-09-07 決定）
要件マッピング	FR-USER-011	変更	担当の理由	保持と消去の方針は本基盤で決める	保持と消去の方針は本基盤で決める。消去の対象は Keycloak-Broker・Keycloak-IdP（アプリ）・権限データ（アプリ）・共通ログ基盤にまたがるため、HK-07 は横断の手順とする
要件マッピング	NFR-COMP-009	変更	担当の理由	—	同上。本人からの請求は本基盤が窓口になり、Keycloak-IdP 側と権限データ側（アプリ）へ依頼する
要件マッピング	NFR-PERF-006	変更	項目	API Gateway スロットリング	流量制限（同時受付数の上限）
要件マッピング	NFR-PERF-006	変更	概要	過大な要求を受けたときに流量を絞れること	過大な要求を受けたときに Keycloak-Broker 側で流量を絞れること（API Gateway は使わない。境界側の流量制限は NFR-SEC-011）
要件マッピング	NFR-SCL-004	変更	概要	顧客IdP を追加してから使えるまでの時間が目標に収まること	顧客IdP を追加してから使えるまでの時間が目標に収まること。境界側の外向き許可の追加（他組織、当日〜翌日）を含む
要件マッピング	NFR-OPS-011	変更	概要	顧客を追加してから使えるまでの時間を約束できること	顧客を追加してから使えるまでの時間を約束できること。境界側の外向き許可の追加（他組織、当日〜翌日）を含む
要件マッピング	NFR-COST-006	変更	状況	別シートで管理（コスト見積もり）	確定（RHBK は ROSA に内包され追加費用なし。P-01）
要件マッピング	NFR-COST-006	変更	① 基本設計	E-5 HJ-06	
要件マッピング	NFR-COST-006	変更	② 詳細設計	DDG-12 DDH-02	
要件マッピング	NFR-COST-006	変更	③ 製造	MKA-18 MKC-05	
要件マッピング	NFR-COST-006	変更	④ テスト	OP-10 SEC-09	
要件マッピング	NFR-COMP-006	変更	④ テスト	SEC-06	
要件マッピング	FR-USER-007	変更	① 基本設計	HB-F-PROV-07	
要件マッピング	FR-FED-001	変更	担当の理由	—	Auth0 は PoC の代替。Phase 1 の契約対象 IdP かは要確認（Entra が Must、Okta が Should、Google が Could）
要件マッピング	NFR-SEC-005	変更	概要	更新用の資格の有効期限が定められていること	更新用の資格の有効期限が定められていること。設定上限は 30 日だが、実効はセッションの上限（12 時間）に従属する
要件マッピング	FR-SSO-008	変更	概要	ログイン状態が切れるまでの時間を設定できること	ログイン状態が切れるまでの時間を設定できること。無操作 1 時間・上限 12 時間（2026-09-07 更新、旧 24 時間）
要件マッピング	NFR-SEC-019	変更	項目	内部通信の認証（Lambda → Keycloak）	内部通信の認証（idm-api → 管理 API、Keycloak-Broker → Keycloak-IdP）
要件マッピング	NFR-SEC-019	変更	概要	内部の呼び出しでも相手を確認すること	内部の呼び出しでも相手を確認すること。管理 API は内部経路と資格で、Keycloak-IdP へは閉域の単方向接続で確認する
要件マッピング	NFR-SEC-019	変更	① 基本設計	G-4.2 HA-05	G-4.2 HA-05 HE-23 HE-24
要件マッピング	NFR-SEC-019	変更	④ テスト	IT-11	IT-11 IT-16 IT-17
要件マッピング	FR-MFA-009	変更	担当の理由	同上	顧客の管理者分は Keycloak-IdP（アプリ）。本基盤運用者分は NFR-SEC-021 で本基盤が満たす
要件マッピング	NFR-DR-003	変更	概要	別地域へ切り替える方式が定まっていること	別地域へ切り替える方式が定まっていること。現行の方向は手動・大阪で作り直し（復旧方式の決定 D-18.2 待ち。顧客希望 RTO 1 日との差は D-18.1 で明示）
要件マッピング	NFR-DR-008	変更	要件実現対象	対象	対象外
要件マッピング	NFR-DR-008	変更	構築場所	Keycloak-Broker	—
要件マッピング	NFR-DR-008	変更	担当	インフラ	—
要件マッピング	NFR-DR-008	変更	担当の理由	—	別地域で作り直す方式ではログイン状態を引き継げない。再ログイン前提を DR-02 で確認する
要件マッピング	NFR-DR-008	変更	状況	全工程あり	Phase 1 では作らない（再ログイン前提。DR-02 で確認）
要件マッピング	NFR-DR-008	変更	① 基本設計	D-18.1 D-18.2 D-18.3 D-18.4 G-1.11 G-1.8 G-1.9	
要件マッピング	NFR-DR-008	変更	② 詳細設計	DDG-06 DDG-07 DDG-08	
要件マッピング	NFR-DR-008	変更	③ 製造	MKA-11 MKA-12 MKA-13 MKI-17	
要件マッピング	NFR-AVL-001	変更	担当の理由	—	顧客IdP を持たない顧客のログインは Keycloak-IdP（アプリ運用）の稼働にも依存する。約束する稼働率の範囲と除外条件を HK-02 で明示する
要件マッピング	FR-FED-015	追加	—		Keycloak-Broker ⇄ Keycloak-IdP 連携
要件マッピング	FR-AUTH-016	追加	—		利用規約への同意取得と記録
要件マッピング	FR-USER-013	追加	—		長期未使用ユーザの自動停止
要件マッピング	NFR-SEC-010-2	追加	—		侵害クレデンシャル検出
要件マッピング	NFR-SEC-021	追加	—		運用者アカウントと権限の保護
要件マッピング	NFR-SEC-022	追加	—		サプライチェーン対策（依存の検査・イメージ署名・部品一覧）
要件マッピング	NFR-SEC-023	追加	—		不正兆候の検知
要件マッピング	NFR-OPS-012	追加	—		Keycloak-IdP 側の構築・運用の責任分界
要件マッピング	NFR-OPS-013	追加	—		環境構成（本番 / 検証 / 開発）
要件マッピング	（全行）	列追加	Keycloak-IdP 側		Keycloak-IdP 側で誰が満たすか（アプリ／本基盤／—）
