WBS ID	列	新しい値
HE-01	概要	システム内部で即時に呼び合う接続の一覧。内部の同期 IF と非同期 IF を 1 冊にまとめる
HA-18	概要	接続仕様（API）を設計するときに全体で守る決まり。名前の付け方・エラーの返し方・件数の区切り方など。エラー・ページング・冪等（旧 HE-08）と版管理・廃止方針（旧 HA-15）を含む
HA-04	概要	システム全体の構成を、機能のまとまりで表した図。清書（旧 G-4.1）を含む
HA-05	概要	システム全体の構成を、実際の設備配置で表した図。清書（旧 G-4.1）を含む
HD-24	概要	データを何年保ち、いつ消すかの設計。ライフサイクル設計書の表紙。保持年数・停止・消去の全体方針を示し、各機能仕様書がこれに従う
HB-F-BAT-03	概要	システム間の情報のずれを 1 日 1 回突き合わせる処理。同期・整合突合設計書の表紙。顧客 IdP / SCIM ↔ 認証製品 ↔ 権限 DB の間で何を合わせるかの一覧を含む
HD-24	成果物と完了条件	→ 収載先: 利用者ライフサイクル設計書。保持設計。保存年数・消去の起算日・消去方法が定まっている
HB-F-PROV-09	成果物と完了条件	→ 収載先: 利用者ライフサイクル設計書。機能仕様書 1 本。区分の一覧と、経路が重なった場合にどれを優先するかが定義されレビュー承認済み
HB-F-PROV-10	成果物と完了条件	→ 収載先: 利用者ライフサイクル設計書。機能仕様書 1 本。止める操作の入口と、記録する日時項目が定義されレビュー承認済み
HB-F-PROV-11	成果物と完了条件	→ 収載先: 利用者ライフサイクル設計書。機能仕様書 1 本。復活させてよい条件・させてはいけない条件が定義されレビュー承認済み
HB-F-BAT-01	成果物と完了条件	→ 収載先: 利用者ライフサイクル設計書。機能仕様書 1 本。対象とする利用者の条件・除外条件と、実行頻度が定義されレビュー承認済み
HB-F-BAT-09	成果物と完了条件	→ 収載先: 利用者ライフサイクル設計書。機能仕様書 1 本（準備範囲の宣言を含む）。起算日の考え方と、初期リリースでは実行しない旨が明記されレビュー承認済み
HJ-04	成果物と完了条件	→ 収載先: 利用者ライフサイクル設計書。仕様書。動作条件と、誤って動かさないための条件が定まっている
D-8a	成果物と完了条件	→ 収載先: 利用者ライフサイクル設計書。判断記録。区分値の新設要否と、影響する処理の一覧が整理されている
HB-F-BAT-03	成果物と完了条件	→ 収載先: 同期・整合突合設計書。機能仕様書 1 本。突き合わせる対象と、差分の報告先が定義されレビュー承認済み
HD-02	成果物と完了条件	→ 収載先: 同期・整合突合設計書。整合方針。正となる場所と、ずれた場合の直し方が定まっている
HE-19a	成果物と完了条件	→ 収載先: 鍵・証明書管理設計書。一覧と手順。鍵の種類・保管場所・入れ替え周期が定まっている
HE-19b	成果物と完了条件	→ 収載先: 鍵・証明書管理設計書。一覧と手順。対象・発行元・期限が定まっている
HE-19c	成果物と完了条件	→ 収載先: 鍵・証明書管理設計書。一覧。対象の経路と入れ替え手順が定まっている
HE-19d	成果物と完了条件	→ 収載先: 鍵・証明書管理設計書。一覧と手順。顧客ごとの期限と、更新依頼の受け方が定まっている
HA-26	成果物と完了条件	→ 収載先: 鍵・証明書管理設計書。鍵管理設計書。鍵の種類・保管場所・入れ替え周期が定まっている
HB-F-BAT-04	成果物と完了条件	→ 収載先: 鍵・証明書管理設計書。機能仕様書 1 本。入れ替え周期・並走期間と、失敗時の手動手順が定義されレビュー承認済み
HB-F-BAT-05	成果物と完了条件	→ 収載先: 鍵・証明書管理設計書。機能仕様書 1 本。入れ替え周期と、切り替え中に接続が切れないための扱いが定義されレビュー承認済み
HB-F-BAT-07	成果物と完了条件	→ 収載先: 鍵・証明書管理設計書。機能仕様書 1 本。通知するタイミングと、通知先が定義されレビュー承認済み
D-12	成果物と完了条件	→ 収載先: 鍵・証明書管理設計書。決定記録。自動追随が使えない場合の手動手順も含む
G-1.5	成果物と完了条件	→ 収載先: 鍵・証明書管理設計書。手順書。入れ替え中の影響と復旧確認まで書かれている
HB-F-PROV-08	成果物と完了条件	→ 収載先: 項目名の変換・統一設計書。機能仕様書 1 本。変換の対応表をどこで管理するかと、対応がない項目の扱いが定義されレビュー承認済み
HD-05	成果物と完了条件	→ 収載先: 項目名の変換・統一設計書。宣言設計。持たせる項目とその用途、必須かどうかが定まっている
HD-18	成果物と完了条件	→ 収載先: 項目名の変換・統一設計書。管理方式の設計。変換表の置き場所と更新方法が定まっている
D-8b	成果物と完了条件	→ 収載先: 項目名の変換・統一設計書。受入規約。受け入れる項目名の形式と個数の上限が定まっている
HB-F-AUTH-10	成果物と完了条件	→ 収載先: 多要素認証設計書。機能仕様書 1 本。桁ずれの許容範囲と、連続失敗時の扱いが定義されレビュー承認済み
HB-F-AUTH-11	成果物と完了条件	→ 収載先: 多要素認証設計書。機能仕様書 1 本。利用できる認証器の条件と、登録済み端末が使えない場合の代替経路が定義されレビュー承認済み
HB-F-AUTH-12	成果物と完了条件	→ 収載先: 多要素認証設計書。機能仕様書 1 本。QR と手入力の両方を用意し、登録完了を確認してから有効化する手順が定義されレビュー承認済み
HB-F-AUTH-13	成果物と完了条件	→ 収載先: 多要素認証設計書。機能仕様書 1 本。登録時に確認する条件と、登録失敗時の案内が定義されレビュー承認済み
HB-F-AUTH-14	成果物と完了条件	→ 収載先: 多要素認証設計書。機能仕様書 1 本。追加認証を必須とする操作の一覧が定義されレビュー承認済み
HB-F-AUTH-15	成果物と完了条件	→ 収載先: 多要素認証設計書。機能仕様書 1 本。発行枚数・再発行条件・使用後の無効化が定義されレビュー承認済み
HB-F-AUTH-16	成果物と完了条件	→ 収載先: 多要素認証設計書。機能仕様書 1 本。メールに依存しない復旧経路と、承認者の条件が定義されレビュー承認済み
HB-F-ADM-09	成果物と完了条件	→ 収載先: 多要素認証設計書。機能仕様書 1 本。解除できる条件と、承認・記録の要否が定義されレビュー承認済み
HC-04d	成果物と完了条件	→ 収載先: 多要素認証設計書。画面仕様書 1 本。表示項目と操作、エラー時の見せ方が定義されレビュー承認済み
HC-04e	成果物と完了条件	→ 収載先: 多要素認証設計書。画面仕様書 1 本。表示項目と操作、エラー時の見せ方が定義されレビュー承認済み
HC-04f	成果物と完了条件	→ 収載先: 多要素認証設計書。画面仕様書 1 本。表示項目と操作、エラー時の見せ方が定義されレビュー承認済み
HC-04g	成果物と完了条件	→ 収載先: 多要素認証設計書。画面仕様書 1 本。表示項目と操作、エラー時の見せ方が定義されレビュー承認済み
HB-F-PROV-15	成果物と完了条件	→ 収載先: 権限データ更新設計書（アプリ）。機能仕様書 1 本。作成する条件と、テナントをまたいで混ざらない担保が定義されレビュー承認済み
HB-F-PROV-16	成果物と完了条件	→ 収載先: 権限データ更新設計書（アプリ）。機能仕様書 1 本。対応づけの登録・更新の経路と、番号が変わった場合の扱いが定義されレビュー承認済み
HB-F-PROV-17	成果物と完了条件	→ 収載先: 権限データ更新設計書（アプリ）。機能仕様書 1 本。更新の入力元と、同じ更新が二重に来た場合の扱いが定義されレビュー承認済み
HB-F-AZ-01	成果物と完了条件	→ 収載先: 権限データ更新設計書（アプリ）。機能仕様書 1 本。返す情報の構成と、アプリ側で結果を保持してよい時間の考え方が定義されレビュー承認済み
HB-F-AZ-02	成果物と完了条件	→ 収載先: 権限データ更新設計書（アプリ）。機能仕様書 1 本。一覧に出す条件と、権限がないアプリを出さない扱いが定義されレビュー承認済み
HB-F-AZ-03	成果物と完了条件	→ 収載先: 権限データ更新設計書（アプリ）。機能仕様書 1 本。判定の入力と結果の種類、判定できない場合の扱いが定義されレビュー承認済み
HB-F-AZ-04	成果物と完了条件	→ 収載先: 権限データ更新設計書（アプリ）。機能仕様書 1 本。値の受け渡し方式と、アプリ側の解釈に委ねる範囲が定義されレビュー承認済み
HA-07	成果物と完了条件	→ 収載先: ログ設計書。方式設計。出力の粒度・形式・保存期間が定まっている
HG-04	成果物と完了条件	→ 収載先: ログ設計書。イベント一覧。監査で必要な操作が漏れなく含まれている
HG-05	成果物と完了条件	→ 収載先: ログ設計書。項目表。すべての記録に保存年数が紐づいている
HG-06	成果物と完了条件	→ 収載先: ログ設計書。記録設計。記録する範囲と量を抑える方法が定まっている
HC-10	成果物と完了条件	→ 収載先: ログ設計書。メッセージ一覧。調査時に検索できる形になっている
E-7	成果物と完了条件	→ 収載先: ログ設計書。確認結果。集約できる範囲と、できない場合の回避策が定まっている
D-20	成果物と完了条件	→ 収載先: ログ設計書。決定記録。出力内容の伏せ方と、設定を固定する方法が定まっている
HD-15	成果物と完了条件	→ 収載先: ログ設計書。構造設計。保存形式・分割方法と、消せないようにする仕組みが定まっている
