要件ID	要件	要件の概要	機能ID	機能	機能の概要	担当	状況
FR-AUTH-007	mTLS Client Authentication（RFC 8705、証明書によるアプリ認証）	証明書でアプリを認証できること	—	—（本基盤に作る機能なし）	2026-08-16 の判断で対象外。金融水準の顧客が現れたときに再評価	—	Phase 1 では作らない
FR-AUTH-008	ROPC（Password Grant）	アプリがユーザのパスワードを直接受け取ってログインさせる方式	—	—（本基盤に作る機能なし）	採用しない（安全でないため）	—	Phase 1 では作らない
FR-AUTH-009	パスワードポリシー（最小長・複雑性）	パスワードの最小の長さと文字種の組み合わせを決められること	F-AUTH-01	Keycloak-IdP 収容ユーザのログイン	顧客側に認証システムが無い顧客のユーザが Keycloak-IdP に、本基盤の運用者が Keycloak-Broker に、ID とパスワードで直接ログインする。顧客のユーザ分は Keycloak-IdP 側（アプリ責務）、運用者分は本基盤	アプリ（Keycloak-IdP）	アプリ側で実施（Keycloak-IdP 側。本基盤は ROSA の引き渡しまで＝NFR-OPS-012）
FR-AUTH-010	パスワード履歴（N 個と一致禁止）	過去に使ったパスワードを一定個数まで再利用させないこと	F-AUTH-01	Keycloak-IdP 収容ユーザのログイン	顧客側に認証システムが無い顧客のユーザが Keycloak-IdP に、本基盤の運用者が Keycloak-Broker に、ID とパスワードで直接ログインする。顧客のユーザ分は Keycloak-IdP 側（アプリ責務）、運用者分は本基盤	アプリ（Keycloak-IdP）	アプリ側で実施（Keycloak-IdP 側。本基盤は ROSA の引き渡しまで＝NFR-OPS-012）
FR-AUTH-011	アカウントロック（連続失敗）	パスワードを連続で間違えたら一時的にログインを受け付けないこと	F-AUTH-20	連続失敗時の一時締め出し	パスワードの連続失敗を検知して一時的に受け付けなくする	アプリ（Keycloak-IdP）	アプリ側で実施（Keycloak-IdP 側）
FR-AUTH-012	パスワード有効期限	パスワードに有効期限を設けられること	F-AUTH-01	Keycloak-IdP 収容ユーザのログイン	顧客側に認証システムが無い顧客のユーザが Keycloak-IdP に、本基盤の運用者が Keycloak-Broker に、ID とパスワードで直接ログインする。顧客のユーザ分は Keycloak-IdP 側（アプリ責務）、運用者分は本基盤	アプリ（Keycloak-IdP）	アプリ側で実施（Keycloak-IdP 側。本基盤は ROSA の引き渡しまで＝NFR-OPS-012）
FR-AUTH-013	セルフサービスパスワードリセット	ユーザが自分でパスワードを再設定できること	F-AUTH-18	パスワードの自己再設定	ユーザが自分でパスワードを再設定する	アプリ（Keycloak-IdP）	アプリ側で実施
FR-AUTH-014	初期パスワード強制変更	初回ログイン時にパスワードの変更を強制できること	F-AUTH-19	パスワード変更・初回強制変更	パスワードの変更と、初回ログイン時に変更を強制する動き	アプリ（Keycloak-IdP）	アプリ側で実施
FR-AUTH-015	DPoP（RFC 9449、送信者に縛った JWT）	JWT を受け取った本人以外が使い回せないよう、送信者を JWT に縛りつけること（DPoP）	—	—（本基盤に作る機能なし）	提案書で新規想定として挙げた項目。Phase 1 では作らない	—	Phase 1 では作らない
FR-AUTH-016	利用規約への同意取得と記録	利用規約などへの同意を取り、いつ誰がどの版に同意したかを記録できること	F-AUTH-28	利用規約への同意取得と記録	利用規約などへの同意を画面で取り、いつ誰がどの版に同意したかを記録する。要否は顧客回答待ち（D-22）	インフラ（本基盤）	要件確認（判断のみ計上）
FR-FED-001	Auth0 OIDC IdP 連携	Auth0 を顧客IdP として接続できること	F-AUTH-05	顧客IdPへのログイン委譲（OIDC）	顧客が持つ認証システムに OIDC で認証を委ね、その結果を受け取ってログインさせる	インフラ（本基盤）	全工程あり
FR-FED-001	Auth0 OIDC IdP 連携	Auth0 を顧客IdP として接続できること	F-ADM-16	顧客IdPの接続登録	顧客IdPを基盤に接続する登録作業	インフラ（本基盤）	全工程あり
FR-FED-002	Entra ID（Azure AD）OIDC 連携	Entra ID（Azure AD）を顧客IdP として接続できること	F-AUTH-05	顧客IdPへのログイン委譲（OIDC）	顧客が持つ認証システムに OIDC で認証を委ね、その結果を受け取ってログインさせる	インフラ（本基盤）	全工程あり
FR-FED-002	Entra ID（Azure AD）OIDC 連携	Entra ID（Azure AD）を顧客IdP として接続できること	F-ADM-16	顧客IdPの接続登録	顧客IdPを基盤に接続する登録作業	インフラ（本基盤）	全工程あり
FR-FED-003	Okta OIDC 連携	Okta を顧客IdP として接続できること	F-AUTH-05	顧客IdPへのログイン委譲（OIDC）	顧客が持つ認証システムに OIDC で認証を委ね、その結果を受け取ってログインさせる	インフラ（本基盤）	全工程あり
FR-FED-003	Okta OIDC 連携	Okta を顧客IdP として接続できること	F-ADM-16	顧客IdPの接続登録	顧客IdPを基盤に接続する登録作業	インフラ（本基盤）	全工程あり
FR-FED-004	Google Workspace OIDC 連携	Google Workspace を顧客IdP として接続できること	F-AUTH-05	顧客IdPへのログイン委譲（OIDC）	顧客が持つ認証システムに OIDC で認証を委ね、その結果を受け取ってログインさせる	インフラ（本基盤）	全工程あり
FR-FED-004	Google Workspace OIDC 連携	Google Workspace を顧客IdP として接続できること	F-ADM-16	顧客IdPの接続登録	顧客IdPを基盤に接続する登録作業	インフラ（本基盤）	全工程あり
FR-FED-005	SAML 2.0 IdP として受け入れ（SP モード）	旧方式（SAML）の顧客IdP からログインを受け入れられること	F-AUTH-06	顧客IdPへのログイン委譲（SAML）	顧客が持つ認証システムに SAML で認証を委ね、その結果を受け取ってログインさせる	インフラ（本基盤）	全工程あり
FR-FED-005	SAML 2.0 IdP として受け入れ（SP モード）	旧方式（SAML）の顧客IdP からログインを受け入れられること	F-ADM-16	顧客IdPの接続登録	顧客IdPを基盤に接続する登録作業	インフラ（本基盤）	全工程あり
FR-FED-006	SAML 2.0 IdP として発行（IdP モード）	Keycloak-Broker が旧方式（SAML）の提供元として、業務システムへログインを提供できること	F-INT-01	業務システムへの認証提供	業務システムに対して、Keycloak-Broker が認証の提供元として振る舞う	インフラ（本基盤）	全工程あり
FR-FED-006	SAML 2.0 IdP として発行（IdP モード）	Keycloak-Broker が旧方式（SAML）の提供元として、業務システムへログインを提供できること	F-INT-02	業務システム側のユーザ自動作成	業務システム側で、初回ログイン時にユーザを自動作成させる	インフラ（本基盤）	全工程あり
FR-FED-007	LDAP / AD 直接連携	社内ディレクトリ（LDAP / AD）に直接つなげること	—	—（本基盤に作る機能なし）	Phase 1 では作らない	—	Phase 1 では作らない
FR-FED-008	JIT プロビジョニング	顧客IdP 経由で初めて来た人を、その場でユーザとして自動作成できること	F-AUTH-05	顧客IdPへのログイン委譲（OIDC）	顧客が持つ認証システムに OIDC で認証を委ね、その結果を受け取ってログインさせる	インフラ（本基盤）	全工程あり
FR-FED-008	JIT プロビジョニング	顧客IdP 経由で初めて来た人を、その場でユーザとして自動作成できること	F-PROV-01	初回ログイン時のユーザ自動作成（JIT）	顧客IdP経由で初めてログインした人を、その場で Keycloak-Broker のユーザとして作成する	インフラ（本基盤）	全工程あり
FR-FED-008	JIT プロビジョニング	顧客IdP 経由で初めて来た人を、その場でユーザとして自動作成できること	F-PROV-03	顧客IdP からのユーザ情報の同期	顧客IdP から SCIM でユーザの登録・更新・削除通知・検索を受け取り、本基盤へ反映する。呼び出し口ごとの違いは提供 API 一覧で持つ。グループ連携は初期リリース対象外	インフラ（本基盤）	全工程あり
FR-FED-009	属性マッピング / クレーム変換	顧客ごとにバラバラな属性名を、基盤の統一名に変換して取り込めること	F-PROV-02	ログイン時の属性更新	2 回目以降のログインで、顧客側の最新情報を使って属性を更新する	インフラ（本基盤）	全工程あり
FR-FED-009	属性マッピング / クレーム変換	顧客ごとにバラバラな属性名を、基盤の統一名に変換して取り込めること	F-PROV-03	顧客IdP からのユーザ情報の同期	顧客IdP から SCIM でユーザの登録・更新・削除通知・検索を受け取り、本基盤へ反映する。呼び出し口ごとの違いは提供 API 一覧で持つ。グループ連携は初期リリース対象外	インフラ（本基盤）	全工程あり
FR-FED-009	属性マッピング / クレーム変換	顧客ごとにバラバラな属性名を、基盤の統一名に変換して取り込めること	F-PROV-08	顧客IdP から受け取る属性の名前の統一	顧客ごとにバラバラな項目名を基盤内の統一名に変換して取り込む。統一名の辞書と 顧客IdPごとの変換表を含む	インフラ（本基盤）	全工程あり
FR-FED-010	複数 IdP 並行運用（マルチテナント）	複数の顧客IdP を同時に運用でき、顧客ごとに分離できること	F-AZ-05	顧客越境の防止（Keycloak-Broker 側）	ユーザが自分の顧客以外の顧客IdPを使ってログインできないようにする。権限データ側の越境防止はアプリの責務	インフラ（本基盤）	全工程あり
FR-FED-010	複数 IdP 並行運用（マルチテナント）	複数の顧客IdP を同時に運用でき、顧客ごとに分離できること	NF-ARC-04	Realm・ブランド区画構成	Keycloak-Brokerを何個の区画に分けるか。ブランドごとの分け方と発行元の規律	インフラ（本基盤）	全工程あり
FR-FED-011-a	顧客追加時のオンボーディングフロー（本基盤側の登録）	新しい顧客を迎え入れるときの、登録から利用開始までの流れが用意されていること	F-ADM-14	顧客の作成	新しい顧客を作成する	インフラ（本基盤）	全工程あり
FR-FED-011-a	顧客追加時のオンボーディングフロー（本基盤側の登録）	新しい顧客を迎え入れるときの、登録から利用開始までの流れが用意されていること	F-ADM-16	顧客IdPの接続登録	顧客IdPを基盤に接続する登録作業	インフラ（本基盤）	全工程あり
FR-FED-011-a	顧客追加時のオンボーディングフロー（本基盤側の登録）	新しい顧客を迎え入れるときの、登録から利用開始までの流れが用意されていること	F-ADM-17	接続設定の変更・証明書更新	接続済みの認証システムの設定変更と、期限が来る証明書の入れ替え	インフラ（本基盤）	全工程あり
FR-FED-011-a	顧客追加時のオンボーディングフロー（本基盤側の登録）	新しい顧客を迎え入れるときの、登録から利用開始までの流れが用意されていること	F-INT-11	顧客IdP の接続情報の自動追随	顧客IdPの接続情報を定期的に取り直し、証明書の入れ替えに自動追随する	インフラ（本基盤）	全工程あり
FR-FED-011-b	顧客追加時のオンボーディングフロー（顧客側の設定）	新しい顧客を迎え入れるときの、登録から利用開始までの流れが用意されていること	F-ADM-17	接続設定の変更・証明書更新	接続済みの認証システムの設定変更と、期限が来る証明書の入れ替え	顧客（顧客IdP）	顧客側で実施
FR-FED-012-a	フェデレーション時の MFA 重複回避（取り込み側）	顧客IdP 側で追加認証を済ませた人に、Keycloak-Broker で二重に追加認証を求めないこと	F-AUTH-05	顧客IdPへのログイン委譲（OIDC）	顧客が持つ認証システムに OIDC で認証を委ね、その結果を受け取ってログインさせる	インフラ（本基盤）	全工程あり
FR-FED-012-a	フェデレーション時の MFA 重複回避（取り込み側）	顧客IdP 側で追加認証を済ませた人に、Keycloak-Broker で二重に追加認証を求めないこと	F-AUTH-09	Keycloak-Broker と Keycloak-IdP の連携	Keycloak-Broker から見て Keycloak-IdP を顧客IdP の 1 つ（共有エントリ）として接続する。識別子の引き継ぎ・追加認証結果の取り込み・ログアウト連鎖・セッション上限の同値を含む。Keycloak-IdP 側の Client・Realm 設定は要求仕様としてアプリチームへ渡す（2026-09-07 復活: 2 台構成に戻したため）	インフラ（本基盤）	全工程あり
FR-FED-012-b	フェデレーション時の MFA 重複回避（実施側）	顧客IdP 側で追加認証を済ませた人に、Keycloak-Broker で二重に追加認証を求めないこと	F-AUTH-05	顧客IdPへのログイン委譲（OIDC）	顧客が持つ認証システムに OIDC で認証を委ね、その結果を受け取ってログインさせる	顧客（顧客IdP）	顧客側で実施
FR-FED-013	ログイン画面での顧客IdP への振り分け（HRD）	ログイン画面で入力した識別子から顧客IdP を自動で判定して送ること。顧客IdP の一覧は見せない。1 顧客に複数ある場合のみ選ばせる	F-AUTH-02	顧客IdPの自動振り分け	ログイン画面で入力された ID から、その人がどの顧客IdPのユーザかを判定し、自動で振り分ける	インフラ（本基盤）	全工程あり
FR-FED-013	ログイン画面での顧客IdP への振り分け（HRD）	ログイン画面で入力した識別子から顧客IdP を自動で判定して送ること。顧客IdP の一覧は見せない。1 顧客に複数ある場合のみ選ばせる	F-AUTH-03	振り分け失敗時のパスワード入力への切替	顧客IdPを判定できなかったときに、パスワード入力欄に切り替えて処理を続ける逃げ道	インフラ（本基盤）	全工程あり
FR-FED-013	ログイン画面での顧客IdP への振り分け（HRD）	ログイン画面で入力した識別子から顧客IdP を自動で判定して送ること。顧客IdP の一覧は見せない。1 顧客に複数ある場合のみ選ばせる	F-AUTH-04	顧客IdPの選択（1 顧客に複数）	1 つの顧客に顧客IdPが複数ある場合に、ユーザにどれを使うか選ばせる	インフラ（本基盤）	全工程あり
FR-FED-013	ログイン画面での顧客IdP への振り分け（HRD）	ログイン画面で入力した識別子から顧客IdP を自動で判定して送ること。顧客IdP の一覧は見せない。1 顧客に複数ある場合のみ選ばせる	F-AUTH-25	ログイン画面の表示（ブランド・並び順）	ログイン画面の見せ方。ブランドごとの表示切替と、顧客IdPの並び順	インフラ（本基盤）	全工程あり
FR-FED-014	Custom Domain での federation	顧客ごとの独自ドメインでフェデレーションできること	—	—（本基盤に作る機能なし）	Phase 1 では作らない	—	Phase 1 では作らない
FR-FED-015	Keycloak-Broker ⇄ Keycloak-IdP 連携	顧客IdP を持たない顧客のユーザを Keycloak-Broker から Keycloak-IdP へ委譲してログインさせられること。識別子の引き継ぎ・追加認証結果の取り込み・ログアウト連鎖・セッション上限の同値（12 時間）・閉域の単方向接続を含む	F-AUTH-09	Keycloak-Broker と Keycloak-IdP の連携	Keycloak-Broker から見て Keycloak-IdP を顧客IdP の 1 つ（共有エントリ）として接続する。識別子の引き継ぎ・追加認証結果の取り込み・ログアウト連鎖・セッション上限の同値を含む。Keycloak-IdP 側の Client・Realm 設定は要求仕様としてアプリチームへ渡す（2026-09-07 復活: 2 台構成に戻したため）	インフラ（本基盤）	全工程あり
FR-MFA-001	TOTP（Google Authenticator 等）	スマートフォンアプリの数字コードで追加認証できること	F-AUTH-10	追加認証の利用	パスワードに加えて 2 つ目の要素で本人を確かめる。数字コードと生体・セキュリティキーの両方を含む	アプリ（Keycloak-IdP）	アプリ側で実施
FR-MFA-001	TOTP（Google Authenticator 等）	スマートフォンアプリの数字コードで追加認証できること	F-AUTH-12	追加認証の登録	2 つ目の要素を初めて登録する流れ。数字コードと生体・セキュリティキーの両方を含む	アプリ（Keycloak-IdP）	アプリ側で実施
FR-MFA-002	WebAuthn / FIDO2（Passkeys）	生体認証やセキュリティキーで追加認証できること	F-AUTH-10	追加認証の利用	パスワードに加えて 2 つ目の要素で本人を確かめる。数字コードと生体・セキュリティキーの両方を含む	アプリ（Keycloak-IdP）	アプリ側で実施
FR-MFA-002	WebAuthn / FIDO2（Passkeys）	生体認証やセキュリティキーで追加認証できること	F-AUTH-12	追加認証の登録	2 つ目の要素を初めて登録する流れ。数字コードと生体・セキュリティキーの両方を含む	アプリ（Keycloak-IdP）	アプリ側で実施
FR-MFA-003	SMS OTP	SMS の数字コードで追加認証できること	—	—（本基盤に作る機能なし）	Phase 1 では作らない	—	Phase 1 では作らない
FR-MFA-004	メール OTP	メールの数字コードで追加認証できること	—	—（本基盤に作る機能なし）	Phase 1 では作らない	—	Phase 1 では作らない
FR-MFA-005	バックアップコード	端末を失くしたときに使う予備のコードを発行できること	F-AUTH-15	復旧用コードの発行・利用	端末を失くしたときに使う一度きりのコードを発行し、利用させる	アプリ（Keycloak-IdP）	アプリ側で実施
FR-MFA-006	条件付き MFA（IP / リスクベース）	接続元やリスクに応じて追加認証を出し分けられること	—	—（本基盤に作る機能なし）	Phase 1 では作らない	—	Phase 1 では作らない
FR-MFA-007	MFA 強制 / 任意の切替（ロール単位）	追加認証を必須にするか任意にするかを役割ごとに切り替えられること	F-AUTH-10	追加認証の利用	パスワードに加えて 2 つ目の要素で本人を確かめる。数字コードと生体・セキュリティキーの両方を含む	アプリ（Keycloak-IdP）	アプリ側で実施
FR-MFA-008	端末記憶（Trusted Device）	一度確認した端末を覚えて、次回から追加認証を省けること	—	—（本基盤に作る機能なし）	Phase 1 では作らない	—	Phase 1 では作らない
FR-MFA-009	管理者の MFA 強制	管理者には追加認証を必ず求めること	F-AUTH-10	追加認証の利用	パスワードに加えて 2 つ目の要素で本人を確かめる。数字コードと生体・セキュリティキーの両方を含む	アプリ（Keycloak-IdP）	アプリ側で実施
FR-SSO-001	同一 IdP 内の複数 Client 間 SSO	同じ顧客の複数のアプリを、一度のログインで行き来できること	F-AUTH-23	ログイン状態の保持とタイムアウト	ログイン状態をどこにどれだけ保つか、いつ切れるか。アプリ側のセッションとの関係を含む	インフラ（本基盤）	全工程あり
FR-SSO-002	Auth0/Entra 経由のクロス IdP SSO	顧客IdP を経由した場合も、複数のアプリを一度のログインで行き来できること	F-AUTH-05	顧客IdPへのログイン委譲（OIDC）	顧客が持つ認証システムに OIDC で認証を委ね、その結果を受け取ってログインさせる	インフラ（本基盤）	全工程あり
FR-SSO-002	Auth0/Entra 経由のクロス IdP SSO	顧客IdP を経由した場合も、複数のアプリを一度のログインで行き来できること	F-AUTH-23	ログイン状態の保持とタイムアウト	ログイン状態をどこにどれだけ保つか、いつ切れるか。アプリ側のセッションとの関係を含む	インフラ（本基盤）	全工程あり
FR-SSO-003-a	ローカルログアウト（アプリ Cookie 削除のみ）（アプリの実装）	アプリ側だけでログアウトできること（Keycloak-Broker の状態は保つ）	NF-DOC-01	アプリ開発者向けガイド（共通部）	アプリ開発者へ渡すガイドのうち、特定の機能に紐づかない導入・運用・参照の部分	アプリ（業務アプリ）	アプリ側で実施
FR-SSO-003-b	ローカルログアウト（アプリ Cookie 削除のみ）（ガイド・サンプル）	アプリ側だけでログアウトできること（Keycloak-Broker の状態は保つ）	F-AUTH-24	アプリへのログアウト連携	1 箇所でログアウトしたとき、他のアプリのログイン状態も切る仕組み	インフラ（本基盤）	全工程あり
FR-SSO-003-b	ローカルログアウト（アプリ Cookie 削除のみ）（ガイド・サンプル）	アプリ側だけでログアウトできること（Keycloak-Broker の状態は保つ）	NF-DOC-01	アプリ開発者向けガイド（共通部）	アプリ開発者へ渡すガイドのうち、特定の機能に紐づかない導入・運用・参照の部分	インフラ（本基盤）	全工程あり
FR-SSO-004	IdP セッション破棄（OIDC RP-Initiated Logout）	Keycloak-Broker のログイン状態を破棄できること	F-AUTH-24	アプリへのログアウト連携	1 箇所でログアウトしたとき、他のアプリのログイン状態も切る仕組み	インフラ（本基盤）	全工程あり
FR-SSO-005	フェデレーション IdP セッション破棄（連動ログアウト）	Keycloak-Broker のログアウトを顧客IdP 側にも連動させられること	F-AUTH-24	アプリへのログアウト連携	1 箇所でログアウトしたとき、他のアプリのログイン状態も切る仕組み	インフラ（本基盤）	全工程あり
FR-SSO-006	Front-Channel Logout	画面経由で他のアプリにログアウトを伝えられること	—	—（本基盤に作る機能なし）	Back-Channel を採用するため作らない	—	Phase 1 では作らない
FR-SSO-007	Back-Channel Logout（RFC 8606）	サーバ間の通知で他のアプリにログアウトを伝えられること	F-AUTH-24	アプリへのログアウト連携	1 箇所でログアウトしたとき、他のアプリのログイン状態も切る仕組み	インフラ（本基盤）	全工程あり
FR-SSO-008	セッションタイムアウト設定	ログイン状態が切れるまでの時間を設定できること。無操作 1 時間・上限 12 時間（2026-09-07 更新、旧 24 時間）	F-AUTH-23	ログイン状態の保持とタイムアウト	ログイン状態をどこにどれだけ保つか、いつ切れるか。アプリ側のセッションとの関係を含む	インフラ（本基盤）	全工程あり
FR-SSO-009	アクセストークン強制無効化（Revocation）	発行済みの JWT を強制的に使えなくできること。セッションとリフレッシュトークンは即時失効、アクセストークンは署名のみで検証されるため最大 30 分は残る（契約説明に明記）	F-PROV-10	ユーザの停止（消さずに無効化）	ユーザを削除せず使えない状態にし、停止日時を記録する	インフラ（本基盤）	全工程あり
FR-SSO-009	アクセストークン強制無効化（Revocation）	発行済みの JWT を強制的に使えなくできること。セッションとリフレッシュトークンは即時失効、アクセストークンは署名のみで検証されるため最大 30 分は残る（契約説明に明記）	F-AZ-10	アプリへの JWT 発行	アプリへ渡す JWT を発行し、失効させ、有効性を確かめられるようにする。何を載せるか・要求できる範囲の定義はこの機能の設計作業（HJ-07）で行う	インフラ（本基盤）	全工程あり
FR-SSO-010-a	強制全セッション破棄（管理者操作）（管理画面からの操作）	管理者の操作で、対象のログイン状態をまとめて破棄できること	F-ADM-10	強制ログアウト（管理者）	管理者がユーザのログイン状態を強制的に終了させる。個別・顧客単位・全体の 3 段階	アプリ（管理画面・idm-api）	アプリ側で実施
FR-SSO-010-a	強制全セッション破棄（管理者操作）（管理画面からの操作）	管理者の操作で、対象のログイン状態をまとめて破棄できること	F-INT-14	アプリ向け管理 API の公開	アプリのサーバから Keycloak-Broker の管理 API を呼べるようにする。到達経路・呼び出し元の資格・許してよい操作の範囲を決める	アプリ（管理画面・idm-api）	アプリ側で実施
FR-SSO-010-b	強制全セッション破棄（管理者操作）（本基盤側の受け口）	管理者の操作で、対象のログイン状態をまとめて破棄できること	F-INT-14	アプリ向け管理 API の公開	アプリのサーバから Keycloak-Broker の管理 API を呼べるようにする。到達経路・呼び出し元の資格・許してよい操作の範囲を決める	インフラ（本基盤）	全工程あり
FR-AUTHZ-001-a	JWT クレームベース認可（JWT に載せる側）	JWT に載せた情報でアプリが可否を判断できること	F-AZ-10	アプリへの JWT 発行	アプリへ渡す JWT を発行し、失効させ、有効性を確かめられるようにする。何を載せるか・要求できる範囲の定義はこの機能の設計作業（HJ-07）で行う	インフラ（本基盤）	全工程あり
FR-AUTHZ-001-a	JWT クレームベース認可（JWT に載せる側）	JWT に載せた情報でアプリが可否を判断できること	F-PROV-16	顧客番号と基盤識別子の対応づけ	顧客側のユーザ番号と基盤側の識別子を対応づけて管理する	インフラ（本基盤）	全工程あり
FR-AUTHZ-001-b	JWT クレームベース認可（判定する側）	JWT に載せた情報でアプリが可否を判断できること	F-AZ-10	アプリへの JWT 発行	アプリへ渡す JWT を発行し、失効させ、有効性を確かめられるようにする。何を載せるか・要求できる範囲の定義はこの機能の設計作業（HJ-07）で行う	アプリ（業務アプリ）	アプリ側で実施
FR-AUTHZ-001-b	JWT クレームベース認可（判定する側）	JWT に載せた情報でアプリが可否を判断できること	F-AZ-03	アプリ利用可否の判定	ユーザがそのアプリを使ってよいかを判定する	アプリ（業務アプリ）	アプリ側で実施
FR-AUTHZ-002-a	tenant_id によるテナント分離（認証側の越境防止と tenant_id）	顧客を指す値で、他の顧客のデータに触れられないようにできること	F-PROV-03	顧客IdP からのユーザ情報の同期	顧客IdP から SCIM でユーザの登録・更新・削除通知・検索を受け取り、本基盤へ反映する。呼び出し口ごとの違いは提供 API 一覧で持つ。グループ連携は初期リリース対象外	インフラ（本基盤）	全工程あり
FR-AUTHZ-002-a	tenant_id によるテナント分離（認証側の越境防止と tenant_id）	顧客を指す値で、他の顧客のデータに触れられないようにできること	F-AZ-05	顧客越境の防止（Keycloak-Broker 側）	ユーザが自分の顧客以外の顧客IdPを使ってログインできないようにする。権限データ側の越境防止はアプリの責務	インフラ（本基盤）	全工程あり
FR-AUTHZ-002-b	tenant_id によるテナント分離（権限データ側の越境防止）	顧客を指す値で、他の顧客のデータに触れられないようにできること	F-AZ-05	顧客越境の防止（Keycloak-Broker 側）	ユーザが自分の顧客以外の顧客IdPを使ってログインできないようにする。権限データ側の越境防止はアプリの責務	アプリ（管理画面・idm-api）	アプリ側で実施
FR-AUTHZ-003	roles クレームによるロール認可	役割を表す情報で可否を判断できること	F-AZ-04	アプリ内の役割の解決	アプリごとの役割の値を解決して返す	アプリ（業務アプリ）	アプリ側で実施
FR-AUTHZ-004	ロール階層（継承）	役割に上下関係を持たせられること	F-ADM-12	アプリ内の役割の設定	アプリごとの役割（ロール）をユーザに割り当てる	アプリ（管理画面・idm-api）	アプリ側で実施
FR-AUTHZ-004	ロール階層（継承）	役割に上下関係を持たせられること	F-AZ-04	アプリ内の役割の解決	アプリごとの役割の値を解決して返す	アプリ（管理画面・idm-api）	アプリ側で実施
FR-AUTHZ-005	scope ベース認可（M2M）	システム間の呼び出しで、許す範囲を限定できること	F-AZ-07	システム間 JWT の発行	アプリやバッチがシステムとして API を呼ぶための資格を発行する	インフラ（本基盤）	全工程あり
