対象	機能ID	機能グループ	機能名	提供する API（機能の粒度）	エンドポイント	呼ぶ主体	区分	コスト	備考
Broker	F-AUTH-20	不正アクセス対策	連続失敗時の一時締め出し	締め出しの解除	DELETE /admin/realms/{r}/attack-detection/brute-force/users/{id}	管理画面	✅ 標準	標準内	連続失敗で止まったユーザを戻す。締め出しそのものは Realm 設定
Broker	F-INT-13	アプリ・外部連携	アプリの接続登録（クライアント登録）	アプリの接続登録	POST /admin/realms/{r}/clients	管理画面	⚠ 標準（制約）	標準内	ひな形を用意して登録する
Broker	F-INT-13	アプリ・外部連携	アプリの接続登録（クライアント登録）	アプリの接続登録（申請式）	POST /realms/{r}/clients-registrations/{provider}	アプリ（M2M）	✅ 標準	標準内	管理者が発行した引換券（initial access token）でアプリ側が自分で登録できる。Admin API を渡さずに済む
Broker	F-INT-13	アプリ・外部連携	アプリの接続登録（クライアント登録）	引換券の発行	POST /admin/realms/{r}/clients-initial-access	管理画面	⚠ 標準（制約）	標準内	上の申請式で使う券
Broker	F-BAT-05	鍵・証明書管理	接続用パスワードの定期入れ替え	接続用パスワードの再発行	POST /admin/realms/{r}/clients/{id}/client-secret	管理画面	⚠ 標準（制約）	標準内	入れ替えの周期と通知は運用側で作る
Broker	F-BAT-04	鍵・証明書管理	署名鍵の定期入れ替え	署名鍵の状態確認	GET /admin/realms/{r}/keys	管理画面	⚠ 標準（制約）	標準内	鍵の追加・無効化は components API。並走期間の管理は運用手順
Broker	F-BAT-07	鍵・証明書管理	証明書期限の監視	証明書期限の監視	（標準に無い）	バッチ・システム	🔧 カスタム必要	🔺 標準外（追加コスト）	期限が近いものを知らせる仕組みは標準に無い。API を読むバッチを作る
Broker	F-ADM-25	監査・記録	監査ログの取得・保管方式	監査ログの取得	GET /admin/realms/{r}/events / GET /admin/realms/{r}/admin-events	管理画面	⚠ 標準（制約）	標準内	保管と検索は全体の共通基盤側。Keycloak の標準出力を流す方式が主で、この API は補助
Broker	F-AZ-06	認可・権限判定	管理操作の 3 段階権限確認	管理操作の権限の絞り込み	（API ではなく設定）Admin Permissions（FGAP v2）	管理画面	⚙ 設定のみ	標準内	Keycloak 26.2 以降の標準機能。ユーザ・グループ・顧客の単位で管理権限を絞れる。**アプリへ Admin API を渡す場合の前提**
Broker	F-AUTH-02	ログイン振り分け（HRD）	顧客IdPの自動振り分け	ログイン振り分け（HRD）	（一部のみ標準）Organizations のドメイン一致	ブラウザ（画面遷移）	🔧 カスタム必要	🔺 標準外（追加コスト）	メールのドメインで振り分けるのは標準。**識別子（顧客コード）で振り分けるには拡張が要る**
Broker	F-PROV-03	ユーザ登録（顧客システム連携・SCIM）	SCIM 受信: ユーザの登録	ユーザ登録の受信（SCIM）	（標準に無い）	バッチ・システム	🔧 カスタム必要	🔻 削減候補	**Keycloak に SCIM の受信機能は無い**。作るか、外部の実装を持ち込むか、使わないかの判断が要る／A-5: 削減候補。ただし候補リストには残す
Broker	F-PROV-04	ユーザ登録（顧客システム連携・SCIM）	SCIM 受信: ユーザの更新	ユーザ更新の受信（SCIM）	（標準に無い）	バッチ・システム	🔧 カスタム必要	🔻 削減候補	同上／A-5: 削減候補
Broker	F-PROV-05	ユーザ登録（顧客システム連携・SCIM）	SCIM 受信: 削除通知（無効化へ読み替え）	削除通知の受信（SCIM）	（標準に無い）	バッチ・システム	🔧 カスタム必要	🔻 削減候補	同上／A-5: 削減候補
Broker	F-PROV-06	ユーザ登録（顧客システム連携・SCIM）	SCIM 受信: ユーザの検索	ユーザ検索の受信（SCIM）	（標準に無い）	バッチ・システム	🔧 カスタム必要	🔻 削減候補	同上／A-5: 削減候補
Broker	F-INT-04	アプリ・外部連携	アプリへの変更通知（Webhook）	アプリへの変更通知（Webhook）	（標準に無い）	アプリ（M2M）	🔧 カスタム必要	🔺 標準外（追加コスト）	イベントを外へ送るには拡張が要る。Phase 1 対象外
Broker	F-BAT-01	ユーザの停止・再開・消去	長期未使用者の自動停止	長期未使用者の自動停止	（標準に無い）	バッチ・システム	🔧 カスタム必要	🔺 標準外（追加コスト）	最終ログイン日時での抽出と停止は Admin API を使うバッチを作る
Broker	F-BAT-09	ユーザの停止・再開・消去	保存期限切れデータの消去	保存期限切れの消去	（標準に無い）	バッチ・システム	🔧 カスタム必要	🔺 標準外（追加コスト）	同上。Phase 1 は準備のみ
Broker	F-AUTH-21	不正アクセス対策	ユーザの存在推測の防止	実在推測の防止	（標準に無い）	ブラウザ（画面遷移）	🔧 カスタム必要	🔺 標準外（追加コスト）	応答を同じにする作り込みが要る
Broker	F-PROV-01	フェデレーションログイン	初回ログイン時のユーザ自動作成（JIT）	初回ログイン時のユーザ自動作成	（API なし）First Broker Login Flow の設定	バッチ・システム	⚙ 設定のみ	標準内	設定で満たす。ただし登録経路の区分を付けるには拡張が要る
Broker	F-PROV-08	ユーザ属性の統一	項目名の変換・統一	項目名の変換・統一	（API なし）IdP Mapper / User Profile の設定	バッチ・システム	⚙ 設定のみ	標準内	顧客ごとの変換表は設定として持つ
Broker	F-AZ-05	認可・権限判定	顧客越境の防止（Keycloak-Broker 側）	顧客越境の防止	（API なし）Organizations + フローの設定	バッチ・システム	⚙ 設定のみ	標準内	顧客と顧客IdP の紐付けで構造的に防ぐ
Broker	F-AUTH-25	ログイン画面・エラー画面	ログイン画面の表示（ブランド・並び順）	ログイン画面	（API なし）テーマ	ブラウザ（画面遷移）	⚙ 設定のみ	標準内	画面はテーマで作る。アプリから呼ぶ API は無い
Broker	F-INT-01	業務システム連携（ServiceNow）	業務システムへの認証提供	業務システムへの認証提供	POST/GET /realms/{r}/protocol/saml	ブラウザ（画面遷移）	✅ 標準	標準内	ServiceNow へは SAML で提供する
IdP	F-AUTH-01	ローカルログイン（Keycloak-IdP 収容）	Keycloak-IdP 収容ユーザのログイン	ID/PW でのログイン	GET /realms/{r}/protocol/openid-connect/auth	ブラウザ（画面遷移）	✅ 標準	標準内	Broker から委譲されて動く。アプリが直接呼ぶことはない
IdP	F-AUTH-19	パスワード・アカウント復旧	パスワード変更・初回強制変更	パスワードの変更（本人）	GET /realms/{r}/protocol/openid-connect/auth?kc_action=UPDATE_PASSWORD	ブラウザ（画面遷移）	✅ 標準	標準内	**A-1 決定: 画面へ誘導**。アプリは自分の画面から このパラメータ付きで送るだけ。メール不要。戻り先に `kc_action_status` が付く。※Account API のパスワード変更は現行 Keycloak で廃止済みのため、この方式が標準の答え
IdP	F-AUTH-18	パスワード・アカウント復旧	パスワードの自己再設定	パスワードの自己再設定	（標準に無い / 画面はある）	エンドユーザ本人	🔧 カスタム必要	🔻 削減候補	画面の「パスワードをお忘れですか」はメール前提。**メールを持たないユーザには使えない**ため別手段が要る／A-2: 初期パスワードの動線は準備するが削減候補
IdP	F-ADM-07	パスワード・アカウント復旧	パスワード初期化（管理者）	パスワードの初期化（管理者）	PUT /admin/realms/{r}/users/{id}/reset-password	管理画面	⚠ 標準（制約）	標準内	**これは標準にある**。今のパスワードは確認しない。一時パスワードにもできる
IdP	F-AUTH-19	パスワード・アカウント復旧	パスワード変更・初回強制変更	変更の強制（初回など）	PUT /admin/realms/{r}/users/{id}/execute-actions-email	管理画面	⚠ 標準（制約）	標準内	メールで誘導する方式。メールを持たないユーザには使えない
IdP	F-AUTH-19	パスワード・アカウント復旧	パスワード変更・初回強制変更	変更の強制（メールなし）	PUT /admin/realms/{r}/users/{id}（requiredActions）	管理画面	⚠ 標準（制約）	標準内	次のログイン時に変更画面を出す。メール不要でこちらが実用的
IdP	(なし)	—	—	パスワードの取得	—	エンドユーザ本人	❌ 不可	— 提供しない	**パスワードは復元できない形で保管するため、取得する API は原理的に作れない**（Keycloak に限らない）。用途を伺って別の手段に置き換える
IdP	F-AUTH-01	ローカルログイン（Keycloak-IdP 収容）	Keycloak-IdP 収容ユーザのログイン	パスワードの照合	（推奨できる標準が無い）	アプリ（M2M）	🔧 カスタム必要	🔺 標準外（追加コスト）	ID とパスワードの正誤だけを判定する API は、標準では非推奨の方式しかない（FR-AUTH-008 で不採用）。ログイン画面へ誘導する形に置き換える
IdP	F-AUTH-10	多要素認証	追加認証（数字コード）	追加認証（数字コード）	（API なし）Authentication Flow の設定	ブラウザ（画面遷移）	⚙ 設定のみ	標準内	ログイン画面の中で完結する
IdP	F-AUTH-12	多要素認証	追加認証の登録（数字コード）	追加認証の登録	GET /realms/{r}/protocol/openid-connect/auth?kc_action=CONFIGURE_TOTP	ブラウザ（画面遷移）	✅ 標準	標準内	**A-1 と同じ仕組み**。アプリの画面から登録へ送れる。登録そのものを API で行う標準は無いが、誘導は標準でできる。※登録されたかは戻り値を信用せず `acr` 等で確認する
IdP	F-ADM-09	多要素認証	追加認証の解除（管理者）	追加認証の解除（管理者）	DELETE /admin/realms/{r}/users/{id}/credentials/{credentialId}	管理画面	⚠ 標準（制約）	標準内	**標準にある**。端末紛失時の復旧に使う
IdP	F-AUTH-11	多要素認証	追加認証（生体・セキュリティキー）	認証手段の一覧（本人）	GET /realms/{r}/account/credentials	エンドユーザ本人	✅ 標準	標準内	本人のトークンで呼べる。登録済みの手段の確認に使う
IdP	F-AUTH-13	多要素認証	追加認証の登録（生体・セキュリティキー）	認証手段の削除（本人）	DELETE /realms/{r}/account/credentials/{id}	エンドユーザ本人	⚠ 標準（制約）	標準内	標準にあるが非推奨の扱い。画面へ誘導する方が安全
IdP	F-ADM-04	ユーザ管理（管理画面・API）	ユーザの変更	自分の情報の参照・更新	GET/POST /realms/{r}/account/	エンドユーザ本人	✅ 標準	標準内	**本人のトークンで呼べる**。管理 API を渡さずにプロフィール編集を実現できる
IdP	F-ADM-10	セッション・ログアウト	強制ログアウト（管理者）	自分のログイン状態の確認・破棄	GET/DELETE /realms/{r}/account/sessions	エンドユーザ本人	✅ 標準	標準内	同上
IdP	F-AUTH-01	ローカルログイン（Keycloak-IdP 収容）	Keycloak-IdP 収容ユーザのログイン	連携先の確認・解除（本人）	GET/DELETE /realms/{r}/account/linked-accounts	エンドユーザ本人	✅ 標準	標準内	同上
IdP	F-ADM-03	ユーザ管理（管理画面・API）	ユーザの登録	ユーザの登録・変更・停止	POST/PUT /admin/realms/{r}/users …	管理画面	⚠ 標準（制約）	標準内	Broker 側と同じ Admin API。IdP-KC 側のユーザが対象
IdP	F-AUTH-22	不正アクセス対策	流出パスワードの使用拒否	流出パスワードの使用拒否	（標準に無い）	バッチ・システム	🔧 カスタム必要	🔺 標準外（追加コスト）	照合する仕組みは標準に無い
IdP	F-AUTH-16	パスワード・アカウント復旧	メールを持たない人の復旧	メールを持たない人の復旧	（標準に無い）	管理画面	🔧 カスタム必要	🔺 標準外（追加コスト）	管理者の承認を経て復旧する手順を作る
IdP	F-AUTH-20	不正アクセス対策	連続失敗時の一時締め出し	連続失敗時の締め出し	（API なし）Realm 設定 + attack-detection	バッチ・システム	⚙ 設定のみ	標準内	解除は Broker 側と同じ API
Broker	F-AUTH-04	ログイン振り分け（HRD）	顧客IdPの選択（1 顧客に複数）	顧客IdP の指定	GET /realms/{r}/protocol/openid-connect/auth?kc_idp_hint={alias}	ブラウザ（画面遷移）	✅ 標準	標準内	アプリが送り先を指定できる標準のパラメータ。振り分けを画面に頼らない手段
Broker	F-AUTH-03	ログイン振り分け（HRD）	振り分け失敗時のパスワード入力への切替	振り分け失敗時の切替	（API なし）フローの設定 + 拡張	ブラウザ（画面遷移）	🔧 カスタム必要	🔺 標準外（追加コスト）	判定できなかったときの逃げ道。HRD の拡張と一体で作る
Broker	F-PROV-02	フェデレーションログイン	ログイン時の属性更新	ログイン時の属性更新	（API なし）IdP Mapper の syncMode 設定	バッチ・システム	⚙ 設定のみ	標準内	2 回目以降に上書きする項目を Mapper ごとに決める
Broker	F-AUTH-09	フェデレーションログイン	Keycloak-Broker と Keycloak-IdP の連携	Keycloak-Broker と Keycloak-IdP の連携	（API なし）IdP エントリの設定	バッチ・システム	⚙ 設定のみ	標準内	Broker から見て Keycloak-IdP は顧客IdP の 1 つ。Keycloak-IdP 側に求める設定は接続仕様（HE-23）で渡す
Broker	F-ADM-08	ユーザ管理（管理画面・API）	ユーザの招待	ユーザの招待	POST /admin/realms/{r}/organizations/{id}/members/invite-user	管理画面	⚠ 標準（制約）	標準内	Organizations の標準機能。**メール送信が前提**のため、メールを持たないユーザには使えない
Broker	F-ADM-20	ユーザ管理（管理画面・API）	ユーザの一括登録	ユーザの一括登録	POST /admin/realms/{r}/partialImport	管理画面	⚠ 標準（制約）	標準内	標準にある。件数の上限に合わせて分割して投入する
Broker	F-ADM-21	ユーザ管理（管理画面・API）	一覧・記録のファイル出力	設定のファイル出力	POST /admin/realms/{r}/partial-export	管理画面	⚠ 標準（制約）	標準内	**ユーザは出力に含まれない**。ユーザの持ち出しは検索 API を繰り返すか、サーバ側の書き出し機能を使う
Broker	F-ADM-24	監査・記録	本人からの開示・削除請求への対応	本人からの開示・削除請求	GET /admin/realms/{r}/users/{id} / DELETE …	管理画面	⚠ 標準（制約）	標準内	標準 API の組合せで足りる。対応の記録は運用側で残す
Broker	F-INT-14	アプリ・外部連携	管理 API の内部公開（idm-api 向け）	管理 API の内部公開	（本基盤が決める）到達経路・呼び出し元の資格・許す操作	アプリ（M2M）	🔧 カスタム必要	🔺 標準外（追加コスト）	**今回の論点そのもの**。Admin API をどこまでアプリへ開くかを決め、権限の絞り込み（FGAP v2）と経路で守る
Broker	F-INT-08	監視・検知	不正兆候の検知	不正兆候の検知	GET /admin/realms/{r}/events + 外部の集計	バッチ・システム	🔧 カスタム必要	🔺 標準外（追加コスト）	検知そのものは標準に無い。イベントを取り出して外で判定する
Broker	F-INT-09	監視・検知	擬似ログインによる障害検知	擬似ログインによる障害検知	（標準 API を外部から呼ぶ）	バッチ・システム	⚙ 設定のみ	標準内	専用 API は不要。ログイン用の標準の入口を監視から定期的に叩く
Broker	F-PROV-09	ユーザ属性の統一	登録経路の区分判定	登録経路の区分判定	（API なし）User Profile の属性 + 拡張	バッチ・システム	🔧 カスタム必要	🔺 標準外（追加コスト）	どの経路で作られたかを属性で持つ。付与は拡張側
Broker	F-INT-03	業務システム連携（ServiceNow）	業務システムから他アプリへの連携	業務システムから他アプリへの連携	POST /realms/{r}/protocol/openid-connect/token（token-exchange）	アプリ（M2M）	✅ 標準	標準内	ServiceNow から他アプリの API を呼ぶ経路
Broker	F-AUTH-23	セッション・ログアウト	ログイン状態の保持とタイムアウト	ログイン済みかの確認（画面遷移なし）	GET /realms/{r}/protocol/openid-connect/auth?prompt=none	ブラウザ（画面遷移）	✅ 標準	標準内	**G-1**。画面を出さずにログイン状態を確かめる標準の方法。SPA が起動時に使う。画面のあるアプリには実質必須で、表から漏れていた
Broker	F-AUTH-23	セッション・ログアウト	ログイン状態の保持とタイムアウト	セッション状態の監視	GET /realms/{r}/protocol/openid-connect/login-status-iframe.html	ブラウザ（画面遷移）	✅ 標準	標準内	**G-1**。別のタブでログアウトされたことに気づく仕組み。サーバ側でセッションを持つ作り（BFF）なら不要
Broker	F-ADM-01	ユーザ管理（管理画面・API）	ユーザの検索・一覧	ユーザの件数取得	GET /admin/realms/{r}/users/count	管理画面	⚠ 標準（制約）	標準内	**G-3**。一覧の総件数。ページ送りの実装に要る
Broker	F-ADM-01	ユーザ管理（管理画面・API）	ユーザの検索・一覧	属性でのユーザ検索	GET /admin/realms/{r}/users?q=key:value	管理画面	⚠ 標準（制約）	標準内	**G-3**。社員番号など独自の項目で引く手段。**3 階層の識別子の設計に直結**するのに表から漏れていた
Broker	F-ADM-14	顧客・組織管理	顧客の作成	顧客のメンバー管理	GET/POST /admin/realms/{r}/organizations/{id}/members・DELETE .../members/{id}	管理画面	⚠ 標準（制約）	標準内	**G-4**。誰がどの顧客に属するかの付け外し。顧客の CRUD だけでは足りない
Broker	F-ADM-14	顧客・組織管理	顧客の作成	顧客のメンバー件数	GET /admin/realms/{r}/organizations/{id}/members/count	管理画面	⚠ 標準（制約）	標準内	**G-4**。課金・レポートの母数
Broker	F-PROV-01	フェデレーションログイン	初回ログイン時のユーザ自動作成（JIT）	顧客IdP との紐付けの付け外し	POST/DELETE /admin/realms/{r}/users/{id}/federated-identity/{alias}	管理画面	⚠ 標準（制約）	標準内	**G-5**。顧客が IdP を乗り換えたときの繋ぎ替え、重複ユーザの統合で使う。**移行と事故対応の要**
Broker	F-AUTH-20	不正アクセス対策	連続失敗時の一時締め出し	締め出し状態の確認	GET /admin/realms/{r}/attack-detection/brute-force/users/{id}	管理画面	⚠ 標準（制約）	標準内	**G-6**。「入れない」問い合わせの一次切り分け。解除だけ拾って状態確認が漏れていた
Broker	F-AZ-10	認可・権限判定	JWT に載せる項目の定義	失効の一斉通知	POST /admin/realms/{r}/clients/{id}/push-revocation	管理画面	⚠ 標準（制約）	標準内	**G-7**。ある時刻より前に出した JWT を無効として各アプリへ押し出す。**JWT が最大 30 分残る問題の緩和策**として設計に入れていたのに表から漏れていた
Broker	F-ADM-25	監査・記録	監査ログの取得・保管方式	記録する項目の設定	GET/PUT /admin/realms/{r}/events/config	管理画面	⚠ 標準（制約）	標準内	**G-8**。何を記録し何日残すかの設定。監査設計の前提だが表から漏れていた
Broker	F-ADM-01	ユーザ管理（管理画面・API）	ユーザの検索・一覧	なりすまし（調査用）	POST /admin/realms/{r}/users/{id}/impersonation	管理画面	⛔ 使わない（決定）	— 提供しない	**G-9。2026-09-09 決定: 不要**。標準にはあるが使わない。**権限を配るときにこの操作を許さないことを明示する**（Admin Permissions の設定で落とす）
Broker	F-ADM-25	監査・記録	監査ログの取得・保管方式	アプリ単位のセッション一覧	GET /admin/realms/{r}/clients/{id}/user-sessions	管理画面	⚠ 標準（制約）	標準内	**G-10**。障害時に「どのアプリで何人繋がっているか」を見る
Broker	F-ADM-25	監査・記録	監査ログの取得・保管方式	サーバ情報の取得	GET /admin/serverinfo	管理画面	⚠ 標準（制約）	標準内	**G-12**。版数・有効な機能の確認。版上げの前後で使う
Broker	F-ADM-25	監査・記録	監査ログの取得・保管方式	死活と性能値の公開	GET /health・/health/ready・/health/live・/metrics（9000 番）	バッチ・システム	✅ 標準	標準内	**G-2**。**既定では無効で、明示的に有効化が要る**。9000 番は業務用の口とは別。**2026-09-09 決定: 監視は ROSA のあるアカウントでそれぞれ行う**（Broker 用・Keycloak-IdP 用の各アカウント内で完結し、他組織が管理する境界は通さない）
IdP	F-AUTH-11	多要素認証	追加認証（生体・セキュリティキー）	同意した先の確認・取り消し	GET /realms/{r}/account/applications・DELETE .../applications/{clientId}/consent	エンドユーザ本人	✅ 標準	標準内	**G-11**。本人が「どのアプリに情報を渡したか」を見て取り消す。同意画面を使わない運用なら不要
Broker	F-BAT-01	ユーザの停止・再開・消去	長期未使用者の自動停止	最終ログイン日時の取得	（標準に無い）	アプリ（M2M）	🔧 カスタム必要	🔺 標準外（追加コスト）	**G-13**。**Keycloak はユーザの最終ログイン日時を持たない**（記録イベントからしか分からない）。自動停止の判定にも、アプリの画面表示にも要るので拡張が必要
IdP	F-AUTH-19	パスワード・アカウント復旧	パスワード変更・初回強制変更	パスワードの変更日・期限の取得	（標準に無い）	アプリ（M2M）	🔧 カスタム必要	🔺 標準外（追加コスト）	**G-14**。「あと何日で期限」を出す標準の手段が無い
Broker	F-ADM-05	ユーザ管理（管理画面・API）	ユーザの利用可否の切替	一括の有効化・無効化	（標準に無い）1 件ずつの呼び出しをまとめる	バッチ・システム	🔧 カスタム必要	🔻 削減候補	**G-15。2026-09-09 決定: 必要だが削減候補**。標準は 1 件ずつのため件数分の呼び出しになる。**数万人規模の停止が時間内に終わるかは性能試験で確かめる**／G-15: 必要だが削減候補
