機能名	機能ID	系統	機能グループ	概要	行数	人日
追加認証の解除（管理者）	F-ADM-09	管理	利用者支援操作	管理者が利用者の追加認証の登録を解除する機能。端末紛失時の復旧に使う	2	1
強制ログアウト	F-ADM-10	管理	利用者支援操作	管理者が利用者のログイン状態を強制的に終了させる機能。個別・テナント単位・全体の 3 段階	3	2
使えるアプリの設定	F-ADM-11	管理	権限管理	どの利用者にどのアプリを使わせるかを設定する機能	13	8
アプリ内の役割の設定	F-ADM-12	管理	権限管理	アプリごとの役割（ロール）を利用者に割り当てる機能	2	1.25
組織情報の編集	F-ADM-13	管理	組織・顧客管理	利用者が所属する組織の情報を編集する機能	1	0.5
顧客の作成	F-ADM-14	管理	組織・顧客管理	新しい顧客を作成する機能	3	3
顧客設定の編集	F-ADM-15	管理	組織・顧客管理	顧客ごとの設定（ログイン方式の切り替えなど）を編集する機能	3	1.5
顧客認証システムの接続登録	F-ADM-16	管理	接続先管理	顧客の認証システムを基盤に接続する登録作業を行う機能	14	17.75
接続設定の変更・証明書更新	F-ADM-17	管理	接続先管理	接続済みの認証システムの設定変更と、期限が来る証明書の入れ替えを行う機能	4	2.5
操作記録の照会	F-ADM-18	管理	監査・一括処理	管理操作やログインの記録を、管理者が検索・閲覧する機能	11	18.5
権限の棚卸し	F-ADM-19	管理	権限管理	付与済みの権限が今も妥当かを定期的に確認させる機能	1	0.5
利用者の一括登録	F-ADM-20	管理	監査・一括処理	利用者をまとめて登録するためのファイル取り込み機能	3	4
一覧・記録のファイル出力	F-ADM-21	管理	監査・一括処理	利用者一覧や操作記録をファイルとして出力する機能	3	4
システム用アカウントの台帳管理	F-ADM-22	管理	監査・一括処理	人ではないシステム用のアカウントを台帳で管理する機能	3	4.5
権限情報の一括取得	F-AZ-01	認可	権限情報の提供	アプリが「この利用者は何ができるか」を 1 回の問い合わせで取得できるようにする機能	5	9.5
使えるアプリ一覧の取得	F-AZ-02	認可	権限情報の提供	ログイン後の入口画面に表示する「使えるアプリの一覧」を返す機能	2	1
アプリ利用可否の判定	F-AZ-03	認可	権限判定	利用者がそのアプリを使ってよいかを判定する処理	3	5.75
アプリ内の役割の解決	F-AZ-04	認可	権限判定	アプリごとの役割の値を解決して返す処理	1	0.5
テナント越境の防止	F-AZ-05	認可	アクセス制御	利用者が自分のテナント以外のデータに触れないよう強制する仕組み	5	7.75
管理操作の3段階権限確認	F-AZ-06	認可	アクセス制御	管理画面の操作について、テナント・役割・対象の 3 つの観点で権限を確認する仕組み	3	4.75
システム間トークンの発行	F-AZ-07	認可	トークン管理	アプリやバッチがシステムとして API を呼ぶための資格を発行する機能	3	3.5
トークンの交換	F-AZ-08	認可	トークン管理	あるアプリ向けの資格を、別のアプリ向けに交換する機能	2	2.5
権限判定の記録	F-AZ-09	認可	認可の記録	誰が何を許可・拒否されたかを記録する機能	3	4
業務システムへの認証提供	F-INT-01	連携	業務システム連携（ServiceNow 等へのログイン提供）	業務システムに対して、本基盤が認証の提供元として振る舞う連携機能	3	9
業務システム側の利用者自動作成	F-INT-02	連携	業務システム連携（ServiceNow 等へのログイン提供）	業務システム側で、初回ログイン時に利用者を自動作成させる連携	1	2
業務システムから他アプリへの連携	F-INT-03	連携	業務システム連携（ServiceNow 等へのログイン提供）	業務システムにログインした状態から、他のアプリの API を呼べるようにする連携	1	1
アプリへの変更通知	F-INT-04	連携	アプリへの通知	利用者の変更をアプリ側へ通知する仕組み。届かなかった場合の再送を含む	3	6
停止イベントのアカウント間配送	F-INT-05	連携	アカウント間連携	利用者を止めた事実を、アカウントをまたいで別システムへ届ける経路の機能	1	1
識別子のアカウント間伝達	F-INT-06	連携	アカウント間連携	初回ログインした人の識別子を、アカウントをまたいで権限管理側へ伝える連携	1	1
通知メールの送信	F-INT-07	連携	アプリへの通知	招待・パスワード再設定・注意喚起などのメールを送る機能	2	3.5
不正兆候の検知	F-INT-08	連携	監視・検知	不正なログインの兆候を検知して通知する機能	5	8
定期的な擬似ログインによる障害検知	F-INT-09	連携	監視・検知	本物の利用者を模した定期的なログイン試行で、障害を利用者より先に見つける機能	2	1
アプリ設置状況の巡回確認	F-INT-10	連携	監視・検知	アプリ側の設置状況を基盤側から定期的に見に行き、設定漏れを見つける機能	1	0.5
接続情報の自動追随	F-INT-11	連携	接続情報の追随	顧客の認証システムの接続情報を定期的に取り直し、証明書の入れ替えに自動追随する機能	1	0.5
状態変化の即時通知	F-INT-12	連携	アプリへの通知	利用者の状態変化をアプリ側へ即時に伝える新方式。初期リリースでは対象外	3	2.5
長期未使用者の自動停止	F-BAT-01	バッチ	利用者の整理	長期間ログインのない利用者を自動で使えない状態にする定期処理	2	1.25
停止伝播の突合（短間隔）	F-BAT-02	バッチ	データの突合と再送（伝えそこないの回収）	止めた事実が確実に伝わったかを短い間隔で突き合わせ、漏れを直す処理	1	0.75
日次の整合突合	F-BAT-03	バッチ	データの突合と再送（伝えそこないの回収）	システム間の情報のずれを 1 日 1 回突き合わせる処理	1	0.5
署名鍵の定期入れ替え	F-BAT-04	バッチ	鍵・証明書の維持	通行証の署名に使う鍵を定期的に入れ替える処理。切り替え中も止めないための並走期間を含む	3	4.5
接続用パスワードの定期入れ替え	F-BAT-05	バッチ	鍵・証明書の維持	アプリごとの接続用パスワードを定期的に入れ替える処理	1	0.5
管理者不在アカウントの検出	F-BAT-06	バッチ	アカウント・権限の点検	管理する責任者がいなくなったシステム用アカウントを検出して通知する処理	1	0.5
証明書期限の監視	F-BAT-07	バッチ	鍵・証明書の維持	証明書の期限切れが近いものを検出して通知する処理	1	0.5
権限棚卸しの定期起動	F-BAT-08	バッチ	アカウント・権限の点検	権限の棚卸しを定期的に開始する処理	1	0.5
保存期限切れデータの消去	F-BAT-09	バッチ	利用者の整理	保存期限を過ぎたデータを実際に消去する処理。初期リリースでは準備のみ	1	0.5
横断（全機能共通）	横断	横断	横断	総則・規約・構成図・レビュー・顧客向け資料など、全機能に共通する作業	127	261.5
横断（自社拡張全般）	横断	横断	横断	認証製品に組み込む自社拡張（SPI）全体に関わる作業（配置・ビルド・版数管理・互換確認）	3	5
横断（ログイン画面のブランド別表示 ※機能一覧に未登録）	横断	横断	横断	ブランドごとにログイン画面を切り替える構成。1 ブランドのみの前提で対象外	1	3
横断（ログイン画面）	横断	横断	横断	ログイン画面全般の設計（規約・文言・攻撃対策の画面側対応）	1	2
横断（緊急時の運用）	横断	横断	横断	通常経路が使えないときの管理者アクセス（踏み台）	2	3
横断（管理 API）	横断	横断	横断	管理 API 全体に共通する作業（応答目標など）	1	0.5
該当なし	横断	横断	横断	機能に紐づかない作業（構成の判断・契約・体制・他組織との調整など）	11	28
横断（ログイン処理全般）	横断	横断	横断	ログイン処理の順序や本番設定など、ログイン系の全機能に関わる作業	6	7
横断（顧客の解約運用）	横断	横断	横断	顧客がサービスから離脱するときの手順	1	1.5
横断（法令対応）	横断	横断	横断	法令・契約に基づく対応（本人からの開示・削除請求など）	1	1.5
横断（災害対策）	横断	横断	横断	別地域への切替に関する作業。災害対策は対象外	4	6.5
横断（同意管理）	横断	横断	横断	利用規約などへの同意を取り、記録する仕組み	2	2.5
横断（定期処理共通）	横断	横断	横断	バッチ全体の実行基盤・スケジュール・多重起動制御	1	1.5
横断（代表シナリオ）	横断	横断	横断	業務フロー図。各機能仕様書に吸収して対象外	3	10
該当なし（章ごとに分割済み）	横断	横断	横断	旧集計行	1	0
該当なし（対象外）	横断	横断	横断	対象外の行	1	2
定期実行処理全般	横断	横断	横断	バッチ一覧・実行基盤・スケジュール・多重起動など、バッチ全体に関わる作業	3	6
管理画面の機能全般	横断	横断	横断	管理画面の全機能に共通する作業（画面一覧・遷移図）	1	4
顧客システムからの利用者情報受け取り	横断	横断	横断	SCIM 受信の仕様全体（窓口・項目対応・絞り込み・削除の読み替え）	1	4
鍵・証明書・権限見直しの定期処理	横断	横断	横断	鍵・証明書のローテーションと権限棚卸しの定期処理の仕様	1	2.5
顧客認証システムへのログイン委譲／ログイン後の属性取り込み	F-AUTH-05／F-AUTH-08	認証	フェデレーション	複数機能にまたがる行。顧客が持っている認証システムに認証を委ね、その結果を受け取ってログインさせる機能（標準的な連携方式）／初回登録の後に毎回通る処理	1	2
接続先の自動振り分け／初回ログイン時の自動登録／停止済み利用者の再開／ログイン後の属性取り込み	F-AUTH-02／F-PROV-01／F-PROV-11／F-AUTH-08	認証／プロビジョニング	接続先の振り分け／自動登録／退職者の遮断と復職対応（停止・再開の伝播）／フェデレーション	複数機能にまたがる行。ログイン画面で入力された ID から、その人がどの接続先（顧客の認証システム）の利用者かを判定し、自動で振り分ける（HRD）／顧客の認証システム経由で初めてログインした人を、その場で利用者として登録する機能（JIT）／一度止めた利用者を再び使えるようにする機能／初回登録の後に毎回通る処理	1	3
業務システムへの認証提供／業務システム側の利用者自動作成	F-INT-01／F-INT-02	連携	業務システム連携（ServiceNow 等へのログイン提供）	複数機能にまたがる行。業務システムに対して、本基盤が認証の提供元として振る舞う連携機能／業務システム側で、初回ログイン時に利用者を自動作成させる連携	3	4
ローカルログイン／初回ログイン時の自動登録	F-AUTH-01／F-PROV-01	認証／プロビジョニング	ローカル認証／自動登録	複数機能にまたがる行。利用者 ID とパスワードで直接ログインする機能／顧客の認証システム経由で初めてログインした人を、その場で利用者として登録する機能（JIT）	2	1.5
連続失敗時の一時締め出し／利用者の存在推測の防止	F-AUTH-20／F-AUTH-21	認証	不正アクセス対策	複数機能にまたがる行。パスワードの連続失敗を検知して一時的に受け付けなくする機能／その ID が実在するかどうかが応答の違いから分かってしまわないようにする対策	1	1
接続先の自動振り分け／振り分け失敗時のパスワード入力への切替	F-AUTH-02／F-AUTH-03	認証	接続先の振り分け	複数機能にまたがる行。ログイン画面で入力された ID から、その人がどの接続先（顧客の認証システム）の利用者かを判定し、自動で振り分ける（HRD）／接続先を判定できなかったときに、パスワード入力欄に切り替えて処理を続ける動き	1	1
接続情報の自動追随／証明書期限の監視	F-INT-11／F-BAT-07	連携／バッチ	接続情報の追随／鍵・証明書の維持	複数機能にまたがる行。顧客の認証システムの接続情報を定期的に取り直し、証明書の入れ替えに自動追随する機能／証明書の期限切れが近いものを検出して通知する処理	1	3
署名鍵の定期入れ替え／接続用パスワードの定期入れ替え	F-BAT-04／F-BAT-05	バッチ	鍵・証明書の維持	複数機能にまたがる行。通行証の署名に使う鍵を定期的に入れ替える処理／アプリごとの接続用パスワードを定期的に入れ替える処理	1	1
利用者の変更／定期実行処理全般	F-ADM-04／横断	管理／横断	利用者管理／横断	複数機能にまたがる行。管理者が利用者の情報を変更する機能／バッチ一覧・実行基盤・スケジュール・多重起動など、バッチ全体に関わる作業	1	2
項目名の変換・統一／登録経路の区分判定	F-PROV-08／F-PROV-09	プロビジョニング	受け取ったデータの整形（項目名・区分の統一）	複数機能にまたがる行。顧客ごとにバラバラな項目名を、基盤内の統一名に変換して取り込む仕組み／その利用者がどの経路（JIT / SCIM / 管理画面 / アプリ API / 運用者 / 移行）で登録されたかを区別し、後の自動処理の対象を判断できるようにする仕組み	1	3
初回ログイン時の自動登録／停止済み利用者の再開	F-PROV-01／F-PROV-11	プロビジョニング	自動登録／退職者の遮断と復職対応（停止・再開の伝播）	複数機能にまたがる行。顧客の認証システム経由で初めてログインした人を、その場で利用者として登録する機能（JIT）／一度止めた利用者を再び使えるようにする機能	1	3
利用者の検索・一覧／利用者の登録	F-ADM-01／F-ADM-03	管理	利用者管理	複数機能にまたがる行。管理者が自分のテナントの利用者を検索・一覧表示する機能／管理者が利用者を新規に登録する機能	8	4
使えるアプリの設定／アプリ内の役割の設定	F-ADM-11／F-ADM-12	管理	権限管理	複数機能にまたがる行。どの利用者にどのアプリを使わせるかを設定する機能／アプリごとの役割（ロール）を利用者に割り当てる機能	4	2
利用者の招待／パスワードの自己再設定／通知メールの送信	F-ADM-08／F-AUTH-18／F-INT-07	認証／管理／連携	利用者支援操作／アカウント復旧・パスワード／アプリへの通知	複数機能にまたがる行。新しい利用者に招待を送り、本人に初期設定させる機能／利用者が自分でパスワードを再設定する機能／招待・パスワード再設定・注意喚起などのメールを送る機能	1	3
使えるアプリの設定／アプリ内の役割の設定／アプリ利用可否の判定	F-ADM-11／F-ADM-12／F-AZ-03	管理／認可	権限管理／権限判定	複数機能にまたがる行。どの利用者にどのアプリを使わせるかを設定する機能／アプリごとの役割（ロール）を利用者に割り当てる機能／利用者がそのアプリを使ってよいかを判定する処理	1	3
権限情報の一括取得／参照用データの更新	F-AZ-01／F-PROV-17	プロビジョニング／認可	権限情報の提供／権限管理側への引き渡し（識別子の紐付け・参照用データの更新）	複数機能にまたがる行。アプリが「この利用者は何ができるか」を 1 回の問い合わせで取得できるようにする機能／アプリが 1 回の問い合わせで必要な情報を得られるよう、複数の情報源をまとめた参照用データを最新に保つ仕組み	1	3
停止イベントのアカウント間配送／識別子のアカウント間伝達	F-INT-05／F-INT-06	連携	アカウント間連携	複数機能にまたがる行。利用者を止めた事実を、アカウントをまたいで別システムへ届ける経路の機能／初回ログインした人の識別子を、アカウントをまたいで権限管理側へ伝える連携	1	3
通知メールの送信／流出パスワードの使用拒否	F-INT-07／F-AUTH-22	認証／連携	アプリへの通知／不正アクセス対策	複数機能にまたがる行。招待・パスワード再設定・注意喚起などのメールを送る機能／入力されたパスワードが過去に流出したものでないかを確認し、該当する場合は使わせない機能	2	2
長期未使用者の自動停止／保存期限切れデータの消去	F-BAT-01／F-BAT-09	バッチ	利用者の整理	複数機能にまたがる行。長期間ログインのない利用者を自動で使えない状態にする定期処理／保存期限を過ぎたデータを実際に消去する処理	1	1.5
停止伝播の突合（短間隔）／日次の整合突合	F-BAT-02／F-BAT-03	バッチ	データの突合と再送（伝えそこないの回収）	複数機能にまたがる行。止めた事実が確実に伝わったかを短い間隔で突き合わせ、漏れを直す処理／システム間の情報のずれを 1 日 1 回突き合わせる処理	1	2
テナント越境の防止／管理操作の3段階権限確認	F-AZ-05／F-AZ-06	認可	アクセス制御	複数機能にまたがる行。利用者が自分のテナント以外のデータに触れないよう強制する仕組み／管理画面の操作について、テナント・役割・対象の 3 つの観点で権限を確認する仕組み	2	6
初回ログイン時の自動登録／メールを持たない人の復旧	F-PROV-01／F-AUTH-16	認証／プロビジョニング	自動登録／アカウント復旧・パスワード	複数機能にまたがる行。顧客の認証システム経由で初めてログインした人を、その場で利用者として登録する機能（JIT）／メールアドレスを持たない利用者が端末を失くした場合の復旧手段	1	2
利用者の停止（消さずに無効化）／停止済み利用者の再開	F-PROV-10／F-PROV-11	プロビジョニング	退職者の遮断と復職対応（停止・再開の伝播）	複数機能にまたがる行。利用者を削除せず使えない状態にし、停止日時を記録する機能／一度止めた利用者を再び使えるようにする機能	1	3
