WBS ID	機能ID	機能グループ	機能名	アプリ移管	判断根拠	根拠の補足	構成前提	当初想定	概要	成果物と完了条件
HB-F-AUTH-13	F-AUTH-13	多要素認証	追加認証の登録（生体・セキュリティキー）	基盤	製品機能	認証製品の機能として提供されるため、切り離して他所に持たせられない	—（構成に依存しない）	当初あり	生体認証やセキュリティキーを初めて登録する画面の流れ	機能仕様書 1 本。登録時に確認する条件と、登録失敗時の案内が定義されレビュー承認済み
HB-F-AUTH-14	F-AUTH-14	多要素認証	2台目登録時の再認証	基盤	後から追加可能	必要になってから足せる仕組みで、初期に無くても困らない	—（構成に依存しない）	新規: 機能追加	2 台目以降の認証器を登録するときに、追加認証をもう一度求める仕組み。乗っ取られた状態で勝手に端末を増やされるのを防ぐ	機能仕様書 1 本。追加認証を必須とする操作の一覧が定義されレビュー承認済み
HB-F-AUTH-15	F-AUTH-15	アカウント復旧・パスワード	復旧用コードの発行・利用	基盤	製品機能	認証製品の機能として提供されるため、切り離して他所に持たせられない	—（構成に依存しない）	当初あり	端末を失くしたときに使う一度きりのコードを発行し、利用させる機能	機能仕様書 1 本。発行枚数・再発行条件・使用後の無効化が定義されレビュー承認済み
HB-F-AUTH-16	F-AUTH-16	アカウント復旧・パスワード	メールを持たない人の復旧	基盤	代替手段あり	件数が少ない前提なら管理者が代行でき、自己解決の仕組みは後回しにできる	—（構成に依存しない）	新規: 機能追加	メールアドレスを持たない利用者が端末を失くした場合の復旧手段。管理者の承認を経て復旧する	機能仕様書 1 本。メールに依存しない復旧経路と、承認者の条件が定義されレビュー承認済み
HB-F-AUTH-17	F-AUTH-17	多要素認証	重要操作時の追加認証	基盤	代替手段あり	件数が少ない前提なら管理者が代行でき、自己解決の仕組みは後回しにできる	—（構成に依存しない）	当初あり	重要な操作をするときだけ、その場で追加の認証を求める仕組み	機能仕様書 1 本。追加認証を求める操作の一覧と、断られた場合の扱いが定義されレビュー承認済み
HB-F-AUTH-18	F-AUTH-18	アカウント復旧・パスワード	パスワードの自己再設定	基盤	代替手段あり	件数が少ない前提なら管理者が代行でき、自己解決の仕組みは後回しにできる	—（構成に依存しない）	当初あり	利用者が自分でパスワードを再設定する機能	機能仕様書 1 本。本人確認の方法と、メールを持たない利用者の扱いが定義されレビュー承認済み
HB-F-AUTH-19	F-AUTH-19	アカウント復旧・パスワード	パスワード変更・初回強制変更	基盤	製品機能	認証製品の機能として提供されるため、切り離して他所に持たせられない	—（構成に依存しない）	当初あり	パスワードの変更と、初回ログイン時に変更を強制する動き	機能仕様書 1 本。強制する条件と、変更するまで他の操作をさせない範囲が定義されレビュー承認済み
HB-F-AUTH-20	F-AUTH-20	不正アクセス対策	連続失敗時の一時締め出し	基盤	事故防止	総当たりと利用者名の割り出しは、基盤側で塞がないとアプリでは防げない	—（構成に依存しない）	新規: 規模	パスワードの連続失敗を検知して一時的に受け付けなくする機能	機能仕様書 1 本。失敗回数・待ち時間・解除条件が定義されレビュー承認済み
HB-F-AUTH-21	F-AUTH-21	不正アクセス対策	利用者の存在推測の防止	基盤	事故防止	総当たりと利用者名の割り出しは、基盤側で塞がないとアプリでは防げない	—（構成に依存しない）	新規: 規模	その ID が実在するかどうかが応答の違いから分かってしまわないようにする対策。1 件ずつ試して実在する利用者を割り出されるのを防ぐ	機能仕様書 1 本。存在有無で応答・時間差が変わらないことの確認方法が定義されレビュー承認済み
HB-F-AUTH-22	F-AUTH-22	不正アクセス対策	流出パスワードの使用拒否	基盤	代替手段あり	既定の対策で最低限は守れるため、上乗せ分は後から足せる	—（構成に依存しない）	新規: 規模	入力されたパスワードが過去に流出したものでないかを確認し、該当する場合は使わせない機能	機能仕様書 1 本。照会のタイミングと、一致した場合の利用者への扱いが定義されレビュー承認済み
HB-F-PROV-01	F-PROV-01	自動登録	初回ログイン時の自動登録	基盤	認証の中核	委譲した相手から来た人を受け入れる入口で、フェデレーションと不可分	—（構成に依存しない）	新規: 機能追加	顧客の認証システム経由で初めてログインした人を、その場で利用者として登録する機能	機能仕様書 1 本。登録時に設定する項目と、登録しない条件が定義されレビュー承認済み
HB-F-PROV-02	F-PROV-02	自動登録	ログイン時の属性更新	基盤	認証の中核	委譲した相手から来た人を受け入れる入口で、フェデレーションと不可分	—（構成に依存しない）	新規: 機能追加	2 回目以降のログイン時に、顧客側の最新情報で属性を更新する機能	機能仕様書 1 本。上書きする項目と、基盤側で保護して上書きさせない項目の区別が定義されレビュー承認済み
HB-F-PROV-03	F-PROV-03	顧客システムからの利用者受信（人事システム等からの登録・更新・削除）	顧客システムからの利用者登録	基盤	後から追加可能	初回ログイン時の自動登録だけで運用でき、一括受信は後から足せる	—（構成に依存しない）	新規: 機能追加	顧客の人事システムなどから利用者の新規登録を受け取る機能	機能仕様書 1 本。受け取る項目・必須条件と、重複時の扱いが定義されレビュー承認済み
HB-F-PROV-04	F-PROV-04	顧客システムからの利用者受信（人事システム等からの登録・更新・削除）	顧客システムからの利用者更新	基盤	後から追加可能	初回ログイン時の自動登録だけで運用でき、一括受信は後から足せる	—（構成に依存しない）	新規: 機能追加	顧客側からの利用者情報の変更を受け取って反映する機能	機能仕様書 1 本。反映対象の項目と、反映しない項目が定義されレビュー承認済み
HB-F-PROV-05	F-PROV-05	顧客システムからの利用者受信（人事システム等からの登録・更新・削除）	顧客システムからの削除通知	基盤	後から追加可能	初回ログイン時の自動登録だけで運用でき、一括受信は後から足せる	—（構成に依存しない）	新規: 機能追加	顧客側からの削除通知を受け取り、基盤側では消さずに使えない状態にする機能	機能仕様書 1 本。削除通知を無効化に読み替える規則と、記録に残す項目が定義されレビュー承認済み
HB-F-PROV-06	F-PROV-06	顧客システムからの利用者受信（人事システム等からの登録・更新・削除）	顧客システムからの利用者検索	基盤	後から追加可能	初回ログイン時の自動登録だけで運用でき、一括受信は後から足せる	—（構成に依存しない）	新規: 機能追加	顧客側から利用者を検索・絞り込みで問い合わせられるようにする機能	機能仕様書 1 本。検索できる項目と、他テナントの情報が出ないことの担保が定義されレビュー承認済み
HB-F-PROV-07	F-PROV-07	顧客システムからの利用者受信（人事システム等からの登録・更新・削除）	顧客システムからのグループ連携	基盤	後から追加可能	初回ログイン時の自動登録だけで運用でき、一括受信は後から足せる	—（構成に依存しない）	新規: 機能追加	顧客側のグループ情報を受け取る機能。初期リリースでは対象外	機能仕様書 1 本（対象外の宣言を含む）。将来対応する場合の前提と、当面受け取らない旨が明記されレビュー承認済み
HB-F-PROV-08	F-PROV-08	受け取ったデータの整形（項目名・区分の統一）	項目名の変換・統一	基盤	認証の中核	顧客ごとにバラバラな項目名を揃えないと、複数の顧客を同時に扱えない	—（構成に依存しない）	新規: 機能追加	顧客ごとにバラバラな項目名を、基盤内の共通の呼び方に変換して取り込む仕組み	機能仕様書 1 本。変換の対応表をどこで管理するかと、対応がない項目の扱いが定義されレビュー承認済み
HB-F-PROV-09	F-PROV-09	受け取ったデータの整形（項目名・区分の統一）	登録経路の区分判定	基盤	認証の中核	どの経路で入った人かで扱いを変えるため、これが無いと後続が全て破綻する	—（構成に依存しない）	新規: 機能追加	その利用者がどの経路で登録されたかを区別し、後の自動処理の対象を判断できるようにする仕組み	機能仕様書 1 本。区分の一覧と、経路が重なった場合にどれを優先するかが定義されレビュー承認済み
HB-F-PROV-10	F-PROV-10	退職者の遮断と復職対応（停止・再開の伝播）	利用者の停止（消さずに無効化）	基盤	事故防止	止め忘れが退職者の不正アクセスに直結するため、基盤側で確実に止める必要がある	—（構成に依存しない）	新規: 機能追加	利用者を削除せず使えない状態にし、いつ止めたかを記録する機能	機能仕様書 1 本。止める操作の入口と、記録する日時項目が定義されレビュー承認済み
HB-F-PROV-11	F-PROV-11	退職者の遮断と復職対応（停止・再開の伝播）	停止済み利用者の再開	基盤	事故防止	止め忘れが退職者の不正アクセスに直結するため、基盤側で確実に止める必要がある	—（構成に依存しない）	新規: 機能追加	一度止めた利用者を再び使えるようにする機能。誤って復活させない条件を含む	機能仕様書 1 本。復活させてよい条件・させてはいけない条件が定義されレビュー承認済み
HB-F-PROV-12	F-PROV-12	退職者の遮断と復職対応（停止・再開の伝播）	停止の確実な伝播	基盤	利用者が 1 箇所になり不要	利用者が受付側の控えと収容側の実体の 2 箇所にいたため、片方で止めたらもう片方も止める仕組みが要った。1 箇所になれば止めた時点で完了し、伝える相手がいなくなる	認証製品を 2 つ持つ（不採用）	新規: 機能追加	片方のシステムで利用者を止めたとき、その事実をもう一方にも必ず伝えて確実に遮断する仕組み	機能仕様書 1 本。伝わらなかった場合の再送と、遅れた場合の最大の待ち時間が定義されレビュー承認済み
HB-F-PROV-13	F-PROV-13	退職者の遮断と復職対応（停止・再開の伝播）	再開の確実な伝播	基盤	利用者が 1 箇所になり不要	停止と同じ理由。再開も 1 箇所で完結するため、もう片方へ伝える処理が不要になる	認証製品を 2 つ持つ（不採用）	新規: 機能追加	再び使えるようにした場合も、止めたときと同じ経路でもう一方に伝える仕組み	機能仕様書 1 本。止める側と戻す側で扱いが対称であることが定義されレビュー承認済み
HB-F-PROV-14	F-PROV-14	権限管理側への引き渡し（識別子の紐付け・参照用データの更新）	初回ログイン者の識別子通知	アプリ移管	利用者が 1 箇所になり不要	受付側で発行した識別子を収容側へ知らせる必要があったが、同じ空間なら発行と同時に共有される	認証製品を 2 つ持つ（不採用）	新規: 機能追加	初めてログインした人の識別子を、権限を管理する側へ知らせる仕組み	機能仕様書 1 本。通知する内容と、二重に届いた場合の扱いが定義されレビュー承認済み
HB-F-PROV-15	F-PROV-15	権限管理側への引き渡し（識別子の紐付け・参照用データの更新）	権限管理側の受け皿作成	アプリ移管	権限移管に伴い不要	権限を基盤が持たなくなるため、その受け皿を作る処理ごと不要になる	アカウントを分ける（未判断）	新規: 機能追加	権限管理側で、まだ権限が設定されていない利用者の受け皿となる行を作る機能	機能仕様書 1 本。作成する条件と、テナントをまたいで混ざらない担保が定義されレビュー承認済み
HB-F-PROV-16	F-PROV-16	権限管理側への引き渡し（識別子の紐付け・参照用データの更新）	顧客番号と基盤識別子の対応づけ	アプリ移管	業務データ	対応づけの中身は顧客の社員番号体系そのもので、業務データにあたる	—（構成に依存しない）	新規: 機能追加	顧客側の利用者番号と基盤側の識別子を対応づけて管理する機能	機能仕様書 1 本。対応づけの登録・更新の経路と、番号が変わった場合の扱いが定義されレビュー承認済み
HB-F-PROV-17	F-PROV-17	権限管理側への引き渡し（識別子の紐付け・参照用データの更新）	参照用データの更新	アプリ移管	権限移管に伴い不要	権限を基盤が持たなくなるため、その受け皿を作る処理ごと不要になる	—（構成に依存しない）	新規: 機能追加	アプリが 1 回の問い合わせで必要な情報を得られるよう、複数の情報源をまとめた参照用データを最新に保つ仕組み	機能仕様書 1 本。更新の入力元と、同じ更新が二重に来た場合の扱いが定義されレビュー承認済み
HB-F-ADM-01	F-ADM-01	利用者管理	利用者の検索・一覧	基盤	認証の中核	画面はアプリが作るが、業務ルールの正は基盤が決めるため仕様書は基盤が書く	—（構成に依存しない）	当初あり	管理者が自分のテナントの利用者を検索・一覧表示する機能	機能仕様書 1 本。検索条件・並び順・件数の上限と、他テナントが出ないことの担保が定義されレビュー承認済み
HB-F-ADM-02	F-ADM-02	利用者管理	利用者の詳細参照	基盤	認証の中核	画面はアプリが作るが、業務ルールの正は基盤が決めるため仕様書は基盤が書く	—（構成に依存しない）	当初あり	利用者 1 人の詳細情報を表示する機能	機能仕様書 1 本。表示する項目と、権限によって見せない項目が定義されレビュー承認済み
HB-F-ADM-03	F-ADM-03	利用者管理	利用者の登録	基盤	認証の中核	画面はアプリが作るが、業務ルールの正は基盤が決めるため仕様書は基盤が書く	—（構成に依存しない）	当初あり	管理者が利用者を新規に登録する機能	機能仕様書 1 本。入力必須項目と、登録できない条件が定義されレビュー承認済み
HB-F-ADM-04	F-ADM-04	利用者管理	利用者の変更	基盤	認証の中核	画面はアプリが作るが、業務ルールの正は基盤が決めるため仕様書は基盤が書く	—（構成に依存しない）	当初あり	管理者が利用者の情報を変更する機能	機能仕様書 1 本。変更できる項目と、顧客側から同期される項目の扱いの違いが定義されレビュー承認済み
HB-F-ADM-05	F-ADM-05	利用者管理	利用者の利用可否の切替（管理者操作）	基盤	認証の中核	画面はアプリが作るが、業務ルールの正は基盤が決めるため仕様書は基盤が書く	—（構成に依存しない）	新規: 非機能・運用	管理者が利用者を一時的に使えなくする／戻す機能	機能仕様書 1 本。操作の即時性と、利用中のログイン状態への影響が定義されレビュー承認済み
HB-F-ADM-06	F-ADM-06	利用者管理	利用者の削除	基盤	認証の中核	画面はアプリが作るが、業務ルールの正は基盤が決めるため仕様書は基盤が書く	—（構成に依存しない）	当初あり	管理者が利用者を削除する機能。実際には消さずに使えない状態にする	機能仕様書 1 本。削除操作の入口と、取り消せない旨の確認方法が定義されレビュー承認済み
HB-F-ADM-07	F-ADM-07	利用者支援操作	パスワード初期化（管理者）	基盤	認証の中核	画面はアプリが作るが、業務ルールの正は基盤が決めるため仕様書は基盤が書く	—（構成に依存しない）	当初あり	管理者が利用者のパスワードを初期化する機能	機能仕様書 1 本。初期化後の受け渡し方法と、次回ログイン時の強制変更が定義されレビュー承認済み
HB-F-ADM-08	F-ADM-08	利用者支援操作	利用者の招待	基盤	認証の中核	画面はアプリが作るが、業務ルールの正は基盤が決めるため仕様書は基盤が書く	—（構成に依存しない）	新規: 機能追加	新しい利用者に招待を送り、本人に初期設定させる機能	機能仕様書 1 本。招待の有効期限・再送・失効の扱いが定義されレビュー承認済み
HB-F-ADM-09	F-ADM-09	利用者支援操作	追加認証の解除（管理者）	基盤	認証の中核	画面はアプリが作るが、業務ルールの正は基盤が決めるため仕様書は基盤が書く	—（構成に依存しない）	新規: 非機能・運用	管理者が利用者の追加認証の登録を解除する機能。端末紛失時の復旧に使う	機能仕様書 1 本。解除できる条件と、承認・記録の要否が定義されレビュー承認済み
HB-F-ADM-10	F-ADM-10	利用者支援操作	強制ログアウト	基盤	認証の中核	機能の数が減れば分量は減るが、体系そのものは残る	—（構成に依存しない）	新規: 非機能・運用	管理者が利用者のログイン状態を強制的に終了させる機能。個別・テナント単位・全体の 3 段階	機能仕様書 1 本。3 つの範囲それぞれの適用条件と、影響範囲が定義されレビュー承認済み
HB-F-ADM-11	F-ADM-11	権限管理	使えるアプリの設定	アプリ移管	業務ルール依存	誰にどの権限を与えるかは業務ごとに違い、基盤が共通の仕様を決められない	—（構成に依存しない）	新規: 機能追加	どの利用者にどのアプリを使わせるかを設定する機能	機能仕様書 1 本。設定の単位と、設定変更がアプリ側に反映されるまでの考え方が定義されレビュー承認済み
HB-F-ADM-12	F-ADM-12	権限管理	アプリ内の役割の設定	アプリ移管	業務ルール依存	誰にどの権限を与えるかは業務ごとに違い、基盤が共通の仕様を決められない	—（構成に依存しない）	新規: 機能追加	アプリごとの役割（ロール）を利用者に割り当てる機能	機能仕様書 1 本。役割の値をアプリ側が自由に決められる範囲が定義されレビュー承認済み
HB-F-ADM-13	F-ADM-13	組織・顧客管理	組織情報の編集	基盤	代替手段あり	設定の変更頻度が低く、当面は依頼を受けて基盤側で行える	—（構成に依存しない）	新規: 機能追加	利用者が所属する組織の情報を編集する機能	機能仕様書 1 本。編集できる属性と、アプリ側へ渡る範囲が定義されレビュー承認済み
HB-F-ADM-14	F-ADM-14	組織・顧客管理	顧客の作成	基盤	認証の中核	顧客と接続先を登録できないとサービスを開始できない	—（構成に依存しない）	新規: 機能追加	新しい顧客を作成する機能	機能仕様書 1 本。作成時に必要な情報と、初期状態の設定が定義されレビュー承認済み
HB-F-ADM-15	F-ADM-15	組織・顧客管理	顧客設定の編集	追加移管候補	画面のみ	操作の入口はアプリが作れるが、認証製品を触る API は基盤に残さざるを得ない	—（構成に依存しない）	新規: 機能追加	顧客ごとの設定（ログイン方式の切り替えなど）を編集する機能	機能仕様書 1 本。設定できる項目と、変更が利用者に及ぼす影響が定義されレビュー承認済み
HB-F-ADM-16	F-ADM-16	接続先管理	顧客認証システムの接続登録	基盤	認証の中核	顧客と接続先を登録できないとサービスを開始できない	—（構成に依存しない）	新規: 機能追加	顧客の認証システムを基盤に接続する登録作業を行う機能	機能仕様書 1 本。登録に必要な情報と、接続確認が取れるまでの手順が定義されレビュー承認済み
HB-F-ADM-17	F-ADM-17	接続先管理	接続設定の変更・証明書更新	基盤	認証の中核	顧客と接続先を登録できないとサービスを開始できない	—（構成に依存しない）	新規: 機能追加	接続済みの認証システムの設定変更と、期限が来る証明書の入れ替えを行う機能	機能仕様書 1 本。無停止で入れ替える手順と、期限切れ前の通知が定義されレビュー承認済み
HB-F-ADM-18	F-ADM-18	監査・一括処理	操作記録の照会	追加移管候補	画面のみ	見る画面はアプリでよいが、記録そのものは改ざん防止のため基盤が持つ	記録を 7 年保管（前提・選べない）	新規: 非機能・運用	管理操作やログインの記録を、管理者が検索・閲覧する機能	機能仕様書 1 本。閲覧できる範囲・期間と、他テナントが見えないことの担保が定義されレビュー承認済み
HB-F-ADM-19	F-ADM-19	権限管理	権限の棚卸し	アプリ移管	業務ルール依存	見直しの周期も承認者も業務ごとに違うため、基盤で一律に決められない	—（構成に依存しない）	新規: 機能追加	付与済みの権限が今も妥当かを定期的に確認させる機能	機能仕様書 1 本。見直しの周期・対象・未対応時の扱いが定義されレビュー承認済み
HB-F-ADM-20	F-ADM-20	監査・一括処理	利用者の一括登録	基盤	認証の中核	画面はアプリが作るが、業務ルールの正は基盤が決めるため仕様書は基盤が書く	—（構成に依存しない）	新規: 機能追加	利用者をまとめて登録するためのファイル取り込み機能	機能仕様書 1 本。ファイル形式・件数上限・一部が失敗した場合の扱いが定義されレビュー承認済み
HB-F-ADM-21	F-ADM-21	監査・一括処理	一覧・記録のファイル出力	基盤	認証の中核	画面はアプリが作るが、業務ルールの正は基盤が決めるため仕様書は基盤が書く	—（構成に依存しない）	新規: 機能追加	利用者一覧や操作記録をファイルとして出力する機能	機能仕様書 1 本。出力できる項目・件数上限と、個人情報の取り扱い注意が定義されレビュー承認済み
HB-F-ADM-22	F-ADM-22	監査・一括処理	システム用アカウントの台帳管理	基盤	後から追加可能	必要になってから足せる仕組みで、初期に無くても困らない	—（構成に依存しない）	新規: 機能追加	人ではないシステム用のアカウントを台帳で管理する機能	機能仕様書 1 本。登録必須項目（管理責任者など）と、使われていないものの検出方針が定義されレビュー承認済み
HB-F-AZ-01	F-AZ-01	権限情報の提供	権限情報の一括取得	アプリ移管	業務ルール依存	返す中身が権限データなので、権限をアプリが持てば同時に不要になる	—（構成に依存しない）	新規: 機能追加	アプリが「この利用者は何ができるか」を 1 回の問い合わせで取得できるようにする機能	機能仕様書 1 本。返す情報の構成と、アプリ側で結果を保持してよい時間の考え方が定義されレビュー承認済み
HB-F-AZ-02	F-AZ-02	権限情報の提供	使えるアプリ一覧の取得	アプリ移管	業務ルール依存	返す中身が権限データなので、権限をアプリが持てば同時に不要になる	—（構成に依存しない）	新規: 機能追加	ログイン後の入口画面に表示する「使えるアプリの一覧」を返す機能	機能仕様書 1 本。一覧に出す条件と、権限がないアプリを出さない扱いが定義されレビュー承認済み
HB-F-AZ-03	F-AZ-03	権限判定	アプリ利用可否の判定	アプリ移管	業務ルール依存	判定に使うルールが業務そのもので、基盤には正解が分からない	—（構成に依存しない）	新規: 機能追加	利用者がそのアプリを使ってよいかを判定する処理	機能仕様書 1 本。判定の入力と結果の種類、判定できない場合の扱いが定義されレビュー承認済み
HB-F-AZ-04	F-AZ-04	権限判定	アプリ内の役割の解決	アプリ移管	業務ルール依存	判定に使うルールが業務そのもので、基盤には正解が分からない	—（構成に依存しない）	新規: 機能追加	アプリごとの役割の値を解決して返す処理	機能仕様書 1 本。値の受け渡し方式と、アプリ側の解釈に委ねる範囲が定義されレビュー承認済み
HB-F-AZ-05	F-AZ-05	アクセス制御	テナント越境の防止	基盤	事故防止	他の顧客のデータに手が届くと一度で信用を失うため、基盤で強制するしかない	アカウントを分ける（未判断）	新規: 機能追加	利用者が自分のテナント以外のデータに触れないよう強制する仕組み	機能仕様書 1 本。要求内容よりログイン情報を優先する原則と、違反時の応答が定義されレビュー承認済み
HB-F-AZ-06	F-AZ-06	アクセス制御	管理操作の3段階権限確認	基盤	事故防止	他の顧客のデータに手が届くと一度で信用を失うため、基盤で強制するしかない	—（構成に依存しない）	新規: 機能追加	管理画面の操作について、テナント・役割・対象の 3 つの観点で権限を確認する仕組み	機能仕様書 1 本。3 段階それぞれの確認内容と、いずれか失敗時の応答が定義されレビュー承認済み
HB-F-AZ-07	F-AZ-07	トークン管理	システム間トークンの発行	基盤	事故防止	この資格が漏れると全顧客を操作できてしまうため、発行を基盤が握る必要がある	—（構成に依存しない）	新規: 非機能・運用	アプリやバッチがシステムとして API を呼ぶための資格を発行する機能	機能仕様書 1 本。発行できる権限の種類と、最小限に絞る原則が定義されレビュー承認済み
HB-F-AZ-08	F-AZ-08	トークン管理	トークンの交換	基盤	後から追加可能	必要になってから足せる仕組みで、初期に無くても困らない	—（構成に依存しない）	新規: 機能追加	あるアプリ向けの資格を、別のアプリ向けに交換する機能	機能仕様書 1 本。交換を許す組み合わせと、権限を広げない原則が定義されレビュー承認済み
HB-F-AZ-09	F-AZ-09	認可の記録	権限判定の記録	基盤	後から追加可能	必要になってから足せる仕組みで、初期に無くても困らない	—（構成に依存しない）	新規: 非機能・運用	誰が何を許可・拒否されたかを記録する機能	機能仕様書 1 本。記録する項目と、量を抑えるための記録対象の絞り方が定義されレビュー承認済み
HB-F-INT-01	F-INT-01	業務システム連携（ServiceNow 等へのログイン提供）	業務システムへの認証提供	基盤	後から追加可能	連携先は 1 つで、無くても認証基盤としては成立する	—（構成に依存しない）	新規: 機能追加	業務システムに対して、本基盤が認証の提供元として振る舞う連携機能	機能仕様書 1 本。連携で渡す識別子と、受け側の設定要件が定義されレビュー承認済み
HB-F-INT-02	F-INT-02	業務システム連携（ServiceNow 等へのログイン提供）	業務システム側の利用者自動作成	基盤	後から追加可能	連携先は 1 つで、無くても認証基盤としては成立する	—（構成に依存しない）	新規: 機能追加	業務システム側で、初回ログイン時に利用者を自動作成させる連携	機能仕様書 1 本。突合に使う項目と、既存利用者と重なった場合の扱いが定義されレビュー承認済み
HB-F-INT-03	F-INT-03	業務システム連携（ServiceNow 等へのログイン提供）	業務システムから他アプリへの連携	基盤	後から追加可能	連携先は 1 つで、無くても認証基盤としては成立する	—（構成に依存しない）	新規: 機能追加	業務システムにログインした状態から、他のアプリの API を呼べるようにする連携	機能仕様書 1 本。通行証の受け渡し経路と、対象アプリの条件が定義されレビュー承認済み
HB-F-INT-04	F-INT-04	アプリへの通知	アプリへの変更通知	アプリ移管	代替手段あり	アプリが定期的に問い合わせる方式にすれば、押し込まなくても成立する	—（構成に依存しない）	新規: 機能追加	利用者の変更をアプリ側へ通知する仕組み。届かなかった場合の再送を含む	機能仕様書 1 本。通知の種類・再送回数・受信側の実装要件が定義されレビュー承認済み
