シート	ID	種別	列	旧	新
要件マッピング	FR-AUTH-003	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	FR-AUTH-004	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	FR-AUTH-016	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	FR-FED-001	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	FR-FED-002	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	FR-FED-003	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	FR-FED-004	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	FR-FED-005	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	FR-FED-006	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	FR-FED-008	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	FR-FED-009	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	FR-FED-010	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	FR-FED-011	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	FR-FED-012	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	FR-FED-013	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	FR-FED-015	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	FR-SSO-001	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	FR-SSO-002	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	FR-SSO-004	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	FR-SSO-005	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	FR-SSO-007	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	FR-SSO-008	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	FR-SSO-009	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	FR-AUTHZ-001	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	FR-AUTHZ-002	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	FR-AUTHZ-005	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	FR-AUTHZ-006	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	FR-AUTHZ-008	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	FR-USER-002	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	FR-USER-003	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	FR-USER-006	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	FR-USER-011	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	FR-USER-013	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	FR-ADMIN-002	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	FR-ADMIN-003	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	FR-ADMIN-004	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	FR-ADMIN-007	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	FR-ADMIN-008	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	FR-ADMIN-009	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	FR-ADMIN-012	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	FR-INT-001	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	FR-INT-002	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	FR-INT-003	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	FR-INT-004	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	FR-INT-006	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	FR-INT-008	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	FR-INT-010	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	NFR-AVL-001	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	NFR-AVL-002	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	NFR-AVL-003	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	NFR-AVL-004	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	NFR-AVL-005	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	NFR-AVL-006	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	NFR-PERF-001	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	NFR-PERF-002	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	NFR-PERF-004	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	NFR-PERF-005	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	NFR-PERF-006	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	NFR-PERF-007	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	NFR-PERF-008	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	NFR-SCL-001	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	NFR-SCL-002	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	NFR-SCL-003	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	NFR-SCL-004	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	NFR-SCL-005	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	NFR-SCL-007	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	NFR-SEC-001	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	NFR-SEC-002	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	NFR-SEC-003	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	NFR-SEC-004	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	NFR-SEC-005	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	NFR-SEC-006	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	NFR-SEC-007	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	NFR-SEC-008	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	NFR-SEC-010	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	NFR-SEC-011	変更	担当	他組織	他組織（境界・共通基盤）
要件マッピング	NFR-SEC-012	変更	担当	他組織	他組織（境界・共通基盤）
要件マッピング	NFR-SEC-013	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	NFR-SEC-014	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	NFR-SEC-015	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	NFR-SEC-016	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	NFR-SEC-017	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	NFR-SEC-018	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	NFR-SEC-019	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	NFR-SEC-020	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	NFR-SEC-021	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	NFR-SEC-022	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	NFR-SEC-023	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	NFR-DR-001	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	NFR-DR-002	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	NFR-DR-003	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	NFR-DR-004	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	NFR-DR-005	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	NFR-DR-006	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	NFR-DR-007	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	NFR-OPS-001	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	NFR-OPS-002	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	NFR-OPS-003	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	NFR-OPS-004	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	NFR-OPS-005	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	NFR-OPS-006	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	NFR-OPS-007	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	NFR-OPS-008	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	NFR-OPS-009	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	NFR-OPS-010	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	NFR-OPS-011	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	NFR-OPS-012	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	NFR-OPS-013	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	NFR-COMP-001	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	NFR-COMP-007	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	NFR-COMP-008	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	NFR-COMP-009	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	NFR-COMP-010	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	NFR-COMP-011	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	NFR-COST-001	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	NFR-COST-002	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	NFR-COST-003	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	NFR-COST-004	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	NFR-COST-005	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	NFR-COST-006	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	NFR-COST-007	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	NFR-COST-008	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	NFR-COST-009	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	NFR-MIG-003	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	NFR-MIG-004	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	NFR-MIG-005	変更	担当	インフラ	インフラ（本基盤）
要件マッピング	NFR-MIG-001	変更	担当の理由	2026-08-17 の判断で本基盤の対象外。移行はアプリ側	本基盤は受け入れ口（SCIM 受信・管理 API・JIT）を提供するのみ。旧システムからの吸い上げと Keycloak-IdP への投入はアプリ側
要件マッピング	NFR-MIG-002	変更	担当の理由	同上	パスワードのハッシュを持つのは Keycloak-IdP。Keycloak 非対応のハッシュ方式なら Keycloak-IdP 側の拡張（アプリ責務）
要件マッピング	FR-AUTH-001	分割	要件ID	FR-AUTH-001	FR-AUTH-001-a / FR-AUTH-001-b
要件マッピング	FR-FED-012	分割	要件ID	FR-FED-012	FR-FED-012-a / FR-FED-012-b
要件マッピング	FR-SSO-003	分割	要件ID	FR-SSO-003	FR-SSO-003-a / FR-SSO-003-b
要件マッピング	FR-AUTHZ-007	分割	要件ID	FR-AUTHZ-007	FR-AUTHZ-007-a / FR-AUTHZ-007-b
要件マッピング	FR-INT-007	分割	要件ID	FR-INT-007	FR-INT-007-a / FR-INT-007-b
要件マッピング	NFR-PERF-003	分割	要件ID	NFR-PERF-003	NFR-PERF-003-a / NFR-PERF-003-b
要件マッピング	FR-SSO-010	分割	要件ID	FR-SSO-010	FR-SSO-010-a / FR-SSO-010-b
要件マッピング	FR-USER-001	分割	要件ID	FR-USER-001	FR-USER-001-a / FR-USER-001-b
要件マッピング	FR-AUTHZ-001	分割	要件ID	FR-AUTHZ-001	FR-AUTHZ-001-a / FR-AUTHZ-001-b
要件マッピング	FR-AUTHZ-002	分割	要件ID	FR-AUTHZ-002	FR-AUTHZ-002-a / FR-AUTHZ-002-b
要件マッピング	FR-USER-006	分割	要件ID	FR-USER-006	FR-USER-006-a / FR-USER-006-b
要件マッピング	FR-USER-011	分割	要件ID	FR-USER-011	FR-USER-011-a / FR-USER-011-b
要件マッピング	NFR-COMP-009	分割	要件ID	NFR-COMP-009	NFR-COMP-009-a / NFR-COMP-009-b
要件マッピング	FR-FED-011	分割	要件ID	FR-FED-011	FR-FED-011-a / FR-FED-011-b
要件マッピング	FR-USER-003	分割	要件ID	FR-USER-003	FR-USER-003-a / FR-USER-003-b
要件マッピング	NFR-SEC-011	分割	要件ID	NFR-SEC-011	NFR-SEC-011-a / NFR-SEC-011-b
要件マッピング	NFR-SEC-012	分割	要件ID	NFR-SEC-012	NFR-SEC-012-a / NFR-SEC-012-b
要件マッピング	NFR-SCL-004	分割	要件ID	NFR-SCL-004	NFR-SCL-004-a / NFR-SCL-004-b
要件マッピング	NFR-OPS-011	分割	要件ID	NFR-OPS-011	NFR-OPS-011-a / NFR-OPS-011-b
要件マッピング	FR-ADMIN-007	分割	要件ID	FR-ADMIN-007	FR-ADMIN-007-a / FR-ADMIN-007-b
要件マッピング	NFR-OPS-003	分割	要件ID	NFR-OPS-003	NFR-OPS-003-a / NFR-OPS-003-b
要件マッピング	NFR-OPS-004	分割	要件ID	NFR-OPS-004	NFR-OPS-004-a / NFR-OPS-004-b
要件マッピング	NFR-COMP-007	分割	要件ID	NFR-COMP-007	NFR-COMP-007-a / NFR-COMP-007-b
