WBS ID	機能ID	機能グループ	機能名	最小構成	アプリ移管	判断根拠	根拠の補足	構成前提	Phase 1 スコープ	概要	成果物と完了条件
HJ-10a	F-AUTH-05	フェデレーション	顧客認証システムへのログイン委譲	必須	基盤	認証の中核	顧客の認証システムへ委ねる中核で、これが無いと基盤の存在理由が無い	認証製品を 2 つ持つ	対象	認証製品の設定値を決める（外部連携を受ける側）	設定値一覧。有効期間・回数制限などが数値で定まっている
HJ-10b	F-AUTH-01	ローカル認証	ローカルログイン	必須	基盤	利用者が 1 箇所になり不要	収容側の設定値一覧。受付側（HJ-10a）に統合される	認証製品を 2 つ持つ	対象外（Realm 統合）	認証製品の設定値を決める（利用者を直接収容する側）	設定値一覧。パスワード条件を含め数値で定まっている
HA-01	横断	横断	横断（全機能共通）	必須（縮小）	基盤（縮小）	横断（対象縮小）	方式は 1 機能でも 91 機能でも決める必要があり、対象が減っても消えない	—（構成に依存しない）	対象	設計書全体の入口となる章。目的・扱う範囲・読み方をまとめる	総則の章。範囲外の事項も明示されている
HA-02	横断	横断	横断（全機能共通）	必須（縮小）	基盤（縮小）	横断（対象縮小）	方式は 1 機能でも 91 機能でも決める必要があり、対象が減っても消えない	—（構成に依存しない）	対象	設計の土台となる前提条件を一覧にし、変わった場合にどこへ影響するかを示す	前提一覧。各前提に影響範囲が紐づいている
HA-03	横断	横断	横断（全機能共通）	必須（縮小）	基盤（縮小）	横断（対象縮小）	方式は 1 機能でも 91 機能でも決める必要があり、対象が減っても消えない	—（構成に依存しない）	対象	設計書で使う言葉の意味を統一する	用語集。本文で使う用語が漏れなく定義されている
HA-04	横断	横断	横断（全機能共通）	必須（縮小）	基盤（縮小）	横断（対象縮小）	方式は 1 機能でも 91 機能でも決める必要があり、対象が減っても消えない	—（構成に依存しない）	対象	システム全体の構成を、機能のまとまりで表した図	論理構成図。主要な構成要素と関係が 1 枚で分かる
HA-05	横断	横断	横断（全機能共通）	必須（縮小）	基盤（縮小）	横断（対象縮小）	分離は到達を防ぐものではなく「何が取れるか」を変えるもの。管理用の口はパスワードのハッシュを返さないが、DB を直接読めば全件取れる。ハッシュが持ち出されると元のパスワードが割り出され、利用者が他所で使い回している分まで被害が広がる。分離すれば DB への経路そのものが存在しないため、これを構造的に防げる（2026-09-02 維持を決定）	ネットワークを 2 つに分ける	対象	システム全体の構成を、実際の設備配置で表した図	物理構成図。設備の配置と接続経路が示されている
HA-06	横断	横断	横断（全機能共通）	必須（縮小）	基盤（縮小）	横断（対象縮小）	方式は 1 機能でも 91 機能でも決める必要があり、対象が減っても消えない	—（構成に依存しない）	対象	異常が起きたときの扱い方を全体で統一する方式	方式設計。異常の分類と、それぞれの扱いが定まっている
HA-07	横断	横断	横断（全機能共通）	必須（縮小）	基盤（縮小）	横断（対象縮小）	方式は 1 機能でも 91 機能でも決める必要があり、対象が減っても消えない	—（構成に依存しない）	対象	記録の出し方を全体で統一する方式	方式設計。出力の粒度・形式・保存期間が定まっている
HA-08	横断	横断	横断（全機能共通）	必須（縮小）	基盤（縮小）	横断（対象縮小）	方式は 1 機能でも 91 機能でも決める必要があり、対象が減っても消えない	—（構成に依存しない）	対象	複数の処理をまとめて確定させる／取り消す仕組みの方針	方式設計。まとめる単位と、失敗時の戻し方が定まっている
HA-09	F-ADM-04, F-BAT-*	—	利用者の変更／定期実行処理全般	必須（縮小）	基盤（縮小）	画面のみ	操作の入口はアプリが作れるが、認証製品を触る API は基盤に残さざるを得ない	—（構成に依存しない）	対象	同じデータを同時に触ったときの競合の防ぎ方	方式設計。競合の検出方法と、後勝ち／先勝ちの決めが定まっている
HA-10	横断	横断	横断（全機能共通）	必須（縮小）	基盤（縮小）	横断（対象縮小）	方式は 1 機能でも 91 機能でも決める必要があり、対象が減っても消えない	—（構成に依存しない）	対象	ログイン状態をどう保持するかの全体方針	方式設計。保持する場所と有効期間の考え方が定まっている
HA-11	横断	横断	横断（全機能共通）	必須（縮小）	基盤（縮小）	横断（対象縮小）	方式は 1 機能でも 91 機能でも決める必要があり、対象が減っても消えない	—（構成に依存しない）	対象	文字の扱い・日時の扱い・時差の扱いを統一する方針	方式設計。保存時と表示時の扱いが定まっている
HA-12	横断	横断	横断（全機能共通）	必須（縮小）	基盤（縮小）	横断（対象縮小）	方式は 1 機能でも 91 機能でも決める必要があり、対象が減っても消えない	—（構成に依存しない）	対象	画面や通知を複数の言語で出せるようにするための作り方の方針。初期リリースでどこまで対応するかを含む	方式設計。初期リリースの対応言語と、将来増やす際の作りが定まっている
HA-13	F-AUTH-02	接続先の振り分け	接続先の自動振り分け	別途切り出し	基盤	代替手段あり	顧客ごとに入口の URL を分ければ、判定しなくても正しい接続先に着く	—（構成に依存しない）	対象	よく使うデータを一時的に手元に置く仕組みの方針	方式設計。置く対象・保持時間・古くなった際の捨て方が定まっている
HA-14	F-PROV-16	権限管理側への引き渡し（識別子の紐付け・参照用データの更新）	顧客番号と基盤識別子の対応づけ	必須	アプリ移管	業務データ	対応づけの中身は顧客の社員番号体系そのもので、業務データにあたる	—（構成に依存しない）	対象	各種の識別番号を誰がどう採番するかの方針	方式設計。重複しない仕組みと、採番の責任者が定まっている
HA-15	横断	横断	横断（全機能共通）	必須（縮小）	基盤（縮小）	横断（対象縮小）	方式は 1 機能でも 91 機能でも決める必要があり、対象が減っても消えない	—（構成に依存しない）	対象	接続仕様を変えるときの版の付け方と、古い版をいつまで残すかの方針	方式設計。事前通知期間と移行猶予が定まっている
HA-16	横断	横断	横断（全機能共通）	必須（縮小）	基盤（縮小）	横断（対象縮小）	方式は 1 機能でも 91 機能でも決める必要があり、対象が減っても消えない	—（構成に依存しない）	対象	設備・接続先・データの名前の付け方の決まり	命名規約。名前から用途と所属が分かる形になっている
HA-17	横断	横断	横断（全機能共通）	必須（縮小）	基盤（縮小）	横断（対象縮小）	方式は 1 機能でも 91 機能でも決める必要があり、対象が減っても消えない	—（構成に依存しない）	対象	設備を設定ファイルで管理する際の書き方の決まり	規約。書き方の統一と、レビュー観点が定まっている
HA-18	横断	横断	横断（全機能共通）	必須（縮小）	基盤（縮小）	横断（対象縮小）	方式は 1 機能でも 91 機能でも決める必要があり、対象が減っても消えない	—（構成に依存しない）	対象	接続仕様（API）を設計するときに全体で守る決まり。名前の付け方・エラーの返し方・件数の区切り方など	規約。作り方の統一と、守るべき最低条件が定まっている
HA-19	横断	横断	横断（全機能共通）	必須（縮小）	基盤（縮小）	横断（対象縮小）	方式は 1 機能でも 91 機能でも決める必要があり、対象が減っても消えない	—（構成に依存しない）	対象	画面を設計するときに全体で守る決まり。共通部品の使い方・入力チェックの書き方・権限による出し分けの表現など	規約。共通部品の使い方と守るべき条件が定まっている
HA-20	横断	横断	横断（全機能共通）	必須（縮小）	基盤（縮小）	横断（対象縮小）	方式は 1 機能でも 91 機能でも決める必要があり、対象が減っても消えない	規模（利用者 1000 万・接続先 1000 超）	対象	性能や可用性などの目標値が、設計のどこで実現されるかを対応づけた表	対応表。すべての目標値に実現手段が紐づいている
HA-21	横断	横断	横断（全機能共通）	必須（縮小）	基盤（縮小）	横断（対象縮小）	方式は 1 機能でも 91 機能でも決める必要があり、対象が減っても消えない	規模（利用者 1000 万・接続先 1000 超）	対象	性能の目標値と、それを達成するための考え方をまとめた設計書	性能設計書。目標値・処理方式・調整の余地が示されている
HA-22	横断	横断	横断（全機能共通）	必須（縮小）	基盤（縮小）	横断（対象縮小）	方式は 1 機能でも 91 機能でも決める必要があり、対象が減っても消えない	規模（利用者 1000 万・接続先 1000 超）	対象	保管するデータがどれくらいの量になり、5 年後どこまで増えるかの見積もり	見積書。表ごとの件数と増加率、必要な容量が数値で示されている
HA-23	横断	横断	横断（全機能共通）	必須（縮小）	基盤（縮小）	横断（対象縮小）	方式は 1 機能でも 91 機能でも決める必要があり、対象が減っても消えない	—（構成に依存しない）	対象	対応するブラウザや端末の範囲を決める	方針書。対応範囲と、対象外の環境での挙動が定まっている
HA-24	横断	横断	横断（全機能共通）	必須（縮小）	基盤（縮小）	横断（対象縮小）	方式は 1 機能でも 91 機能でも決める必要があり、対象が減っても消えない	—（構成に依存しない）	対象	要件・機能・設計・試験の対応関係を一覧にした表	対応表。要件から試験まで追跡でき、抜けが検出できる
HA-25	横断	横断	横断（全機能共通）	必須（縮小）	基盤（縮小）	横断（対象縮小）	方式は 1 機能でも 91 機能でも決める必要があり、対象が減っても消えない	—（構成に依存しない）	対象	上記の対応表を、変更が入っても維持し続けるための運用ルール	運用ルール。更新の責任者とタイミングが定まっている
HA-26	F-BAT-04	鍵・証明書の維持	署名鍵の定期入れ替え	必須	基盤	事故防止	入れ替えを止めると、漏れた鍵がいつまでも有効なままになる	—（構成に依存しない）	対象	暗号化に使う鍵を、種類ごとにどう管理するかの設計	鍵管理設計書。鍵の種類・保管場所・入れ替え周期が定まっている
HA-27	F-ADM-22	監査・一括処理	システム用アカウントの台帳管理	別途切り出し	基盤	後から追加可能	必要になってから足せる仕組みで、初期に無くても困らない	—（構成に依存しない）	対象	人ではないシステム用アカウントを台帳で管理する設計	台帳設計。登録必須項目と、放置されたものの検出方法が定まっている
HC-01	横断	横断	横断（全機能共通）	必須	基盤	画面のみ	対象の画面が減るぶん縮むが、画面設計という作業自体は残る	—（構成に依存しない）	対象	システム全体でどんな画面があるかを一覧にし、番号を付ける	画面一覧。約 32 画面に番号が付き、重複や抜けがない
HC-02	横断	横断	横断（全機能共通）	必須	基盤	画面のみ	対象の画面が減るぶん縮むが、画面設計という作業自体は残る	—（構成に依存しない）	対象	利用者が使う画面の遷移関係を図にする	遷移図。ログインから各機能までの経路が追える
HC-03a	横断	横断	横断（全機能共通）	必須（縮小）	基盤（縮小）	画面のみ	対象の画面が減るぶん縮むが、遷移の整理自体は残る	—（構成に依存しない）	対象	こちらが作る管理画面（接続先・顧客の管理）の遷移関係を図にする	遷移図 1 枚。こちらが作る画面の行き来が示されている
HC-03b	F-ADM-01	利用者管理	利用者の検索・一覧	必須	アプリ移管	画面のみ	画面そのものなので、作る主体がアプリなら成果物ごとアプリ側へ移る	—（構成に依存しない）	対象	アプリ側が作る管理画面の遷移関係を、参考として整理する	遷移図 1 枚。アプリに渡す前提の参考資料として整理されている
HC-04a	F-AUTH-02	接続先の振り分け	接続先の自動振り分け	必須	基盤	製品機能	ログイン画面は認証製品のテーマ機能で作るため、切り離せない	—（構成に依存しない）	対象	識別子を入力する画面の仕様（項目・操作・失敗時の見せ方）	画面仕様書 1 本。表示項目と操作、エラー時の見せ方が定義されレビュー承認済み
HC-04b	F-AUTH-01	ローカル認証	ローカルログイン	必須	基盤	製品機能	ログイン画面は認証製品のテーマ機能で作るため、切り離せない	—（構成に依存しない）	対象	パスワードを入力する画面の仕様（項目・操作・失敗時の見せ方）	画面仕様書 1 本。表示項目と操作、エラー時の見せ方が定義されレビュー承認済み
HC-04c	F-AUTH-04	接続先の振り分け	接続先の選択画面	必須	基盤	製品機能	ログイン画面は認証製品のテーマ機能で作るため、切り離せない	—（構成に依存しない）	対象	接続先を選ぶ画面の仕様（項目・操作・失敗時の見せ方）	画面仕様書 1 本。表示項目と操作、エラー時の見せ方が定義されレビュー承認済み
HC-04d	F-AUTH-10	多要素認証	追加認証（数字コード）	必須	基盤	製品機能	ログイン画面は認証製品のテーマ機能で作るため、切り離せない	—（構成に依存しない）	対象	数字コードを入力する画面の仕様（項目・操作・失敗時の見せ方）	画面仕様書 1 本。表示項目と操作、エラー時の見せ方が定義されレビュー承認済み
HC-04e	F-AUTH-11	多要素認証	追加認証（生体・セキュリティキー）	必須	基盤	製品機能	ログイン画面は認証製品のテーマ機能で作るため、切り離せない	—（構成に依存しない）	対象	生体・キーで確認する画面の仕様（項目・操作・失敗時の見せ方）	画面仕様書 1 本。表示項目と操作、エラー時の見せ方が定義されレビュー承認済み
HC-04f	F-AUTH-12	多要素認証	追加認証の登録（数字コード）	必須	基盤	製品機能	ログイン画面は認証製品のテーマ機能で作るため、切り離せない	—（構成に依存しない）	対象	追加認証を登録する画面の仕様（項目・操作・失敗時の見せ方）	画面仕様書 1 本。表示項目と操作、エラー時の見せ方が定義されレビュー承認済み
HC-04g	F-AUTH-15	アカウント復旧・パスワード	復旧用コードの発行・利用	必須	基盤	製品機能	ログイン画面は認証製品のテーマ機能で作るため、切り離せない	—（構成に依存しない）	対象	復旧用コードを表示・入力する画面の仕様（項目・操作・失敗時の見せ方）	画面仕様書 1 本。表示項目と操作、エラー時の見せ方が定義されレビュー承認済み
HC-04h	F-AUTH-19	アカウント復旧・パスワード	パスワード変更・初回強制変更	必須	基盤	製品機能	ログイン画面は認証製品のテーマ機能で作るため、切り離せない	—（構成に依存しない）	対象	パスワードを変更する画面の仕様（項目・操作・失敗時の見せ方）	画面仕様書 1 本。表示項目と操作、エラー時の見せ方が定義されレビュー承認済み
HC-04i	F-AUTH-18	アカウント復旧・パスワード	パスワードの自己再設定	必須	基盤	製品機能	ログイン画面は認証製品のテーマ機能で作るため、切り離せない	—（構成に依存しない）	対象	パスワード再設定を依頼・実行する画面の仕様（項目・操作・失敗時の見せ方）	画面仕様書 1 本。表示項目と操作、エラー時の見せ方が定義されレビュー承認済み
HC-04j	横断	横断（全機能共通）	横断（全機能共通）	必須	基盤	製品機能	ログイン画面は認証製品のテーマ機能で作るため、切り離せない	—（構成に依存しない）	対象	エラー・お知らせを表示する画面の仕様（項目・操作・失敗時の見せ方）	画面仕様書 1 本。表示項目と操作、エラー時の見せ方が定義されレビュー承認済み
HC-04k	横断	横断（全機能共通）	横断（全機能共通）	必須	基盤	製品機能	ログイン画面は認証製品のテーマ機能で作るため、切り離せない	—（構成に依存しない）	対象	ログイン後に最初に表示する画面の仕様（項目・操作・失敗時の見せ方）	画面仕様書 1 本。表示項目と操作、エラー時の見せ方が定義されレビュー承認済み
HC-04l	横断	横断（同意管理）	横断（同意管理）	必須	基盤	製品機能	ログイン画面は認証製品のテーマ機能で作るため、切り離せない	—（構成に依存しない）	対象	同意・情報提供を確認する画面の仕様（項目・操作・失敗時の見せ方）	画面仕様書 1 本。表示項目と操作、エラー時の見せ方が定義されレビュー承認済み
HC-05a	F-ADM-16	接続先管理	顧客認証システムの接続登録	必須	基盤	認証の中核	顧客と接続先を登録できないとサービスを開始できない	—（構成に依存しない）	対象	接続先と顧客を管理する 6 画面それぞれの仕様（こちらが作る）	画面仕様書 6 本。項目・操作・エラー時の見せ方が定義されレビュー承認済み
HC-05b	F-ADM-01, F-ADM-03	利用者管理	利用者の検索・一覧／利用者の登録	必須	アプリ移管	業務ルール依存	画面そのものなので、作る主体がアプリなら成果物ごとアプリ側へ移る	—（構成に依存しない）	対象	利用者を扱う 8 画面それぞれの仕様（アプリが作る想定）	画面仕様書 8 本、または API 提供のみとする判断記録
HC-05c	F-ADM-11, F-ADM-12	権限管理	使えるアプリの設定／アプリ内の役割の設定	アプリ分担	アプリ移管	業務ルール依存	誰にどの権限を与えるかは業務ごとに違い、基盤が共通の仕様を決められない	—（構成に依存しない）	対象	権限を扱う 4 画面それぞれの仕様（アプリが作る）	アプリ側で作る旨の判断記録と、必要な API の提示
HC-05d	F-ADM-18	監査・一括処理	操作記録の照会	必須	アプリ移管	画面のみ	画面そのものなので、作る主体がアプリなら成果物ごとアプリ側へ移る	—（構成に依存しない）	対象	記録を照会する 2 画面の仕様（アプリが作る想定）	画面仕様書 2 本、または API 提供のみとする判断記録
HC-06	横断	横断	横断（全機能共通）	必須	基盤	画面のみ	対象の画面が減るぶん縮むが、画面設計という作業自体は残る	—（構成に依存しない）	対象	全画面で共通に使うレイアウトと部品を決める	共通設計。部品の一覧と使い方が定まっている
HC-07	横断	横断	横断（全機能共通）	必須	基盤	画面のみ	対象の画面が減るぶん縮むが、画面設計という作業自体は残る	—（構成に依存しない）	対象	身体的な制約がある人でも使えるようにするための設計基準	設計基準。守るべき項目と確認方法が定まっている
HC-08	横断	横断	横断（全機能共通）	必須	基盤	画面のみ	対象の画面が減るぶん縮むが、画面設計という作業自体は残る	—（構成に依存しない）	対象	画面に表示する案内文・警告文を一覧にする	メッセージ一覧。文言が統一され、画面仕様から参照できる
HE-22	横断	横断	横断（全機能共通）	必須	基盤	画面のみ	対象の画面が減るぶん縮むが、画面設計という作業自体は残る	—（構成に依存しない）	対象	接続仕様が返すエラーの種類と番号の体系（アプリが判定に使う）	エラーコード体系。番号の付け方と、意味の一覧が定まっている
HC-10	横断	横断	横断（全機能共通）	必須	基盤	画面のみ	対象の画面が減るぶん縮むが、画面設計という作業自体は残る	—（構成に依存しない）	対象	記録に出力するメッセージの一覧	メッセージ一覧。調査時に検索できる形になっている
HC-11	F-ADM-08, F-AUTH-18, F-INT-07	利用者支援操作／アカウント復旧・パスワード／アプリへの通知	利用者の招待／パスワードの自己再設定／通知メールの送信	必須	基盤	画面のみ	操作の入口はアプリが作れるが、認証製品を触る API は基盤に残さざるを得ない	—（構成に依存しない）	対象	送信するメールの種類ごとの文面のひな形	テンプレート一覧。種類ごとの文面と差し込み項目が定まっている
HE-01	横断	横断	横断（全機能共通）	必須	基盤	認証の中核	つなぎ目の定義はアプリに渡すほど厳密さが要求され、むしろ重くなる	—（構成に依存しない）	対象	システム内部で即時に呼び合う接続の一覧	接続一覧。呼び出し元・先・目的が整理されている
HE-02	横断	横断	横断（全機能共通）	必須	基盤	認証の中核	つなぎ目の定義はアプリに渡すほど厳密さが要求され、むしろ重くなる	—（構成に依存しない）	対象	システム内部で時間差を許して伝える接続の一覧	接続一覧。伝達経路と遅れの許容範囲が整理されている
HE-03	横断	横断	横断（全機能共通）	必須	基盤	認証の中核	つなぎ目の定義はアプリに渡すほど厳密さが要求され、むしろ重くなる	—（構成に依存しない）	対象	外部システムとの接続の一覧	接続一覧。相手先・方式・データの向きが整理されている
HE-04a	F-ADM-03	利用者管理	利用者の登録	必須	基盤	認証の中核	操作の入口はアプリが作れるが、認証製品を触る API は基盤に残さざるを得ないため、入口の仕様は基盤が定義する	—（構成に依存しない）	対象	利用者を 1 件登録する入口の仕様（受け取る項目・返す内容・失敗時の応答）	仕様 1 本。必須項目と、重複時・権限不足時の応答が定義されている
HE-04b	F-ADM-01	利用者管理	利用者の検索・一覧	必須	基盤	認証の中核	操作の入口はアプリが作れるが、認証製品を触る API は基盤に残さざるを得ないため、入口の仕様は基盤が定義する	—（構成に依存しない）	対象	利用者を条件で探す入口の仕様（絞り込み条件・並び順・分割取得）	仕様 1 本。指定できる条件と 1 回に返す最大件数が定義されている
