親 ID	WBS ID	項目	作業種別	機能ID	機能グループ	機能名	担当（案②: 一部移管）	担当（案③: アプリ構築）	判断根拠	根拠の補足	スコープ	当初想定	概要	成果物と完了条件	状態	人日
HC-05a	HC-05a-6	画面（管理画面）：顧客追加の承認	設計書の執筆	F-ADM-16	接続先管理	顧客認証システムの接続登録	基盤チーム	アプリチーム	認証の中核	顧客と接続先を登録できないとサービスを開始できない	対象	新規: 機能追加	接続先と顧客を管理する 6 画面それぞれの仕様（こちらが作る）	画面仕様書 6 本。項目・操作・エラー時の見せ方が定義されレビュー承認済み	未着手	0.5
HC-05b	HC-05b-1	画面（管理画面）：利用者一覧・検索	設計書の執筆	F-ADM-01, F-ADM-03	利用者管理	利用者の検索・一覧／利用者の登録	アプリチーム	アプリチーム	業務ルール依存	画面そのものなので、作る主体がアプリなら成果物ごとアプリ側へ移る	対象	当初あり	利用者を扱う 8 画面それぞれの仕様（アプリが作る想定）	画面仕様書 8 本、または API 提供のみとする判断記録	未着手	0.5
HC-05b	HC-05b-2	画面（管理画面）：利用者詳細	設計書の執筆	F-ADM-01, F-ADM-03	利用者管理	利用者の検索・一覧／利用者の登録	アプリチーム	アプリチーム	業務ルール依存	画面そのものなので、作る主体がアプリなら成果物ごとアプリ側へ移る	対象	当初あり	利用者を扱う 8 画面それぞれの仕様（アプリが作る想定）	画面仕様書 8 本、または API 提供のみとする判断記録	未着手	0.5
HC-05b	HC-05b-3	画面（管理画面）：利用者の登録	設計書の執筆	F-ADM-01, F-ADM-03	利用者管理	利用者の検索・一覧／利用者の登録	アプリチーム	アプリチーム	業務ルール依存	画面そのものなので、作る主体がアプリなら成果物ごとアプリ側へ移る	対象	当初あり	利用者を扱う 8 画面それぞれの仕様（アプリが作る想定）	画面仕様書 8 本、または API 提供のみとする判断記録	未着手	0.5
HC-05b	HC-05b-4	画面（管理画面）：利用者の変更	設計書の執筆	F-ADM-01, F-ADM-03	利用者管理	利用者の検索・一覧／利用者の登録	アプリチーム	アプリチーム	業務ルール依存	画面そのものなので、作る主体がアプリなら成果物ごとアプリ側へ移る	対象	当初あり	利用者を扱う 8 画面それぞれの仕様（アプリが作る想定）	画面仕様書 8 本、または API 提供のみとする判断記録	未着手	0.5
HC-05b	HC-05b-5	画面（管理画面）：利用者の停止・再開	設計書の執筆	F-ADM-01, F-ADM-03	利用者管理	利用者の検索・一覧／利用者の登録	アプリチーム	アプリチーム	業務ルール依存	画面そのものなので、作る主体がアプリなら成果物ごとアプリ側へ移る	対象	当初あり	利用者を扱う 8 画面それぞれの仕様（アプリが作る想定）	画面仕様書 8 本、または API 提供のみとする判断記録	未着手	0.5
HC-05b	HC-05b-6	画面（管理画面）：パスワード初期化・追加認証の解除	設計書の執筆	F-ADM-01, F-ADM-03	利用者管理	利用者の検索・一覧／利用者の登録	アプリチーム	アプリチーム	業務ルール依存	画面そのものなので、作る主体がアプリなら成果物ごとアプリ側へ移る	対象	当初あり	利用者を扱う 8 画面それぞれの仕様（アプリが作る想定）	画面仕様書 8 本、または API 提供のみとする判断記録	未着手	0.5
HC-05b	HC-05b-7	画面（管理画面）：利用者の招待	設計書の執筆	F-ADM-01, F-ADM-03	利用者管理	利用者の検索・一覧／利用者の登録	アプリチーム	アプリチーム	業務ルール依存	画面そのものなので、作る主体がアプリなら成果物ごとアプリ側へ移る	対象	当初あり	利用者を扱う 8 画面それぞれの仕様（アプリが作る想定）	画面仕様書 8 本、または API 提供のみとする判断記録	未着手	0.5
HC-05b	HC-05b-8	画面（管理画面）：一括登録・ファイル出力	設計書の執筆	F-ADM-01, F-ADM-03	利用者管理	利用者の検索・一覧／利用者の登録	アプリチーム	アプリチーム	業務ルール依存	画面そのものなので、作る主体がアプリなら成果物ごとアプリ側へ移る	対象	当初あり	利用者を扱う 8 画面それぞれの仕様（アプリが作る想定）	画面仕様書 8 本、または API 提供のみとする判断記録	未着手	0.5
HC-05c	HC-05c-1	画面（管理画面）：使えるアプリの割当	設計書の執筆	F-ADM-11, F-ADM-12	権限管理	使えるアプリの設定／アプリ内の役割の設定	アプリチーム	アプリチーム	業務ルール依存	誰にどの権限を与えるかは業務ごとに違い、基盤が共通の仕様を決められない	対象	新規: 機能追加	権限を扱う 4 画面それぞれの仕様（アプリが作る）	アプリ側で作る旨の判断記録と、必要な API の提示	未着手	0.5
HC-05c	HC-05c-2	画面（管理画面）：アプリ内の役割の割当	設計書の執筆	F-ADM-11, F-ADM-12	権限管理	使えるアプリの設定／アプリ内の役割の設定	アプリチーム	アプリチーム	業務ルール依存	誰にどの権限を与えるかは業務ごとに違い、基盤が共通の仕様を決められない	対象	新規: 機能追加	権限を扱う 4 画面それぞれの仕様（アプリが作る）	アプリ側で作る旨の判断記録と、必要な API の提示	未着手	0.5
HC-05c	HC-05c-3	画面（管理画面）：組織属性の設定	設計書の執筆	F-ADM-11, F-ADM-12	権限管理	使えるアプリの設定／アプリ内の役割の設定	アプリチーム	アプリチーム	業務ルール依存	誰にどの権限を与えるかは業務ごとに違い、基盤が共通の仕様を決められない	対象	新規: 機能追加	権限を扱う 4 画面それぞれの仕様（アプリが作る）	アプリ側で作る旨の判断記録と、必要な API の提示	未着手	0.5
HC-05c	HC-05c-4	画面（管理画面）：権限のひな形・棚卸し	設計書の執筆	F-ADM-11, F-ADM-12	権限管理	使えるアプリの設定／アプリ内の役割の設定	アプリチーム	アプリチーム	業務ルール依存	誰にどの権限を与えるかは業務ごとに違い、基盤が共通の仕様を決められない	対象	新規: 機能追加	権限を扱う 4 画面それぞれの仕様（アプリが作る）	アプリ側で作る旨の判断記録と、必要な API の提示	未着手	0.5
HC-05d	HC-05d-1	画面（管理画面）：操作記録の照会	設計書の執筆	F-ADM-18	監査・一括処理	操作記録の照会	アプリチーム	アプリチーム	画面のみ	画面そのものなので、作る主体がアプリなら成果物ごとアプリ側へ移る	対象	新規: 非機能・運用	記録を照会する 2 画面の仕様（アプリが作る想定）	画面仕様書 2 本、または API 提供のみとする判断記録	未着手	0.5
HC-05d	HC-05d-2	画面（管理画面）：権限判定の記録の照会	設計書の執筆	F-ADM-18	監査・一括処理	操作記録の照会	アプリチーム	アプリチーム	画面のみ	画面そのものなので、作る主体がアプリなら成果物ごとアプリ側へ移る	対象	新規: 非機能・運用	記録を照会する 2 画面の仕様（アプリが作る想定）	画面仕様書 2 本、または API 提供のみとする判断記録	未着手	0.5
HB-F-AZ-05	HB-F-AZ-05a	機能仕様書: テナント越境の防止（認証製品側：他テナントの IdP で入れない）	設計書の執筆	F-AZ-05	アクセス制御	テナント越境の防止	基盤チーム	アプリチーム	事故防止	他の顧客のデータに手が届くと一度で信用を失うため、基盤で強制するしかない	対象	新規: 機能追加	利用者が自分のテナント以外のデータに触れないよう強制する仕組み	機能仕様書 1 本。要求内容よりログイン情報を優先する原則と、違反時の応答が定義されレビュー承認済み	未着手	0.25
HB-F-AZ-05	HB-F-AZ-05b	機能仕様書: テナント越境の防止（権限データ側：他テナントのデータに触れない）	設計書の執筆	F-AZ-05	アクセス制御	テナント越境の防止	アプリチーム	アプリチーム	事故防止	他の顧客のデータに手が届くと一度で信用を失うため、基盤で強制するしかない	対象	新規: 機能追加	利用者が自分のテナント以外のデータに触れないよう強制する仕組み	機能仕様書 1 本。要求内容よりログイン情報を優先する原則と、違反時の応答が定義されレビュー承認済み	未着手	0.5
HE-22	HE-22a	API エラーコード体系（認証製品の標準エラー）	設計書の執筆	横断	横断	横断（全機能共通）	基盤チーム	基盤チーム	画面のみ	対象の画面が減るぶん縮むが、画面設計という作業自体は残る	対象	新規: 機能追加	接続仕様が返すエラーの種類と番号の体系（アプリが判定に使う）	エラーコード体系。番号の付け方と、意味の一覧が定まっている	未着手	1
HE-22	HE-22b	API エラーコード体系（管理 API）	設計書の執筆	横断	横断	横断（全機能共通）	アプリチーム	アプリチーム	画面のみ	対象の画面が減るぶん縮むが、画面設計という作業自体は残る	対象	新規: 機能追加	接続仕様が返すエラーの種類と番号の体系（アプリが判定に使う）	エラーコード体系。番号の付け方と、意味の一覧が定まっている	未着手	2
HE-18	HE-18a	外部 IF 漏えいパスワード検知（HIBP）	設計書の執筆	F-INT-07, F-AUTH-22	アプリへの通知／不正アクセス対策	通知メールの送信／流出パスワードの使用拒否	基盤チーム	基盤チーム	製品機能	パスワード再設定などの定型メールは認証製品が送るため、基盤側に残る	対象	新規: 規模	外部サービス（メール送信・流出確認）との接続仕様	仕様書。呼び出し条件と失敗時の扱いが定まっている	要件確認	1
HE-18	HE-18b	外部 IF メール送信（SES）	設計書の執筆	F-INT-07, F-AUTH-22	アプリへの通知／不正アクセス対策	通知メールの送信／流出パスワードの使用拒否	基盤チーム	基盤チーム	製品機能	パスワード再設定などの定型メールは認証製品が送るため、基盤側に残る	対象	新規: 規模	外部サービス（メール送信・流出確認）との接続仕様	仕様書。呼び出し条件と失敗時の扱いが定まっている	要件確認	1
