根拠の補足	対象 WBS ID（カンマ区切り）
手順書が無いと運用が回らず、作っただけで終わる	G-1.2,G-1.4,G-1.6,G-1.7,G-1.8,G-1.9,G-1.10,G-1.11,G-3,G-4.1
必要になってから足せる仕組みで、初期に無くても困らない	D-7a,HA-27,HG-06,HB-F-AUTH-14,HB-F-ADM-22,HB-F-AZ-08,HB-F-AZ-09,HB-F-BAT-06,HB-F-BAT-09,GD-34
認証製品の機能として提供されるため、切り離して他所に持たせられない	D-17.1,D-17.3,D-17.4,D-17.5,HB-F-AUTH-10,HB-F-AUTH-11,HB-F-AUTH-12,HB-F-AUTH-13,HB-F-AUTH-15,HB-F-AUTH-19
構成が成立するかの確認で、機能を減らしても確かめる必要は残る	A-1.7,A-2.1,A-2.3,A-2.4,A-16,A-18,A-7,A-15,A-4
止め忘れが退職者の不正アクセスに直結するため、基盤側で確実に止める必要がある	A-3.3,D-8c,HD-24,HF-03,HK-07,HB-F-PROV-10,HB-F-PROV-11,HB-F-BAT-01,HB-18
環境や製品設定は、機能を減らしても同じだけ必要になる	E-1.1,E-1.2,E-1.3,E-2,E-3,E-4,E-5,E-6
顧客ごとに入口の URL を分ければ、判定しなくても正しい接続先に着く	A-2.2,A-11,D-14,HJ-03,HJ-16,HB-F-AUTH-02,HB-F-AUTH-03,HB-F-AUTH-04
初回ログイン時の自動登録だけで運用でき、一括受信は後から足せる	A-3.1,A-3.2,HE-10,HB-F-PROV-03,HB-F-PROV-04,HB-F-PROV-05,HB-F-PROV-06,HB-F-PROV-07
連携先は 1 つで、無くても認証基盤としては成立する	D-16.1,D-16.2,D-16.3,HE-16,HB-F-INT-01,HB-F-INT-02,HB-F-INT-03,GD-13
他の顧客のデータに手が届くと一度で信用を失うため、基盤で強制するしかない	HD-20,HG-01,HG-02,HG-03,HB-F-AZ-05,HB-F-AZ-06,HB-19,GD-19
ネットワークや入口の要求は、機能の数と無関係に発生する	B-1.1,B-1.2,B-1.3,B-2.1,B-2.2,B-4.1,B-4.2
対象の画面が減るぶん縮むが、画面設計という作業自体は残る	HC-01,HC-02,HC-06,HC-07,HC-08,HE-22,HC-10
つなぎ目の定義はアプリに渡すほど厳密さが要求され、むしろ重くなる	HE-01,HE-02,HE-03,HE-07,HE-08,HE-09,HE-20
見る画面はアプリでよいが、記録そのものは改ざん防止のため基盤が持つ	E-7,D-9.2,HG-04,HG-05,HK-06,HB-F-ADM-18
件数が少ない前提なら管理者が代行でき、自己解決の仕組みは後回しにできる	A-13,D-2,HB-F-AUTH-16,HB-F-AUTH-17,HB-F-AUTH-18,GD-25
対象が減るぶん縮むが、突き合わせと合意の場は必ず要る	HI-01,HI-02,HI-03,HI-04,HI-05,HI-06
委譲した相手から来た人を受け入れる入口で、フェデレーションと不可分	HJ-04,HJ-08,HB-F-AUTH-07,HB-F-AUTH-08,HB-F-PROV-01,HB-F-PROV-02
認証製品をどう組むかは、利用者管理を誰が作るかとは無関係に決まる	HJ-06,HJ-07,HJ-09,HJ-17,HJ-18,HJ-19
分離は到達を防ぐものではなく「何が取れるか」を変えるもの。管理用の口はパスワードのハッシュを返さないが、DB を直接読めば全件取れる。ハッシュが持ち出されると元のパスワードが割り出され、利用者が他所で使い回している分まで被害が広がる。分離すれば DB への経路そのものが存在しないため、これを構造的に防げる（2026-09-02 維持を決定）	B-3,G-4.2,A-17,HA-05,HJ-12
通常のシステム監視と手動更新で代替でき、無くても認証は止まらない	B-5,D-12,HB-F-INT-09,HB-F-INT-10,HB-F-INT-11
入れ替えを止めると、漏れた鍵がいつまでも有効なままになる	G-1.5,HA-26,HE-19a,HB-F-BAT-04,HB-F-BAT-05
顧客ごとにバラバラな項目名を揃えないと、複数の顧客を同時に扱えない	D-8b,HD-05,HD-18,HJ-15,HB-F-PROV-08
定期処理を止めると気付かないうちに不整合が溜まる	HF-01,HF-02,HF-05,HF-06,HF-07
顧客への約束は機能の数では変わらない	HK-01,HK-02,HK-04,HK-09,HK-03
総当たりと利用者名の割り出しは、基盤側で塞がないとアプリでは防げない	E-8,D-13,HB-F-AUTH-20,HB-F-AUTH-21
法令対応と契約は、機能の数では変わらない	F-1,F-2,F-3,F-4
どの経路で入った人かで扱いを変えるため、これが無いと後続が全て破綻する	D-8a,D-17.2,HD-21,HB-F-PROV-09
どのデータをどこに置くかの整理は、ストアが減っても必要	HD-01,HD-02,HD-17,HD-22
対応づけの中身は顧客の社員番号体系そのもので、業務データにあたる	HD-09,HD-19,HE-06f,HB-F-PROV-16
画面そのものなので、作る主体がアプリなら成果物ごとアプリ側へ移る	HC-03b,HC-05b,HC-05d,HB-20
運用の手順が無いと、作っても回せない	HH-01,HH-02,HH-03,HH-05
検知が無くても認証は動く。まず動かしてから精度を上げる順序にできる	A-14,HB-F-INT-12,GD-36
この資格が漏れると全顧客を操作できてしまうため、発行を基盤が握る必要がある	D-5,HB-F-AZ-07,GD-12
パスワード再設定などの定型メールは認証製品が送るため、基盤側に残る	D-6,HE-18,HB-F-INT-07
操作の入口はアプリが作れるが、認証製品を触る API は基盤に残さざるを得ない	HA-09,HC-11,HB-F-ADM-15
アプリが定期的に問い合わせる方式にすれば、押し込まなくても成立する	HE-13,HB-F-INT-04,GD-35
返す中身が権限データなので、権限をアプリが持てば同時に不要になる	HB-F-AZ-01,HB-F-AZ-02,GD-20
記録する側と操作する側を分けないと、記録の意味が無くなる	HD-14,HE-06h
切れると全顧客のログインが黙って止まるため、期限の監視は外せない	HE-19d,HB-F-BAT-07
権限を基盤が持たなくなるため、その受け皿を作る処理ごと不要になる	HB-F-PROV-15,HB-F-PROV-17
見直しの周期も承認者も業務ごとに違うため、基盤で一律に決められない	HB-F-ADM-19,HB-F-BAT-08
判定に使うルールが業務そのもので、基盤には正解が分からない	HB-F-AZ-03,HB-F-AZ-04
1 つにまとめると処理の重さが違うものが同居する。パスワードの計算が集中したときに、顧客の認証システム経由のログインまで遅くならないかを先に確かめる必要がある	A-19
ネットワークを分ける根拠が「管理用の口はパスワードのハッシュを返さない」という前提に立っている。前提が崩れると分離の意味づけが変わるため、実機で確かめる	A-20
顧客希望は「1 日で復旧」で、対象外はその正反対。差は「復旧が遅い」ではなく「復旧するかしないか」なので、書面で合意しないと後で紛争になる	D-18.5
ネットワークの区画は作成後に変更できない。今예約しておかないと、将来やりたくなったときに全体の作り直しになる	D-21
検知した後に誰が何をするかが決まっていないと、検知しても止められない	G-1.3
検知の仕組みが使う資格の権限範囲。検知を Phase 1 に戻したため必要になる	D-9.3b
認証製品が持つ構造なので、我々は使う範囲を決めるだけでよい	HD-03
収容側の製品スキーマの利用範囲整理。認証製品が 1 つになるため受付側（HD-03）に統合される	HD-04
権限の構造は業務ごとに違い、アプリが持てば基盤で描く必要が無くなる	HD-06
同上。権限をアプリが持てば図そのものが不要になる	HD-07
誰にどの権限を与えるかは業務ごとに違うため、アプリ側で定義する	HD-08
アプリが自分のデータを引けば足りるため、基盤に置く必然性が無い	HD-10
送信予定のイベントを記録する表。伝える処理が無くなるため、記録する必要も無い	HD-11
誰が管理しているか分からないアカウントを無くすため、台帳は基盤が持つ	HD-12
何に同意させるかは業務が決めることで、基盤には正解が無い	HD-13
消せない設定で 7 年保管する責任は基盤側にあり、他所に渡せない	HD-15
権限を持たなくなるため、開示するデータそのものが存在しなくなる	HD-16
権限が無くなれば突き合わせる対象も消える	HD-23
権限以外の自前データにも索引は要るため、対象が減るだけで消えはしない	HD-25
収容側の構成設計。受付側（HJ-01a）に統合されるため単独では不要	HJ-01b
収容側のログイン処理の順序設計。受付側（HJ-02a）に統合される	HJ-02b
収容側の設定値一覧。受付側（HJ-10a）に統合される	HJ-10b
ログイン状態は認証製品が持つため全アプリ共通。アプリ内の保持方法はアプリが決めるが、全体の有効期間は 1 つの設定で全アプリに効くため共同で決める	HA-10
認証製品が持つ一時保持は全アプリ共通。アプリ内の一時保持はアプリが決めるが、製品側の設定は共同で決める	HA-13
識別番号のうち利用者を指すものは認証製品が発行するため共通。アプリ内の番号はアプリが決める	HA-14
応答時間の目標は、アプリの作り方と基盤の設備の両方で決まるため共同で決める	HA-20
同上。達成手段が基盤側とアプリ側にまたがる	HA-21
対象の画面が減るぶん縮むが、遷移の整理自体は残る	HC-03a
乗っ取り時に即座に切れないと被害が広がるため、基盤が確実に握る	HE-04i
アカウントをまたいで受け渡すイベントの形式定義。またぐ経路が無くなる	HE-11
送信予定を記録しておく仕組みの仕様。同上	HE-12
切れると通信そのものが成立しなくなるため、期限の管理は外せない	HE-19b
相互に確認し合う経路が切れると、内部の連携が止まる	HE-19c
止めたつもりが止まっていない状態を拾う定期処理。1 箇所で完結するため、ずれが生じない	HF-04
分離しても管理用の口の悪用は防げない。大量削除・大量パスワード変更などの異常を検知できないと、侵害に気づけないまま被害が広がる	HG-07
記録する側と操作する側を分けないと、監査の意味が無くなる	HG-08
検知に必要な情報を外部へ出す仕組み。検知そのものを Phase 1 に戻したため、その入力側も必須になる	HJ-05
内部で 2 段構えになっている連携の設計。統合により不要	HJ-11
利用者の控えが作られてから消えるまでの管理設計。控えという概念自体が無くなる	HJ-13
顧客側に認証の仕組みが無い場合の受け皿で、IdP として成立させる前提	HB-F-AUTH-01
受付用と収容用が別の空間だったため、内部でもう一度ログインを委ねる必要があった。1 つに統合すると委ねる先が自分自身になり、この連携そのものが消える	HB-F-AUTH-09
既定の対策で最低限は守れるため、上乗せ分は後から足せる	HB-F-AUTH-22
利用者が受付側の控えと収容側の実体の 2 箇所にいたため、片方で止めたらもう片方も止める仕組みが要った。1 箇所になれば止めた時点で完了し、伝える相手がいなくなる	HB-F-PROV-12
停止と同じ理由。再開も 1 箇所で完結するため、もう片方へ伝える処理が不要になる	HB-F-PROV-13
受付側で発行した識別子を収容側へ知らせる必要があったが、同じ空間なら発行と同時に共有される	HB-F-PROV-14
設定の変更頻度が低く、当面は依頼を受けて基盤側で行える	HB-F-ADM-13
停止の事実を別アカウントへ運ぶ経路だったが、運ぶ相手がいなくなる	HB-F-INT-05
識別子を別アカウントへ運ぶ経路だったが、同様に相手がいなくなる	HB-F-INT-06
ネットワーク分離は「持ち出し」を防ぐが「悪用」は防がないため、異常な操作の検知とセットで初めて成立する。分離を維持する判断（2026-09-02）に伴い Phase 1 必須へ戻した	HB-F-INT-08
伝えそこないを拾い直す仕組みだが、そもそも伝える処理が無くなるため拾い直す対象も無い	HB-F-BAT-02
伝えそこないを拾い直す仕組みが無いと、止めたつもりが止まっていない状態になる	HB-F-BAT-03
