ID	分類	作業種別	機能グループ	機能名	項目	概要	成果物と完了条件	人日	担当（案②: 一部移管）	担当（案③: アプリ構築）	判断根拠	根拠の補足	スコープ	当初想定	依存	状態	出典	機能ID
HA-21	HA 全体・方式設計	設計書の執筆	非機能: 性能・拡張性	性能目標・チューニング方針	共通：性能設計書（目標値・処理方式・チューニング方針）	性能の目標値と、それを達成するための考え方をまとめた設計書	性能設計書。目標値・処理方式・調整の余地が示されている	4	基盤チーム	共同	横断（対象縮小）	同上。達成手段が基盤側とアプリ側にまたがる	対象	新規: 規模	—	未着手		NF-PRF-01
A-1.7	A 調査・PoC	実機検証・照会	非機能: 性能・拡張性	キャパシティ・データ量見積	調査計画：仮定値の根拠整理	顧客IdPの数を実測せず仮定値のまま設計を進めるため、その根拠と、あとで見直す条件を文書に残す	根拠の整理メモ。仮定値の出どころと見直しの判断基準が明記されている	1	基盤チーム	基盤チーム	構成の前提	構成が成立するかの確認で、機能を減らしても確かめる必要は残る	対象	新規: 自社構築	—	未着手		NF-PRF-02
HA-22	HA 全体・方式設計	設計書の執筆	非機能: 性能・拡張性	キャパシティ・データ量見積	共通：キャパシティ・データ量見積（テーブル別・増加率・5 年後）	保管するデータがどれくらいの量になり、5 年後どこまで増えるかの見積もり	見積書。表ごとの件数と増加率、必要な容量が数値で示されている	4	基盤チーム	基盤チーム	横断（対象縮小）	方式は 1 機能でも 91 機能でも決める必要があり、対象が減っても消えない	対象	新規: 規模	—	未着手		NF-PRF-02
G-5.8	G 運用設計	設計書の執筆	非機能: 性能・拡張性	キャパシティ・データ量見積	運用設計：使用量の監視と増強の判断	ユーザ数・顧客IdP数・データ量の伸びを何で見て、どの値でいつ増強するかを決める	運用設計書の章。監視する値・増強の判断基準・増強に要する期間が定まっている	1.5	基盤チーム	基盤チーム	運用に必須	見積り（HA-22）はあるが、運用開始後に実測を追って増強を判断する仕組みが無い	対象	新規: 非機能・運用	—	未着手		NF-PRF-02
E-4a	E 方式判断	調査・計画	非機能: 性能・拡張性	同時実行・上限値の設定	本番設定: 同時受付数の上限	Keycloak-Brokerの本番向け設定のうち、詰め残していた 5 項目を確定する	設定値。5 項目それぞれの値と根拠が定まっている	1	基盤チーム	基盤チーム	構成の前提	環境や製品設定は、機能を減らしても同じだけ必要になる	対象	新規: 自社構築	—	未着手		NF-PRF-03
E-4d	E 方式判断	調査・計画	非機能: 性能・拡張性	同時実行・上限値の設定	本番設定: クラスタ内のノード発見方式	Keycloak-Brokerの本番向け設定のうち、詰め残していた 5 項目を確定する	設定値。5 項目それぞれの値と根拠が定まっている	1	基盤チーム	基盤チーム	構成の前提	環境や製品設定は、機能を減らしても同じだけ必要になる	対象	新規: 自社構築	—	未着手		NF-PRF-03
E-4e	E 方式判断	調査・計画	非機能: 性能・拡張性	同時実行・上限値の設定	本番設定: ログイン状態の永続化の確認	Keycloak-Brokerの本番向け設定のうち、詰め残していた 5 項目を確定する	設定値。5 項目それぞれの値と根拠が定まっている	1	基盤チーム	基盤チーム	構成の前提	環境や製品設定は、機能を減らしても同じだけ必要になる	対象	新規: 自社構築	—	未着手		NF-PRF-03
E-2	E 方式判断	調査・計画	非機能: 性能・拡張性	性能試験の計画	性能試験の全体計画書	性能試験の全体計画を 1 本にまとめる	計画書。試験の道具・データ・合格基準が定まっている	4	基盤チーム	基盤チーム	構成の前提	環境や製品設定は、機能を減らしても同じだけ必要になる	対象	新規: 規模	—	未着手		NF-PRF-04
D-18.1	D 判断	調査・計画	非機能: 可用性・災害対策	災害対策（別地域への切替）	希望する復旧時間と実現できる時間の差の分析	顧客の希望する復旧時間と、現在の方式で実現できる時間の差を数値で明らかにする	分析結果。差分と、その原因となる制約が数値で示されている	0.5	基盤チーム	基盤チーム	構成の前提	地域全体の障害からの復旧を対象に含める。切替先を持つため、平時から動かす設備と手順が要る	対象	新規: 機能追加	—	未着手		NF-AVL-01
D-18.2	D 判断	調査・計画	非機能: 可用性・災害対策	災害対策（別地域への切替）	復旧方式の決定	分析を踏まえ、復旧方式をどうするかを決める	決定記録。方式が 1 つに確定している	2	基盤チーム	基盤チーム	構成の前提	地域全体の障害からの復旧を対象に含める。切替先を持つため、平時から動かす設備と手順が要る	対象	新規: 機能追加	D-18.1	未着手		NF-AVL-01
D-18.3	D 判断	調査・計画	非機能: 可用性・災害対策	災害対策（別地域への切替）	決めた復旧方式の設計書への反映	決めた復旧方式を関連する設計書に反映する	改訂済みの設計記述 3 冊	1	基盤チーム	基盤チーム	構成の前提	地域全体の障害からの復旧を対象に含める。切替先を持つため、平時から動かす設備と手順が要る	対象	新規: 機能追加	D-18.2	未着手		NF-AVL-01
D-18.4	D 判断	調査・計画	非機能: 可用性・災害対策	災害対策（別地域への切替）	復旧作業の手順書の骨子	復旧作業の手順書の骨子を作る	手順書の骨子。実際の作業順序が追える	3	基盤チーム	基盤チーム	構成の前提	地域全体の障害からの復旧を対象に含める。切替先を持つため、平時から動かす設備と手順が要る	対象	新規: 機能追加	D-18.3	未着手		NF-AVL-01
G-1.8	G 手順書	ガイド・手順書の執筆	非機能: 可用性・災害対策	災害対策（別地域への切替）	手順書: 災害時の切替判断	災害時に切り替えるかどうかの判断手順を手順書にする	手順書。判断基準と判断者が明確になっている	0.5	基盤チーム	基盤チーム	運用に必須	地域全体の障害からの復旧を対象に含める。切替先を持つため、平時から動かす設備と手順が要る	対象	新規: 非機能・運用	—	未着手		NF-AVL-01
G-1.9	G 手順書	ガイド・手順書の執筆	非機能: 可用性・災害対策	災害対策（別地域への切替）	手順書: 切替先での再構築	切替先の地域で環境を作り直す手順を手順書にする	手順書。所要時間の見込みつきで作業が順に書かれている	2.5	基盤チーム	基盤チーム	運用に必須	地域全体の障害からの復旧を対象に含める。切替先を持つため、平時から動かす設備と手順が要る	対象	新規: 非機能・運用	D-18.2	未着手		NF-AVL-01
G-1.11	G 手順書	ガイド・手順書の執筆	非機能: 可用性・災害対策	災害対策（別地域への切替）	手順書: 元の地域への復帰	元の地域へ戻す手順を手順書にする	手順書。戻した後の整合確認まで書かれている	2	基盤チーム	基盤チーム	運用に必須	地域全体の障害からの復旧を対象に含める。切替先を持つため、平時から動かす設備と手順が要る	対象	新規: 非機能・運用	—	未着手		NF-AVL-01
G-1.10	G 手順書	ガイド・手順書の執筆	非機能: 可用性・災害対策	バックアップ・復元	手順書: データの復元	保存してあるデータから復元する手順を手順書にする	手順書。時点を指定した復元の方法まで書かれている	2	基盤チーム	基盤チーム	運用に必須	手順書が無いと運用が回らず、作っただけで終わる	対象	新規: 非機能・運用	D-18.3	未着手		NF-AVL-02
HK-02	HK 顧客提供成果物	レビュー・合意	非機能: 可用性・災害対策	稼働率・復旧目標（SLA / SLO）	SLA / SLO 定義書（顧客向け）／渡す相手: 全顧客（契約添付）	顧客に約束する稼働率と復旧目標をまとめた文書	定義書。数値と、達成できなかった場合の扱いが定まっている	1	基盤チーム	基盤チーム	法令・契約	顧客への約束は機能の数では変わらない	対象	新規: 非機能・運用	D-18.2	未着手		NF-AVL-03
E-4b	E 方式判断	調査・計画	非機能: セキュリティ	攻撃経路と対策	本番設定: 外部に出さないパスの遮断表	Keycloak-Brokerの本番向け設定のうち、詰め残していた 5 項目を確定する	設定値。5 項目それぞれの値と根拠が定まっている	1	基盤チーム	基盤チーム	構成の前提	環境や製品設定は、機能を減らしても同じだけ必要になる	対象	新規: 自社構築	—	未着手		NF-SEC-01
HG-08	HG 権限・監査	設計書の執筆	非機能: セキュリティ	攻撃経路と対策	セキュリティ：攻撃経路対応表（33 経路×対策）	想定される攻撃の経路を洗い出し、それぞれの対策を対応づける。ログイン口への総当たり・過大な流量への対策は WAF 側で行う前提とし、本基盤側で実装しない範囲をここで明示する	対応表。すべての経路に対策が紐づいている	3	基盤チーム	基盤チーム	改ざん防止	記録する側と操作する側を分けないと、監査の意味が無くなる	対象	新規: 非機能・運用	—	未着手		NF-SEC-01
E-4c	E 方式判断	調査・計画	非機能: セキュリティ	鍵・暗号化の管理方式	本番設定: クラスタ内通信の暗号化と 30 日ごとの入れ替え	Keycloak-Brokerの本番向け設定のうち、詰め残していた 5 項目を確定する	設定値。5 項目それぞれの値と根拠が定まっている	1	基盤チーム	基盤チーム	構成の前提	環境や製品設定は、機能を減らしても同じだけ必要になる	対象	新規: 自社構築	—	未着手		NF-SEC-02
HE-19a	HE つなぎ目設計	設計書の執筆	非機能: セキュリティ	鍵・暗号化の管理方式	鍵・証明書一覧：署名に使う鍵	トークンに署名する鍵の一覧と、入れ替えの手順を整理する	→ 収載先: 鍵・証明書管理設計書。一覧と手順。鍵の種類・保管場所・入れ替え周期が定まっている	1	基盤チーム	基盤チーム	事故防止	入れ替えを止めると、漏れた鍵がいつまでも有効なままになる	対象	新規: 非機能・運用	—	未着手		NF-SEC-02
HA-26	HA 全体・方式設計	設計書の執筆	非機能: セキュリティ	鍵・暗号化の管理方式	共通：鍵管理設計書（3 階層の鍵と暗号化の境界）	暗号化に使う鍵を、種類ごとにどう管理するかの設計	→ 収載先: 鍵・証明書管理設計書。鍵管理設計書。鍵の種類・保管場所・入れ替え周期が定まっている	1	基盤チーム	基盤チーム	事故防止	入れ替えを止めると、漏れた鍵がいつまでも有効なままになる	対象	新規: 非機能・運用	—	未着手		NF-SEC-02
D-20	D 判断	調査・計画	非機能: セキュリティ	個人情報の取り扱い	運用設計：運用委託先から個人情報を見せない記録方式	運用委託先から個人情報が見えないよう、記録の出し方の方式を決める	→ 収載先: ログ設計書。決定記録。出力内容の伏せ方と、設定を固定する方法が定まっている	3	基盤チーム	基盤チーム	構成の前提	構成の前提を決める判断で、先送りすると後続が全て止まる	対象	新規: 機能追加	—	未着手		NF-SEC-03
HH-01	HH 運用設計	設計書の執筆	非機能: 運用・監視	監視項目・閾値・通知	運用設計：監視項目一覧（メトリクス）	システムが正常に動いているか判断するために監視する数値を洗い出して一覧にする	項目一覧。取得元と用途が整理されている	1	基盤チーム	基盤チーム	運用に必須	運用の手順が無いと、作っても回せない	対象	新規: 非機能・運用	—	未着手		NF-OPS-01
HH-02	HH 運用設計	設計書の執筆	非機能: 運用・監視	監視項目・閾値・通知	運用設計：監視項目一覧（ログ・合成監視）	監視する記録と、外形からの確認項目の一覧	項目一覧。確認の頻度が定まっている	1	基盤チーム	基盤チーム	運用に必須	運用の手順が無いと、作っても回せない	対象	新規: 非機能・運用	—	未着手		NF-OPS-01
HH-03	HH 運用設計	設計書の執筆	非機能: 運用・監視	監視項目・閾値・通知	運用設計：閾値・通知先設計	異常と判断する基準値と、誰に知らせるかの設計	閾値設計。すべての監視項目に基準値と通知先が紐づいている	1	基盤チーム	基盤チーム	運用に必須	運用の手順が無いと、作っても回せない	対象	新規: 非機能・運用	—	未着手		NF-OPS-01
G-3	G 運用設計	設計書の執筆	非機能: 運用・監視	運用体制・当番	運用設計：当番体制と通知先の割り当て	当番体制を組み、警報の通知先を割り当てる	当番表と通知設定。夜間・休日の連絡経路が定まっている	1	基盤チーム	基盤チーム	運用に必須	手順書が無いと運用が回らず、作っただけで終わる	対象	新規: 非機能・運用	—	未着手		NF-OPS-02
G-1.3	G 手順書	ガイド・手順書の執筆	非機能: 運用・監視	運用手順書	手順書: 事故発生時の初動	不正アクセスや障害を検知したときに、誰が何を止め、何を保全し、どこへ報告するかの初動を定める	手順書。判断の基準・止める順序・証跡の保全方法・連絡先が定まっている	1.5	基盤チーム	基盤チーム	事故防止	検知しても初動が決まっていないと、被害が広がり証跡も失われる。情報漏えい時の報告手順（G-1.4）の前段	対象	新規: 機能追加	—	未着手		NF-OPS-03
G-1.4	G 手順書	ガイド・手順書の執筆	非機能: 運用・監視	運用手順書	手順書: 情報漏えい時の報告	情報漏えいが起きたときの報告手順を手順書にする	手順書。法令が求める期限と報告先が書かれている	0.5	基盤チーム	基盤チーム	運用に必須	手順書が無いと運用が回らず、作っただけで終わる	対象	新規: 非機能・運用	—	未着手		NF-OPS-03
G-1.6	G 手順書	ガイド・手順書の執筆	非機能: 運用・監視	緊急時の管理者アクセス	手順書: 緊急時の管理者アクセス	通常経路が使えないときに管理者が入る手順を手順書にする	手順書。発動条件・承認者・事後の監査までが書かれている	0.5	基盤チーム	基盤チーム	運用に必須	手順書が無いと運用が回らず、作っただけで終わる	対象	新規: 非機能・運用	—	未着手		NF-OPS-04
HG-09	HG 権限・監査	設計書の執筆	非機能: 運用・監視	運用者アカウントと権限の保護	運用者アカウントの認証と権限モデル（WebAuthn 必須・常時全権の禁止・緊急時との関係）	本基盤運用者のローカル認証を WebAuthn 必須とし、常時の全権付与を禁止して必要時だけ昇格する権限モデルと、緊急時アクセス（G-1.6）との関係を決める	設計書の章。認証手段・権限の 2 状態・昇格の手順・記録が定まっている	2	基盤チーム	基盤チーム	事故防止	ADR-040 Phase 1 α（P1-04 / P1-08 / P1-09）。運用者は Keycloak-Broker にローカルで残る唯一の人	対象	新規: 非機能・運用	—	未着手		NF-OPS-11
E-5	E 方式判断	調査・計画	非機能: 運用・監視	Keycloak の更新・保守	Keycloak の更新の運用手順の精密化	製品を新しい版へ上げる際の運用手順を精密化する	手順設計。事前確認の方法と、停止を伴う場合の作業時間帯が定まっている	1	基盤チーム	基盤チーム	構成の前提	環境や製品設定は、機能を減らしても同じだけ必要になる	対象	新規: 自社構築	—	未着手		NF-OPS-05
HJ-06	HJ Keycloak の作り込み	設計書の執筆	非機能: 運用・監視	Keycloak の更新・保守	自社拡張の配置・ビルド・版数管理の設計	拡張機能をどこに配置し、どう版を管理するかの設計	配置設計。組み込み方法と版の管理方法が定まっている	4	基盤チーム	基盤チーム	製品機能	Keycloak-Brokerをどう組むかは、ユーザ管理を誰が作るかとは無関係に決まる	対象	新規: 自社構築	—	未着手		NF-OPS-05
HJ-22	HJ Keycloak の作り込み	設計書の執筆	非機能: 運用・監視	Keycloak の更新・保守	自社拡張と実行イメージの供給網対策（依存の検査・署名・部品一覧）	自社拡張と実行イメージについて、依存の検査・イメージの署名・部品一覧（SBOM）の出し方を決める	設計書の章。検査の道具・署名の方式・部品一覧の形式が定まっている	1	基盤チーム	基盤チーム	事故防止	ADR-046 Phase 1 = SLSA L2。テスト SEC-09 の根拠となる設計が無かった	対象	新規: 非機能・運用	—	未着手		NF-OPS-05
G-5.1	G 運用設計	設計書の執筆	非機能: 運用・監視	運用プロセス（受付・変更・障害）	運用設計：問い合わせの受付と切り分け	顧客やアプリチームからの問い合わせをどこで受け、誰がどこまで切り分け、いつ誰に引き継ぐかを決める	運用設計書の章。受付の窓口・切り分けの手順・引き継ぎの基準・返答の目安時間が定まっている	2	基盤チーム	基盤チーム	運用に必須	窓口が決まっていないと問い合わせが個人に集まる。認証は止まると全アプリに波及するため、受付から解決までの時間が SLA に直結する	対象	新規: 非機能・運用	—	未着手		NF-OPS-08
G-5.2	G 運用設計	設計書の執筆	非機能: 運用・監視	運用プロセス（受付・変更・障害）	運用設計：変更管理（申請・承認・適用・記録）	設定や構成を変えるときの申請・承認・適用・記録の進め方と、承認が要る変更の線引きを決める	運用設計書の章。変更の分類・承認者・適用の窓・記録の残し方・切り戻しの判断が定まっている	2	基盤チーム	基盤チーム	事故防止	認証の設定は 1 つの変更で全顧客が入れなくなる。誰の承認で何を変えてよいかが決まっていないと事故になる	対象	新規: 非機能・運用	—	未着手		NF-OPS-08
G-5.3	G 運用設計	設計書の執筆	非機能: 運用・監視	運用プロセス（受付・変更・障害）	運用設計：障害と問題の管理（記録・再発防止・報告）	障害を記録し、原因を追い、再発を防ぐまでの進め方と、顧客への報告の出し方を決める	運用設計書の章。記録する項目・重大度の区分・報告の期限と宛先・再発防止の追跡方法が定まっている	1.5	基盤チーム	基盤チーム	運用に必須	事故発生時の初動（G-1.3）はあるが、その後の原因追及と再発防止の進め方が無い	対象	新規: 非機能・運用	—	未着手		NF-OPS-08
G-5.6	G 運用設計	設計書の執筆	非機能: 運用・監視	運用プロセス（受付・変更・障害）	運用設計：運用者のアカウントと権限の棚卸し	運用に使うアカウントを誰がいつ見直し、不要なものをどう止めるかを決める	運用設計書の章。棚卸しの頻度・確認する項目・止める手順・記録の残し方が定まっている	1.5	基盤チーム	基盤チーム	事故防止	本基盤の運用者は全顧客のデータに触れられる。棚卸しをしないと退職者の権限が残る	対象	新規: 非機能・運用	—	未着手		NF-OPS-08
G-5.4	G 運用設計	設計書の執筆	非機能: 運用・監視	サービスレベルの測定と報告	運用設計：サービスレベルの測定と顧客への報告	約束した稼働率と応答時間を何でどう測り、どの頻度で誰に報告するかを決める	運用設計書の章。測る対象・計算式・除外する時間・報告の頻度と様式が定まっている	2	基盤チーム	基盤チーム	法令・契約	稼働率を約束する（HK-02）以上、測り方と報告の形が決まっていないと守れたかどうかを示せない	対象	新規: 非機能・運用	—	未着手		NF-OPS-09
G-5.5	G 運用設計	設計書の執筆	非機能: 運用・監視	定期作業の計画と引き継ぎ	運用設計：定期作業の一覧と運用の暦	日次・週次・月次・四半期・年次に行う作業を洗い出し、いつ誰が行うかの暦を作る	運用設計書の章。作業の一覧・頻度・所要時間・担当・前後関係が定まっている	2	基盤チーム	基盤チーム	運用に必須	定期作業が個人の記憶に依存していると、担当が替わったときに抜ける。運用工数の見積りの根拠にもなる	対象	新規: 非機能・運用	—	未着手		NF-OPS-10
G-5.7	G 運用設計	ガイド・手順書の執筆	非機能: 運用・監視	定期作業の計画と引き継ぎ	運用設計：運用の引き継ぎと教育の計画	構築したチームから運用するチームへ何をどう渡すか、運用開始前に何を訓練するかを決める	計画。渡す資料の一覧・訓練の項目・開始の判定条件が定まっている	1.5	基盤チーム	基盤チーム	運用に必須	手順書があっても、動かせる人がいなければ運用は始められない。開始の可否を判定する条件が要る	対象	新規: 非機能・運用	—	未着手		NF-OPS-10
E-1.1	E 方式判断	調査・計画	非機能: 移行・環境	開発・検証環境	開発・検証環境: 費用と共用方式の調査	開発・検証用の環境について、費用と共用のしかたを調査する	調査結果。費用の見込みと共用可能な範囲が整理されている	1	基盤チーム	基盤チーム	構成の前提	【省略・吸収】E-1.2 に吸収（費用比較は構成決定と一体）。人日は復活時のために残す	対象外：省略・吸収	新規: 自社構築	—	未着手		NF-MIG-01
E-1.2	E 方式判断	調査・計画	非機能: 移行・環境	開発・検証環境	開発・検証環境: 構成と共用方針の決定	開発・検証環境をいくつ、どう分けて持つかを決める	方針書。環境の数と分け方、共用範囲が定まっている	1	基盤チーム	基盤チーム	構成の前提	環境や製品設定は、機能を減らしても同じだけ必要になる	対象	新規: 自社構築	E-1.1	未着手		NF-MIG-01
E-1.3	E 方式判断	調査・計画	非機能: 移行・環境	開発・検証環境	開発・検証環境: 試験用データの作り方と費用見積	試験に使うデータの作り方と、環境にかかる費用を見積もる	方針と見積。本物の個人情報を使わない作り方が定まっている	1	基盤チーム	基盤チーム	構成の前提	【省略・吸収】④ テストで計上（試験用データの作り方）。人日は復活時のために残す	対象外：省略・吸収	新規: 自社構築	E-1.1	未着手		NF-MIG-01
D-16.4	D 判断	調査・計画	非機能: 移行・環境	既存からの移行	接続するアプリの切替計画（並行稼働・切り戻し）	既存の認証から本基盤へアプリを移すときの順序・並行稼働の期間・戻し方を決める	計画。切替の単位・判断の基準・戻す条件が定まっている	1.5	基盤チーム	アプリチーム	事故防止	Keycloak-Broker 側にユーザデータの移行は無いが、アプリの切替は必ず起きる。無計画だと止まる	対象	新規: 機能追加	—	未着手		NF-MIG-02
HA-11	HA 全体・方式設計	設計書の執筆	非機能: 設計標準・規約	共通方式（エラー・ログ・整合・排他ほか）	共通：文字コード・日時・タイムゾーン方式	文字の扱い・日時の扱い・時差の扱いを統一する方針	方式設計。保存時と表示時の扱いが定まっている	0.5	共同	共同	横断（対象縮小）	方式は 1 機能でも 91 機能でも決める必要があり、対象が減っても消えない	対象	当初あり	—	未着手		NF-STD-01
HA-13	HA 全体・方式設計	設計書の執筆	非機能: 設計標準・規約	共通方式（エラー・ログ・整合・排他ほか）	共通：キャッシュ方式設計	よく使うデータを一時的に手元に置く仕組みの方針	方式設計。置く対象・保持時間・古くなった際の捨て方が定まっている	3	共同	共同	代替手段あり	Keycloak-Brokerが持つ一時保持は全アプリ共通。アプリ内の一時保持はアプリが決めるが、製品側の設定は共同で決める	対象	新規: 規模	—	未着手		NF-STD-01
HE-22a	HE つなぎ目設計	設計書の執筆	非機能: 設計標準・規約	API 設計規約	API エラーコード体系（Keycloak-Brokerの標準エラー）	接続仕様が返すエラーの種類と番号の体系（アプリが判定に使う）	エラーコード体系。番号の付け方と、意味の一覧が定まっている	2	基盤チーム	基盤チーム	画面のみ	対象の画面が減るぶん縮むが、画面設計という作業自体は残る	対象	新規: 機能追加	—	未着手		NF-STD-02
HA-16	HA 全体・方式設計	設計書の執筆	非機能: 設計標準・規約	命名・構成管理規約	共通：命名規約（リソース/API/DB）	設備・顧客IdP・データの名前の付け方の決まり	命名規約。名前から用途と所属が分かる形になっている	0.5	基盤チーム	基盤チーム	横断（対象縮小）	方式は 1 機能でも 91 機能でも決める必要があり、対象が減っても消えない	対象	当初あり	—	未着手		NF-STD-04
HA-17	HA 全体・方式設計	設計書の執筆	非機能: 設計標準・規約	命名・構成管理規約	共通：Terraform 設計規約	設備を設定ファイルで管理する際の書き方の決まり	規約。書き方の統一と、レビュー観点が定まっている	1	基盤チーム	基盤チーム	横断（対象縮小）	方式は 1 機能でも 91 機能でも決める必要があり、対象が減っても消えない	対象	新規: 自社構築	—	未着手		NF-STD-04
HA-01	HA 全体・方式設計	設計書の執筆	非機能: 設計管理	設計書の総則・前提・用語	前提：設計書 総則（目的・範囲・読み方）	設計書全体の入口となる章。目的・扱う範囲・読み方をまとめる	総則の章。範囲外の事項も明示されている	1	基盤チーム	基盤チーム	横断（対象縮小）	方式は 1 機能でも 91 機能でも決める必要があり、対象が減っても消えない	対象	当初あり	—	未着手		NF-MGT-01
HA-02	HA 全体・方式設計	設計書の執筆	非機能: 設計管理	設計書の総則・前提・用語	前提：前提条件一覧	設計の土台となる前提条件を一覧にし、変わった場合にどこへ影響するかを示す	前提一覧。各前提に影響範囲が紐づいている	1	基盤チーム	基盤チーム	横断（対象縮小）	方式は 1 機能でも 91 機能でも決める必要があり、対象が減っても消えない	対象	当初あり	—	未着手		NF-MGT-01
