根拠の補足	対象 WBS ID
総当たりと利用者名の割り出しは、基盤側で塞がないとアプリでは防げない	E-8,HB-F-AUTH-20,D-13,HB-F-AUTH-21
【省略・吸収】各タスクの工数で対応。人日は復活時のために残す	F-1,F-2,F-3
【省略・吸収】設計書はまだ無い前提のため統合作業は不要。人日は復活時のために残す	F-4
手順書が無いと運用が回らず、作っただけで終わる	G-1.2,G-1.4,G-1.6,G-1.7,G-1.8,G-1.9,G-1.10,G-1.11,G-3
検知した後に誰が何をするかが決まっていないと、検知しても止められない	G-1.3
方式は 1 機能でも 91 機能でも決める必要があり、対象が減っても消えない	HA-01,HA-02,HA-03,HA-04,HA-06,HA-07,HA-11,HA-12,HA-16,HA-17,HA-18,HA-19,HA-22,HA-23,HA-24,HA-25
【省略・吸収】HA-04 / HA-05 に吸収（清書を含める）。人日は復活時のために残す	G-4.1
認証製品をどう組むかは、利用者管理を誰が作るかとは無関係に決まる	HJ-17,HJ-18,HJ-19,HJ-06,HJ-07,HJ-09
見る画面はアプリでよいが、記録そのものは改ざん防止のため基盤が持つ	HG-04,HG-05,E-7,HB-F-ADM-18,HK-06
【省略・吸収】HG-05 に吸収（監査ログの置き場所・保持年数）。人日は復活時のために残す	D-9.2
対象の画面が減るぶん縮むが、画面設計という作業自体は残る	HC-10,HC-01a,HC-01b,HC-02,HE-22a,HE-22b
消せない設定で 7 年保管する責任は基盤側にあり、他所に渡せない	HD-15
操作の入口はアプリが作れるが、認証製品を触る API は基盤に残さざるを得ない	HA-09,HB-F-ADM-15
認証製品が持つ一時保持は全アプリ共通。アプリ内の一時保持はアプリが決めるが、製品側の設定は共同で決める	HA-13
識別番号のうち利用者を指すものは認証製品が発行するため共通。アプリ内の番号はアプリが決める	HA-14
【省略・吸収】HA-18 API 設計規約に吸収（版管理と廃止方針）。人日は復活時のために残す	HA-15
【省略・吸収】HA-18 API 設計規約に吸収。人日は復活時のために残す	HE-08
応答時間の目標は、アプリの作り方と基盤の設備の両方で決まるため共同で決める	HA-20
同上。達成手段が基盤側とアプリ側にまたがる	HA-21
機能の数が減れば分量は減るが、体系そのものは残る	HB-01,HB-08
【省略・吸収】各機能仕様書の「主要な流れ」に吸収。人日は復活時のために残す	HB-15,HB-16,HB-17
【省略・吸収】状態は HD-21 値の一覧と PROV-09/10/11 で表現するため省略。人日は復活時のために残す	HB-18
【省略・吸収】同上（トークン・セッションは HA-10 で表現）。人日は復活時のために残す	HB-19
画面そのものなので、作る主体がアプリなら成果物ごとアプリ側へ移る	HB-20,HC-03b,HC-05b-1,HC-05b-2,HC-05b-3,HC-05b-4,HC-05b-5,HC-05b-6,HC-05b-7,HC-05b-8,HC-05d-1,HC-05d-2
画面はアプリが作るが、業務ルールの正は基盤が決めるため仕様書は基盤が書く	HB-21,HB-22,HB-F-ADM-20,HB-F-ADM-21
顧客側に認証の仕組みが無い場合の受け皿で、IdP として成立させる前提	HB-F-AUTH-01
【省略・吸収】HB-F-AUTH-02 に吸収（HRD の一部）。人日は復活時のために残す	HB-F-AUTH-03
委譲した相手から来た人を受け入れる入口で、フェデレーションと不可分	HB-F-AUTH-07,HB-F-AUTH-08,HB-F-PROV-02,HJ-04
【省略・吸収】HB-F-AUTH-07 に吸収（同じ出来事の 2 面）。人日は復活時のために残す	HB-F-PROV-01
受付用と収容用が別の空間だったため、内部でもう一度ログインを委ねる必要があった。1 つに統合すると委ねる先が自分自身になり、この連携そのものが消える	HB-F-AUTH-09
認証製品の機能として提供されるため、切り離して他所に持たせられない	HB-F-AUTH-10,HB-F-AUTH-11,HB-F-AUTH-12,HB-F-AUTH-13,HB-F-AUTH-15,HB-F-AUTH-19
統合後の Keycloak 上の利用者（IdP を持たないテナントの利用者と運用者）を管理画面から操作する機能。管理画面がアプリ担当なので案②でもアプリ。PW/MFA リセット・強制ログアウトは認証製品の管理 API を呼ぶだけで作業は薄い	HB-F-ADM-09,HB-F-ADM-01,HB-F-ADM-02,HB-F-ADM-03,HB-F-ADM-04,HB-F-ADM-05,HB-F-ADM-06,HB-F-ADM-07,HB-F-ADM-08,HB-F-ADM-10
【省略・吸収】HB-F-AUTH-21 アカウント列挙対策に吸収（画面文言）。人日は復活時のために残す	D-14
既定の対策で最低限は守れるため、上乗せ分は後から足せる	HB-F-AUTH-22
ログイン状態は認証製品が持つため全アプリ共通。アプリ内の保持方法はアプリが決めるが、全体の有効期間は 1 つの設定で全アプリに効くため共同で決める	HA-10
顧客ごとにバラバラな項目名を揃えないと、複数の顧客を同時に扱えない	HB-F-PROV-08,HD-05,HD-18,D-8b
【省略・吸収】HD-18 に吸収。人日は復活時のために残す	HJ-15
【省略・吸収】HB-F-PROV-08 に吸収（統一名の辞書）。人日は復活時のために残す	HD-17
どの経路で入った人かで扱いを変えるため、これが無いと後続が全て破綻する	HB-F-PROV-09,D-8a,HD-21
【省略・吸収】D-8a に吸収（区分と自動停止の扱いを 1 行で決める）。人日は復活時のために残す	D-8c
利用者が受付側の控えと収容側の実体の 2 箇所にいたため、片方で止めたらもう片方も止める仕組みが要った。1 箇所になれば止めた時点で完了し、伝える相手がいなくなる	HB-F-PROV-12
停止と同じ理由。再開も 1 箇所で完結するため、もう片方へ伝える処理が不要になる	HB-F-PROV-13
受付側で発行した識別子を収容側へ知らせる必要があったが、同じ空間なら発行と同時に共有される	HB-F-PROV-14
権限を基盤が持たなくなるため、その受け皿を作る処理ごと不要になる	HB-F-PROV-15,HB-F-PROV-17
対応づけの中身は顧客の社員番号体系そのもので、業務データにあたる	HB-F-PROV-16,HD-19,HE-06f
返す中身が権限データなので、権限をアプリが持てば同時に不要になる	HB-F-AZ-01,HB-F-AZ-02,GD-20
【省略・吸収】HB-F-PROV-17 統合射影に吸収。人日は復活時のために残す	HD-16
判定に使うルールが業務そのもので、基盤には正解が分からない	HB-F-AZ-03,HB-F-AZ-04
設定の変更頻度が低く、当面は依頼を受けて基盤側で行える	HB-F-ADM-13
見直しの周期も承認者も業務ごとに違うため、基盤で一律に決められない	HB-F-ADM-19
【省略・吸収】HB-F-ADM-19 に吸収（定期起動部分）。人日は復活時のために残す	HB-F-BAT-08
他の顧客のデータに手が届くと一度で信用を失うため、基盤で強制するしかない	HB-F-AZ-05a,HB-F-AZ-05b,HB-F-AZ-06,HD-20,HG-01,HG-02,HG-03,GD-19
認証製品の標準機能で、基盤側は設定のみ（0.5）。使う側の手引きは GD-34 で扱う	HB-F-AZ-07,HB-F-AZ-08
この資格が漏れると全顧客を操作できてしまうため、発行を基盤が握る必要がある	D-5,GD-12
権限データ側の判定記録。認証製品のログイン記録は HG-04 で基盤が持つ	HB-F-AZ-09
Webhook の送信は基盤・受信はアプリを想定。送信も含めて両方アプリに任せる案もあり協議	HB-F-INT-04,HE-13
停止の事実を別アカウントへ運ぶ経路だったが、運ぶ相手がいなくなる	HB-F-INT-05
識別子を別アカウントへ運ぶ経路だったが、同様に相手がいなくなる	HB-F-INT-06
ネットワーク分離は「持ち出し」を防ぐが「悪用」は防がないため、異常な操作の検知とセットで初めて成立する。分離を維持する判断（2026-09-02）に伴い Phase 1 必須へ戻した	HB-F-INT-08
【省略・吸収】価値が薄く、API プラットフォーム側の外形監視と重なるため省略。人日は復活時のために残す	HB-F-INT-10
【省略・吸収】初期リリース対象外（概要に明記済み）。人日は復活時のために残す	HB-F-INT-12
対象の画面が減るぶん縮むが、遷移の整理自体は残る	HC-03a
ログイン画面は認証製品のテーマ機能で作るため、切り離せない	HC-04a,HC-04b,HC-04c,HC-04d,HC-04e,HC-04f,HC-04g,HC-04h,HC-04i,HC-04j,HC-04k,HC-04l
画面を分担する場合はデザイン統一の協議が必要（合わせるのが大変というリスク）	HC-06,HC-08
細部はアプリに委ねる。ただし認証製品内の 12 画面分は基盤が対応する	HC-07
【省略・吸収】② 詳細設計で計上。人日は復活時のために残す	HC-11
どのデータをどこに置くかの整理は、ストアが減っても必要	HD-01,HD-02,HD-22
伝えそこないを拾い直す仕組みが無いと、止めたつもりが止まっていない状態になる	HB-F-BAT-03
伝えそこないを拾い直す仕組みだが、そもそも伝える処理が無くなるため拾い直す対象も無い	HB-F-BAT-02
【省略・吸収】HD-02 ストア間の整合方針に吸収。人日は復活時のために残す	HA-08
認証製品が持つ構造なので、我々は使う範囲を決めるだけでよい	HD-03
収容側の製品スキーマの利用範囲整理。認証製品が 1 つになるため受付側（HD-03）に統合される	HD-04
権限の構造は業務ごとに違い、アプリが持てば基盤で描く必要が無くなる	HD-06
同上。権限をアプリが持てば図そのものが不要になる	HD-07
【省略・吸収】② 詳細設計 DDD-01 で計上（基本設計は ER 図まで）。人日は復活時のために残す	HD-08
【省略・吸収】② 詳細設計 DDD-02 で計上。人日は復活時のために残す	HD-09
【省略・吸収】② 詳細設計 DDD-03 で計上。人日は復活時のために残す	HD-10
送信予定のイベントを記録する表。伝える処理が無くなるため、記録する必要も無い	HD-11
【省略・吸収】② 詳細設計 DDD-05 で計上。人日は復活時のために残す	HD-12
【省略・吸収】② 詳細設計 DDD-06 で計上。人日は復活時のために残す	HD-13
【省略・吸収】② 詳細設計 DDD-07 で計上。人日は復活時のために残す	HD-14
【省略・吸収】HD-22 に吸収。人日は復活時のために残す	HD-23
権限以外の自前データにも索引は要るため、対象が減るだけで消えはしない	HD-25
つなぎ目の定義はアプリに渡すほど厳密さが要求され、むしろ重くなる	HE-01,HE-03,HE-07,HE-09,HE-20
【省略・吸収】HE-01 に吸収（内部 IF 一覧を 1 冊に）。人日は復活時のために残す	HE-02
操作の入口はアプリが作れるが、認証製品を触る API は基盤に残さざるを得ないため、入口の仕様は基盤が定義する	HE-04a,HE-04b,HE-04c,HE-04d,HE-04e,HE-04f,HE-04g,HE-04h,HE-04j,HE-04k,HE-04l,HE-06c,HE-06g
乗っ取り時に即座に切れないと被害が広がるため、基盤が確実に握る	HE-04i
記録する側と操作する側を分けないと、記録の意味が無くなる	HE-06h
【省略・吸収】HE-09 に吸収（最初から仕様に含める）。人日は復活時のために残す	HE-10
アカウントをまたいで受け渡すイベントの形式定義。またぐ経路が無くなる	HE-11
送信予定を記録しておく仕組みの仕様。同上	HE-12
入れ替えを止めると、漏れた鍵がいつまでも有効なままになる	HE-19a,HA-26,HB-F-BAT-04,HB-F-BAT-05,G-1.5
切れると通信そのものが成立しなくなるため、期限の管理は外せない	HE-19b
相互に確認し合う経路が切れると、内部の連携が止まる	HE-19c
切れると全顧客のログインが黙って止まるため、期限の監視は外せない	HE-19d,HB-F-BAT-07
【省略・吸収】HB-F-BAT-04 / 05 / 07 の機能仕様書に吸収。人日は復活時のために残す	HF-05
定期処理を止めると気付かないうちに不整合が溜まる	HF-01,HF-02,HF-06,HF-07
【省略・吸収】HB-F-BAT-01 / BAT-09 の機能仕様書に吸収（同じバッチを 2 冊で書かない）。人日は復活時のために残す	HF-03
止めたつもりが止まっていない状態を拾う定期処理。1 箇所で完結するため、ずれが生じない	HF-04
分離しても管理用の口の悪用は防げない。大量削除・大量パスワード変更などの異常を検知できないと、侵害に気づけないまま被害が広がる	HG-07
記録する側と操作する側を分けないと、監査の意味が無くなる	HG-08
運用の手順が無いと、作っても回せない	HH-01,HH-02,HH-03,HH-05
対象が減るぶん縮むが、突き合わせと合意の場は必ず要る	HI-01,HI-02,HI-03,HI-04,HI-05,HI-06
収容側の構成設計。受付側（HJ-01a）に統合されるため単独では不要	HJ-01b
収容側のログイン処理の順序設計。受付側（HJ-02a）に統合される	HJ-02b
【省略・吸収】HJ-03 に吸収（同一内容）。人日は復活時のために残す	HJ-16
検知に必要な情報を外部へ出す仕組み。検知そのものを Phase 1 に戻したため、その入力側も必須になる	HJ-05
【省略・吸収】HD-05 に吸収（同一内容）。人日は復活時のために残す	HJ-08
収容側の設定値一覧。受付側（HJ-10a）に統合される	HJ-10b
内部で 2 段構えになっている連携の設計。統合により不要	HJ-11
利用者の控えが作られてから消えるまでの管理設計。控えという概念自体が無くなる	HJ-13
【省略・吸収】HJ-14 IdP 接続仕様テンプレート（SAML/OIDC 別）に吸収。人日は復活時のために残す	D-11
【省略・吸収】HJ-14 に吸収。人日は復活時のために残す	HE-17
顧客への約束は機能の数では変わらない	HK-01,HK-02,HK-03,HK-04,HK-09
対象が減るぶん規模は縮むが、作業自体は残る	GD-01,GD-02,GD-03,GD-04,GD-05,GD-06,GD-07,GD-08,GD-11,GD-26,GD-27,GD-28,GD-29,GD-30,GD-31,GD-32,GD-33,GD-37,GD-38,GD-39,GD-40,GD-41,GD-42,GD-43,GD-44,GD-45,GD-46,GD-47,GD-48,GD-49,GD-50,GD-51,GD-52,GD-53
アプリが定期的に問い合わせる方式にすれば、押し込まなくても成立する	GD-35
検知が無くても認証は動く。まず動かしてから精度を上げる順序にできる	GD-36
