要件ID	要件	要件の概要	機能ID	機能	機能の概要	担当	状況
NFR-SEC-019	内部通信の認証（idm-api → 管理 API、Keycloak-Broker → Keycloak-IdP）	内部の呼び出しでも相手を確認すること。管理 API は内部経路と資格で、Keycloak-IdP へは閉域の単方向接続で確認する	F-AUTH-09	Keycloak-Broker と Keycloak-IdP の連携	Keycloak-Broker から見て Keycloak-IdP を顧客IdP の 1 つ（共有エントリ）として接続する。識別子の引き継ぎ・追加認証結果の取り込み・ログアウト連鎖・セッション上限の同値を含む。Keycloak-IdP 側の Client・Realm 設定は要求仕様としてアプリチームへ渡す（2026-09-07 復活: 2 台構成に戻したため）	インフラ（本基盤）	全工程あり
NFR-SEC-019	内部通信の認証（idm-api → 管理 API、Keycloak-Broker → Keycloak-IdP）	内部の呼び出しでも相手を確認すること。管理 API は内部経路と資格で、Keycloak-IdP へは閉域の単方向接続で確認する	F-INT-14	管理 API の内部公開（idm-api 向け）	アプリ側の管理 API（idm-api）が Keycloak-Broker の管理 API を呼ぶための内部経路と、呼び出し元の資格・許す操作の範囲。ユーザの停止・全セッション破棄など管理画面からの操作はここを通る	インフラ（本基盤）	全工程あり
NFR-SEC-019	内部通信の認証（idm-api → 管理 API、Keycloak-Broker → Keycloak-IdP）	内部の呼び出しでも相手を確認すること。管理 API は内部経路と資格で、Keycloak-IdP へは閉域の単方向接続で確認する	NF-ARC-02	ネットワーク構成	ネットワークの区画・経路・IP アドレス範囲。他組織が管理する境界との接続を含む	インフラ（本基盤）	全工程あり
NFR-SEC-020	セッション固定攻撃対策	ログインの前後で状態を作り替え、乗っ取りを防ぐこと	F-AUTH-23	ログイン状態の保持とタイムアウト	ログイン状態をどこにどれだけ保つか、いつ切れるか。アプリ側のセッションとの関係を含む	インフラ（本基盤）	全工程あり
NFR-SEC-010-2	侵害クレデンシャル検出	流出したパスワードの使用を拒否できること	F-AUTH-22	流出パスワードの使用拒否	入力されたパスワードが過去に流出したものでないかを確認し、該当する場合は使わせない	アプリ（Keycloak-IdP）	アプリ側で実施（Keycloak-IdP 側）
NFR-SEC-021	運用者アカウントと権限の保護	本基盤運用者の認証を WebAuthn 必須とし、常時の全権付与を禁止し、緊急時アクセスと定期棚卸しを定めること	NF-OPS-04	緊急時の管理者アクセス	通常経路が使えないときに管理者が入る仕組み	インフラ（本基盤）	全工程あり
NFR-SEC-021	運用者アカウントと権限の保護	本基盤運用者の認証を WebAuthn 必須とし、常時の全権付与を禁止し、緊急時アクセスと定期棚卸しを定めること	NF-OPS-11	運用者アカウントと権限の保護	本基盤運用者のローカル認証（WebAuthn 必須）、常時の全権付与の禁止と必要時だけの昇格、緊急時アクセスとの関係、定期棚卸し	インフラ（本基盤）	全工程あり
NFR-SEC-021	運用者アカウントと権限の保護	本基盤運用者の認証を WebAuthn 必須とし、常時の全権付与を禁止し、緊急時アクセスと定期棚卸しを定めること	NF-OPS-08	運用プロセス（受付・変更・障害）	問い合わせを受けてから解決するまで、設定を変えるとき、障害が起きたときの、決められた進め方	インフラ（本基盤）	全工程あり
NFR-SEC-022	サプライチェーン対策（依存の検査・イメージ署名・部品一覧）	自社拡張と実行イメージの依存を検査し、署名し、部品一覧（SBOM）を出せること	NF-OPS-05	Keycloak の更新・保守	Keycloak の版を上げるときの手順と、ベンダーのサポート範囲	インフラ（本基盤）	全工程あり
NFR-SEC-023	不正兆候の検知	ログイン失敗の急増などの不正兆候を検知して通知できること	F-INT-08	不正兆候の検知	不正なログインの兆候を検知して通知する	インフラ（本基盤）	全工程あり
NFR-DR-001	RTO（目標復旧時間）	目標の時間内に復旧できること	NF-AVL-01	災害対策（別地域への切替）	地域全体が使えなくなったときの切替。Phase 1 では対象外	インフラ（本基盤）	全工程あり
NFR-DR-001	RTO（目標復旧時間）	目標の時間内に復旧できること	NF-AVL-03	稼働率・復旧目標（SLA / SLO）	顧客に約束する稼働率と復旧目標、および約束しない範囲	インフラ（本基盤）	全工程あり
NFR-DR-002	RPO（目標復旧地点）	失うデータを目標の範囲に収めること	NF-AVL-01	災害対策（別地域への切替）	地域全体が使えなくなったときの切替。Phase 1 では対象外	インフラ（本基盤）	全工程あり
NFR-DR-002	RPO（目標復旧地点）	失うデータを目標の範囲に収めること	NF-AVL-03	稼働率・復旧目標（SLA / SLO）	顧客に約束する稼働率と復旧目標、および約束しない範囲	インフラ（本基盤）	全工程あり
NFR-DR-003	フェイルオーバー方式	別地域へ切り替える方式が定まっていること。現行の方向は手動・大阪で作り直し（復旧方式の決定 D-18.2 待ち。顧客希望 RTO 1 日との差は D-18.1 で明示）	NF-AVL-01	災害対策（別地域への切替）	地域全体が使えなくなったときの切替。Phase 1 では対象外	インフラ（本基盤）	全工程あり
NFR-DR-004	バックアップ保存期間	控えを一定期間保つこと	NF-AVL-02	バックアップ・復元	誤操作やデータの壊れからの復元手順。同一地域内で行う	インフラ（本基盤）	全工程あり
NFR-DR-005	PITR（Point-in-Time Recovery）	時点を指定して戻せること	NF-AVL-02	バックアップ・復元	誤操作やデータの壊れからの復元手順。同一地域内で行う	インフラ（本基盤）	全工程あり
NFR-DR-006	クロスリージョンバックアップ	控えを別の地域にも置くこと	NF-AVL-01	災害対策（別地域への切替）	地域全体が使えなくなったときの切替。Phase 1 では対象外	インフラ（本基盤）	全工程あり
NFR-DR-007	DR 訓練	復旧の訓練を定期的に行うこと	NF-AVL-01	災害対策（別地域への切替）	地域全体が使えなくなったときの切替。Phase 1 では対象外	インフラ（本基盤）	全工程あり
NFR-DR-008	DR 切替時のセッション維持	切り替えてもログインし直さずに済むこと	NF-AVL-01	災害対策（別地域への切替）	地域全体が使えなくなったときの切替。Phase 1 では対象外	—	Phase 1 では作らない（再ログイン前提。DR-02 で確認）
NFR-OPS-001	監視・メトリクス	動きを測る値が取れること	NF-OPS-01	監視項目・閾値・通知	何を見張り、どの値で誰に知らせるか	インフラ（本基盤）	全工程あり
NFR-OPS-002	アラート通知	異常を検知したら通知が届くこと	F-INT-11	接続情報の自動追随	顧客IdPの接続情報を定期的に取り直し、証明書の入れ替えに自動追随する	インフラ（本基盤）	全工程あり
NFR-OPS-002	アラート通知	異常を検知したら通知が届くこと	F-BAT-07	証明書期限の監視	証明書の期限切れが近いものを検出して通知する	インフラ（本基盤）	全工程あり
NFR-OPS-002	アラート通知	異常を検知したら通知が届くこと	NF-OPS-01	監視項目・閾値・通知	何を見張り、どの値で誰に知らせるか	インフラ（本基盤）	全工程あり
NFR-OPS-003-a	ログ保存期間（出力・項目・保持年数の指定）	記録を定められた期間保つこと	F-ADM-25	監査ログの取得・保管方式	何を記録に残し、どの項目を何年保つか。長期保管領域と、他組織の監査アカウントへの集約を含む	インフラ（本基盤）	全工程あり
NFR-OPS-003-b	ログ保存期間（共通基盤側の保管）	記録を定められた期間保つこと	F-ADM-25	監査ログの取得・保管方式	何を記録に残し、どの項目を何年保つか。長期保管領域と、他組織の監査アカウントへの集約を含む	他組織（境界・共通基盤）	他組織で実施
NFR-OPS-004-a	ログ検索性（出力・項目・保持年数の指定）	記録を必要な条件で探せること	F-ADM-25	監査ログの取得・保管方式	何を記録に残し、どの項目を何年保つか。長期保管領域と、他組織の監査アカウントへの集約を含む	インフラ（本基盤）	全工程あり
NFR-OPS-004-b	ログ検索性（共通基盤側の検索）	記録を必要な条件で探せること	F-ADM-25	監査ログの取得・保管方式	何を記録に残し、どの項目を何年保つか。長期保管領域と、他組織の監査アカウントへの集約を含む	他組織（境界・共通基盤）	他組織で実施
NFR-OPS-005	バージョンアップ方針	Keycloak の版を上げる方針が定まっていること	NF-OPS-05	Keycloak の更新・保守	Keycloak の版を上げるときの手順と、ベンダーのサポート範囲	インフラ（本基盤）	全工程あり
NFR-OPS-006	パッチ適用（CVE 対応）	弱点への修正を定めた期間内に当てること	NF-OPS-05	Keycloak の更新・保守	Keycloak の版を上げるときの手順と、ベンダーのサポート範囲	インフラ（本基盤）	全工程あり
NFR-OPS-007	設定変更プロセス	設定を変えるときの手順が定まっていること	NF-OPS-08	運用プロセス（受付・変更・障害）	問い合わせを受けてから解決するまで、設定を変えるとき、障害が起きたときの、決められた進め方	インフラ（本基盤）	🔺 一部の工程のみ
NFR-OPS-008	インシデント対応体制	障害に対応する体制があること	NF-OPS-02	運用体制・当番	当番の組み方と通知先の割り当て	インフラ（本基盤）	🔺 一部の工程のみ
NFR-OPS-008	インシデント対応体制	障害に対応する体制があること	NF-OPS-03	運用手順書	事故対応・報告・顧客の受け入れなど、運用時に手順どおり行う作業	インフラ（本基盤）	🔺 一部の工程のみ
