WBS ID	機能グループ（I）	機能名（J）
HC-05a-2	接続先管理	顧客認証システムの接続登録
HC-05a-3	接続先管理	顧客認証システムの接続登録
HC-05a-4	接続先管理	顧客認証システムの接続登録
HC-05a-5	接続先管理	顧客認証システムの接続登録
HC-05a-6	接続先管理	顧客認証システムの接続登録
HC-05b-1	利用者管理	利用者の検索・一覧
HC-05b-2	利用者管理	利用者の詳細参照
HC-05b-3	利用者管理	利用者の登録
HC-05b-4	利用者管理	利用者の変更
HC-05b-5	利用者管理	利用者の利用可否の切替（管理者操作）
HC-05b-6	利用者支援操作	パスワード初期化（管理者）
HC-05b-7	利用者支援操作	利用者の招待
HC-05b-8	監査・一括処理	利用者の一括登録
HC-05c-1	権限管理	使えるアプリの設定
HC-05c-2	権限管理	アプリ内の役割の設定
HC-05c-3	組織・顧客管理	組織情報の編集
HC-05c-4	権限管理	権限の棚卸し
HC-05d-1	監査・一括処理	操作記録の照会(アプリ)
HC-05d-2	監査・一括処理	操作記録の照会(アプリ)
HE-22a	横断	横断（全機能共通）
HE-22b	横断	横断（全機能共通）
HC-11	アプリへの通知	通知メールの送信
HD-03	横断	横断（全機能共通）
HD-04	ローカル認証	ローカルユーザー管理
HD-08	権限管理	使えるアプリの設定
HD-10	権限管理側への引き渡し（識別子の紐付け・参照用データの更新）	参照用データの更新
HD-13	運用	横断（同意管理）
HD-14	監査・一括処理	操作記録の照会(アプリ)
HE-04i	利用者支援操作	強制ログアウト（アプリ）
HE-05c	権限管理	使えるアプリの設定
HE-05d	権限管理	使えるアプリの設定
HE-05e	権限管理	使えるアプリの設定
HE-05f	権限管理	使えるアプリの設定
HE-05g	権限管理	使えるアプリの設定
HE-05i	権限管理	使えるアプリの設定
HE-05j	権限管理	使えるアプリの設定
HE-06h	監査・一括処理	操作記録の照会(アプリ)
HE-21a	組織・顧客管理	顧客の作成(アプリ)
HE-09	顧客システムからの利用者受信（人事システム等からの登録・更新・削除）	顧客システムからの利用者登録
HE-11	退職者の遮断と復職対応（停止・再開の伝播）	停止の確実な伝播
HE-14	フェデレーション	顧客認証システムへのログイン委譲_OIDC
HE-15	フェデレーション	顧客認証システムへのログイン委譲_SAML
HE-18a	不正アクセス対策	流出パスワードの使用拒否
HE-18b	アプリへの通知	通知メールの送信
HE-19b	横断	横断（全機能共通）
HE-19c	横断	横断（全機能共通）
HF-05	鍵・証明書の維持	署名鍵の定期入れ替え
HF-01	横断	横断（定期処理共通）
HF-03	利用者の整理	長期未使用者の自動停止
HF-04	データの突合と再送（伝えそこないの回収）	日次の整合突合
HF-06	横断	横断（定期処理共通）
HF-07	横断	横断（定期処理共通）
HG-02	アクセス制御	管理操作の3段階権限確認
HG-03	アクセス制御	管理操作の3段階権限確認
HH-05	横断	横断（全機能共通）
HJ-01a	フェデレーション	顧客認証システムへのログイン委譲_OIDC
HJ-01b	ローカル認証	ローカルユーザー管理
HJ-02a	フェデレーション	顧客認証システムへのログイン委譲_OIDC
HJ-02b	ローカル認証	ローカルユーザー管理
HJ-08	受け取ったデータの整形（項目名・区分の統一）	項目名の変換・統一
HJ-10a	フェデレーション	顧客認証システムへのログイン委譲_OIDC
HJ-10b	ローカル認証	ローカルユーザー管理
HJ-11	フェデレーション	Broker-KeycloakとIdP-Keycloakの連携
HE-17	フェデレーション	顧客認証システムへのログイン委譲_OIDC
HK-04	横断	管理画面の機能全般
HK-06	監査・一括処理	操作記録の照会(ブローカー)
HK-08	組織・顧客管理	顧客の作成(アプリ)
HB-F-AUTH-01	ローカル認証	ローカルユーザー管理
HB-F-AUTH-04	接続先の振り分け	接続先の自動振り分け
HB-F-AUTH-05	フェデレーション	顧客認証システムへのログイン委譲_OIDC
HB-F-AUTH-06	フェデレーション	顧客認証システムへのログイン委譲_SAML
HB-F-AUTH-07	フェデレーション	ブローカー側のシャドウユーザ作成
HB-F-AUTH-08	フェデレーション	ログイン後の属性取り込み_SCIM
HB-F-AUTH-09	フェデレーション	Broker-KeycloakとIdP-Keycloakの連携
HB-F-ADM-10	利用者支援操作	強制ログアウト（アプリ）
HB-F-ADM-14	組織・顧客管理	顧客の作成(ブローカー)
HB-F-ADM-18	監査・一括処理	操作記録の照会(ブローカー)
HB-F-AZ-05a	アクセス制御	テナント越境の防止
HB-F-AZ-05b	アクセス制御	テナント越境の防止
HB-F-AZ-09	監査・一括処理	操作記録の照会(アプリ)
HB-F-INT-05	退職者の遮断と復職対応（停止・再開の伝播）	停止の確実な伝播
HB-F-INT-06	権限管理側への引き渡し（識別子の紐付け・参照用データの更新）	初回ログイン者の識別子通知
HB-F-INT-10	監視・検知	定期的な擬似ログインによる障害検知
HB-F-INT-12	アプリへの通知	アプリへの変更通知
HB-F-BAT-06	監査・一括処理	システム用アカウントの台帳管理
HB-15	横断	横断（全機能共通）
HB-16	横断	横断（全機能共通）
HB-17	横断	横断（全機能共通）
HB-18	退職者の遮断と復職対応（停止・再開の伝播）	利用者の停止（消さずに無効化）
HK-03	横断	横断（全機能共通）
GD-09	フェデレーション	顧客認証システムへのログイン委譲_OIDC
GD-10	フェデレーション	顧客認証システムへのログイン委譲_OIDC
GD-11	横断	横断（全機能共通）
GD-14	フェデレーション	顧客認証システムへのログイン委譲_OIDC
GD-15	フェデレーション	顧客認証システムへのログイン委譲_OIDC
GD-16	フェデレーション	顧客認証システムへのログイン委譲_OIDC
GD-17	フェデレーション	顧客認証システムへのログイン委譲_OIDC
GD-18	フェデレーション	顧客認証システムへのログイン委譲_OIDC
GD-21	フェデレーション	顧客認証システムへのログイン委譲_OIDC
GD-22	フェデレーション	顧客認証システムへのログイン委譲_OIDC
GD-23	フェデレーション	顧客認証システムへのログイン委譲_OIDC
GD-24	フェデレーション	顧客認証システムへのログイン委譲_OIDC
GD-31	エラー画面	sorryページ(アプリ)
GD-36	アプリへの通知	アプリへの変更通知
