ID	分類	機能グループ	機能名	項目	概要・完了定義	詳細設計 人日	製造 人日	内訳	縮小版	縮小版 詳細設計 人日	縮小版 製造 人日	縮小版の理由
DDA-01	DD-A 共通・方式の実装仕様	セッションとログアウト	ログイン状態の保持とタイムアウト	ログイン状態の保持の実装仕様	保持先・保持時間・無操作での切れ方・再ログインの条件が確定している	3			対象	3		R2 ログインが成立する前提
DDI-05	DD-I 単体試験の仕様	セッションとログアウト	ログイン状態の保持とタイムアウト	単体試験仕様: ログイン状態の保持	時間経過・再開・強制切断の観点と期待結果が定義されている	1			対象	1		R2 ログインが成立する前提
MKB-08	MK-B Keycloak-Brokerの設定・構築	セッションとログアウト	ログイン状態の保持とタイムアウト	ログイン状態の保持とタイムアウトの設定	設計どおりの時間で切れ、再ログインを求められる		2		対象		2	R2 ログインが成立する前提
MKI-06	MK-I 単体試験の実施	セッションとログアウト	ログイン状態の保持とタイムアウト	単体試験: ログイン状態の保持	試験仕様どおりに実施し、不具合が是正されている		1		対象		1	R2 ログインが成立する前提
DDE-03	DD-E つなぎ目（IF）の詳細設計	セッションとログアウト	アプリへのログアウト連携	ログアウト連携の実装仕様	通知の宛先・内容・失敗時の再送と、アプリ側に求める受け口が確定している	3			対象	3		R2 ログインが成立する前提
MKB-09	MK-B Keycloak-Brokerの設定・構築	セッションとログアウト	アプリへのログアウト連携	ログアウト連携の設定	1 箇所のログアウトで他のアプリにも通知が届く		2		対象		2	R2 ログインが成立する前提
MKI-07	MK-I 単体試験の実施	セッションとログアウト	アプリへのログアウト連携	単体試験: ログアウト連携	正常・宛先不達の観点で実施し、不具合が是正されている		1.5		対象		1.5	R2 ログインが成立する前提
DDC-01	DD-C 画面の詳細設計	ログイン画面	ログイン画面の表示（ブランド・並び順）	画面の実装設計（差し替える範囲の特定）	Keycloak-Brokerの既定画面のどこを差し替えるか、版を上げたときの作り直しの手間が確定している	2			対象	2		R2 利用者が触る面
MKC-03	MK-C 自社拡張・画面の実装	ログイン画面	ログイン画面の表示（ブランド・並び順）	識別子の入力画面の実装	設計どおりの画面が表示され、振り分けへ進む		3		対象		3	R2 利用者が触る面
MKI-08	MK-I 単体試験の実施	ログイン画面	ログイン画面の表示（ブランド・並び順）	単体試験: 識別子の入力画面	入力の検証・遷移・表示崩れの観点で実施し、不具合が是正されている		1		対象		1	R2 利用者が触る面
DDC-02	DD-C 画面の詳細設計	ログイン画面	エラー・案内画面（Keycloak-Broker）	エラー画面の文言と出し分けの実装設計	表示する文言と出し分けの条件が、実在を推測させない形で確定している	1			対象	1		R2 利用者が触る面
MKC-04	MK-C 自社拡張・画面の実装	ログイン画面	エラー・案内画面（Keycloak-Broker）	エラー・案内画面の実装	失敗の種類ごとに設計どおりの案内が出る		2		対象		2	R2 利用者が触る面
DDE-04	DD-E つなぎ目（IF）の詳細設計	ユーザ管理	顧客IdP からのユーザ情報の同期	受信窓口の実装設計（入口・認証・応答）	入口の作り・呼び出し元の確認方法・応答と異常時の返し方が実装できる粒度で書かれている。窓口はKeycloak-Brokerの上に立てる（別の実行基盤は作らない）	4		入口2+認証1+応答1	対象外			R3 SCIM 受信は標準に無い（削減候補として合意済み）
DDI-06	DD-I 単体試験の仕様	ユーザ管理	顧客IdP からのユーザ情報の同期	単体試験仕様: 受信窓口	登録・更新・削除・検索と、規格への適合の観点が定義されている	2			対象外			R3 SCIM 受信は標準に無い（削減候補として合意済み）
MKE-01	MK-E つなぎ目（IF）の実装	ユーザ管理	顧客IdP からのユーザ情報の同期	受信窓口の実装	Keycloak-Brokerの上に立てた窓口で、顧客システムから登録・更新・削除・検索ができる		8	部品の組み込み3+自作部分5	対象外			R3 SCIM 受信は標準に無い（削減候補として合意済み）
MKI-09	MK-I 単体試験の実施	ユーザ管理	顧客IdP からのユーザ情報の同期	単体試験: 受信窓口	試験仕様どおりに実施し、不具合が是正されている		3		対象外			R3 SCIM 受信は標準に無い（削減候補として合意済み）
DDE-05	DD-E つなぎ目（IF）の詳細設計	ユーザ管理	顧客IdP からのユーザ情報の同期	更新の反映と競合の扱いの実装設計	既にいるユーザを更新するときの項目の上書き規則と、競合したときの扱いが確定している	1			対象外			R3 SCIM 受信は標準に無い（削減候補として合意済み）
DDE-06	DD-E つなぎ目（IF）の詳細設計	ユーザ管理	顧客IdP からのユーザ情報の同期	削除通知の読み替えの実装設計	削除の通知を受けたときに消さずに止める読み替えの規則と、記録の残し方が確定している	1			対象外			R3 SCIM 受信は標準に無い（削減候補として合意済み）
MKE-02	MK-E つなぎ目（IF）の実装	ユーザ管理	顧客IdP からのユーザ情報の同期	削除通知の読み替えの実装	削除の通知でユーザが止まり、消えていないことを確認できる		1.5		対象外			R3 SCIM 受信は標準に無い（削減候補として合意済み）
DDE-07	DD-E つなぎ目（IF）の詳細設計	ユーザ管理	顧客IdP からのユーザ情報の同期	項目の対応づけと絞り込みの実装設計	受け取る項目の対応と、絞り込み・件数の区切りの実装方法が確定している	2			対象外			R3 SCIM 受信は標準に無い（削減候補として合意済み）
DDD-01	DD-D データの詳細設計	ユーザ属性の統一	顧客IdP から受け取る属性の名前の統一	属性の宣言と変換規則の実装設計	持たせる項目の宣言と、顧客ごとの変換規則の書き方が実装できる粒度で書かれている	3			対象	3		R2 フェデが動く前提
MKB-10	MK-B Keycloak-Brokerの設定・構築	ユーザ属性の統一	顧客IdP から受け取る属性の名前の統一	属性の宣言と変換の設定	宣言した項目が保持され、顧客ごとの変換が設計どおり動く		3		対象		3	R2 フェデが動く前提
DDB-06	DD-B 機能の詳細設計	ユーザ属性の統一	ユーザの登録経路の区分	登録経路の区分の実装設計	区分の値と、どこで付けるかが確定している	1.5			対象外			R3 標準に無い
MKB-11	MK-B Keycloak-Brokerの設定・構築	ユーザ属性の統一	ユーザの登録経路の区分	登録経路の区分の実装	経路ごとに正しい区分が付く		1.5		対象外			R3 標準に無い
DDB-07	DD-B 機能の詳細設計	ユーザの停止・再開・消去	ユーザの停止（消さずに無効化）	停止と再開の実装設計	止める条件・再開してよい条件・除外する条件が確定している	1.5			対象外			R4 シャドウユーザーはそのまま
MKB-12	MK-B Keycloak-Brokerの設定・構築	ユーザの停止・再開・消去	ユーザの停止（消さずに無効化）	停止と再開の実装	削除通知で止まり、条件を満たす場合だけ再開できる		2		対象外			R4 シャドウユーザーはそのまま
DDB-08	DD-B 機能の詳細設計	ユーザの停止・再開・消去	停止済みユーザの再開	再開の条件判定の実装設計	再開してよい条件と、誤って復活させないための除外条件が実装できる粒度で書かれている	0.5			対象外			R4 シャドウユーザーはそのまま
MKB-13	MK-B Keycloak-Brokerの設定・構築	ユーザの停止・再開・消去	停止済みユーザの再開	再開の実装	条件を満たす場合だけ再開でき、除外条件に当たる場合は再開されない		1		対象外			R4 シャドウユーザーはそのまま
DDF-05	DD-F 定期処理の詳細設計	ユーザの停止・再開・消去	長期未使用者の自動停止	自動停止の実装仕様	対象の抽出条件・除外条件・実行間隔・記録が確定している	1			対象外			R3 標準に無い
MKF-06	MK-F 定期処理の実装	ユーザの停止・再開・消去	長期未使用者の自動停止	自動停止の実装	90 日ログインの無い対象ユーザだけが止まり、除外対象は止まらず、記録が残る		1.5		対象外			R3 標準に無い
DDD-02	DD-D データの詳細設計	ユーザの停止・再開・消去	保存期限切れデータの消去	保持期間と消去の実装設計	対象の表ごとの保持年数・消去の起点・消去の順序と、消し残しの検出方法が確定している	1.5			対象外			R3 標準に無い
MKF-01	MK-F 定期処理の実装	ユーザの停止・再開・消去	保存期限切れデータの消去	消去処理の実装	期限を過ぎたデータが自動で消え、消したことが記録に残る		2		対象外			R3 標準に無い
DDB-09	DD-B 機能の詳細設計	顧客・組織管理	顧客の作成	顧客と顧客IdPの登録手順の実装設計	登録する項目・順序・失敗時の戻し方が実装できる粒度で書かれている	2			対象	2		R2 顧客を載せる最小操作
MKB-14	MK-B Keycloak-Brokerの設定・構築	顧客・組織管理	顧客の作成	顧客登録の実装	ひな形から顧客を作成でき、初期状態が設計どおりになる		2		対象		2	R2 顧客を載せる最小操作
DDB-10	DD-B 機能の詳細設計	顧客・組織管理	顧客の解約	顧客解約時の処理の詳細設計	停止・データの持ち出し・消去の順序と猶予期間が確定している	1.5			一部	0.75		止めるところまで。段階的な消去は後回し
MKB-15	MK-B Keycloak-Brokerの設定・構築	顧客・組織管理	顧客の解約	顧客解約の処理の実装	手順どおりに停止と消去ができる		1.5		一部		0.75	止めるところまで。段階的な消去は後回し
MKB-16	MK-B Keycloak-Brokerの設定・構築	顧客IdP 管理	顧客IdPの接続登録	接続登録の実装	受け取った情報から顧客IdPを登録でき、疎通確認まで通る		3		対象		3	R2 顧客を載せる最小操作
DDB-11	DD-B 機能の詳細設計	顧客IdP 管理	接続設定の変更・証明書更新	接続設定の変更と証明書更新の実装設計	止めずに入れ替える順序と、切り戻しの手順が確定している	2			対象	2		R2 証明書が切れると止まるため外せない
MKB-17	MK-B Keycloak-Brokerの設定・構築	顧客IdP 管理	接続設定の変更・証明書更新	証明書の無停止入れ替えの実装	入れ替え中もログインが止まらないことを実機で確認できる		3		対象		3	R2 証明書が切れると止まるため外せない
DDF-01	DD-F 定期処理の詳細設計	顧客IdP 管理	顧客IdP の接続情報の自動追随	接続情報の自動追随の実装仕様	取り直す間隔・失敗時の再試行・追随できないときの通知先が確定している	1.5			対象外			R3 標準に無い。手で入れ替える
MKF-02	MK-F 定期処理の実装	顧客IdP 管理	顧客IdP の接続情報の自動追随	接続情報の自動追随の実装	相手側が証明書を入れ替えても自動で追随し、失敗時に通知が届く		2		対象外			R3 標準に無い。手で入れ替える
DDE-08	DD-E つなぎ目（IF）の詳細設計	JWT の発行	アプリへの JWT 発行	JWT に載せる項目の実装仕様	項目ごとの生成規則・要求できる範囲との対応が実装できる粒度で書かれている	3			対象	3		R3 標準 API の中核
DDI-07	DD-I 単体試験の仕様	JWT の発行	アプリへの JWT 発行	単体試験仕様: JWT の内容	項目の有無・値・範囲ごとの差分の観点と期待結果が定義されている	1			対象	1		R3 標準 API の中核
MKB-19	MK-B Keycloak-Brokerの設定・構築	JWT の発行	アプリへの JWT 発行	JWT の項目生成の実装	設計どおりの項目が入ったJWTが発行される		3		対象		3	R3 標準 API の中核
MKI-10	MK-I 単体試験の実施	JWT の発行	アプリへの JWT 発行	単体試験: JWT の内容	試験仕様どおりに実施し、不具合が是正されている		1.5		対象		1.5	R3 標準 API の中核
DDB-13	DD-B 機能の詳細設計	JWT の発行	システム間 JWT の発行	システム間 JWT の実装設計	発行の条件・要求できる範囲・有効期限・失効のさせ方が実装できる粒度で書かれている	1.5			対象	1.5		R3 標準 API
MKB-21	MK-B Keycloak-Brokerの設定・構築	JWT の発行	システム間 JWT の発行	システム間 JWT の実装	システムとして入口を呼べる資格が発行でき、範囲外の呼び出しが拒否される		2		対象		2	R3 標準 API
MKI-12	MK-I 単体試験の実施	JWT の発行	システム間 JWT の発行	単体試験: システム間 JWT	正常・範囲外・期限切れ・失効後の観点で実施し、不具合が是正されている		1		対象		1	R3 標準 API
DDD-03	DD-D データの詳細設計	認可・権限判定	顧客番号と基盤識別子の対応づけ	識別子の採番と対応づけの実装設計	識別子の形式・重複の避け方・顧客番号との対応の持ち方が確定している	2			対象外			R7 権限側。Keycloak の外
MKB-18	MK-B Keycloak-Brokerの設定・構築	認可・権限判定	顧客番号と基盤識別子の対応づけ	識別子の採番と保持の実装	設計どおりの識別子が付き、顧客番号と対応づく		2		対象外			R7 権限側。Keycloak の外
DDB-12	DD-B 機能の詳細設計	認可・権限判定	顧客越境の防止（Keycloak-Broker 側）	越境防止の実装設計	どこで判定し、弾いたときに何を記録するかが確定している	1.5			対象	1.5		R2 Keycloak 側の設定で成立。外すと事故が起きる
MKB-20	MK-B Keycloak-Brokerの設定・構築	認可・権限判定	顧客越境の防止（Keycloak-Broker 側）	越境防止の実装	他顧客の顧客IdPではログインできない		1.5		対象		1.5	R2 Keycloak 側の設定で成立。外すと事故が起きる
MKI-11	MK-I 単体試験の実施	認可・権限判定	顧客越境の防止（Keycloak-Broker 側）	単体試験: 越境防止	正しい組み合わせと誤った組み合わせで実施し、不具合が是正されている		1		対象		1	R2 Keycloak 側の設定で成立。外すと事故が起きる
DDB-14	DD-B 機能の詳細設計	アプリ連携	アプリの接続登録（クライアント登録）	アプリの接続登録の詳細設計	登録項目のひな形・命名規則・接続情報の渡し方と入れ替えが確定している	2			対象	2		R3 アプリを繋ぐ最小操作
MKB-22	MK-B Keycloak-Brokerの設定・構築	アプリ連携	アプリの接続登録（クライアント登録）	接続登録のひな形の実装	ひな形からアプリを登録でき、接続情報が発行される		3		対象		3	R3 アプリを繋ぐ最小操作
MKI-13	MK-I 単体試験の実施	アプリ連携	アプリの接続登録（クライアント登録）	単体試験: アプリの接続登録	ひな形からの登録と接続確認を実施し、不具合が是正されている		1		対象		1	R3 アプリを繋ぐ最小操作
DDE-12	DD-E つなぎ目（IF）の詳細設計	アプリ連携	アプリ向け管理 API の公開	管理 API の内部公開の実装仕様	経路・呼び出し元の資格・許す操作の範囲・記録の項目が実装できる粒度で書かれている	1.5			対象外			R7 Keycloak を作るのみ
MKB-32	MK-B Keycloak-Brokerの設定・構築	アプリ連携	アプリ向け管理 API の公開	管理 API の内部公開の構築	内部経路からだけ呼べ、許した操作だけが通り、記録が残る		2		対象外			R7 Keycloak を作るのみ
DDB-15	DD-B 機能の詳細設計	業務システムへの認証提供	業務システムへの認証提供	業務システム連携の実装設計	交換する情報・署名の扱い・ログアウトの伝え方が実装できる粒度で書かれている	4			対象外			R7 Keycloak を作るのみ
DDI-08	DD-I 単体試験の仕様	業務システムへの認証提供	業務システムへの認証提供	単体試験仕様: 業務システム連携	ログイン・ユーザの自動作成・ログアウトの観点と期待結果が定義されている	1			対象外			R7 Keycloak を作るのみ
MKB-23	MK-B Keycloak-Brokerの設定・構築	業務システムへの認証提供	業務システムへの認証提供	業務システム連携の設定と実装	業務システムへログインでき、相手側にユーザが作られる		4	接続設定4+属性の受け渡し2	対象外			R7 Keycloak を作るのみ
MKI-14	MK-I 単体試験の実施	業務システムへの認証提供	業務システムへの認証提供	単体試験: 業務システム連携	試験仕様どおりに実施し、不具合が是正されている		2		対象外			R7 Keycloak を作るのみ
MKB-24	MK-B Keycloak-Brokerの設定・構築	業務システムへの認証提供	業務システム側のユーザ自動作成	業務システム側のユーザ自動作成の設定	初回ログインで相手側にユーザが作られ、渡した属性が反映される		2	接続設定4+属性の受け渡し2	対象外			R7 Keycloak を作るのみ
MKB-25	MK-B Keycloak-Brokerの設定・構築	業務システムへの認証提供	業務システムから他アプリへの連携	他アプリへの連携の設定	業務システムにログインした状態から他のアプリを呼べる		1		対象外			R7 Keycloak を作るのみ
DDD-04	DD-D データの詳細設計	監査・記録	監査ログの出力と保管	記録の出力先と保持の実装設計	全体の共通基盤へ出す形式・経路・保持年数と、個人情報を伏せる箇所が確定している	2			一部	1		Keycloak の標準出力を流すところまで。保管年数の作り込みは後回し
DDE-09	DD-E つなぎ目（IF）の詳細設計	監査・記録	監査ログの出力と保管	記録の出力と集約の実装仕様	出力する項目・形式と、全体の共通基盤へ送る経路が確定している	2			一部	1		Keycloak の標準出力を流すところまで。保管年数の作り込みは後回し
MKH-01	MK-H 監視・運用の構築	監査・記録	監査ログの出力と保管	記録の出力設定と共通基盤への集約	設計どおりの記録が出力され、全体の共通基盤に集約されて参照できる		3	出力設定2+集約の疎通1	一部		1.5	Keycloak の標準出力を流すところまで。保管年数の作り込みは後回し
MKI-15	MK-I 単体試験の実施	監査・記録	監査ログの出力と保管	単体試験: 記録の取得	記録の欠落・項目の過不足の観点で実施し、不具合が是正されている		1.5		一部		0.75	Keycloak の標準出力を流すところまで。保管年数の作り込みは後回し
DDB-16	DD-B 機能の詳細設計	監査・記録	本人からの開示・削除請求への対応	開示と削除の求めへの対応の実装設計	本人を特定する方法・取り出す範囲・消す範囲と、対応の記録の残し方が確定している	1			対象外			R4 セキュリティはネットワークのみ
MKB-26	MK-B Keycloak-Broker の設定・構築	監査・記録	本人からの開示・削除請求への対応	開示と削除の手段の実装	本人分のデータを取り出せ、消せることを実機で確認できる		1.5		対象外			R4 セキュリティはネットワークのみ
